Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-05-11,1262.05,1286.0,1255.7,1282.05,600835,1282.05,1282.05,-1,
2023-05-12,1284.4,1322.9,1278.0,1305.95,1404037,1286.3954545454544,1284.3261904761905,1,2.0
2023-05-15,1307.95,1317.0,1294.55,1298.3,478721,1288.5599173553717,1285.657029478458,1,0.0
2023-05-16,1299.65,1303.15,1287.95,1291.15,378732,1289.0308414725766,1286.1801695281288,1,0.0
2023-05-17,1292.0,1292.0,1263.2,1269.2,436672,1285.425233932108,1284.5630105254497,1,0.0
2023-05-18,1274.25,1276.75,1261.05,1264.4,261779,1281.6024641262702,1282.6427238087404,-1,-2.0
2023-05-19,1265.0,1266.5,1251.9,1259.55,314141,1277.592925194221,1280.4434167793365,-1,0.0
2023-05-22,1259.55,1277.4,1257.0,1263.75,444646,1275.0760297043626,1278.853567562257,-1,0.0
2023-05-23,1264.5,1265.0,1246.55,1249.75,520570,1270.471297030842,1276.0817992229945,-1,0.0
2023-05-24,1249.0,1275.95,1242.25,1273.35,561655,1270.9946975706887,1275.8216278684235,-1,0.0
2023-05-25,1274.0,1283.0,1267.0,1278.4,434611,1272.3411161942,1276.0671871190498,-1,0.0
2023-05-26,1278.4,1292.4,1275.0,1289.15,390311,1275.3972768861636,1277.313169298188,-1,0.0
2023-05-29,1294.55,1300.0,1284.0,1297.6,319481,1279.4341356341338,1279.2452484126463,1,2.0
2023-05-30,1297.6,1302.0,1285.55,1288.35,408031,1281.055201882473,1280.1123676114419,1,0.0
2023-05-31,1283.5,1318.25,1280.05,1307.95,2068480,1285.9451651765687,1282.7635706960664,1,0.0
2023-06-01,1310.9,1359.9,1310.4,1331.9,1247361,1294.30058968992,1287.4432306297742,1,0.0
2023-06-02,1334.0,1342.35,1326.25,1331.45,944335,1301.055027928116,1291.6343515221765,1,0.0
2023-06-05,1331.0,1353.85,1327.0,1347.2,953995,1309.4450228502767,1296.9263180438738,1,0.0
2023-06-06,1349.9,1352.9,1321.9,1334.6,796420,1314.0186550593173,1300.514287753981,1,0.0
