Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,195.15,197.9,194.15,195.3,1197739,195.3,195.3,0,
2025-02-05,195.25,195.95,191.6,192.75,1366898,194.83636363636361,195.05714285714288,-1,-1.0
2025-02-06,194.1,196.15,192.05,194.95,3566264,194.8570247933884,195.04693877551023,-1,0.0
2025-02-07,195.4,197.7,192.1,197.2,2165691,195.2830202854996,195.25199222546163,1,2.0
2025-02-10,197.3,197.5,190.1,193.4,1356397,194.94065296086328,195.0756120135129,-1,-2.0
2025-02-11,191.65,193.05,186.05,189.25,1287722,193.90598878616083,194.52079182174978,-1,0.0
2025-02-12,189.9,192.2,185.2,187.1,1450319,192.66853627958614,193.81404974348789,-1,0.0
2025-02-13,187.1,192.15,186.85,187.65,1177026,191.7560751378432,193.22699738696522,-1,0.0
2025-02-14,188.3,190.3,183.4,186.35,1691903,190.77315238550804,192.5720452548733,-1,0.0
2025-02-17,186.35,187.3,181.25,182.4,1836885,189.25076104268837,191.60327904012345,-1,0.0
2025-02-18,183.35,184.05,177.5,181.95,1228169,187.92334994401773,190.68391913154025,-1,0.0
2025-02-19,180.55,182.9,178.4,179.4,1086468,186.3736499541963,189.60926016663166,-1,0.0
2025-02-20,179.45,183.55,178.1,182.25,874680,185.62389541706972,188.90837824600007,-1,0.0
2025-02-21,181.65,183.1,176.5,177.8,1507242,184.2013689776025,187.85043746066674,-1,0.0
2025-02-24,176.65,177.1,172.2,176.25,1335734,182.75566552712928,186.7456338929842,-1,0.0
2025-02-25,175.0,176.8,172.9,174.65,1727972,181.2819081585603,185.59366876031902,-1,0.0
2025-02-27,175.0,177.4,173.35,174.85,2345328,180.11247031154932,184.5704622117172,-1,0.0
2025-02-28,174.15,174.15,165.15,167.6,4232778,177.83747570944942,182.95422771536317,-1,0.0
2025-03-03,167.45,168.3,161.45,166.65,2744288,175.80338921682227,181.40144412342383,-1,0.0
2025-03-04,162.4,166.0,161.75,162.25,1479232,173.33913663194548,179.57749706405014,-1,0.0
2025-03-05,163.8,167.1,162.35,166.3,1469381,172.0592936079554,178.3129735341406,-1,0.0
2025-03-06,167.9,171.5,165.3,170.1,3205765,171.70305840650897,177.53078557850816,-1,0.0
2025-03-07,171.4,172.1,168.6,170.0,1052787,171.39341142350733,176.8135679043645,-1,0.0
2025-03-10,169.6,171.65,165.85,166.35,1085037,170.47642752832417,175.81703762775834,-1,0.0
2025-03-11,165.05,166.05,163.85,164.85,594906,169.4534407049925,174.7725578536861,-1,0.0
2025-03-12,164.85,166.25,160.1,160.75,1174019,167.87099694044838,173.43707615333503,-1,0.0
2025-03-13,161.75,162.5,154.6,155.6,2231726,165.63990658763956,171.73830699587455,-1,0.0
2025-03-17,155.6,167.9,155.05,164.6,8071621,165.45083266261418,171.0584682343627,-1,0.0
2025-03-18,168.35,168.35,163.05,166.3,2693945,165.60522672395706,170.60528078347102,-1,0.0
2025-03-19,166.5,168.65,165.2,167.6,1796354,165.96791277414667,170.31906356599757,-1,0.0
2025-03-20,168.75,172.75,168.75,169.75,2429143,166.6555649970291,170.26486703590254,-1,0.0
2025-03-21,171.55,175.4,167.5,174.75,2502771,168.12728045211472,170.69202255629278,-1,0.0
2025-03-24,175.6,176.05,172.0,174.25,4167025,169.24050218809384,171.03087755093156,-1,0.0
2025-03-25,177.95,179.15,174.6,175.8,7070029,170.43313815389496,171.48507968893807,-1,0.0
2025-03-26,175.8,176.25,172.2,174.7,2427550,171.20893121682312,171.79126257570587,-1,0.0
2025-03-27,172.75,176.8,171.3,174.3,5176372,171.77094372285526,172.03018994944816,-1,0.0
2025-03-28,174.6,177.75,172.9,174.35,2248414,172.23986304597247,172.25112423997692,-1,0.0
2025-04-01,173.35,179.15,172.5,178.4,1780064,173.35988794670473,172.8367314552172,1,2.0
2025-04-02,178.35,180.65,176.35,177.45,1237090,174.1035446836675,173.27609036424414,1,0.0
2025-04-03,175.15,179.8,175.15,179.15,1301608,175.0210820139098,173.83551032955424,1,0.0
2025-04-04,180.05,181.85,177.55,180.75,4972492,176.0627034659262,174.494033155311,1,0.0
2025-04-07,174.15,174.15,165.25,170.1,4409501,174.97857556303052,174.07555380718614,1,0.0
2025-04-08,174.0,178.15,171.75,175.6,3271501,175.09156182429768,174.22073915888268,1,0.0
2025-04-09,175.4,176.15,169.3,169.95,1780581,174.1567324016981,173.81400209613196,1,0.0
2025-04-11,172.9,175.1,169.95,174.6,2259443,174.23732651048024,173.8888590393575,1,0.0
2025-04-15,177.0,178.5,172.3,175.9,2943979,174.53963078130204,174.0803962737044,1,0.0
2025-04-16,177.3,184.35,175.1,182.05,8112474,175.90515245742893,174.83940615239922,1,0.0
2025-04-17,182.4,188.0,181.5,185.5,5974797,177.64967019244182,175.85470080455167,1,0.0
2025-04-21,186.25,187.9,184.4,187.2,3467187,179.38609379381603,176.93520548983247,1,0.0
2025-04-22,186.85,190.9,185.9,188.45,2991639,181.03407674039494,178.0318525860389,1,0.0
2025-04-23,189.2,189.6,181.65,184.95,5940982,181.74606278759583,178.69072376832088,1,0.0
2025-04-24,185.0,186.6,182.35,185.35,1060455,182.40132409894204,179.32494055229031,1,0.0
2025-04-25,183.35,184.5,176.65,179.95,3633556,181.9556288082253,179.38447002350077,1,0.0
2025-04-28,177.3,182.85,176.7,181.9,1459686,181.94551447945707,179.62404430697688,1,0.0
2025-04-29,183.25,184.2,180.25,181.4,2329809,181.84633002864666,179.79318294440765,1,0.0
2025-04-30,181.65,183.75,178.3,181.8,1848560,181.83790638707453,179.9843083782736,1,0.0
2025-05-02,182.1,184.05,177.9,179.65,1769160,181.44010522578824,179.95246948510467,1,0.0
2025-05-05,178.9,179.55,173.35,177.5,4274513,180.7237224574631,179.71890096271375,1,0.0
2025-05-06,177.9,179.85,174.15,175.4,1750740,179.75577291974255,179.3075770615029,1,0.0
2025-05-07,173.0,178.45,172.25,177.7,1744351,179.3819960252439,179.15447448421693,1,0.0
2025-05-08,178.55,179.2,172.3,174.8,1769156,178.5489058388359,178.73976262857724,-1,-2.0
2025-05-09,170.85,176.2,169.85,173.9,3196779,177.70365023177482,178.27883285442704,-1,0.0
2025-05-12,179.15,179.95,175.2,176.0,2265538,177.3938956441794,178.06180115400542,-1,0.0
2025-05-13,176.6,183.25,175.5,182.75,2831993,178.3677327997831,178.50829628219537,-1,0.0
2025-05-14,182.5,185.85,180.0,185.15,2619946,179.60087229073162,179.14083949341486,1,2.0
2025-05-15,184.85,185.35,182.3,183.75,1087776,180.35525914696223,179.5798071607087,1,0.0
2025-05-16,184.8,188.6,184.75,188.1,2153088,181.76339384751452,180.39125409778407,1,0.0
2025-05-19,190.45,190.85,187.05,187.9,2191387,182.8791404206937,181.10637275513795,1,0.0
2025-05-20,190.85,195.65,187.5,190.2,7685212,184.21020579874937,181.97243249274385,1,0.0
2025-05-21,192.5,192.9,187.6,188.75,3593727,185.03562292624946,182.61791511248254,1,0.0
2025-05-22,187.5,188.6,183.8,184.9,1542521,185.01096421238591,182.83525653034135,1,0.0
2025-05-23,185.0,189.1,183.8,188.5,1517474,185.64533435558846,183.3747559084041,1,0.0
2025-05-26,190.0,192.3,188.35,191.35,2438823,186.682546290936,184.13430296474655,1,0.0
2025-05-27,190.0,190.1,187.6,188.95,952619,187.09481060167488,184.59294077762786,1,0.0
2025-05-28,190.0,190.0,184.15,185.3,2095668,186.76848140137034,184.66027975118712,1,0.0
2025-05-29,185.85,186.55,181.75,184.6,2067950,186.37421205566662,184.65453882250262,1,0.0
2025-05-30,185.85,186.35,181.95,184.75,2900404,186.07890077281814,184.66363036321667,1,0.0
2025-06-02,185.3,201.25,184.75,199.7,16173855,188.5554642686694,186.09566556671984,1,0.0
2025-06-03,199.6,201.2,195.4,196.35,5628577,189.97265258345675,187.07226884607985,1,0.0
2025-06-04,196.15,198.15,190.9,191.25,2802545,190.2048975682828,187.47014800359605,1,0.0
2025-06-05,191.35,194.8,190.0,193.0,1578696,190.7130980104132,187.99680057468214,1,0.0
2025-06-06,193.1,199.05,192.05,198.35,3834507,192.1016256448835,188.98281956756955,1,0.0
2025-06-09,198.6,201.1,195.5,197.6,2362652,193.1013300730865,189.80350341827722,1,0.0
2025-06-10,198.55,199.85,197.3,197.75,1487662,193.94654278707077,190.56031261653655,1,0.0
2025-06-11,198.4,204.15,196.55,199.6,6137470,194.97444409851244,191.42123522448546,1,0.0
2025-06-12,201.4,204.1,199.95,200.7,4081885,196.01545426241927,192.3049271078678,1,0.0
2025-06-13,197.5,208.25,195.9,206.45,6838046,197.91264439652483,193.6520769071185,1,0.0
2025-06-16,206.65,211.25,204.6,207.1,6933913,199.58307268806576,194.93283148739295,1,0.0
