Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-05-11,4782.05,4798.0,4675.0,4724.35,270091,4724.35,4724.35,-1,
2023-05-12,4720.0,4773.85,4629.0,4748.0,594553,4728.65,4726.602380952381,1,2.0
2023-05-15,4890.4,4950.0,4646.35,4695.4,914785,4722.604545454545,4723.630725623583,-1,-2.0
2023-05-16,4724.95,4762.0,4660.1,4680.0,195950,4714.858264462809,4719.475418421337,-1,0.0
2023-05-17,4680.0,4750.0,4610.55,4652.45,176775,4703.511307287752,4713.0920452383525,-1,0.0
2023-05-18,4662.6,4684.55,4603.85,4619.9,97729,4688.309251417251,4704.216612358509,-1,0.0
2023-05-19,4630.0,4630.7,4528.55,4556.05,123842,4664.262114795933,4690.105506419604,-1,0.0
2023-05-22,4562.0,4603.5,4524.05,4591.5,58538,4651.03263937849,4680.714505808214,-1,0.0
2023-05-23,4609.5,4609.95,4540.05,4559.35,95077,4634.363068582401,4669.155981445528,-1,0.0
2023-05-24,4565.0,4667.0,4511.25,4601.5,176185,4628.387965203782,4662.712554641192,-1,0.0
2023-05-25,4605.0,4626.0,4551.05,4602.8,79951,4623.735607894003,4657.006597056316,-1,0.0
2023-05-26,4604.9,4637.45,4577.1,4620.85,85723,4623.210951913275,4653.563111622381,-1,0.0
2023-05-29,4621.05,4675.0,4607.1,4640.8,81574,4626.408960656316,4652.347577182155,-1,0.0
2023-05-30,4645.05,4684.2,4632.0,4672.75,73873,4634.834604173349,4654.290665069569,-1,0.0
2023-05-31,4677.95,4699.65,4650.0,4665.1,52508,4640.337403414558,4655.320125539134,-1,0.0
2023-06-01,4657.65,4686.4,4570.0,4592.25,100445,4631.594239157365,4649.31344691636,-1,0.0
2023-06-02,4561.2,4629.45,4561.2,4615.55,62450,4628.677104765117,4646.097880543373,-1,0.0
2023-06-05,4661.75,4670.0,4630.0,4645.8,98067,4631.7903584441865,4646.069510967814,-1,0.0
2023-06-06,4646.0,4666.5,4602.0,4627.4,58389,4630.992111454334,4644.2914623042125,-1,0.0
2023-06-07,4645.6,4723.95,4620.0,4705.8,199220,4644.593545735364,4650.14941827524,-1,0.0
