Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-05-11,2358.5,2362.85,2324.45,2333.6,460416,2333.6,2333.6,-1,
2023-05-12,2339.5,2359.15,2313.4,2325.95,419216,2332.2090909090907,2332.8714285714286,-1,0.0
2023-05-15,2330.0,2350.7,2308.5,2345.7,311284,2334.661983471074,2334.0931972789117,1,2.0
2023-05-16,2357.5,2407.0,2337.5,2359.0,660646,2339.087077385424,2336.465273728539,1,0.0
2023-05-17,2362.9,2406.7,2342.0,2402.2,713662,2350.5621542244376,2342.725723849631,1,0.0
2023-05-18,2423.5,2427.1,2367.65,2374.1,360724,2354.841762547267,2345.713750149666,1,0.0
2023-05-19,2392.5,2448.0,2382.7,2444.1,1017838,2371.0705329932184,2355.0838691830313,1,0.0
2023-05-22,2450.0,2528.1,2445.0,2520.55,867542,2398.2486179035423,2370.842548308457,1,0.0
2023-05-23,2520.0,2548.0,2470.0,2475.0,678044,2412.203414648353,2380.7623056124135,1,0.0
2023-05-24,2467.5,2530.0,2447.7,2483.35,805160,2425.139157439561,2390.5325622207547,1,0.0
2023-05-25,2495.0,2521.5,2483.1,2513.25,440560,2441.159310632368,2402.219937247349,1,0.0
2023-05-26,2533.0,2580.0,2515.7,2544.5,1172258,2459.948526881028,2415.7704194142684,1,0.0
2023-05-29,2566.8,2566.8,2515.6,2519.6,493606,2470.7942492662955,2425.658950898624,1,0.0
2023-05-30,2521.9,2550.75,2513.1,2536.2,431988,2482.6862039451507,2436.1866698606595,1,0.0
2023-05-31,2534.2,2579.5,2525.0,2569.2,660568,2498.4159850460323,2448.854606064406,1,0.0
2023-06-01,2579.0,2600.5,2547.1,2586.75,566908,2514.476715037663,2461.987500724939,1,0.0
2023-06-02,2600.0,2639.5,2587.5,2613.25,766460,2532.435494121724,2476.393453036849,1,0.0
2023-06-05,2634.0,2638.0,2595.75,2604.7,212734,2545.5744951905012,2488.613124176197,1,0.0
2023-06-06,2549.0,2549.0,2452.5,2490.5,1519336,2535.56095061041,2488.7928266356066,1,0.0
2023-06-07,2500.0,2519.5,2485.0,2509.3,458248,2530.786232317608,2490.7458907655487,1,0.0
2023-06-08,2520.0,2520.0,2457.5,2463.1,432000,2518.4796446234977,2488.1129487878775,1,0.0
2023-06-09,2470.0,2473.0,2410.0,2443.4,748724,2504.828800146498,2483.8545727128417,1,0.0
2023-06-12,2460.0,2501.0,2419.5,2491.85,552992,2502.46901830168,2484.6160419782855,1,0.0
2023-06-13,2506.0,2542.5,2492.5,2520.1,720190,2505.674651337738,2487.995466551782,1,0.0
2023-06-14,2464.0,2493.7,2431.0,2482.1,1034786,2501.388351094513,2487.43399354685,1,0.0
2023-06-15,2475.0,2505.0,2453.0,2492.1,744116,2499.6995599864194,2487.8783751138167,1,0.0
2023-06-16,2502.5,2502.5,2465.5,2479.4,500384,2496.0087308979796,2487.0709108172628,1,0.0
2023-06-19,2470.0,2490.0,2455.5,2471.55,425506,2491.5616889165285,2485.592728834666,1,0.0
2023-06-20,2475.0,2487.5,2452.9,2484.5,392924,2490.2777454771594,2485.488659421841,1,0.0
2023-06-21,2499.95,2500.0,2464.0,2468.7,391978,2486.354519026767,2483.8897394769037,1,0.0
2023-06-22,2458.5,2468.5,2428.0,2434.95,426290,2477.008242840082,2479.2288119076748,-1,-2.0
2023-06-23,2429.5,2429.5,2390.7,2402.4,329208,2463.4431077782488,2471.911782202182,-1,0.0
