Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-05-11,732.15,748.45,718.0,742.6,468378,742.6,742.6,-1,
2023-05-12,737.5,750.0,729.35,731.7,153638,740.6181818181817,741.5619047619048,-1,0.0
2023-05-15,736.6,756.2,734.0,739.4,391250,740.3966942148759,741.3560090702948,-1,0.0
2023-05-16,739.5,752.0,734.7,741.2,276336,740.5427498121711,741.3411510636001,-1,0.0
2023-05-17,741.0,752.5,721.0,732.3,251376,739.0440680281399,740.480089057543,-1,0.0
2023-05-18,735.8,746.5,711.4,723.1,440906,736.1451465684781,738.8248424806341,-1,0.0
2023-05-19,717.5,719.35,702.0,707.4,411610,730.9187562833002,735.8320003396213,-1,0.0
2023-05-22,708.8,719.55,700.0,713.7,97564,727.7880733227001,733.724190783467,-1,0.0
2023-05-23,713.7,715.8,703.5,707.7,147354,724.1356963549365,731.2456964231368,-1,0.0
2023-05-24,708.95,723.2,700.35,711.2,132860,721.7837515631297,729.3365824780761,-1,0.0
2023-05-25,724.0,740.0,695.05,700.8,599354,717.968524006197,726.6188127182594,-1,0.0
2023-05-26,705.75,744.5,704.35,739.6,1036236,721.9015196414339,727.8551162689014,-1,0.0
2023-05-29,744.5,759.9,728.0,731.75,1012808,723.6921524339004,728.2260575766251,-1,0.0
2023-05-30,731.4,753.0,731.4,749.35,449342,728.3572156277367,730.2378616169465,-1,0.0
2023-05-31,750.0,752.9,729.5,733.55,453182,729.3013582408754,730.5533033677134,-1,0.0
2023-06-01,734.95,762.5,729.6,745.1,1328720,732.1738385607163,731.9387030469787,1,2.0
2023-06-02,748.85,763.6,742.75,746.45,477010,734.7695042769496,733.3207313282189,1,0.0
2023-06-05,751.4,759.7,743.75,756.95,619062,738.8023216811406,735.5711378683886,1,0.0
2023-06-06,760.0,771.0,757.15,765.1,375114,743.5837177391151,738.3834104523517,1,0.0
2023-06-07,766.75,822.4,766.75,810.8,1289008,755.8048599683668,745.2802285045086,1,0.0
2023-06-08,810.8,816.2,800.8,805.0,419238,764.7494308832092,750.9678257897934,1,0.0
2023-06-09,806.9,812.1,778.5,781.55,309978,767.8040798135348,753.880413809813,1,0.0
2023-06-12,786.9,803.0,782.8,795.3,773040,772.8033380292558,757.8251363041165,1,0.0
2023-06-13,795.3,799.0,781.5,785.2,505978,775.057276569391,760.432266179915,1,0.0
2023-06-14,787.5,794.45,773.25,782.95,164944,776.4923171931381,762.5768122580184,1,0.0
2023-06-15,783.15,789.15,775.0,779.0,97410,776.9482595216584,764.1409253763023,1,0.0
2023-06-16,780.0,794.0,780.0,790.5,124724,779.4122123359023,766.6513134357021,1,0.0
2023-06-19,792.8,797.0,777.5,783.35,67784,780.1281737293746,768.2416645370638,1,0.0
2023-06-20,783.3,791.0,778.35,785.15,366620,781.0412330513064,769.8519822002005,1,0.0
2023-06-21,793.5,805.0,779.0,785.05,234166,781.7700997692507,771.299412466848,1,0.0
2023-06-22,786.7,794.9,771.0,773.4,112242,780.2482634475687,771.4994684223863,1,0.0
2023-06-23,776.9,785.0,760.55,763.4,197120,777.1849428207379,770.728090477397,1,0.0
2023-06-26,766.6,779.95,758.0,764.25,319486,774.8331350351492,770.1111294795496,1,0.0
2023-06-27,772.0,774.4,758.0,761.85,98880,772.4725650287584,769.324355243402,1,0.0
2023-06-28,764.5,779.3,761.0,769.8,167514,771.9866441144386,769.3696547440304,1,0.0
2023-06-30,772.55,792.4,766.2,781.7,248388,773.7527088209042,770.5439733398371,1,0.0
2023-07-03,785.8,795.8,780.15,793.4,130724,777.3249435807397,772.7207377836621,1,0.0
2023-07-04,794.0,800.8,788.8,792.6,131424,780.1022265660597,774.6140008518847,1,0.0
2023-07-05,795.0,797.5,778.85,783.6,127898,780.7381853722306,775.4698102945624,1,0.0
2023-07-06,784.2,793.85,776.5,784.5,227404,781.4221516681887,776.3298283617469,1,0.0
2023-07-07,792.0,823.85,790.0,807.3,856348,786.1272150012452,779.279368517771,1,0.0
2023-07-10,815.25,817.5,785.0,788.8,171248,786.6131759101096,780.1860953256023,1,0.0
