Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,94.21,96.62,94.21,95.6,4707808,95.6,95.6,0,
2025-02-05,96.15,98.47,95.85,96.42,5272527,95.7490909090909,95.67809523809524,1,1.0
2025-02-06,97.1,97.69,95.9,97.39,7349816,96.0474380165289,95.84113378684808,1,0.0
2025-02-07,97.35,97.54,94.81,95.39,6559395,95.92790383170546,95.79816866429111,1,0.0
2025-02-10,95.8,96.37,93.68,94.3,4667772,95.63192131684991,95.65548593435864,-1,-2.0
2025-02-11,94.02,94.49,90.27,90.82,5925094,94.75702653196811,95.19496346441973,-1,0.0
2025-02-12,89.81,90.69,86.25,90.19,8647865,93.92665807161026,94.71830027733213,-1,0.0
2025-02-13,90.59,93.2,90.59,92.57,7728469,93.67999296768112,94.51370025091954,-1,0.0
2025-02-14,92.55,93.4,88.58,89.75,11088301,92.96544879173908,94.06001451273673,-1,0.0
2025-02-17,89.0,90.74,86.6,88.62,9103990,92.17536719324106,93.54191789247609,-1,0.0
2025-02-18,88.85,90.0,86.86,89.51,8114134,91.69075497628813,93.15792571224027,-1,0.0
2025-02-19,88.0,90.9,87.76,89.98,6948254,91.37970861696301,92.85526612059834,-1,0.0
2025-02-20,89.5,94.37,89.15,93.92,9156417,91.8415797775152,92.95666934720802,-1,0.0
2025-02-21,93.44,95.75,92.59,92.99,8791330,92.0503834543306,92.95984369509297,-1,0.0
2025-02-24,91.5,91.5,90.0,90.78,4682847,91.8194046444523,92.75223953365555,-1,0.0
2025-02-25,90.32,91.8,89.06,89.53,5834609,91.40314925455188,92.44535957806931,-1,0.0
2025-02-27,89.54,89.99,87.28,87.98,6591109,90.780758480997,92.0200872373008,-1,0.0
2025-02-28,86.91,87.55,82.8,84.11,8528372,89.5678933026339,91.2667455956531,-1,0.0
2025-03-03,84.5,85.75,80.54,82.0,8862458,88.19191270215501,90.38419839606709,-1,0.0
2025-03-04,81.0,84.88,80.7,82.9,7362054,87.22974675630864,89.67141759644166,-1,0.0
2025-03-05,82.61,86.95,82.61,86.58,8090516,87.11161098243434,89.37699687297102,-1,0.0
2025-03-06,87.01,88.37,86.75,87.45,6158861,87.17313625835537,89.19347336125949,-1,0.0
2025-03-07,86.98,89.4,86.77,87.76,6175552,87.2798387568362,89.05695208875858,-1,0.0
2025-03-10,87.77,88.93,85.05,85.8,5654494,87.01077716468416,88.74676617554348,-1,0.0
