Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-05-11,1278.0,1296.1,1270.0,1277.4,520448,1277.4,1277.4,-1,
2023-05-12,1277.4,1286.4,1250.35,1254.05,200541,1273.1545454545455,1275.1761904761906,-1,0.0
2023-05-15,1254.05,1273.05,1248.65,1254.75,466435,1269.80826446281,1273.2308390022677,-1,0.0
2023-05-16,1260.0,1260.0,1240.1,1245.65,313277,1265.415852742299,1270.6040924306233,-1,0.0
2023-05-17,1245.45,1252.0,1227.0,1235.55,285053,1259.9856976982446,1267.2656074372305,-1,0.0
2023-05-18,1237.05,1244.55,1217.0,1221.2,180190,1252.9337526622,1262.878406728923,-1,0.0
2023-05-19,1229.0,1245.3,1210.8,1233.2,690996,1249.345797632709,1260.051891802359,-1,0.0
2023-05-22,1235.95,1240.25,1223.0,1226.4,502433,1245.173834426762,1256.846949725944,-1,0.0
2023-05-23,1225.0,1244.6,1222.0,1242.25,374799,1244.6422281673506,1255.4567640377588,-1,0.0
2023-05-24,1242.1,1262.0,1235.2,1259.75,506662,1247.3890957732867,1255.8656436532103,-1,0.0
2023-05-25,1270.0,1271.05,1245.15,1260.75,430034,1249.8183510872345,1256.3308204481427,-1,0.0
2023-05-26,1266.0,1275.75,1257.8,1270.5,268601,1253.5786508895553,1257.6802661197482,-1,0.0
2023-05-29,1271.05,1285.0,1268.2,1278.25,195053,1258.064350727818,1259.639288394058,-1,0.0
2023-05-30,1277.0,1287.0,1265.0,1274.7,242783,1261.089014231851,1261.0736418803383,1,2.0
2023-05-31,1268.0,1301.0,1268.0,1298.25,399837,1267.8455570987871,1264.6142474155442,1,0.0
2023-06-01,1298.25,1346.75,1298.25,1334.0,716301,1279.8736376262802,1271.2224143283495,1,0.0
2023-06-02,1330.0,1373.0,1326.1,1367.35,779360,1295.7784307851382,1280.3774224875542,1,0.0
2023-06-05,1369.95,1391.0,1360.0,1383.0,439351,1311.636897915113,1290.1510012982635,1,0.0
2023-06-06,1383.0,1421.0,1371.85,1407.7,680260,1329.1029164760014,1301.3461440317622,1,0.0
2023-06-07,1405.0,1452.0,1404.0,1446.25,1101503,1350.4023862076374,1315.1465112668325,1,0.0
2023-06-08,1473.45,1494.95,1402.7,1414.25,2801595,1362.011043260794,1324.5849387652293,1,0.0
2023-06-09,1425.25,1474.95,1410.8,1469.75,1464086,1381.599944486104,1338.4101826923502,1,0.0
2023-06-12,1476.0,1487.4,1447.1,1478.55,643162,1399.2272273068122,1351.7568319597453,1,0.0
2023-06-13,1478.55,1615.1,1476.05,1598.4,4728989,1435.4404587055737,1375.2466574873888,1,0.0
2023-06-14,1610.0,1674.0,1600.05,1639.8,4588929,1472.5967389409238,1400.4422139171613,1,0.0
2023-06-15,1635.0,1650.0,1610.0,1629.25,1165402,1501.079150042574,1422.2334316393365,1,0.0
2023-06-16,1632.0,1660.35,1625.0,1628.45,709583,1524.2374863984696,1441.8731048165425,1,0.0
2023-06-19,1635.0,1665.0,1579.0,1591.05,1151061,1536.3852161442023,1456.0804281673481,1,0.0
2023-06-20,1599.0,1623.8,1589.85,1612.75,574501,1550.2697222998017,1471.001339770458,1,0.0
2023-06-21,1621.0,1630.0,1586.35,1613.55,588578,1561.7752273362012,1484.5774026494619,1,0.0
2023-06-22,1613.55,1623.55,1571.0,1577.6,525643,1564.652458729619,1493.4366976352273,1,0.0
2023-06-23,1580.45,1589.7,1555.55,1560.85,560598,1563.961102596961,1499.8570121461582,1,0.0
2023-06-26,1547.5,1579.9,1529.1,1569.15,699266,1564.9045384884225,1506.4563443227146,1,0.0
2023-06-27,1568.2,1581.9,1550.0,1565.8,338264,1565.0673496723457,1512.1081210538846,1,0.0
2023-06-28,1573.0,1592.0,1560.4,1582.75,382823,1568.2823770046464,1518.8359190487527,1,0.0
2023-06-30,1588.0,1609.8,1512.45,1594.65,1373498,1573.0764902765288,1526.0563077107763,1,0.0
2023-07-03,1605.9,1613.7,1581.25,1590.2,464828,1576.1898556807964,1532.1652307859406,1,0.0
2023-07-04,1590.2,1595.75,1538.0,1543.45,336244,1570.2371546479244,1533.2399707110892,1,0.0
2023-07-05,1550.0,1555.0,1530.6,1538.4,445126,1564.4485810755743,1533.731402071938,1,0.0
2023-07-06,1539.05,1555.7,1530.45,1536.45,449559,1559.3579299709245,1533.990316160325,1,0.0
2023-07-07,1544.6,1568.2,1525.05,1549.7,1171045,1557.6019427034835,1535.4864765260083,1,0.0
2023-07-10,1557.75,1557.75,1526.9,1532.3,476885,1553.0015894846683,1535.1830025711504,1,0.0
