Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,734.0,735.0,715.05,720.35,262664,720.35,720.35,0,
2025-02-05,724.0,738.0,721.55,732.4,215613,722.540909090909,721.4976190476191,1,1.0
2025-02-06,740.0,750.0,710.0,748.3,840701,727.2243801652892,724.0502267573696,1,0.0
2025-02-07,743.0,808.95,740.05,801.75,2706292,740.7744928625093,731.4502051614297,1,0.0
2025-02-10,787.0,822.95,770.4,777.15,779107,747.3882214329622,735.8025665746269,1,0.0
2025-02-11,766.4,796.2,762.0,778.4,1539205,753.026726626969,739.859464996091,1,0.0
2025-02-12,778.4,794.6,765.15,777.55,714640,757.4855036038837,743.449039758368,1,0.0
2025-02-13,779.0,804.95,777.05,793.25,698516,763.9881393122685,748.1919883528092,1,0.0
2025-02-14,800.0,800.8,725.15,737.5,531517,759.172113982765,747.1737037477797,1,0.0
2025-02-17,737.5,760.0,716.75,734.75,789607,754.7317296222623,745.9904938670387,1,0.0
2025-02-18,736.55,749.65,700.2,709.8,480698,746.5623242363963,742.543780165416,1,0.0
2025-02-19,710.65,731.95,702.15,726.9,447056,742.987356193415,741.0538963401383,1,0.0
2025-02-20,726.0,773.3,726.0,769.05,927069,747.7260187037032,743.7201919267918,1,0.0
2025-02-21,768.6,793.0,765.55,778.4,772496,753.3031062121207,747.0230307909069,1,0.0
2025-02-24,767.3,776.0,752.85,765.75,371887,755.5661778099169,748.8065516679634,1,0.0
2025-02-25,760.0,773.3,751.7,762.35,310868,756.7996000262956,750.0964038900621,1,0.0
2025-02-27,762.0,773.95,745.0,757.4,358408,756.9087636578782,750.791984471961,1,0.0
2025-02-28,747.2,751.3,727.75,736.9,889622,753.2708066291731,749.4689383317742,1,0.0
2025-03-03,738.05,776.2,666.0,697.95,2263847,743.2124781511416,744.562372776367,-1,-2.0
2025-03-04,685.0,726.0,676.05,708.65,1163011,736.9283912145704,741.1421467976654,-1,0.0
2025-03-05,735.0,760.0,712.15,757.85,746106,740.7323200846486,742.7333709121735,-1,0.0
2025-03-06,758.5,791.95,758.5,783.45,867179,748.4991709783488,746.6111451110143,1,2.0
2025-03-07,785.0,798.65,779.05,795.25,696283,756.9993217095581,751.2434170052034,1,0.0
2025-03-10,796.0,808.95,782.85,793.15,511346,763.5721723078202,755.2345201475649,1,0.0
2025-03-11,790.0,821.45,766.6,816.4,1026063,773.1772318882165,761.0598039430349,1,0.0
2025-03-12,822.0,842.95,812.8,820.4,1195019,781.7631897267225,766.7112511865554,1,0.0
2025-03-13,822.0,824.0,797.05,810.1,698978,786.9153370491365,770.843512978312,1,0.0
2025-03-17,825.6,831.95,795.3,808.15,1044591,790.7761848583843,774.3965117422823,1,0.0
2025-03-18,813.5,820.9,805.0,809.25,521456,794.135060338678,777.7158915763506,1,0.0
2025-03-19,816.25,837.2,807.7,809.8,1035900,796.9832311861911,780.7715209500316,1,0.0
2025-03-20,814.4,888.9,808.25,872.1,4741228,810.6408255159745,789.4694713357428,1,0.0
2025-03-21,875.55,892.9,873.8,879.4,1649729,823.142493603979,798.0342835894816,1,0.0
2025-03-24,884.95,900.0,863.25,868.2,858711,831.3347674941646,804.7167327714358,1,0.0
2025-03-25,872.85,873.4,825.5,829.2,926768,830.9466279497709,807.0484725074895,1,0.0
2025-03-26,828.1,848.25,812.2,826.9,628242,830.2108774134489,808.9390941734429,1,0.0
2025-03-27,826.85,875.0,821.95,871.9,1673958,837.7907178837308,814.9353709188293,1,0.0
2025-03-28,875.25,884.4,857.0,869.8,570447,843.6105873594161,820.1605736884646,1,0.0
2025-04-01,861.0,864.4,841.45,848.2,533729,844.4450260213404,822.8309952419442,1,0.0
2025-04-02,850.15,859.0,830.2,849.35,412488,845.3368394720057,825.3566147427114,1,0.0
2025-04-03,844.5,865.0,834.95,858.6,435236,847.7483232043683,828.5226514338817,1,0.0
2025-04-04,854.95,854.95,785.0,808.4,1148652,840.5940826217558,826.6062084401788,1,0.0
2025-04-07,664.3,802.0,664.3,792.7,1136406,831.8860675996183,823.3770457315902,1,0.0
2025-04-08,796.3,813.75,752.4,768.75,1550829,820.4067825815058,818.1744699476292,1,0.0
2025-04-09,768.75,770.0,730.5,751.05,735780,807.7964584757774,811.7816632859502,-1,-2.0
2025-04-11,769.95,773.0,750.6,758.5,648877,798.833466025636,806.7072191634788,-1,0.0
2025-04-15,764.9,788.85,748.0,776.9,767718,794.845563111884,803.8684363860046,-1,0.0
2025-04-16,778.8,799.0,773.75,797.2,437809,795.2736425460869,803.2333472063851,-1,0.0
2025-04-17,792.85,799.9,773.2,779.15,622497,792.342071174071,800.9396950914913,-1,0.0
2025-04-21,779.9,792.0,777.0,786.75,286193,791.3253309606034,799.5882955589684,-1,0.0
2025-04-22,787.05,797.5,774.5,777.6,329025,788.8298162404936,797.4941721724,-1,0.0
2025-04-23,780.0,790.0,760.85,768.9,554954,785.2062132876765,794.7709176797905,-1,0.0
2025-04-24,774.15,796.95,771.2,785.95,792061,785.3414472353717,793.9308302817152,-1,0.0
2025-04-25,789.5,793.0,746.25,756.8,635625,780.1520931925768,790.3945607310757,-1,0.0
2025-04-28,756.8,788.2,756.8,778.6,756049,779.8698944302901,789.271269232878,-1,0.0
2025-04-29,778.0,784.0,764.0,770.45,314294,778.1571863520555,787.4787674011753,-1,0.0
2025-04-30,770.0,784.2,760.4,767.5,640239,776.2195161062273,785.5760276486824,-1,0.0
2025-05-02,774.85,779.35,752.4,764.2,304687,774.0341495414586,783.540215491665,-1,0.0
2025-05-05,760.75,775.0,760.05,767.25,226509,772.8006678066479,781.9887663972207,-1,0.0
2025-05-06,767.6,769.6,750.05,758.5,339816,770.2005463872573,779.7517410260568,-1,0.0
2025-05-07,755.1,767.5,747.3,760.45,315106,768.4277197713923,777.9134799759562,-1,0.0
2025-05-08,766.0,770.85,740.0,748.9,244634,764.8772252675027,775.1502914068175,-1,0.0
2025-05-09,725.0,738.1,715.4,727.0,330068,757.9904570370477,770.5645493680729,-1,0.0
2025-05-12,751.0,765.0,748.7,760.3,445413,758.4103739394026,769.5869732377802,-1,0.0
2025-05-13,760.3,773.0,751.25,767.05,462762,759.9812150413294,769.345356738944,-1,0.0
2025-05-14,767.0,780.0,764.55,773.4,370206,762.420994124724,769.731513239997,-1,0.0
2025-05-15,774.95,797.15,768.65,786.55,414386,766.8080861020468,771.3332738838068,-1,0.0
2025-05-16,789.0,793.95,776.15,781.9,310696,769.5520704471292,772.3396287520156,-1,0.0
2025-05-19,777.0,794.95,776.2,788.75,293775,773.0426030931056,773.9025212518236,-1,0.0
2025-05-20,792.55,794.9,767.0,775.45,222064,773.4803116216318,774.0499001802214,-1,0.0
2025-05-21,779.0,781.55,762.7,773.5,237239,773.4838913267896,773.997528734486,-1,0.0
2025-05-22,771.0,772.95,760.0,766.75,246260,772.2595474491914,773.3072879026302,-1,0.0
2025-05-23,761.15,776.0,758.0,762.05,270728,770.4032660947928,772.2351652452369,-1,0.0
2025-05-26,762.1,780.85,758.35,776.45,449498,771.5026722593759,772.6365780790238,-1,0.0
2025-05-27,776.45,790.5,771.0,783.5,661800,773.684004575853,773.6711896905454,1,2.0
2025-05-28,790.5,819.9,784.05,813.65,1631173,780.950549198425,777.478695434303,1,0.0
2025-05-29,833.0,903.9,822.15,895.0,19181775,801.6868129805296,788.671200631036,1,0.0
2025-05-30,896.0,938.8,891.05,935.55,5722619,826.0255742567969,802.6596577137944,1,0.0
2025-06-02,930.0,946.8,912.65,933.95,2156314,845.6481971191974,815.1634998362902,1,0.0
2025-06-03,934.95,938.55,905.7,920.6,1661360,859.2757976429797,825.205071280453,1,0.0
2025-06-04,920.0,932.9,907.1,911.45,939789,868.762016253347,833.4188740156479,1,0.0
2025-06-05,922.0,973.0,908.1,962.35,4922285,885.7780132981931,845.6980288713005,1,0.0
2025-06-06,965.05,990.0,946.05,966.3,2221827,900.4183745167034,857.1839308835577,1,0.0
2025-06-09,966.95,972.2,952.15,955.25,555950,910.3877609682118,866.523556513695,1,0.0
2025-06-10,959.1,994.0,959.1,965.9,2084305,920.4808953376278,875.9879797028669,1,0.0
2025-06-11,965.0,975.9,952.0,954.8,696693,926.7207325489682,883.493886397832,1,0.0
2025-06-12,957.8,964.0,920.0,924.5,857612,926.3169629946103,887.3992305504194,1,0.0
2025-06-13,906.35,918.0,892.15,905.5,872944,922.5320606319539,889.1231133551413,1,0.0
2025-06-16,909.8,935.55,903.4,914.75,1172674,921.117140517053,891.5637692260802,1,0.0
2025-06-17,918.0,928.0,907.4,913.6,720209,919.7503876957707,893.6624578712155,1,0.0
2025-06-18,914.0,937.25,903.55,913.95,648194,918.695771751085,895.5946047406235,1,0.0
2025-06-19,919.0,919.0,880.3,886.85,470534,912.9056314327058,894.7617852415165,1,0.0
2025-06-20,886.95,919.35,875.05,915.1,892408,913.3046075358502,896.6987580756577,1,0.0
2025-06-23,906.95,910.85,883.15,886.0,794514,908.3401334384229,895.6798287351189,1,0.0
2025-06-24,895.9,921.1,891.9,912.7,1282432,909.1328364496187,897.3007974270123,1,0.0
2025-06-25,922.0,940.65,908.8,936.75,1260399,914.1541389133242,901.0578643387254,1,0.0
2025-06-26,940.0,941.4,925.9,937.75,392574,918.444295474538,904.552353449323,1,0.0
2025-06-27,942.5,944.0,930.7,940.4,692920,922.4362417518946,907.966415025578,1,0.0
2025-06-30,943.3,947.75,910.6,924.5,574665,922.8114705242774,909.5410421659992,1,0.0
2025-07-01,932.0,934.0,910.0,911.65,802473,920.782112247136,909.7418952930468,1,0.0
2025-07-02,919.0,955.0,918.6,937.9,3519217,923.8944554749294,912.4236195508519,1,0.0
2025-07-03,942.0,947.2,916.15,922.5,563000,923.6409181158513,913.3832748317232,1,0.0
2025-07-04,925.0,934.85,915.0,931.25,352487,925.0243875493327,915.0848677048923,1,0.0
