Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-03-31,512.0,526.7,510.65,518.15,1323975,518.15,518.15,-1,
2023-04-03,518.2,527.55,518.0,520.05,458733,518.4954545454544,518.3309523809523,1,2.0
2023-04-05,520.05,526.85,518.0,525.85,391936,519.832644628099,519.047052154195,1,0.0
2023-04-06,522.8,538.5,521.0,536.85,727123,522.9267092411719,520.7425709966526,1,0.0
2023-04-10,537.0,542.65,532.1,537.0,743767,525.4854893791406,522.2908975683999,1,0.0
2023-04-11,538.0,543.45,534.3,538.6,321458,527.8699458556605,523.8441454190286,1,0.0
2023-04-12,541.95,548.95,537.8,546.05,500393,531.1754102455403,525.9589887124545,1,0.0
2023-04-13,547.85,552.45,544.35,547.25,413688,534.0980629281694,527.9867040731731,1,0.0
2023-04-17,542.95,560.9,538.9,557.35,1026133,538.3256878503204,530.7832084471565,1,0.0
2023-04-18,558.0,561.7,545.2,551.05,600579,540.6391991502621,532.7133790712369,1,0.0
2023-04-19,549.95,554.0,542.95,544.85,266589,541.4047993047599,533.8692477311191,1,0.0
2023-04-20,547.4,549.15,542.65,544.1,175258,541.8948357948035,534.8436050900601,1,0.0
2023-04-21,547.55,558.4,538.2,555.35,675335,544.3412292866574,536.796595081483,1,0.0
2023-04-24,555.55,559.15,548.0,550.5,426732,545.4610057799923,538.1016812641989,1,0.0
2023-04-25,550.4,556.9,546.2,552.35,423172,546.7135501836301,539.4586640009418,1,0.0
2023-04-26,550.0,555.4,544.45,552.8,434559,547.8201774229701,540.7292674294235,1,0.0
2023-04-27,551.3,555.9,548.5,553.95,281923,548.9346906187938,541.9883848170974,1,0.0
2023-04-28,555.0,571.65,554.35,562.25,952636,551.3556559608312,543.9180624535644,1,0.0
2023-05-02,565.7,566.55,555.0,556.1,555458,552.2182639679528,545.0782469817964,1,0.0
2023-05-03,556.0,558.25,550.0,551.7,330448,552.1240341555978,545.7088901263871,1,0.0
2023-05-04,552.0,554.35,547.15,552.25,790563,552.1469370363982,546.3318529714932,1,0.0
2023-05-05,552.25,556.6,542.0,544.5,625230,550.7565848479621,546.1573907837319,1,0.0
2023-05-08,549.45,557.55,537.15,555.05,1494378,551.5372057846962,547.004305947186,1,0.0
2023-05-09,549.75,567.8,535.45,557.2,1884013,552.5668047329333,547.9753244284065,1,0.0
2023-05-10,554.5,554.5,501.55,507.25,8397675,544.3273856905818,544.0967221018916,1,0.0
2023-05-11,507.6,519.4,506.5,508.7,3371977,537.849679201385,540.7256057112353,-1,-2.0
2023-05-12,511.8,514.7,500.7,502.5,2155113,531.4224648011332,537.0850718339748,-1,0.0
2023-05-15,502.5,509.45,498.75,504.85,810857,526.5911075645635,534.0150649926438,-1,0.0
2023-05-16,504.5,514.4,504.0,505.75,870226,522.8018152800973,531.3231540409635,-1,0.0
2023-05-17,507.8,509.95,496.7,502.9,893233,519.1833034109886,528.6161869894431,-1,0.0
2023-05-18,503.0,505.55,495.0,495.65,758596,514.904520972627,525.4765501333056,-1,0.0
2023-05-19,496.15,498.75,489.05,494.7,738378,511.2309717048766,522.5454501206099,-1,0.0
2023-05-22,497.0,506.5,491.0,505.4,889558,510.1707950312626,520.9125501091232,-1,0.0
2023-05-23,508.9,513.85,506.25,507.15,944612,509.621559571033,519.6018310511115,-1,0.0
2023-05-24,507.8,520.5,505.9,511.75,1464657,510.0085487399361,518.8540376176722,-1,0.0
2023-05-25,513.0,514.05,504.35,506.1,616554,509.2979035144931,517.6393673683701,-1,0.0
2023-05-26,507.45,512.0,505.2,511.2,598726,509.6437392391307,517.0260942856683,-1,0.0
2023-05-29,512.0,516.9,510.25,514.6,804560,510.5448775592887,516.7950376870332,-1,0.0
2023-05-30,514.6,516.6,509.1,512.8,443308,510.9548998212362,516.4145579073157,-1,0.0
2023-05-31,512.75,517.6,509.0,512.3,754821,511.1994634901023,516.0226952494761,-1,0.0
2023-06-01,513.2,519.8,511.95,514.6,957532,511.8177428555382,515.8872004638117,-1,0.0
2023-06-02,519.0,520.55,512.35,513.65,600008,512.1508805181676,515.6741337529726,-1,0.0
2023-06-05,514.0,519.5,514.0,516.6,887687,512.9598113330462,515.7623114907848,-1,0.0
2023-06-06,516.6,523.0,510.7,511.85,1097158,512.7580274543105,515.3897103964243,-1,0.0
2023-06-07,514.0,523.0,511.7,521.55,938593,514.3565679171631,515.9764046443839,-1,0.0
2023-06-08,523.4,524.4,512.0,513.05,972574,514.1190101140426,515.6976994401568,-1,0.0
2023-06-09,514.2,515.8,505.15,506.5,727436,512.733735547853,514.8217280649038,-1,0.0
2023-06-12,506.7,507.65,501.2,504.95,670917,511.31851090278883,513.881563487294,-1,0.0
2023-06-13,508.25,514.5,506.1,512.6,1001565,511.55150892046356,513.7595098218374,-1,0.0
2023-06-14,514.5,522.9,511.65,518.3,1139950,512.7785072985611,514.1919374578529,-1,0.0
2023-06-15,521.45,526.0,518.85,520.4,1093620,514.1642332442772,514.7831815094859,-1,0.0
2023-06-16,521.5,525.9,516.5,519.3,569689,515.0980090180449,515.2133546990586,-1,0.0
2023-06-19,520.1,522.3,516.0,520.15,454607,516.0165528329458,515.6835113943864,1,2.0
2023-06-20,520.5,522.0,514.55,518.35,662377,516.4408159542284,515.9374626901591,1,0.0
2023-06-21,520.85,535.0,518.0,532.15,2514068,519.2970312352777,517.4815138625249,1,0.0
2023-06-22,536.05,539.25,523.0,524.3,2338366,520.2066619197726,518.1308934946654,1,0.0
2023-06-23,524.25,524.25,501.0,502.8,2035407,517.0418142979958,516.6708083999354,1,0.0
2023-06-26,503.0,509.9,501.15,508.1,1048410,515.4160298801784,515.8545409332748,-1,-2.0
2023-06-27,508.25,515.7,506.0,507.45,1307198,513.967660811055,515.0541084634392,-1,0.0
2023-06-28,510.7,511.7,504.7,505.75,1309200,512.4735406635905,514.1680028954926,-1,0.0
2023-06-30,508.0,509.7,502.3,503.6,1504899,510.86016963384674,513.1615264292552,-1,0.0
2023-07-03,504.2,508.95,503.4,504.25,881312,509.65832060951095,512.3128096264691,-1,0.0
2023-07-04,505.95,506.5,488.1,490.7,2209752,506.2113532259634,510.2544468049006,-1,0.0
2023-07-05,493.5,493.5,485.1,486.35,1716471,502.60019809397005,507.97783282348155,-1,0.0
