Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,266.0,274.75,266.0,273.85,1874407,273.85,273.85,0,
2025-02-01,273.95,289.0,267.64,282.55,4001779,275.4318181818182,274.67857142857144,1,1.0
2025-02-03,280.35,290.9,279.05,286.0,3010930,277.35330578512395,275.75680272108843,1,0.0
2025-02-04,286.65,289.65,281.2,285.65,1365443,278.8617956423741,276.69901198574667,1,0.0
2025-02-05,283.05,290.55,283.0,283.75,1271639,279.7505600710333,277.3705346537708,1,0.0
2025-02-06,284.35,284.75,277.7,278.65,1050234,279.55045823993635,277.4923884962688,1,0.0
2025-02-07,281.0,281.4,273.5,275.6,823885,278.83219310540244,277.3121610204337,1,0.0
2025-02-10,275.0,276.0,262.65,263.45,1474692,276.035430722602,275.9919552089638,1,0.0
2025-02-11,264.0,264.9,250.45,254.95,5622740,272.20171604576524,273.9879594747768,-1,-2.0
2025-02-12,251.05,264.35,246.65,258.0,2844132,269.6195858556261,272.4652966676552,-1,0.0
2025-02-13,258.65,262.5,253.2,258.9,2229574,267.67057024551224,271.173363651688,-1,0.0
2025-02-14,258.6,260.7,246.0,247.6,4848054,264.0213756554191,268.92828139914633,-1,0.0
2025-02-17,249.5,256.3,236.7,255.55,5012749,262.48112553625197,267.65415936113243,-1,0.0
2025-02-18,255.55,259.25,246.05,250.5,1777879,260.30273907511526,266.02042989816744,-1,0.0
2025-02-19,249.85,255.45,247.55,251.55,1266920,258.7113319705488,264.6422937173896,-1,0.0
2025-02-20,251.55,256.85,248.65,255.6,997692,258.14563524863087,263.781122887162,-1,0.0
2025-02-21,254.6,257.45,249.0,250.6,1028619,256.7737015670616,262.5257778502894,-1,0.0
2025-02-24,248.9,254.55,245.6,252.65,1169460,256.02393764577766,261.58522757883327,-1,0.0
2025-02-25,250.0,255.0,247.65,248.55,898864,254.6650398919999,260.3437773332301,-1,0.0
2025-02-27,248.55,248.55,241.6,242.3,1911173,252.41685082072718,258.62532234911293,-1,0.0
2025-02-28,240.0,244.8,236.9,242.15,3051149,250.55015067150404,257.0562440301498,-1,0.0
2025-03-03,242.14,243.43,231.3,240.04,2946240,248.63921418577604,255.4356493606117,-1,0.0
