Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,402.0,412.9,370.2,401.65,15635750,401.65,401.65,0,
2025-02-05,392.05,410.0,389.0,395.5,2348481,400.53181818181815,401.0642857142857,-1,-1.0
2025-02-06,392.1,421.55,365.7,404.4,7037799,401.23512396694207,401.38197278911565,-1,0.0
2025-02-07,405.0,425.5,398.3,402.05,2451596,401.3832832456799,401.4455944282475,-1,0.0
2025-02-10,397.5,407.95,385.35,402.8,1146330,401.6408681101017,401.5745854350811,1,2.0
2025-02-11,397.25,413.5,392.8,406.85,2169020,402.5879829991741,402.07700586983526,1,0.0
2025-02-12,401.0,433.3,396.0,425.6,3489372,406.7719860902333,404.31729102508905,1,0.0
2025-02-13,420.1,464.0,420.1,449.0,3917987,414.44980680109995,408.5727871179377,1,0.0
2025-02-14,449.7,456.6,434.0,439.0,3396560,418.91347829180904,411.47061691622935,1,0.0
2025-02-17,430.0,443.35,405.15,424.7,1437535,419.96557314784377,412.7305581623027,1,0.0
2025-02-18,419.95,433.45,410.45,416.8,850826,419.3900143936903,413.1181240516072,1,0.0
2025-02-19,417.3,429.8,411.6,421.95,655123,419.85546632211026,413.9592550943113,1,0.0
2025-02-20,428.0,435.0,411.7,418.5,574120,419.6090178999084,414.39170699009117,1,0.0
2025-02-21,415.65,420.0,406.2,412.6,469512,418.33465100901594,414.22106822913014,1,0.0
2025-02-24,412.0,412.0,397.55,402.5,1740787,415.4556235528312,413.10477601683203,1,0.0
2025-02-25,402.05,414.15,398.55,404.8,695024,413.51823745231644,412.3138449676099,1,0.0
2025-02-27,404.8,410.0,395.6,407.15,1008519,412.3603760973498,411.8220502087899,1,0.0
2025-02-28,398.5,405.0,391.05,401.0,644242,410.2948531705589,410.7913787603337,-1,-2.0
2025-03-03,380.05,398.0,376.55,391.8,897408,406.9321525940936,408.9826760212543,-1,0.0
2025-03-04,388.0,405.5,383.0,402.55,400581,406.13539757698567,408.3700402097063,-1,0.0
2025-03-05,390.0,419.95,390.0,418.0,568420,408.2925980175337,409.2871792373533,-1,0.0
2025-03-06,414.95,418.0,402.0,414.95,895496,409.5030347416184,409.82649550046256,-1,0.0
2025-03-07,408.75,415.0,403.6,405.85,644999,408.8388466067787,409.4477816432757,-1,0.0
2025-03-10,405.85,423.0,403.1,414.7,649020,409.9045108600916,409.9479929153447,-1,0.0
2025-03-11,413.0,426.0,406.0,420.1,503076,411.75823615825675,410.91485073293086,1,2.0
2025-03-12,416.0,431.0,413.15,428.55,424023,414.8112841294828,412.594388758366,1,0.0
2025-03-13,434.65,434.65,420.1,422.95,308000,416.2910506513949,413.5806374480454,1,0.0
2025-03-17,417.35,423.45,405.7,416.4,333108,416.3108596238685,413.84914816727917,1,0.0
2025-03-18,416.9,422.45,414.15,416.5,193164,416.3452487831651,414.10161024658595,1,0.0
2025-03-19,420.7,434.0,392.6,417.55,273920,416.56429445895327,414.4300283183397,1,0.0
2025-03-20,425.0,449.0,420.5,433.9,908383,419.71624092096175,416.28431133564067,1,0.0
2025-03-21,442.75,457.0,436.3,444.9,591909,424.29510620805956,419.0096150179606,1,0.0
2025-03-24,442.15,451.2,435.4,442.0,338406,427.51417780659415,421.19917549244053,1,0.0
2025-03-25,442.0,463.05,440.15,448.65,568937,431.35705456903156,423.8135397312557,1,0.0
2025-03-26,447.55,450.7,431.0,432.45,187760,431.5557719201167,424.6360597568504,1,0.0
2025-03-27,432.45,445.0,427.05,442.8,186346,433.60017702554995,426.36595882762657,1,0.0
2025-03-28,448.6,458.45,442.0,445.85,318735,435.82741756635903,428.221581796424,1,0.0
2025-04-01,437.25,456.85,435.2,453.3,260203,439.00425073611194,430.61000257771695,1,0.0
2025-04-02,450.0,460.0,433.0,435.45,223197,438.35802332954614,431.0709547131725,1,0.0
2025-04-03,440.0,444.45,419.85,435.95,200337,437.92020090599226,431.5356256928704,1,0.0
2025-04-04,435.0,437.9,426.7,434.1,130455,437.22561892308454,431.7798518173589,1,0.0
2025-04-07,361.1,420.45,361.1,417.3,230337,433.6027791188873,430.40081831094375,1,0.0
2025-04-08,421.0,437.4,421.0,425.75,213789,432.17500109727143,429.957883233711,1,0.0
2025-04-09,427.85,430.6,415.0,422.7,121866,430.4522736250403,429.2666562590719,1,0.0
2025-04-11,434.9,434.9,407.1,415.2,287409,427.679132965942,427.92697471058887,-1,-2.0
2025-04-15,418.9,420.45,409.0,410.4,295918,424.5374724266798,426.2577390238661,-1,0.0
2025-04-16,412.0,413.95,398.7,399.75,234255,420.03065925819254,423.73319245016455,-1,0.0
2025-04-17,401.95,405.1,394.55,402.55,161590,416.85235757488476,421.7157455501489,-1,0.0
2025-04-21,404.65,408.25,397.8,402.75,286586,414.2882925612694,419.9094840691823,-1,0.0
2025-04-22,402.8,407.0,393.0,395.55,303912,410.8813302774022,417.58953320545066,-1,0.0
2025-04-23,396.65,402.0,387.4,398.15,206559,408.5665429542381,415.73814909064583,-1,0.0
2025-04-24,398.15,398.15,387.55,389.45,387625,405.09080787164936,413.2345158439177,-1,0.0
2025-04-25,387.25,393.0,381.4,386.5,121550,401.71066098589495,410.6883714778303,-1,0.0
2025-04-28,384.95,387.3,376.1,378.55,228628,397.49963171573216,407.6275741942274,-1,0.0
2025-04-29,379.0,380.55,370.0,374.55,150163,393.3269714037809,404.47732903287243,-1,0.0
2025-04-30,371.0,374.75,361.0,364.9,284657,388.15843114854795,400.70805960117025,-1,0.0
2025-05-02,363.05,368.45,351.0,353.6,471352,381.87508003063016,396.2215777343921,-1,0.0
2025-05-05,350.55,361.65,344.25,348.7,517960,375.84324729778825,391.69571318825956,-1,0.0
2025-05-06,349.55,356.0,346.0,348.5,753895,370.87174778909946,387.58183574175865,-1,0.0
2025-05-07,342.0,371.7,330.0,359.55,1235223,368.81324819108136,384.9121370996864,-1,0.0
2025-05-08,364.95,369.75,353.7,360.7,398600,367.33811215633926,382.60621928066865,-1,0.0
2025-05-09,359.0,359.8,349.05,355.6,238658,365.2039099460958,380.03419839679543,-1,0.0
2025-05-12,360.0,372.8,360.0,368.05,184051,365.72138086498745,378.89284616852916,-1,0.0
2025-05-13,370.05,378.5,368.15,370.65,158062,366.6174934349897,378.10781320009784,-1,0.0
2025-05-14,375.0,401.05,367.5,385.7,801677,370.08704008317335,378.83087860961234,-1,0.0
2025-05-15,388.8,394.7,378.3,386.2,485223,373.01666915896,379.5326996944112,-1,0.0
2025-05-16,388.7,399.3,382.75,397.75,204664,377.51363840278543,381.2676806758958,-1,0.0
2025-05-19,397.15,406.0,397.1,401.6,226995,381.8929768750063,383.20409204009616,-1,0.0
2025-05-20,405.0,407.0,398.35,400.55,276645,385.2851628977324,384.85608327437274,1,2.0
2025-05-21,400.55,401.6,389.05,391.55,278461,386.42422418905375,385.4935991530039,1,0.0
2025-05-22,391.0,394.5,385.65,389.3,225798,386.9470925183167,385.8561135193845,1,0.0
2025-05-23,386.05,395.0,385.9,389.45,319167,387.40216660589545,386.19838842230024,1,0.0
2025-05-26,389.4,394.6,382.0,383.65,144571,386.7199544957326,385.95568476303356,1,0.0
2025-05-27,384.75,385.5,373.0,375.25,296851,384.6345082237812,384.9360957379827,-1,-2.0
2025-05-28,390.7,390.7,340.1,352.85,1561930,378.8555067285482,381.8802770962701,-1,0.0
2025-05-29,360.0,360.0,345.0,347.05,684686,373.0726873233576,378.56310784900626,-1,0.0
2025-05-30,347.15,360.0,327.0,338.5,2805645,366.78674417365625,374.7475737681485,-1,0.0
2025-06-02,331.5,337.6,328.75,334.05,583531,360.8346088693551,370.87161436165815,-1,0.0
2025-06-03,335.4,339.4,332.5,336.75,903645,356.45558907492693,367.621936803405,-1,0.0
2025-06-04,338.3,348.45,336.85,345.5,828576,354.4636637885766,365.5150856792712,-1,0.0
2025-06-05,345.0,356.7,345.0,354.5,318488,354.4702703724717,364.466029900293,-1,0.0
2025-06-06,356.05,370.45,354.55,367.9,524968,356.9120393956586,364.79307467169366,-1,0.0
2025-06-09,371.55,377.65,367.2,374.95,473762,360.1916685964479,365.7604008934371,-1,0.0
2025-06-10,374.9,379.95,373.55,375.05,327989,362.8931833970937,366.64512461787166,-1,0.0
2025-06-11,377.95,377.95,360.6,364.35,894785,363.1580591430766,366.4265413209315,-1,0.0
2025-06-12,362.55,375.95,362.5,372.3,441973,364.82023020797175,366.98591833798565,-1,0.0
2025-06-13,369.55,377.5,367.15,375.25,333456,366.71655198834054,367.77297373436795,-1,0.0
2025-06-16,371.5,386.55,371.5,384.95,349543,370.0317243540968,369.40888099776146,1,2.0
2025-06-17,382.4,397.25,382.4,395.0,299206,374.57141083517007,371.8461304265461,1,0.0
2025-06-18,395.0,402.3,392.05,398.95,315289,379.00388159241186,374.4274513383036,1,0.0
2025-06-19,402.0,413.35,396.55,407.9,1085110,384.2577213028824,377.61531311560805,1,0.0
2025-06-20,407.0,410.1,400.9,403.3,187176,387.71995379326734,380.06147377126445,1,0.0
2025-06-23,396.0,402.4,385.35,392.55,356388,388.59814401267323,381.2508572216202,1,0.0
2025-06-24,393.0,410.0,389.35,402.25,213348,391.0802996467326,383.2507755814659,1,0.0
2025-06-25,401.0,406.95,397.25,401.85,163365,393.0384269836903,385.0221302879929,1,0.0
2025-06-26,403.0,409.9,396.6,399.95,244658,394.2950766230193,386.4438321653269,1,0.0
2025-06-27,401.8,402.1,385.7,397.7,388357,394.9141536006521,387.5158481495815,1,0.0
2025-06-30,400.5,406.5,396.15,404.8,206731,396.71158021871537,389.16195784962133,1,0.0
2025-07-01,407.6,418.0,398.7,404.2,360997,398.0731110880398,390.5941523401336,1,0.0
2025-07-02,408.0,409.4,391.15,407.35,1240203,399.75981816294166,392.189947355359,1,0.0
2025-07-03,404.0,414.95,402.15,411.75,289279,401.939851224225,394.0528095119915,1,0.0
2025-07-04,411.75,424.5,405.05,416.65,405350,404.61442372891133,396.2049228918018,1,0.0
2025-07-07,413.0,429.55,410.05,425.85,377253,408.475437596382,399.02826356877307,1,0.0
2025-07-08,425.0,433.3,424.45,431.95,345175,412.7435398515852,402.16366703841373,1,0.0
2025-07-09,431.95,438.0,425.15,431.8,148892,416.20835078766055,404.9861749395172,1,0.0
2025-07-10,427.95,442.6,422.4,436.85,448222,419.9613779171768,408.02082494527747,1,0.0
2025-07-11,436.85,437.6,425.2,427.25,96550,421.28658193223555,409.85217495048914,1,0.0
2025-07-14,423.0,440.0,422.65,427.1,229180,422.3435670354654,411.4948249552045,1,0.0
2025-07-15,427.1,434.85,427.1,432.3,115105,424.1538275744717,413.47627019756595,1,0.0
2025-07-16,431.4,434.7,428.3,432.1,102104,425.598586197295,415.24995875017873,1,0.0
2025-07-17,430.05,434.0,427.55,429.95,152731,426.38975234324135,416.6499626787331,1,0.0
2025-07-18,428.5,440.25,428.5,438.0,141035,428.500706462652,418.68329956647284,1,0.0
2025-07-21,438.1,449.15,429.45,444.1,279356,431.3369416512607,421.10393770299925,1,0.0
2025-07-22,442.95,451.0,440.1,450.0,193694,434.7302249873951,423.8559436360469,1,0.0
2025-07-23,450.0,456.0,443.05,449.8,333813,437.4701840805959,426.32680614689957,1,0.0
2025-07-24,447.0,456.0,447.0,453.45,103780,440.3756051568512,428.9099674662425,1,0.0
2025-07-25,451.95,460.0,447.15,458.5,277227,443.67094967378733,431.72806580279087,1,0.0
2025-07-28,456.5,456.5,435.4,449.35,151173,444.7035042785532,433.40634525014417,1,0.0
2025-07-29,449.35,451.85,442.85,445.25,51270,444.80286713699803,434.5343123691781,1,0.0
2025-07-30,443.0,494.5,443.0,455.15,1141848,446.68416402118015,436.49771119116116,1,0.0
2025-07-31,455.0,466.4,446.6,456.85,292061,448.532497835511,438.43602441105054,1,0.0
2025-08-01,459.0,459.0,450.1,451.85,69960,449.1356800472362,439.7135458957124,1,0.0
2025-08-04,451.85,458.9,451.05,455.4,62760,450.274647311375,441.2074939056445,1,0.0
2025-08-05,454.05,474.5,449.6,459.35,516507,451.9247114365795,442.93535162891646,1,0.0
2025-08-06,467.8,471.35,444.0,446.9,179013,451.0111275390196,443.3129371880673,1,0.0
