Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-02-06,1210.95,1212.7,1195.0,1199.05,107954,1199.05,1199.05,-1,
2023-02-07,1205.05,1207.85,1165.0,1167.85,219615,1193.3772727272726,1196.0785714285714,-1,0.0
2023-02-08,1167.85,1182.6,1157.0,1159.9,290645,1187.2904958677684,1192.632993197279,-1,0.0
2023-02-09,1175.0,1176.0,1120.0,1124.55,434915,1175.8831329827194,1186.1488986070617,-1,0.0
2023-02-10,1129.15,1160.0,1125.0,1136.7,396062,1168.7589269858613,1181.4394796921033,-1,0.0
2023-02-13,1142.4,1146.9,1124.45,1134.85,122979,1162.5936675338864,1177.0023863880933,-1,0.0
2023-02-14,1140.1,1144.0,1110.0,1119.35,150983,1154.7311825277252,1171.5116829225608,-1,0.0
2023-02-15,1120.0,1132.35,1109.7,1126.4,119793,1149.5800584317751,1167.2153321680312,-1,0.0
2023-02-16,1132.05,1139.7,1128.1,1132.3,106658,1146.4382296259978,1163.8900624377427,-1,0.0
2023-02-17,1106.0,1120.0,1096.3,1111.25,354192,1140.0403696939982,1158.8767231579577,-1,0.0
2023-02-20,1121.25,1121.25,1085.0,1090.25,317277,1130.9875752041803,1152.3408447619618,-1,0.0
2023-02-21,1094.0,1111.35,1069.55,1075.2,408000,1120.844379712511,1144.994097641775,-1,0.0
2023-02-22,1073.95,1089.0,1069.05,1076.6,202023,1112.799947037509,1138.480374056844,-1,0.0
2023-02-23,1085.0,1085.85,1042.5,1071.2,243116,1105.2363203034163,1132.0727193847636,-1,0.0
2023-02-24,1076.6,1081.0,1042.4,1059.1,285211,1096.8478984300677,1125.1229365862146,-1,0.0
2023-02-27,1064.3,1068.95,1029.55,1036.45,282607,1085.8664623518735,1116.677895006575,-1,0.0
2023-02-28,1010.0,1035.8,1010.0,1019.55,405670,1073.808923742442,1107.4276192916632,-1,0.0
2023-03-01,1024.65,1026.55,999.0,1002.85,553777,1060.9073012438162,1097.4678460257905,-1,0.0
2023-03-02,1008.05,1095.05,1006.5,1060.7,1557519,1060.8696101085768,1093.9661464042867,-1,0.0
2023-03-03,1066.05,1149.0,1066.05,1121.7,1901929,1071.9296809979264,1096.6074657943545,-1,0.0
2023-03-06,1130.0,1158.0,1111.0,1122.1,830381,1081.0515571801216,1099.0353261948921,-1,0.0
2023-03-08,1122.1,1143.0,1114.35,1137.2,343984,1091.260364965554,1102.6700570334738,-1,0.0
2023-03-09,1141.7,1144.75,1111.0,1120.25,278567,1096.5312076990895,1104.344337316,-1,0.0
2023-03-10,1108.55,1166.0,1102.2,1142.95,863567,1104.9709881174367,1108.0210670954286,-1,0.0
2023-03-13,1142.95,1144.85,1073.6,1088.05,461467,1101.8944448233572,1106.1190607053877,-1,0.0
2023-03-14,1087.9,1096.95,1061.0,1070.8,295199,1096.2409094009286,1102.7553406382078,-1,0.0
2023-03-15,1086.65,1130.9,1057.65,1072.25,757224,1091.8789258734869,1099.8500701012356,-1,0.0
2023-03-16,1077.65,1090.0,1040.75,1045.25,426301,1083.4009393510346,1094.6500634249273,-1,0.0
2023-03-17,1060.0,1105.0,1050.25,1097.15,504174,1085.9007685599372,1094.8881526225532,-1,0.0
2023-03-20,1010.0,1129.5,1010.0,1079.3,261934,1084.7006288217667,1093.4035666585005,-1,0.0
2023-03-21,1089.95,1102.85,1072.0,1091.8,197883,1085.9914235814454,1093.2508460243575,-1,0.0
2023-03-22,1103.0,1141.0,1102.0,1137.2,452607,1095.3020738393643,1097.4364797363235,-1,0.0
2023-03-23,1135.05,1195.65,1118.05,1181.9,1037918,1111.0471513231162,1105.4806245233403,1,2.0
2023-03-24,1180.5,1205.0,1115.1,1131.95,1445850,1114.8476692643676,1108.0015174258792,1,0.0
2023-03-27,1135.0,1140.35,1114.25,1125.4,393607,1116.7662748526643,1109.6585157662716,1,0.0
2023-03-28,1125.0,1149.85,1122.25,1138.8,327666,1120.7724066976343,1112.4338952171029,1,0.0
2023-03-29,1139.95,1176.7,1133.1,1163.25,468477,1128.4956054798827,1117.2735242440453,1,0.0
2023-03-31,1158.0,1181.0,1155.2,1162.85,406105,1134.741859028995,1121.6141409827076,1,0.0
2023-04-03,1166.85,1174.95,1159.95,1168.2,167754,1140.8251573873595,1126.0508894605448,1,0.0
2023-04-05,1177.0,1199.9,1164.0,1168.35,357140,1145.8296742260213,1130.079376178588,1,0.0
2023-04-06,1194.05,1214.0,1173.1,1185.6,598963,1153.0606425485628,1135.36705463777,1,0.0
2023-04-10,1196.0,1225.9,1196.0,1220.8,439565,1165.376889357915,1143.503525624649,1,0.0
2023-04-11,1224.0,1238.0,1215.0,1228.75,440388,1176.8992731110213,1151.6222374699205,1,0.0
2023-04-12,1230.6,1255.0,1227.8,1250.95,349683,1190.36304163629,1161.0820243775472,1,0.0
2023-04-13,1261.0,1268.0,1251.2,1263.7,275717,1203.6970340660555,1170.855164913019,1,0.0
2023-04-17,1263.7,1290.0,1260.15,1276.8,510281,1216.9884824176818,1180.9451492070173,1,0.0
2023-04-18,1326.0,1358.85,1290.0,1297.45,2716848,1231.6178492508304,1192.0408492825393,1,0.0
2023-04-19,1305.0,1305.0,1258.0,1261.8,608551,1237.1055130234067,1198.6845779222974,1,0.0
2023-04-20,1265.45,1276.85,1230.55,1238.4,410307,1237.3408742918782,1202.4669990725547,1,0.0
2023-04-21,1240.05,1247.0,1208.0,1222.8,426800,1234.697078966082,1204.403475351359,1,0.0
2023-04-24,1232.0,1244.95,1222.0,1234.0,346164,1234.5703373358851,1207.2221919845629,1,0.0
2023-04-25,1237.7,1256.75,1220.0,1224.7,304535,1232.7757305475423,1208.8867451288902,1,0.0
2023-04-26,1226.0,1235.6,1215.0,1230.1,152493,1232.2892340843528,1210.907055116615,1,0.0
