Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-03-31,2756.05,2775.0,2747.5,2761.65,1967803,2761.65,2761.65,-1,
2023-04-03,2746.95,2781.65,2708.65,2777.0,1035295,2764.440909090909,2763.111904761905,1,2.0
2023-04-05,2760.0,2811.55,2752.25,2808.5,668643,2772.4516528925615,2767.434580498866,1,0.0
2023-04-06,2807.45,2825.0,2786.8,2809.85,627554,2779.251352366641,2771.474144260879,1,0.0
2023-04-10,2810.0,2810.0,2755.1,2776.35,1215461,2778.7238337545245,2771.9385114741285,1,0.0
2023-04-11,2790.0,2790.0,2750.05,2753.8,1246379,2774.192227617338,2770.2110341908783,1,0.0
2023-04-12,2755.55,2806.2,2751.0,2786.75,2235399,2776.47545895964,2771.786173791747,1,0.0
2023-04-13,2786.7,2813.3,2782.0,2809.75,602597,2782.5253755124327,2775.401776287771,1,0.0
2023-04-17,2825.0,2845.6,2806.0,2843.1,754555,2793.538943601081,2781.8492261651263,1,0.0
2023-04-18,2848.0,2858.45,2830.1,2854.6,717724,2804.64095385543,2788.7778712922573,1,0.0
2023-04-19,2836.35,2852.7,2800.65,2809.7,799624,2805.56078042717,2790.770454978709,1,0.0
2023-04-20,2820.0,2851.0,2813.15,2843.85,761101,2812.5224567131386,2795.8256497426414,1,0.0
2023-04-21,2847.1,2887.0,2847.1,2882.1,894930,2825.1729191289314,2804.0422545290567,1,0.0
2023-04-24,2882.1,2898.0,2852.0,2891.1,782967,2837.1596611054892,2812.3334683834323,1,0.0
2023-04-25,2891.05,2901.75,2864.15,2898.0,636120,2848.221540904491,2820.4921856802484,1,0.0
2023-04-26,2896.95,2916.45,2888.05,2910.0,569221,2859.4539880127654,2829.0167394249866,1,0.0
2023-04-27,2915.5,2920.0,2893.85,2899.95,599461,2866.8168992831716,2835.7722880511783,1,0.0
2023-04-28,2919.95,2919.95,2846.6,2902.35,1080665,2873.277463049868,2842.1130225224947,1,0.0
2023-05-02,2910.95,2933.7,2893.0,2899.55,663800,2878.0542879498917,2847.5832108536856,1,0.0
2023-05-03,2918.0,2962.4,2897.0,2929.7,1237193,2887.4444174135474,2855.403857439049,1,0.0
2023-05-04,2948.0,2986.15,2922.15,2982.85,1008540,2904.7908869747207,2867.5415853019967,1,0.0
2023-05-05,2971.0,3025.0,2951.05,3012.95,1326561,2924.456180252044,2881.3900057494257,1,0.0
2023-05-08,3015.0,3035.7,2993.0,3019.45,941879,2941.727783842581,2894.5385766304325,1,0.0
2023-05-09,3016.05,3074.8,3010.75,3034.8,1025850,2958.650004962112,2907.8968074275344,1,0.0
2023-05-10,3042.95,3057.0,3018.9,3041.4,751851,2973.695458605364,2920.6113971963405,1,0.0
2023-05-11,3052.05,3156.15,3031.5,3139.75,3229605,3003.8871934043887,2941.481740320499,1,0.0
2023-05-12,3139.0,3179.75,3086.0,3131.1,1998170,3027.016794603591,2959.540622194737,1,0.0
2023-05-15,3134.2,3168.0,3121.05,3132.0,810281,3046.1046501302108,2975.965324842857,1,0.0
2023-05-16,3132.0,3165.7,3122.35,3138.1,822404,3062.831077379263,2991.406722476871,1,0.0
2023-05-17,3136.0,3147.95,3075.55,3092.45,835371,3068.216336037579,3001.029891764788,1,0.0
2023-05-18,3105.65,3125.0,3093.25,3109.05,498067,3075.640638576201,3011.317521120522,1,0.0
2023-05-19,3124.0,3127.95,3068.05,3084.45,633262,3077.2423406532553,3018.2825191090437,1,0.0
2023-05-22,3070.0,3105.6,3046.0,3084.9,659425,3078.6346423526634,3024.627041098659,1,0.0
2023-05-23,3087.0,3127.95,3085.0,3120.6,581204,3086.264707379452,3033.7673228987865,1,0.0
2023-05-24,3115.0,3133.15,3098.0,3101.5,439465,3089.034760583188,3040.2180540512827,1,0.0
2023-05-25,3101.5,3129.0,3086.0,3123.55,500313,3095.310258658972,3048.1544298559224,1,0.0
2023-05-26,3123.0,3136.95,3111.75,3128.4,568249,3101.3265752664315,3055.7968651077394,1,0.0
2023-05-29,3147.2,3155.0,3116.05,3137.4,535712,3107.885379763444,3063.568592240336,1,0.0
2023-05-30,3146.9,3155.0,3127.55,3144.4,506026,3114.524401624636,3071.26682155078,1,0.0
