Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-05-06,328.0,333.0,299.1,302.3,15001040,302.3,302.3,0,
2025-05-07,289.9,329.75,288.15,309.95,9677723,303.6909090909091,303.02857142857147,1,1.0
2025-05-08,310.0,324.0,301.75,303.9,3680805,303.7289256198347,303.11156462585035,1,0.0
2025-05-09,297.85,309.0,295.65,300.2,1481489,303.08730277986473,302.83427275672176,1,0.0
2025-05-12,311.15,317.75,307.0,309.55,2114486,304.2623386380711,303.47386582751017,1,0.0
2025-05-13,309.5,310.45,300.0,302.65,1245145,303.9691861584218,303.39540241536633,1,0.0
2025-05-14,305.0,306.9,298.2,304.05,1200643,303.9838795841633,303.4577450424743,1,0.0
2025-05-15,302.1,315.0,302.1,303.85,1669047,303.95953784158814,303.49510265747676,1,0.0
2025-05-16,304.2,320.0,303.4,315.1,2641516,305.98507641584484,304.6003309758123,1,0.0
2025-05-19,317.0,329.25,309.0,313.9,2791081,307.4241534311458,305.48601374002067,1,0.0
2025-05-20,317.95,321.5,313.35,320.9,1804768,309.87430735275564,306.95401243144727,1,0.0
2025-05-21,319.0,343.0,312.0,314.0,6427620,310.6244332886182,307.62505886654753,1,0.0
2025-05-22,316.0,321.55,310.35,313.15,1143855,311.08362723614215,308.15124373640015,1,0.0
2025-05-23,315.0,321.0,312.15,318.85,969352,312.49569501138905,309.17017290436206,1,0.0
2025-05-26,318.8,326.05,316.0,319.4,1456769,313.7510231911365,310.14444215156567,1,0.0
2025-05-27,317.0,323.5,314.0,321.7,1117126,315.1962917018389,311.2449714704642,1,0.0
2025-05-28,320.05,322.65,313.3,315.45,837145,315.24242048332275,311.645450378039,1,0.0
2025-05-29,315.45,318.3,312.0,313.75,519933,314.9710713045368,311.84588367536867,1,0.0
2025-05-30,314.7,316.4,310.6,313.0,500622,314.61269470371195,311.95579951580976,1,0.0
2025-06-02,313.0,319.9,301.0,318.1,948805,315.24675021212795,312.540961466685,1,0.0
2025-06-03,315.05,320.1,314.05,314.6,367988,315.1291592644683,312.7370603746198,1,0.0
2025-06-04,315.0,316.15,306.0,307.2,786276,313.68749394365585,312.20972129132264,1,0.0
2025-06-05,309.45,312.0,306.15,308.65,674193,312.7715859539002,311.87070021595855,1,0.0
2025-06-06,309.55,311.95,307.2,309.0,497230,312.08584305319107,311.5973001953911,1,0.0
2025-06-09,311.8,315.8,310.6,313.0,573621,312.2520534071563,311.7308906529729,1,0.0
2025-06-10,314.45,326.25,314.1,319.55,1159695,313.57895278767336,312.47556773364215,1,0.0
2025-06-11,320.15,321.95,310.1,311.9,507550,313.27368864446,312.42075175900953,1,0.0
2025-06-12,314.7,315.2,310.55,313.8,274552,313.3693816181945,312.55210873434197,1,0.0
2025-06-13,311.0,316.95,306.25,314.0,804276,313.4840395057955,312.69000314059514,1,0.0
2025-06-16,314.0,321.0,312.2,319.6,655597,314.5960323229236,313.34809807958607,1,0.0
2025-06-17,320.0,323.8,318.35,320.95,970236,315.7512991733011,314.07208873867313,1,0.0
2025-06-18,321.45,331.15,318.2,323.7,1629711,317.1965175054282,314.9890326683233,1,0.0
2025-06-19,323.7,324.75,315.5,319.2,586070,317.5607870498958,315.390077176102,1,0.0
2025-06-20,318.1,321.5,314.15,320.65,292109,318.1224621317329,315.89102220694946,1,0.0
2025-06-23,316.0,320.65,314.4,317.75,271172,318.0547417441451,316.06806771104954,1,0.0
2025-06-24,319.0,322.1,315.75,320.05,396873,318.4175159724823,316.44729935761626,1,0.0
