Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,1401.55,1420.25,1351.55,1368.35,354217,1368.35,1368.35,0,
2025-02-05,1374.0,1384.25,1360.0,1368.75,84644,1368.4227272727271,1368.3880952380953,1,1.0
2025-02-06,1365.0,1381.9,1352.35,1356.75,160062,1366.3004132231404,1367.2797052154197,-1,-2.0
2025-02-07,1356.0,1360.5,1330.0,1334.5,86962,1360.518519909842,1364.157828528237,-1,0.0
2025-02-10,1332.05,1351.95,1322.55,1341.15,160276,1356.996970835325,1361.966606763643,-1,0.0
2025-02-11,1348.4,1362.9,1326.05,1343.4,324175,1354.5247943198115,1360.1983585004389,-1,0.0
2025-02-12,1336.0,1378.95,1335.65,1353.6,247157,1354.3566498980274,1359.569943405159,-1,0.0
2025-02-13,1350.25,1358.4,1317.6,1333.7,216551,1350.6008953711132,1357.1061392713343,-1,0.0
2025-02-14,1334.0,1344.0,1303.45,1320.05,127682,1345.04618712182,1353.5769831502548,-1,0.0
2025-02-17,1309.6,1328.35,1280.6,1296.3,198184,1336.1832440087617,1348.12203237404,-1,0.0
2025-02-18,1294.9,1295.6,1264.5,1284.75,499929,1326.8317450980776,1342.0866007193695,-1,0.0
2025-02-19,1284.0,1310.1,1251.25,1256.35,197385,1314.0168823529725,1333.9212101746677,-1,0.0
2025-02-20,1254.4,1269.0,1245.5,1264.15,129345,1304.9501764706138,1327.2763330151756,-1,0.0
2025-02-21,1265.0,1323.8,1263.05,1298.1,595310,1303.704689839593,1324.4976346327778,-1,0.0
2025-02-24,1277.45,1351.7,1277.45,1336.3,533086,1309.6311098687577,1325.621669429656,-1,0.0
2025-02-25,1336.0,1377.15,1330.55,1346.05,1046583,1316.2527262562562,1327.56722472207,-1,0.0
2025-02-27,1330.45,1343.85,1247.5,1282.25,351668,1310.0704123914825,1323.2512985580634,-1,0.0
2025-02-28,1264.4,1267.0,1213.8,1221.1,153312,1293.8939737748492,1313.5226034572954,-1,0.0
2025-03-03,1224.0,1260.0,1177.0,1237.8,179183,1283.6950694521493,1306.3109269375532,-1,0.0
2025-03-04,1222.0,1232.45,1205.0,1211.95,85795,1270.6505113699404,1297.3241719911196,-1,0.0
2025-03-05,1202.1,1242.0,1202.1,1237.1,90411,1264.5504183935875,1291.5885365633937,-1,0.0
2025-03-06,1256.0,1259.45,1233.15,1246.65,61765,1261.2957968674807,1287.3086759383086,-1,0.0
2025-03-07,1245.0,1254.4,1228.0,1233.1,61540,1256.1692883461205,1282.145944896565,-1,0.0
2025-03-10,1229.0,1242.25,1210.75,1216.2,72358,1248.9021450104624,1275.8653787159396,-1,0.0
2025-03-11,1215.0,1215.0,1196.1,1197.4,63128,1239.5381186449238,1268.3924855048976,-1,0.0
2025-03-12,1197.8,1231.4,1197.8,1229.1,164096,1237.6402788913013,1264.6503440282409,-1,0.0
2025-03-13,1230.0,1240.0,1214.95,1236.45,109731,1237.4238645474281,1261.9645969779322,-1,0.0
2025-03-17,1230.0,1239.75,1202.0,1205.9,125011,1231.6922528115322,1256.6251115514624,-1,0.0
2025-03-18,1215.0,1238.85,1204.8,1235.9,89849,1232.4572977548899,1254.6512914037041,-1,0.0
2025-03-19,1240.0,1275.0,1227.5,1269.15,127773,1239.1286981630917,1256.0321207938275,-1,0.0
2025-03-20,1271.15,1294.0,1261.35,1269.3,98728,1244.6143894061659,1257.2957283372725,-1,0.0
2025-03-21,1271.25,1280.0,1237.0,1243.4,130336,1244.3935913323173,1255.9723256384848,-1,0.0
2025-03-24,1256.8,1256.8,1231.55,1236.45,114547,1242.9493019991687,1254.1130565300575,-1,0.0
2025-03-25,1246.9,1248.95,1224.8,1229.9,104508,1240.5767016356835,1251.8070511462427,-1,0.0
2025-03-26,1233.95,1241.3,1210.1,1213.1,111424,1235.5809377019227,1248.120665322791,-1,0.0
2025-03-27,1215.9,1220.95,1200.0,1202.05,149782,1229.4844035743004,1243.7329829110965,-1,0.0
2025-03-28,1204.2,1224.4,1204.2,1219.9,405048,1227.7417847426093,1241.4631750148017,-1,0.0
2025-04-01,1205.0,1240.25,1203.0,1231.5,84728,1228.4250966075895,1240.5143012038682,-1,0.0
2025-04-02,1233.1,1253.0,1216.35,1242.8,111723,1231.0387154062096,1240.7319868034997,-1,0.0
2025-04-03,1228.0,1235.55,1216.55,1225.4,74700,1230.0134944232623,1239.2717975841188,-1,0.0
2025-04-04,1225.4,1231.3,1187.85,1210.1,123893,1226.3928590735782,1236.493531147536,-1,0.0
2025-04-07,1150.0,1189.7,1140.3,1180.9,105831,1218.1214301511093,1231.1989091334851,-1,0.0
2025-04-08,1199.95,1232.8,1190.05,1211.85,172896,1216.9811701236347,1229.3561558826768,-1,0.0
2025-04-09,1211.1,1236.9,1201.75,1227.75,67940,1218.9391391920647,1229.2031886557552,-1,0.0
2025-04-11,1245.0,1249.0,1232.1,1241.85,118164,1223.1047502480528,1230.4076468790165,-1,0.0
2025-04-15,1255.0,1255.9,1227.5,1229.8,124053,1224.3220683847703,1230.3497757476816,-1,0.0
2025-04-16,1232.4,1243.4,1228.5,1234.3,69240,1226.1362377693574,1230.7259875812356,-1,0.0
2025-04-17,1234.0,1244.0,1221.0,1224.5,142466,1225.8387399931105,1230.1330363830227,-1,0.0
2025-04-21,1225.0,1232.5,1200.1,1203.2,327255,1221.7226054489086,1227.5679852989254,-1,0.0
2025-04-22,1209.2,1233.4,1206.1,1227.0,244250,1222.682131730925,1227.5138914609324,-1,0.0
2025-04-23,1234.8,1235.0,1216.1,1231.8,123622,1224.3399259616658,1227.922092274177,-1,0.0
2025-04-24,1232.5,1237.6,1217.9,1224.8,123479,1224.4235757868173,1227.6247501528267,-1,0.0
2025-04-25,1225.0,1232.3,1207.0,1210.8,90065,1221.9465620073959,1226.0223929954145,-1,0.0
2025-04-28,1212.9,1226.1,1204.5,1219.5,102209,1221.5017325515057,1225.4012127101369,-1,0.0
2025-04-29,1226.0,1229.0,1210.0,1211.7,74759,1219.7195993603227,1224.0963353091715,-1,0.0
2025-04-30,1214.8,1215.0,1199.6,1208.4,146934,1217.6614903857185,1222.6014462321077,-1,0.0
2025-05-02,1210.9,1218.8,1190.1,1197.5,225981,1213.9957648610423,1220.2108323052403,-1,0.0
2025-05-05,1200.9,1209.6,1200.9,1206.2,39893,1212.5783530681254,1218.8764673237888,-1,0.0
2025-05-06,1210.0,1220.0,1202.5,1207.0,84133,1211.5641070557388,1217.7453751977137,-1,0.0
2025-05-07,1198.5,1215.0,1194.7,1212.7,68136,1211.7706330456044,1217.264863274122,-1,0.0
2025-05-08,1211.0,1230.1,1200.0,1203.1,175372,1210.19415431004,1215.9158286765867,-1,0.0
2025-05-09,1190.0,1200.0,1185.0,1195.8,51791,1207.577035344578,1214.0000354692927,-1,0.0
2025-05-12,1226.0,1227.0,1202.8,1214.9,117413,1208.9084834637456,1214.0857463769792,-1,0.0
2025-05-13,1219.0,1234.7,1200.0,1202.8,256341,1207.797850106701,1213.0109133886954,-1,0.0
2025-05-14,1210.0,1218.0,1202.0,1210.4,233326,1208.2709682691188,1212.7622549707244,-1,0.0
2025-05-15,1212.0,1239.0,1206.5,1236.0,204930,1213.3126104020062,1214.9753735449412,-1,0.0
2025-05-16,1240.0,1278.9,1240.0,1248.5,166535,1219.7103176016412,1218.1681951120897,1,2.0
2025-05-19,1258.5,1259.0,1240.3,1244.8,114834,1224.2720780377065,1220.704557482367,1,0.0
2025-05-20,1244.8,1253.0,1211.6,1215.9,112488,1222.7498820308506,1220.2469805792844,1,0.0
2025-05-21,1219.0,1263.7,1212.8,1258.6,251868,1229.2680852979686,1223.8996490955428,1,0.0
2025-05-22,1252.5,1264.9,1242.5,1261.0,438276,1235.0375243347016,1227.4330158483483,1,0.0
2025-05-23,1262.0,1278.0,1257.5,1275.7,141231,1242.4307017283923,1232.029871481839,1,0.0
2025-05-26,1275.7,1300.7,1273.3,1285.1,161428,1250.1887559595937,1237.0841694359497,1,0.0
2025-05-27,1290.0,1290.0,1266.6,1278.7,73024,1255.3726185123946,1241.0475818706211,1,0.0
2025-05-28,1279.9,1281.9,1260.1,1276.8,101887,1259.2685060555957,1244.452574073419,1,0.0
2025-05-29,1260.0,1294.2,1246.6,1259.4,277303,1259.2924140454872,1245.8761384473792,1,0.0
2025-05-30,1259.4,1267.0,1251.1,1263.8,286925,1260.1119751281258,1247.5831728809621,1,0.0
2025-06-02,1263.8,1272.9,1251.3,1261.1,75922,1260.291616013921,1248.870489749442,1,0.0
2025-06-03,1260.2,1263.3,1226.0,1228.2,133364,1254.4567767386625,1246.9018716780665,1,0.0
2025-06-04,1233.9,1237.5,1220.3,1222.6,79568,1248.664635513451,1244.587407708727,1,0.0
2025-06-05,1222.6,1231.1,1200.0,1210.2,200790,1241.6710654200963,1241.312416498372,1,0.0
2025-06-06,1210.5,1222.1,1208.9,1218.9,77202,1237.5308717073515,1239.177900641384,-1,-2.0
2025-06-09,1228.9,1230.6,1217.5,1218.8,136643,1234.1252586696512,1237.2371481993475,-1,0.0
2025-06-10,1221.9,1224.0,1216.5,1220.1,70957,1231.5752116388055,1235.6050388470287,-1,0.0
2025-06-11,1226.0,1226.0,1213.3,1220.2,102373,1229.5069913408408,1234.1378922901688,-1,0.0
2025-06-12,1220.2,1231.9,1210.8,1214.1,98032,1226.7057201879607,1232.229521595867,-1,0.0
2025-06-13,1206.0,1220.1,1205.0,1214.1,58602,1224.4137710628768,1230.5029004914986,-1,0.0
2025-06-16,1215.9,1219.9,1203.3,1216.8,52912,1223.0294490514445,1229.1978623494513,-1,0.0
2025-06-17,1217.0,1226.6,1212.3,1218.4,58384,1222.187731042091,1228.1694945066463,-1,0.0
2025-06-18,1218.4,1222.1,1207.1,1210.4,40915,1220.044507216256,1226.4771616964895,-1,0.0
2025-06-19,1213.0,1215.8,1201.0,1203.4,34659,1217.0182331769367,1224.2793367730144,-1,0.0
2025-06-20,1206.0,1209.8,1196.1,1199.5,67016,1213.8330998720392,1221.919399937489,-1,0.0
2025-06-23,1195.0,1212.9,1193.5,1197.1,65106,1210.7907180771228,1219.55564756249,-1,0.0
2025-06-24,1206.2,1209.0,1199.2,1201.7,63380,1209.1378602449186,1217.8551096993958,-1,0.0
2025-06-25,1207.8,1220.0,1202.6,1215.0,62381,1210.2037038367514,1217.5831944899296,-1,0.0
2025-06-26,1218.8,1224.9,1205.2,1223.1,108979,1212.548484957342,1218.1086045385077,-1,0.0
2025-06-27,1226.5,1234.8,1219.5,1231.2,87493,1215.9396695105524,1219.355404106269,-1,0.0
2025-06-30,1236.0,1243.5,1218.0,1221.2,139106,1216.8960932359064,1219.531079905672,-1,0.0
2025-07-01,1221.9,1235.0,1220.0,1232.0,62902,1219.6422581021052,1220.7185961051316,-1,0.0
2025-07-02,1235.0,1236.9,1223.2,1229.4,60087,1221.4163929926315,1221.5453964760713,-1,0.0
2025-07-03,1234.0,1245.0,1227.0,1231.1,104015,1223.1770488121529,1222.4553587164455,1,2.0
