Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-02-06,74.9,76.8,74.25,74.65,18279464,74.65,74.65,-1,
2023-02-07,75.2,76.3,74.45,75.1,10950829,74.73181818181818,74.69285714285715,1,2.0
2023-02-08,75.15,76.35,74.05,76.1,10258753,74.98057851239669,74.82687074829931,1,0.0
2023-02-09,76.2,76.6,74.8,76.35,10229353,75.22956423741546,74.97193067703272,1,0.0
2023-02-10,75.6,76.65,74.9,75.4,9331734,75.26055255788538,75.01269918398198,1,0.0
2023-02-13,75.9,76.5,70.55,71.55,39475505,74.58590663826985,74.68291830931703,-1,-2.0
2023-02-14,71.55,72.1,69.45,71.0,23192868,73.93392361312988,74.33216418462017,-1,0.0
2023-02-15,71.0,72.05,69.8,71.75,11358552,73.5368465925608,74.0862437860849,-1,0.0
2023-02-16,72.2,73.3,71.45,72.95,13731805,73.43014721209519,73.97803009217205,-1,0.0
2023-02-17,72.25,73.3,71.6,72.4,11520434,73.24284771898698,73.82774151196519,-1,0.0
2023-02-20,72.25,72.55,70.6,71.65,14307992,72.95323904280752,73.6203375584447,-1,0.0
2023-02-21,71.6,72.45,70.3,70.75,10208971,72.55265012593343,73.34697207668806,-1,0.0
2023-02-22,70.5,70.5,68.4,68.8,12057163,71.87035010303644,72.9139271170035,-1,0.0
2023-02-23,69.15,69.8,68.0,68.95,9376810,71.33937735702982,72.53641024871744,-1,0.0
2023-02-24,69.05,69.7,68.2,68.4,6920781,70.80494511029713,72.14246641550626,-1,0.0
2023-02-27,68.35,68.6,66.3,67.1,10127233,70.13131872660674,71.66223151879139,-1,0.0
2023-02-28,67.25,70.25,67.25,69.8,17700910,70.07107895813277,71.48487613604935,-1,0.0
2023-03-01,69.75,73.1,69.5,72.8,19033336,70.56724642029045,71.61012602785418,-1,0.0
2023-03-02,72.9,75.75,72.5,74.8,33846022,71.33683798023763,71.91392354901093,-1,0.0
2023-03-03,75.3,75.5,74.1,74.7,12536302,71.94832198383078,72.17926416339084,-1,0.0
2023-03-06,75.5,75.5,74.25,74.9,8700081,72.48499071404336,72.43838186211553,1,2.0
2023-03-08,74.5,78.35,74.2,78.05,23004128,73.49681058421729,72.9728216847712,1,0.0
2023-03-09,78.35,79.95,77.2,77.4,23650904,74.20648138708687,73.39445771479299,1,0.0
2023-03-10,76.0,78.2,75.75,77.0,17430705,74.71439386216198,73.7378426943365,1,0.0
2023-03-13,77.05,77.6,74.0,74.25,13019179,74.62995861449616,73.78661958059017,1,0.0
2023-03-14,74.35,75.0,73.35,74.8,11433968,74.66087523004231,73.88313200148635,1,0.0
2023-03-15,75.15,76.25,74.8,75.1,9616546,74.74071609730734,73.99902419182098,1,0.0
2023-03-16,75.0,76.0,73.25,75.6,10750873,74.89694953416056,74.15149807831422,1,0.0
2023-03-17,76.05,76.75,75.5,76.3,8659283,75.15204961885863,74.35611730895096,1,0.0
2023-03-20,76.25,76.35,73.6,74.25,9561209,74.98804059724796,74.34601089857468,1,0.0
2023-03-21,74.65,76.0,74.55,75.85,6583494,75.14476048865743,74.48924795585327,1,0.0
2023-03-22,76.1,76.45,74.0,74.2,8870115,74.97298585435607,74.46170053148629,1,0.0
2023-03-23,74.2,74.95,73.9,74.3,9246419,74.85062478992769,74.44630048086854,1,0.0
2023-03-24,74.25,74.5,71.4,71.8,8853059,74.29596573721356,74.19427186364297,1,0.0
2023-03-27,72.1,72.3,70.65,71.05,9250889,73.70579014862928,73.89481740043888,-1,-2.0
2023-03-28,71.45,71.45,69.6,70.1,8741706,73.05019193978758,73.5334062194447,-1,0.0
2023-03-29,70.2,71.25,69.7,70.3,21242210,72.55015704164438,73.22546276997377,-1,0.0
2023-03-31,70.7,72.4,69.8,70.05,17429246,72.09558303407267,72.92303774426199,-1,0.0
2023-04-03,71.0,71.45,69.5,69.8,20010201,71.67820430060492,72.6256055781418,-1,0.0
2023-04-05,70.1,70.1,67.8,68.1,33221018,71.02762170049492,72.19459552308068,-1,0.0
2023-04-06,68.1,71.0,67.6,70.6,36406171,70.94987230040493,72.04272928278728,-1,0.0
2023-04-10,70.9,72.75,70.8,71.3,19229627,71.0135318821495,71.97199316061706,-1,0.0
2023-04-11,71.3,72.8,71.2,71.95,12046522,71.18379881266776,71.96989857389163,-1,0.0
2023-04-12,74.0,74.2,71.55,71.65,30215325,71.26856266490998,71.93943204304482,-1,0.0
2023-04-13,72.1,72.4,71.5,71.8,13653616,71.36518763492634,71.92615280085008,-1,0.0
2023-04-17,71.8,73.0,71.0,72.65,10021225,71.59878988312155,71.99509062934054,-1,0.0
2023-04-18,73.1,75.7,73.0,75.45,36556170,72.29900990437218,72.3241296170224,-1,0.0
2023-04-19,75.55,76.95,75.0,75.4,19669027,72.86282628539541,72.61706965349644,1,2.0
2023-04-20,75.55,76.65,75.25,76.25,10833263,73.47867605168715,72.96306301983012,1,0.0
2023-04-21,76.0,76.45,74.65,75.25,9544452,73.80073495138039,73.18086654175106,1,0.0
2023-04-24,75.25,76.9,75.0,76.55,10625904,74.30060132385668,73.50173639491761,1,0.0
2023-04-25,76.95,77.85,76.35,77.1,15881484,74.80958290133728,73.84442816683023,1,0.0
