Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,846.35,857.8,835.0,845.9,190380,845.9,845.9,0,
2025-02-05,837.0,894.4,837.0,868.2,2252232,849.9545454545454,848.0238095238095,1,1.0
2025-02-06,868.2,888.7,852.35,861.05,268282,851.9719008264462,849.2643990929705,1,0.0
2025-02-07,861.05,897.1,855.0,865.75,811039,854.4770097670923,850.8344563222114,1,0.0
2025-02-10,865.75,868.7,814.7,829.65,246189,849.9630079912573,848.8168890534293,1,0.0
2025-02-11,825.6,836.1,797.75,803.55,394807,841.5242792655741,844.5057567626266,-1,-2.0
2025-02-12,798.2,814.95,775.2,794.4,253896,832.9562284900151,839.7337799280907,-1,0.0
2025-02-13,795.4,798.1,761.25,773.55,141591,822.155096037285,833.4305627920821,-1,0.0
2025-02-14,775.75,775.75,735.35,751.4,163784,809.290533121415,825.6181282404552,-1,0.0
2025-02-17,733.0,749.45,712.6,727.35,305195,794.3922543720668,816.2592588842215,-1,0.0
2025-02-18,719.0,729.4,703.9,719.25,133823,780.7300263044182,807.020281847629,-1,0.0
2025-02-19,729.25,741.25,713.45,724.05,99066,770.424566976342,799.1183502430929,-1,0.0
2025-02-20,721.05,755.25,717.15,747.75,122454,766.3019184351889,794.2261264104174,-1,0.0
2025-02-21,748.75,835.85,748.7,771.45,3737682,767.2379332651545,792.0569715141871,-1,0.0
2025-02-24,769.8,820.9,751.0,765.25,2999077,766.8764908533082,789.5039266080742,-1,0.0
2025-02-25,764.0,774.0,747.0,756.95,289574,765.0716743345248,786.4035526454005,-1,0.0
2025-02-27,756.8,766.7,740.9,752.9,187103,762.8586426373384,783.2127381077433,-1,0.0
2025-02-28,700.0,748.5,700.0,721.45,280657,755.3297985214588,777.3305725736726,-1,0.0
2025-03-03,732.25,739.8,687.25,717.65,247516,748.4789260630117,771.646708519037,-1,0.0
2025-03-04,710.0,710.0,688.15,704.05,347303,740.4009395061005,765.2089267553192,-1,0.0
2025-03-05,697.0,708.0,694.65,704.9,122229,733.946223232264,759.4652194452888,-1,0.0
2025-03-06,718.0,739.95,710.9,735.95,267339,734.3105462809433,757.2256747362137,-1,0.0
2025-03-07,736.0,751.0,730.1,738.45,264695,735.0631742298626,755.4375152375267,-1,0.0
2025-03-10,731.9,748.0,715.5,739.6,136101,735.8880516426149,753.9291804530003,-1,0.0
2025-03-11,734.0,734.0,712.85,724.85,116149,733.8811331621393,751.1597346955717,-1,0.0
2025-03-12,725.75,727.9,702.0,709.9,591352,729.5209271326594,747.2302361531363,-1,0.0
2025-03-13,709.9,713.95,702.0,705.95,46134,725.2353040176304,743.2987850909328,-1,0.0
2025-03-17,705.0,705.85,664.0,673.55,644339,715.8379760144248,736.6560436537011,-1,0.0
2025-03-18,680.05,707.85,680.05,704.25,437513,713.7310712845294,733.56975378192,-1,0.0
2025-03-19,705.0,719.0,698.2,712.85,153659,713.5708765055241,731.5964438979277,-1,0.0
2025-03-20,714.8,721.15,700.1,704.2,68394,711.8670807772469,728.9872587647917,-1,0.0
2025-03-21,701.8,731.35,698.7,726.8,120160,714.5821569995655,728.7789484062401,-1,0.0
2025-03-24,723.3,738.8,716.6,718.85,114051,715.35812845419,727.8333342723125,-1,0.0
2025-03-25,725.0,729.0,709.2,715.85,73371,715.4475596443373,726.6920643416161,-1,0.0
2025-03-26,720.0,720.0,697.55,706.85,64039,713.8843669817304,724.8023439281288,-1,0.0
2025-03-27,700.0,709.45,688.8,695.8,96143,710.5963002577794,722.0402159349737,-1,0.0
2025-03-28,692.8,716.1,692.8,708.95,252781,710.2969729381831,720.7935287030714,-1,0.0
2025-04-01,700.0,709.5,693.6,699.3,91003,708.2975233130588,718.7465259694455,-1,0.0
2025-04-02,694.0,713.05,694.0,706.35,852882,707.94342816523,717.565904448546,-1,0.0
2025-04-03,703.35,720.95,701.15,718.8,66127,709.9173503170064,717.6834373582083,-1,0.0
2025-04-04,715.0,720.4,689.7,696.4,46923,707.4596502593688,715.6564433240932,-1,0.0
2025-04-07,651.0,693.0,650.0,667.5,72726,700.1942593031199,711.0701153884653,-1,0.0
2025-04-08,683.75,686.35,663.5,680.1,91002,696.5407576116435,708.1205805895639,-1,0.0
2025-04-09,677.0,688.8,675.0,681.75,44542,693.8515289549811,705.6090967238912,-1,0.0
2025-04-11,690.15,701.25,677.0,696.9,109283,694.4057964177118,704.7796589406635,-1,0.0
2025-04-15,701.0,733.6,701.0,729.4,90547,700.7683788872188,707.124453327267,-1,0.0
2025-04-16,726.5,733.1,712.0,728.65,163263,705.837764544088,709.1745053913369,-1,0.0
2025-04-17,728.65,733.5,716.3,722.3,91039,708.8308982633448,710.4245524969239,-1,0.0
2025-04-21,717.9,731.2,715.0,724.75,66542,711.7252803972821,711.7888808305502,-1,0.0
2025-04-22,715.0,743.85,715.0,740.55,74119,716.9661385068671,714.5280350371645,1,2.0
2025-04-23,751.5,751.5,722.8,731.7,62905,719.6450224147095,716.1634602717203,1,0.0
2025-04-24,725.0,736.8,724.9,729.5,43312,721.4368365211259,717.4336069125088,1,0.0
2025-04-25,735.0,736.9,696.5,718.95,48668,720.9846844263757,717.5780253017937,1,0.0
2025-04-28,718.95,733.0,709.05,727.95,32614,722.2511054397619,718.5658324159085,1,0.0
2025-04-29,720.0,732.95,720.0,727.6,21865,723.2236317234415,719.4262293286791,1,0.0
2025-04-30,735.0,735.0,691.15,698.05,69754,718.6466077737248,717.3903979640431,1,0.0
2025-05-02,700.0,704.95,680.25,692.65,48931,713.9199518148657,715.0341695865153,-1,-2.0
2025-05-05,698.95,707.95,681.0,706.45,59599,712.5617787576174,714.2166296258948,-1,0.0
