Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,514.85,518.0,507.05,509.45,424696,509.45,509.45,0,
2025-02-01,514.5,516.9,505.0,511.0,197787,509.7318181818181,509.59761904761905,1,1.0
2025-02-03,509.0,509.0,498.0,501.2,297707,508.1805785123966,508.7978458049887,-1,-2.0
2025-02-04,503.75,510.8,500.5,509.05,227461,508.3386551465063,508.8218604902279,-1,0.0
2025-02-05,512.0,534.8,510.7,527.7,586519,511.8588996653233,510.6197785387776,1,2.0
2025-02-06,528.8,536.8,526.75,531.15,345605,515.3663724534463,512.5750377255607,1,0.0
2025-02-07,536.0,538.75,529.1,534.75,721351,518.8906683710014,514.6869388945549,1,0.0
2025-02-10,533.0,533.9,511.45,515.45,351074,518.2650923035466,514.7596113807879,1,0.0
2025-02-11,515.4,516.9,488.0,495.25,356527,514.080530066538,512.9015531540462,1,0.0
2025-02-12,499.0,502.0,480.25,495.35,845169,510.67497914534925,511.22997666318463,-1,-2.0
2025-02-13,496.45,513.55,493.0,498.9,1163013,508.5340738461948,510.0556931714528,-1,0.0
2025-02-14,503.55,503.8,479.5,492.5,697353,505.6187876923412,508.3837223932192,-1,0.0
2025-02-17,495.0,499.8,485.2,492.95,644335,503.3153717482791,506.91384407005546,-1,0.0
2025-02-18,499.0,500.55,482.8,493.5,310853,501.53075870313745,505.63633511100255,-1,0.0
2025-02-19,494.3,497.7,489.5,492.3,310001,499.8524389389306,504.36620795757375,-1,0.0
2025-02-20,497.0,500.5,489.5,495.45,428860,499.05199549548865,503.5170452949477,-1,0.0
2025-02-21,494.0,496.75,482.45,489.05,159245,497.23345085994526,502.1392314573336,-1,0.0
2025-02-24,487.8,487.8,480.55,481.85,195931,494.43645979450065,500.20692369949234,-1,0.0
2025-02-25,482.55,488.0,479.5,486.6,378536,493.01164892277325,498.91102620430263,-1,0.0
2025-02-27,487.0,492.9,479.5,482.65,156503,491.12771275499625,497.36235704198805,-1,0.0
2025-02-28,481.7,483.75,460.45,465.65,473790,486.49540134499694,494.34213256179873,-1,0.0
2025-03-03,468.7,471.95,438.45,468.0,978901,483.132601100452,491.8333580321036,-1,0.0
2025-03-04,465.0,470.9,462.4,468.45,357258,480.4630372640062,489.60637155285565,-1,0.0
2025-03-05,469.7,487.8,467.0,483.1,507946,480.9424850341868,488.98671711925033,-1,0.0
2025-03-06,486.9,493.95,481.15,489.85,491826,482.56203320978915,489.0689345364646,-1,0.0
2025-03-07,489.0,494.5,485.1,487.05,309269,483.37802717164567,488.8766550568013,-1,0.0
2025-03-10,488.4,493.0,486.0,487.6,256665,484.1456585949828,488.75506886091546,-1,0.0
2025-03-11,486.6,489.45,478.5,486.75,210580,484.61917521407685,488.56410992178064,-1,0.0
2025-03-12,487.45,488.7,476.85,482.3,181568,484.1975069933356,487.9675280244682,-1,0.0
2025-03-13,489.05,491.9,478.95,480.65,300135,483.55250572182,487.2706205935665,-1,0.0
2025-03-17,483.0,485.85,480.55,481.35,184121,483.1520501360345,486.7067519656078,-1,0.0
2025-03-18,484.0,491.65,482.25,486.65,339352,483.78804102039186,486.70134701650227,-1,0.0
2025-03-19,491.2,505.65,487.25,502.75,523422,487.23566992577514,488.22979015778776,-1,0.0
2025-03-20,504.5,506.55,497.95,502.1,425323,489.938275393816,489.55076252371276,1,2.0
2025-03-21,502.0,507.85,495.85,496.9,353908,491.20404350403123,490.2506899024068,1,0.0
2025-03-24,500.95,507.2,499.95,503.0,388791,493.3487628669346,491.4649099117014,1,0.0
2025-03-25,507.0,510.1,497.75,501.95,224615,494.9126241638555,492.4634899201108,1,0.0
2025-03-26,502.5,503.85,487.05,491.8,511807,494.34669249769996,492.4003004039098,1,0.0
2025-03-27,493.0,496.95,484.7,487.5,345689,493.1018393162999,491.933605127347,1,0.0
2025-03-28,492.5,503.75,489.8,501.85,491011,494.6924139860635,492.8780236866473,1,0.0
2025-04-01,501.5,510.7,494.15,508.65,425121,497.2301568976883,494.3801166688713,1,0.0
2025-04-02,511.8,514.0,507.1,512.25,370419,499.9610374617449,496.082010319455,1,0.0
2025-04-03,510.0,520.4,505.0,518.7,443090,503.36812155960945,498.23610457474496,1,0.0
2025-04-04,518.7,521.4,508.25,513.7,260980,505.24664491240776,499.7088565200073,1,0.0
2025-04-07,485.0,500.25,476.5,483.95,292337,501.3745276556063,498.2080130419114,1,0.0
2025-04-08,503.45,507.6,494.5,503.15,455660,501.6973408091324,498.67867846649125,1,0.0
2025-04-09,505.0,506.8,493.15,504.7,231695,502.2432788438356,499.2521376601587,1,0.0
2025-04-11,515.0,518.85,507.9,515.6,624619,504.6717735995018,500.8090769306198,1,0.0
2025-04-15,525.0,535.75,520.2,533.65,835062,509.940542035956,503.9367838896084,1,0.0
2025-04-16,537.45,542.65,534.05,538.65,667670,515.160443483964,507.24280447155047,1,0.0
2025-04-17,542.0,546.7,536.0,544.3,670889,520.4585446686978,510.77206118854565,1,0.0
2025-04-21,550.0,561.9,549.55,556.25,616418,526.9660820016618,515.1032934563032,1,0.0
2025-04-22,561.35,570.0,556.1,562.75,787854,533.4722489104505,519.6410750318934,1,0.0
2025-04-23,585.0,611.0,578.8,606.45,4724857,546.7409309267322,527.9085916955225,1,0.0
2025-04-24,612.0,625.0,612.0,622.85,1487575,560.578943485508,536.9506305816633,1,0.0
2025-04-25,628.3,635.0,613.1,624.8,1380732,572.2554992154156,545.3172371929335,1,0.0
2025-04-28,635.7,638.0,615.3,622.45,1098127,581.3817720853401,552.6632146031303,1,0.0
2025-04-29,625.7,628.9,606.3,613.95,1080909,587.3032680698237,558.500051307594,1,0.0
2025-04-30,615.0,617.5,604.3,610.2,810746,591.4663102389467,563.423855944966,1,0.0
2025-05-02,618.0,635.0,609.0,615.95,713152,595.9178901955017,568.4263458549692,1,0.0
2025-05-05,618.0,631.0,614.4,626.4,748634,601.4600919781377,573.947646249734,1,0.0
2025-05-06,629.8,633.7,618.6,620.65,766775,604.9491661639308,578.3954894640451,1,0.0
2025-05-07,619.95,624.5,610.3,622.45,611005,608.131135952307,582.5911571341361,1,0.0
2025-05-08,626.8,647.0,616.0,619.7,1354805,610.2345657791602,586.1253326451707,1,0.0
2025-05-09,613.5,621.0,604.45,619.55,810660,611.9282810920402,589.3086342980116,1,0.0
2025-05-12,643.95,658.8,635.05,651.95,1251146,619.2049572571237,595.274478650582,1,0.0
2025-05-13,659.5,668.9,654.0,658.6,557126,626.367692301283,601.3054806838599,1,0.0
2025-05-14,661.4,686.95,658.55,677.35,1279264,635.6372027919588,608.5478158568255,1,0.0
2025-05-15,680.9,692.4,670.9,679.15,618326,643.548620466148,615.2718333942707,1,0.0
2025-05-16,680.0,687.0,678.9,684.2,349080,650.9397803813938,621.8364206900545,1,0.0
2025-05-19,685.7,704.35,679.9,690.55,548831,658.1416384938676,628.3805711005255,1,0.0
2025-05-20,694.45,704.4,690.0,692.15,406274,664.324976949528,634.4538500433326,1,0.0
2025-05-21,692.9,708.0,690.8,699.9,411099,670.7931629587047,640.6868167058724,1,0.0
2025-05-22,699.75,707.0,698.65,702.85,323454,676.6216787843947,646.6071198767416,1,0.0
2025-05-23,704.0,712.5,698.85,703.75,412402,681.5541008235957,652.0492989360996,1,0.0
2025-05-26,707.8,715.7,705.0,706.45,316468,686.0806279465784,657.2303180850425,1,0.0
2025-05-27,707.6,709.95,700.1,705.0,217648,689.5205137744731,661.7798116007527,1,0.0
2025-05-28,708.4,718.0,707.8,710.9,273301,693.4076930882052,666.4579247816334,1,0.0
2025-05-29,712.8,713.45,702.55,705.9,270728,695.6790216176224,670.2143128976684,1,0.0
2025-05-30,706.9,718.7,698.1,701.55,514694,696.7464722326001,673.1986640502714,1,0.0
2025-06-02,703.0,712.75,701.0,703.55,350946,697.9834772812183,676.0892674740551,1,0.0
2025-06-03,704.7,709.0,702.15,705.2,255299,699.2955723209967,678.8617181908118,1,0.0
