Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,5717.55,5750.95,5548.9,5577.7,429090,5577.7,5577.7,0,
2025-02-01,5589.0,5653.85,5510.0,5625.0,108172,5586.3,5582.204761904762,1,1.0
2025-02-03,5619.0,5955.1,5471.0,5884.1,1299208,5640.445454545455,5610.9566893424035,1,0.0
2025-02-04,6049.95,6230.0,5972.7,6096.25,1307734,5723.319008264462,5657.175099881222,1,0.0
2025-02-05,6060.55,6207.2,6007.5,6123.5,389786,5796.079188580014,5701.5869951306295,1,0.0
2025-02-06,6148.3,6205.9,6098.05,6119.7,373619,5854.91933611092,5741.407281308665,1,0.0
2025-02-07,6116.55,6161.5,6080.5,6140.55,153029,5906.852184090752,5779.420873564983,1,0.0
2025-02-10,6142.0,6179.0,5921.65,5938.8,284788,5912.660877892434,5794.599837987365,1,0.0
2025-02-11,5949.95,5964.8,5862.1,5946.75,443166,5918.858900093809,5809.090329607617,1,0.0
2025-02-12,5946.75,6000.0,5805.0,5969.85,292103,5928.130009167662,5824.400774406891,1,0.0
2025-02-13,5999.7,6155.0,5984.75,6010.5,667461,5943.106371137178,5842.124510177664,1,0.0
2025-02-14,6017.3,6060.0,5766.05,5843.75,294685,5925.041576384963,5842.279318732172,1,0.0
2025-02-17,5832.0,5940.0,5760.25,5923.75,207670,5924.80674431497,5850.03843123387,1,0.0
2025-02-18,5950.0,5978.9,5793.0,5839.7,283564,5909.332790803157,5849.053818735407,1,0.0
2025-02-19,5810.0,5956.25,5740.0,5934.9,337225,5913.981374293492,5857.229645522511,1,0.0
2025-02-20,5915.0,5987.95,5892.3,5978.3,292029,5925.675669876493,5868.760155472749,1,0.0
2025-02-21,5960.0,5998.3,5684.15,5757.05,1003530,5895.016457171676,5858.121093046773,1,0.0
2025-02-24,5680.4,5750.7,5664.45,5702.55,306309,5860.022555867734,5843.30479847089,1,0.0
2025-02-25,5701.0,5774.3,5664.8,5726.4,188012,5835.727545709964,5832.171008140329,1,0.0
2025-02-27,5726.4,5785.0,5579.25,5615.8,257921,5795.740719217243,5811.564245460298,-1,-2.0
2025-02-28,5600.0,5600.0,5364.85,5480.25,564464,5738.378770268653,5780.010507797412,-1,0.0
2025-03-03,5480.25,5572.4,5360.65,5540.25,308548,5702.3553574925345,5757.176173721468,-1,0.0
2025-03-04,5500.0,5556.95,5457.85,5517.7,142095,5668.781656130255,5734.368919081328,-1,0.0
2025-03-05,5460.0,5563.05,5460.0,5516.55,392202,5641.103173197482,5713.624260121202,-1,0.0
2025-03-06,5549.95,5645.95,5549.95,5568.7,280218,5627.938959888848,5699.821949633469,-1,0.0
2025-03-07,5553.3,5619.8,5528.4,5578.75,187672,5618.99551263633,5688.2912877636145,-1,0.0
2025-03-10,5578.75,5631.65,5486.85,5514.25,281666,5599.950873975179,5671.715927024223,-1,0.0
2025-03-11,5454.0,5578.2,5414.25,5546.25,211471,5590.187078706965,5659.766791117154,-1,0.0
2025-03-12,5525.0,5677.1,5481.7,5667.15,345394,5604.18033712388,5660.4699538679015,-1,0.0
2025-03-13,5695.5,5758.25,5604.0,5620.45,219553,5607.138457646811,5656.658529690007,-1,0.0
2025-03-17,5620.45,5695.0,5582.05,5670.85,133663,5618.7223744383,5658.010098290958,-1,0.0
2025-03-18,5680.0,5809.0,5627.0,5772.95,397067,5646.763760904063,5668.956755596581,-1,0.0
2025-03-19,5780.0,5850.0,5742.05,5818.1,231264,5677.915804376052,5683.160874111193,-1,0.0
2025-03-20,5850.0,5865.8,5805.0,5822.1,252148,5704.131112671315,5696.39317181489,1,2.0
2025-03-21,5848.0,5855.5,5739.55,5797.35,537097,5721.080001276531,5706.008107832519,1,0.0
2025-03-24,5795.9,5935.0,5775.4,5910.7,322013,5755.556364680799,5725.502573753232,1,0.0
2025-03-25,5940.25,5940.25,5815.45,5840.65,330676,5771.027934738835,5736.468995300544,1,0.0
2025-03-26,5869.85,5918.2,5767.55,5839.2,238411,5783.42285569541,5746.252900510016,1,0.0
2025-03-27,5838.0,5893.75,5727.2,5872.65,385946,5799.6459728416985,5758.290719509062,1,0.0
2025-03-28,5850.0,5885.0,5738.0,5775.45,291524,5795.246705052299,5759.924936698675,1,0.0
2025-04-01,5749.5,5818.5,5521.0,5549.7,341053,5750.6018495882445,5739.903514155944,1,0.0
2025-04-02,5550.55,5681.45,5535.0,5666.0,316866,5735.219695117654,5732.86508423633,1,0.0
2025-04-03,5889.95,5970.0,5729.35,5763.0,537669,5740.2706596417165,5735.735076213823,1,0.0
2025-04-04,5760.0,5762.65,5384.95,5482.85,681423,5693.466903343222,5711.650783241078,-1,-2.0
2025-04-07,4955.0,5358.85,4955.0,5258.95,565168,5614.463830008091,5668.536422932404,-1,0.0
2025-04-08,5347.1,5475.0,5303.0,5387.3,369634,5573.161315461165,5641.752001700746,-1,0.0
2025-04-09,5300.0,5429.6,5231.6,5386.15,458062,5539.15925810459,5617.408953919723,-1,0.0
2025-04-11,5550.0,5625.0,5386.15,5589.3,794543,5548.275756631027,5614.731910689273,-1,0.0
2025-04-15,5638.5,5767.5,5605.0,5734.5,586197,5582.134709970841,5626.138395385532,-1,0.0
2025-04-16,5715.0,5805.5,5685.0,5754.0,280947,5613.382944521597,5638.3156910631005,-1,0.0
2025-04-17,5750.0,5798.0,5596.0,5640.0,531948,5618.222409154034,5638.476101438043,-1,0.0
2025-04-21,5850.0,5920.0,5799.0,5891.5,717346,5667.9092438533,5662.5736155868,1,2.0
2025-04-22,5884.5,6018.5,5823.0,5911.5,666774,5712.198472243609,5686.280890292819,1,0.0
2025-04-23,5927.0,5975.0,5891.5,5924.5,637067,5750.798750017498,5708.968424550646,1,0.0
2025-04-24,5982.5,6308.5,5953.5,6215.5,2081063,5835.289886377952,5757.209526974394,1,0.0
2025-04-25,6240.0,6285.0,5964.5,6012.5,964571,5867.509907036506,5781.522905357785,1,0.0
2025-04-28,6015.0,6125.0,5992.0,6026.5,317230,5896.417196666232,5804.854057228472,1,0.0
2025-04-29,6055.0,6130.0,5916.0,6108.0,640125,5934.886797272371,5833.725099397188,1,0.0
2025-04-30,6115.5,6136.0,6015.5,6087.0,489551,5962.543743222849,5857.846518502218,1,0.0
2025-05-02,6080.0,6153.0,6045.5,6104.0,1015136,5988.263062636876,5881.289707216292,1,0.0
2025-05-05,6205.5,6208.0,6096.0,6124.5,399200,6013.033414884716,5904.452592243311,1,0.0
2025-05-06,6110.0,6178.5,5970.0,6161.0,344379,6039.9364303602215,5928.885678696329,1,0.0
2025-05-07,6085.0,6170.0,6059.5,6148.0,346799,6059.584352112908,5949.753709296678,1,0.0
2025-05-08,6172.5,6184.0,5920.0,5960.5,364862,6041.569015365107,5950.777165554137,1,0.0
2025-05-09,5841.5,6055.5,5841.5,6025.5,449984,6038.647376207815,5957.893625977553,1,0.0
2025-05-12,6035.0,6044.0,5878.5,5942.0,705516,6021.075125988213,5956.379947313024,1,0.0
2025-05-13,5955.5,6147.5,5955.0,6076.5,759310,6031.152375808538,5967.81995233083,1,0.0
2025-05-14,6100.0,6282.5,6055.5,6215.5,576348,6064.670125661531,5991.408528299323,1,0.0
2025-05-15,6198.5,6259.5,6163.5,6214.5,462230,6091.911920995797,6012.655335127959,1,0.0
2025-05-16,6239.0,6323.0,6162.0,6279.5,556329,6126.018844451107,6038.06911273482,1,0.0
2025-05-19,6400.0,6705.0,6333.5,6580.0,2712326,6208.5608727327235,6089.681578188647,1,0.0
2025-05-20,6580.0,6595.0,6433.0,6452.5,448280,6252.913441326773,6124.2357135992515,1,0.0
2025-05-21,6454.0,6596.5,6454.0,6552.0,510445,6307.292815630995,6164.975169446942,1,0.0
2025-05-22,6540.0,6570.0,6458.0,6538.0,326992,6349.23957642536,6200.5013437853295,1,0.0
2025-05-23,6560.0,6560.0,6457.0,6483.0,224119,6373.559653438931,6227.405977710537,1,0.0
2025-05-26,6640.0,6764.0,6592.5,6737.0,1467231,6439.639716450034,6275.938741738105,1,0.0
2025-05-27,6725.0,6760.5,6684.0,6698.0,294304,6486.614313459118,6316.135052048761,1,0.0
2025-05-28,6730.0,6750.0,6620.0,6636.0,312692,6513.775347375642,6346.59838042507,1,0.0
2025-05-29,6645.0,6670.5,6603.0,6631.5,364770,6535.179829670979,6373.731868003635,1,0.0
2025-05-30,6601.5,6667.5,6541.0,6612.0,786589,6549.147133367164,6396.4240710509075,1,0.0
2025-06-02,6614.5,6631.0,6520.0,6539.0,283232,6547.30220002768,6410.002730950821,1,0.0
2025-06-03,6544.0,6600.0,6514.5,6530.0,398776,6544.156345477192,6421.431042288839,1,0.0
2025-06-04,6550.0,6649.5,6530.0,6618.0,407206,6557.582464481338,6440.151895404188,1,0.0
2025-06-05,6628.0,6679.0,6608.0,6628.5,200706,6570.476561848367,6458.089810127598,1,0.0
2025-06-06,6630.0,6630.0,6505.0,6544.5,361092,6565.753550603209,6466.319352020208,1,0.0
2025-06-09,6557.5,6654.5,6547.5,6633.0,254156,6577.9801777662615,6482.193699446854,1,0.0
2025-06-10,6644.5,6697.0,6611.0,6674.0,288574,6595.438327263304,6500.460966166202,1,0.0
2025-06-11,6680.0,6766.0,6680.0,6719.0,539922,6617.904085942703,6521.274207483706,1,0.0
2025-06-12,6719.0,6862.5,6706.0,6725.0,647651,6637.376070316757,6540.6766639138295,1,0.0
2025-06-13,6700.0,6720.5,6611.0,6667.0,431430,6642.762239350073,6552.707457826798,1,0.0
2025-06-16,6632.0,6698.0,6615.0,6687.5,166374,6650.89637765006,6565.544842795674,1,0.0
2025-06-17,6690.0,6702.5,6490.5,6538.0,341004,6630.369763531867,6562.921524434182,1,0.0
2025-06-18,6548.0,6649.0,6513.0,6549.0,447218,6615.575261071527,6561.595664964259,1,0.0
2025-06-19,6545.0,6566.5,6480.0,6493.0,240502,6593.288849967612,6555.062744491473,1,0.0
2025-06-20,6500.0,6602.5,6455.5,6592.0,560932,6593.054513609864,6558.580578349428,1,0.0
2025-06-23,6570.0,6664.5,6560.0,6636.0,478962,6600.862783862616,6565.953856601864,1,0.0
2025-06-24,6680.0,6680.0,6555.0,6565.5,270144,6594.433186796686,6565.910632163592,1,0.0
2025-06-25,6585.0,6607.5,6520.0,6586.5,234226,6592.990789197287,6567.871524338489,1,0.0
2025-06-26,6589.0,6628.0,6539.0,6616.0,404238,6597.174282070508,6572.455188687203,1,0.0
2025-06-27,6551.0,6694.0,6551.0,6658.0,545217,6608.233503512232,6580.602313574136,1,0.0
2025-06-30,6680.0,6829.0,6666.0,6809.5,599664,6644.827411964553,6602.402093233742,1,0.0
2025-07-01,6828.5,6875.0,6696.0,6856.5,385716,6683.313337061907,6626.601893878147,1,0.0
2025-07-02,6856.5,6885.5,6743.0,6859.5,437491,6715.347275777924,6648.782665889752,1,0.0
2025-07-03,6888.0,6940.0,6853.0,6876.0,302964,6744.556862000119,6670.422411995491,1,0.0
2025-07-04,6880.0,6945.0,6870.0,6906.5,243498,6774.001068909188,6692.905991805444,1,0.0
2025-07-07,6915.0,6931.0,6861.0,6888.5,85574,6794.819056380244,6711.533992585878,1,0.0
