Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,562.95,573.5,560.0,570.9,1042023,570.9,570.9,0,
2025-02-05,571.9,585.5,568.6,582.7,594958,573.0454545454545,572.0238095238095,1,1.0
2025-02-06,582.6,599.2,574.3,578.9,1262252,574.1099173553719,572.6786848072562,1,0.0
2025-02-07,577.1,589.0,569.9,582.9,502826,575.7081141998497,573.6521433970414,1,0.0
2025-02-10,580.5,584.85,562.9,569.05,374861,574.4975479816951,573.2138440258947,1,0.0
2025-02-11,568.65,568.85,545.8,552.2,512650,570.4434483486596,571.2125255472381,-1,-2.0
2025-02-12,552.0,552.0,528.55,538.1,1204784,564.562821376176,568.0589516855964,-1,0.0
2025-02-13,538.1,560.65,538.0,542.25,911147,560.5059447623257,565.6009562869682,-1,0.0
2025-02-14,541.0,546.8,505.4,512.85,1507523,551.8412275328119,560.5770556882093,-1,0.0
2025-02-17,510.0,530.35,501.3,522.25,1150081,546.4610043450278,556.9268599083798,-1,0.0
2025-02-18,522.25,523.25,502.45,518.75,1179939,541.4226399186591,553.2909684885341,-1,0.0
2025-02-19,515.0,537.0,505.85,531.45,989615,539.609432660721,551.2108762515309,-1,0.0
2025-02-20,528.65,532.0,515.7,527.05,829746,537.3258994496808,548.9098404180517,-1,0.0
2025-02-21,524.1,530.05,505.05,508.55,1026380,532.093917731557,545.0660460925229,-1,0.0
2025-02-24,508.45,522.0,501.0,516.4,1348744,529.2404781440011,542.3359464646636,-1,0.0
2025-02-25,515.9,523.1,508.05,514.75,805990,526.6058457541827,539.7087134680289,-1,0.0
2025-02-27,515.75,516.5,501.7,506.95,870522,523.0320556170585,536.5888359948833,-1,0.0
2025-02-28,489.45,494.75,456.25,461.8,4892837,511.8989545957751,529.4660897096563,-1,0.0
2025-03-03,460.0,475.05,453.5,472.85,1522409,504.7991446692705,524.0740811658795,-1,0.0
2025-03-04,471.95,481.0,461.9,471.6,1491619,498.76293654758496,519.076549626272,-1,0.0
2025-03-05,465.0,486.0,454.75,483.7,4585390,496.02422081166037,515.7073544237699,-1,0.0
2025-03-06,486.85,500.0,486.85,494.0,2265289,495.6561806640857,513.6399873357918,-1,0.0
2025-03-07,491.0,498.75,484.5,493.15,820488,495.2005114524337,511.6885599704783,-1,0.0
2025-03-10,491.75,497.0,475.5,478.65,1242873,492.1913275519912,508.54203044948036,-1,0.0
2025-03-11,456.0,483.25,456.0,478.7,1234469,489.73835890617454,505.6999323114346,-1,0.0
2025-03-12,480.05,483.0,468.5,476.0,625118,487.24047546868826,502.8713673293932,-1,0.0
2025-03-13,480.0,480.0,470.0,470.65,393210,484.22402538347217,499.8026656789748,-1,0.0
2025-03-17,474.9,490.45,470.1,488.6,1064451,485.0196571319317,498.73574513812,-1,0.0
2025-03-18,489.6,497.6,486.7,495.5,1115007,486.92517401703503,498.4275789344896,-1,0.0
2025-03-19,499.5,501.0,489.5,496.25,1047128,488.62059692302864,498.2201904645382,-1,0.0
2025-03-20,498.7,508.0,494.0,500.35,905971,490.75321566429614,498.4230294679155,-1,0.0
2025-03-21,502.0,509.9,497.15,507.45,888457,493.78899463442406,499.28274094716164,-1,0.0
2025-03-24,510.05,517.45,503.25,511.45,776902,497.0000865190742,500.4415275236225,-1,0.0
2025-03-25,514.95,514.95,500.0,505.1,1297755,498.47279806106064,500.8851915689918,-1,0.0
2025-03-26,505.1,507.85,490.8,492.45,751894,497.37774386814044,500.08183999099253,-1,0.0
2025-03-27,492.0,493.8,475.5,490.4,2038285,496.10906316484215,499.15975999185036,-1,0.0
2025-03-28,490.5,500.45,482.55,486.35,463886,494.33468804396176,497.9397828497694,-1,0.0
2025-04-01,488.0,496.35,479.85,482.75,361649,492.2283811268778,496.4931368640771,-1,0.0
2025-04-02,488.0,488.0,471.45,483.15,1123161,490.5777663765364,495.2223619246412,-1,0.0
2025-04-03,492.0,502.5,485.55,491.2,1461125,490.69089976262063,494.83927983658015,-1,0.0
2025-04-04,494.1,494.1,454.0,456.75,1704721,484.5198270785078,491.2117293759535,-1,0.0
2025-04-07,440.9,443.15,426.9,436.9,764571,475.86167670059723,486.03918372110076,-1,0.0
2025-04-08,447.0,452.0,428.05,444.35,1336952,470.1322809368523,482.0687852714721,-1,0.0
2025-04-09,436.0,441.15,422.0,431.1,1056522,463.03550258469727,477.21461524561767,-1,0.0
2025-04-11,442.2,455.45,442.2,451.3,3129863,460.901774842025,474.74655665079695,-1,0.0
2025-04-15,457.9,465.0,453.0,464.4,511544,461.53781577983864,473.76117030310195,-1,0.0
