Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,1526.4,1649.0,1522.25,1624.2,2120516,1624.2,1624.2,0,
2025-02-01,1639.6,1709.75,1561.1,1585.0,2409400,1617.0727272727272,1620.4666666666667,-1,-1.0
2025-02-03,1568.0,1582.5,1474.0,1507.95,983607,1597.2322314049586,1609.7507936507936,-1,0.0
2025-02-04,1548.4,1588.3,1490.0,1521.75,1684885,1583.5081893313297,1601.3697656840513,-1,0.0
2025-02-05,1530.0,1572.05,1520.05,1527.0,595465,1573.2339730892695,1594.2869308569987,-1,0.0
2025-02-06,1540.1,1541.0,1507.55,1523.8,360314,1564.2459779821295,1587.5738898229988,-1,0.0
2025-02-07,1520.0,1520.0,1484.2,1492.8,452495,1551.2558001671969,1578.5478050779514,-1,0.0
2025-02-10,1493.3,1590.0,1468.0,1502.35,2881334,1542.3638365004335,1571.2908712610035,-1,0.0
2025-02-11,1496.0,1501.0,1435.95,1451.3,607263,1525.8067753185364,1559.863169236146,-1,0.0
2025-02-12,1440.0,1440.9,1362.05,1412.1,943374,1505.1328161697115,1545.7904864517511,-1,0.0
2025-02-13,1417.1,1468.7,1402.2,1410.4,801247,1487.9086677752184,1532.8961544087272,-1,0.0
2025-02-14,1423.5,1432.05,1340.0,1350.85,583800,1462.9889099979057,1515.5584254174198,-1,0.0
2025-02-17,1338.05,1362.35,1289.0,1294.65,828140,1432.3818354528319,1494.5195277586179,-1,0.0
2025-02-18,1301.15,1315.0,1210.0,1222.3,815372,1394.1851380977714,1468.5938584482733,-1,0.0
2025-02-19,1222.3,1405.55,1201.1,1351.8,4593601,1386.478749352722,1457.470633834152,-1,0.0
2025-02-20,1340.0,1374.4,1318.5,1347.55,934356,1379.4007949249542,1447.0020020404233,-1,0.0
2025-02-21,1344.0,1397.0,1312.0,1319.2,1016652,1368.4551958476895,1434.8303827984782,-1,0.0
2025-02-24,1290.0,1374.45,1272.45,1337.85,2333905,1362.8906147844732,1425.5941558652896,-1,0.0
2025-02-25,1338.0,1387.7,1322.9,1331.2,1219387,1357.1286848236598,1416.6042362590715,-1,0.0
2025-02-27,1337.0,1346.45,1290.85,1309.9,596439,1348.541651219358,1406.4419280439217,-1,0.0
2025-02-28,1285.0,1308.0,1246.0,1256.0,915025,1331.7158964522018,1392.114125373072,-1,0.0
2025-03-03,1262.7,1290.1,1184.9,1214.35,1109785,1310.3766425518013,1375.1842086708748,-1,0.0
2025-03-04,1191.0,1331.05,1190.95,1263.8,3853810,1301.9081620878374,1364.5761887974581,-1,0.0
2025-03-05,1270.35,1301.95,1257.2,1294.4,1099481,1300.5430417082307,1357.8927422453194,-1,0.0
2025-03-06,1318.3,1343.75,1285.0,1297.2,845010,1299.9352159430978,1352.1124810790986,-1,0.0
2025-03-07,1303.0,1399.0,1289.55,1385.15,4153076,1315.4288130443529,1355.2589114525179,-1,0.0
2025-03-10,1396.0,1423.0,1340.1,1360.5,1016946,1323.623574309016,1355.7580627427542,-1,0.0
2025-03-11,1342.45,1342.45,1295.65,1313.5,954381,1321.7829244346494,1351.7334853386824,-1,0.0
2025-03-12,1321.75,1338.4,1288.75,1299.45,782310,1317.7223927192586,1346.7541057826172,-1,0.0
2025-03-13,1307.55,1372.65,1282.7,1303.35,2045313,1315.109230406666,1342.620381422368,-1,0.0
2025-03-17,1310.6,1355.0,1303.1,1336.55,1345787,1319.0075521509084,1342.042249858333,-1,0.0
2025-03-18,1340.5,1379.8,1339.35,1367.8,1079993,1327.8789063052886,1344.4953689194442,-1,0.0
2025-03-19,1372.0,1641.35,1372.0,1641.35,7963944,1384.873650613418,1372.7672385461638,1,2.0
2025-03-20,1710.0,1782.9,1648.0,1724.05,11603199,1446.5420777746147,1406.2227396370051,1,0.0
2025-03-21,1715.45,1732.25,1683.55,1701.6,2377276,1492.9162454519574,1434.3539072906237,1,0.0
2025-03-24,1701.6,1754.0,1681.05,1704.55,2206937,1531.3951099152378,1460.0868685010407,1,0.0
2025-03-25,1754.55,1790.0,1692.0,1719.8,2495203,1565.6505444761035,1484.8214524533228,1,0.0
2025-03-26,1717.0,1749.9,1685.0,1701.25,1679494,1590.3049909349936,1505.4336950768156,1,0.0
2025-03-27,1695.0,1729.25,1678.0,1695.9,986191,1609.5040834922675,1523.573343164738,1,0.0
2025-03-28,1708.0,1745.0,1674.1,1685.7,807872,1623.3578864936733,1539.0139771490487,1,0.0
2025-04-01,1680.0,1705.0,1660.0,1691.25,605974,1635.7019071311872,1553.5126459919966,1,0.0
2025-04-02,1699.7,1726.0,1645.4,1718.8,1023221,1650.8106512891532,1569.2542987546635,1,0.0
2025-04-03,1682.0,1764.25,1682.0,1729.9,2433114,1665.1905328729433,1584.5538893494574,1,0.0
2025-04-04,1718.05,1731.95,1613.55,1636.2,1398649,1659.9195268960445,1589.472566554271,1,0.0
2025-04-07,1420.1,1540.0,1405.0,1523.5,1453310,1635.1159765513091,1583.1894649776737,1,0.0
2025-04-08,1575.9,1599.0,1529.0,1565.8,980915,1622.5130717237982,1581.5333254559905,1,0.0
2025-04-09,1565.8,1584.4,1513.1,1566.35,794242,1612.301604137653,1580.0872944601817,1,0.0
2025-04-11,1617.95,1653.0,1587.05,1615.1,1169719,1612.8104033853524,1583.4218378449264,1,0.0
2025-04-15,1638.3,1744.0,1631.3,1698.6,2473482,1628.4085118607427,1594.3911866216,1,0.0
2025-04-16,1715.0,1753.6,1688.1,1721.5,2071724,1645.3342369769712,1606.4967878957332,1,0.0
2025-04-17,1721.7,1764.0,1703.0,1714.6,1024910,1657.9280120720673,1616.7923319056633,1,0.0
2025-04-21,1723.5,1789.0,1717.0,1740.2,2091025,1672.8865553316914,1628.545443152743,1,0.0
2025-04-22,1748.0,1757.9,1730.0,1734.1,794520,1684.016272544111,1638.598258090577,1,0.0
2025-04-23,1743.0,1770.0,1694.0,1734.8,1300707,1693.2496775360908,1647.7603287486172,1,0.0
2025-04-24,1733.9,1814.0,1722.0,1729.3,2139815,1699.804281620438,1655.5260117249393,1,0.0
2025-04-25,1732.1,1739.0,1597.8,1616.8,2245648,1684.7125940530855,1651.837820132088,1,0.0
2025-04-28,1631.0,1777.3,1622.4,1749.6,7642809,1696.5103042252517,1661.148503929032,1,0.0
