Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,351.0,359.45,349.4,358.25,2019592,358.25,358.25,0,
2025-02-01,358.25,358.9,333.1,345.6,7978678,355.94999999999993,357.0452380952381,-1,-1.0
2025-02-03,330.0,333.3,318.7,324.9,26282943,350.30454545454535,353.98378684807255,-1,0.0
2025-02-04,328.5,334.85,327.15,333.7,7377189,347.28553719008255,352.0519976244466,-1,0.0
2025-02-05,342.1,349.65,340.1,342.9,7113783,346.48816679188565,351.1803788030707,-1,0.0
2025-02-06,348.6,349.15,340.6,343.1,3123836,345.87213646608825,350.410818917064,-1,0.0
2025-02-07,345.0,346.7,339.55,342.5,1712683,345.2590207449812,349.6574075916293,-1,0.0
2025-02-10,343.0,344.0,335.05,338.3,1957224,343.9937442458937,348.57574972575986,-1,0.0
2025-02-11,338.3,338.3,328.25,330.0,1562978,341.44942711027664,346.80663070425896,-1,0.0
2025-02-12,330.0,330.3,318.65,323.95,3179345,338.2677130902263,344.62980873242475,-1,0.0
2025-02-13,328.0,333.8,319.2,320.15,9771116,334.9735834374579,342.2983983769557,-1,0.0
2025-02-14,323.0,323.45,304.4,312.35,9525190,330.86020463064733,339.44616996010274,-1,0.0
2025-02-17,312.65,320.4,303.25,318.1,4591304,328.5401674250751,337.4132013924739,-1,0.0
2025-02-18,319.0,320.7,312.4,319.95,1673581,326.9783188023342,335.75003935509545,-1,0.0
2025-02-19,318.95,326.4,316.65,324.6,2325236,326.5458972019097,334.68813084508633,-1,0.0
2025-02-20,323.8,332.2,321.25,331.7,1771611,327.4830068015625,334.4035469550781,-1,0.0
2025-02-21,331.0,331.0,321.9,323.0,2193356,326.6679146558239,333.3174948641183,-1,0.0
2025-02-24,320.9,325.5,317.65,319.3,3307496,325.3282938093104,331.98249535324993,-1,0.0
2025-02-25,319.3,320.25,309.35,309.85,4356438,322.51405857125394,329.8746386529404,-1,0.0
2025-02-27,311.0,312.8,302.3,307.0,4865436,319.69332064920775,327.69610163837467,-1,0.0
2025-02-28,305.0,306.0,292.45,293.75,6517549,314.9763532584427,324.46313957757707,-1,0.0
2025-03-03,295.0,298.9,287.55,297.8,3792065,311.8533799387258,321.9237929511412,-1,0.0
2025-03-04,294.1,316.4,290.1,315.2,7276713,312.4618563135029,321.28343171769916,-1,0.0
2025-03-05,314.05,334.5,314.05,326.15,12406494,314.9506097110478,321.7469144112516,-1,0.0
2025-03-06,334.7,342.4,331.8,339.15,12790937,319.35049885449365,323.40435113398956,-1,0.0
2025-03-07,338.9,339.05,330.15,332.45,3825464,321.7322263354948,324.265841502181,-1,0.0
2025-03-10,336.5,344.0,324.25,325.8,7154245,322.471821547223,324.4119518353066,-1,0.0
2025-03-11,324.0,333.9,320.5,329.7,6272107,323.78603581136423,324.91557547003924,-1,0.0
2025-03-12,334.55,343.0,325.8,327.35,8497676,324.43402930020704,325.1474254252736,-1,0.0
2025-03-13,327.35,328.4,323.0,323.7,4696394,324.3005694274421,325.0095753847713,-1,0.0
2025-03-17,325.85,330.4,323.7,325.5,5417463,324.5186477133617,325.05628249098356,-1,0.0
2025-03-18,325.95,330.0,319.5,324.0,5203598,324.42434812911415,324.9556841585089,-1,0.0
2025-03-19,326.0,330.4,324.1,328.0,5942282,325.07446665109336,325.2456190005557,-1,0.0
2025-03-20,330.8,339.5,327.05,336.55,4833173,327.16092725998544,326.3222267147884,1,2.0
2025-03-21,336.0,360.2,334.1,356.95,15733590,332.5771223036245,329.23915750385623,1,0.0
2025-03-24,371.0,372.0,354.3,361.9,9399628,337.9085546120564,332.34971393206035,1,0.0
2025-03-25,359.05,365.0,352.7,361.45,6724910,342.1888174098643,335.1211697480546,1,0.0
2025-03-26,360.15,364.5,351.05,351.9,4094188,343.9544869717072,336.71915358157327,1,0.0
2025-03-27,350.75,364.0,349.15,359.55,4545137,346.79003479503314,338.8935199071377,1,0.0
2025-03-28,363.75,369.35,358.05,360.35,5348515,349.255483014118,340.93699420169605,1,0.0
2025-04-01,354.8,363.5,349.6,361.7,5111753,351.5181224660965,342.91442332534405,1,0.0
2025-04-02,360.1,363.4,353.05,362.15,2536402,353.45119110862436,344.74638300864456,1,0.0
2025-04-03,361.0,374.3,359.35,362.45,5566330,355.0873381797835,346.43244176972604,1,0.0
2025-04-04,373.0,377.85,350.6,358.35,12874209,355.6805494198228,347.56744731546644,1,0.0
2025-04-07,350.0,366.95,341.5,352.8,15489620,355.1568131616732,348.06578566637444,1,0.0
2025-04-08,360.1,371.7,353.0,369.15,10576907,357.7010289504599,350.0738060791007,1,0.0
2025-04-09,372.0,383.05,365.15,379.3,11180400,361.62811459583077,352.85725311918634,1,0.0
2025-04-11,384.5,386.75,377.05,382.2,7217670,365.3684573965888,355.6518004411686,1,0.0
2025-04-15,386.55,386.95,376.1,379.1,4572204,367.8651015062999,357.88496230391445,1,0.0
2025-04-16,378.5,391.15,377.3,390.05,3731014,371.89871941424536,360.9482992273512,1,0.0
2025-04-17,389.9,391.3,385.05,387.7,2358710,374.7716795207462,363.4960802533177,1,0.0
2025-04-21,387.7,399.0,384.5,394.85,2836553,378.4222832442469,366.48216784823984,1,0.0
2025-04-22,395.9,402.25,393.0,398.45,5630844,382.06368629074746,369.5267232912646,1,0.0
2025-04-23,398.5,399.2,383.85,388.8,4742867,383.2884706015206,371.3622734540013,1,0.0
2025-04-24,390.0,394.0,387.3,390.45,4385172,384.5905668557896,373.1801521726678,1,0.0
2025-04-25,390.4,393.1,378.25,380.7,2552932,383.8831910638278,373.89632815622326,1,0.0
2025-04-28,377.0,393.0,377.0,392.2,6104973,385.3953381431318,375.6395349984877,1,0.0
2025-04-29,393.1,396.8,389.25,391.1,4419920,386.4325493898351,377.11196023672693,1,0.0
2025-04-30,395.0,402.75,374.5,378.7,9150558,385.026631318956,377.2632021189434,1,0.0
2025-05-02,379.95,390.3,379.95,385.05,4484802,385.03088017005484,378.0048019171393,1,0.0
2025-05-05,392.0,414.0,391.25,409.85,28073682,389.543447411863,381.0376779250307,1,0.0
2025-05-06,410.0,411.85,395.1,396.8,5485163,390.8628206097061,382.53885145598014,1,0.0
2025-05-07,394.0,405.1,392.6,396.95,8825404,391.9695804988504,383.9113417935058,1,0.0
2025-05-08,399.0,402.6,385.0,388.1,5347464,391.2660204081503,384.31026162269575,1,0.0
2025-05-09,382.2,388.0,380.0,386.25,3757854,390.35401669757755,384.49499861101043,1,0.0
2025-05-12,395.0,397.0,386.0,388.8,4957935,390.07146820710886,384.90499874329515,1,0.0
2025-05-13,390.0,393.6,386.2,388.9,3665291,389.85847398763445,385.28547505345756,1,0.0
2025-05-14,392.8,398.0,391.45,396.6,4370060,391.0842059898827,386.36304885789013,1,0.0
2025-05-15,400.0,407.3,397.7,402.7,5828155,393.19616853717673,387.91894896666247,1,0.0
2025-05-16,404.45,411.2,402.65,410.05,5353067,396.2605015304173,390.0266681126946,1,0.0
2025-05-19,410.1,411.5,404.1,404.9,2489091,397.83131943397774,391.4431759114856,1,0.0
2025-05-20,406.0,410.5,392.2,397.4,3231580,397.75289771870905,392.0104924913441,1,0.0
2025-05-21,395.5,405.9,390.55,404.9,3723167,399.0523708607619,393.23806463502564,1,0.0
2025-05-22,405.0,406.95,397.8,401.25,1971376,399.4519397951688,394.00110609835656,1,0.0
2025-05-23,404.0,411.75,404.0,408.1,5540517,401.0243143778654,395.3438578985131,1,0.0
2025-05-26,408.8,417.45,408.45,414.6,2976520,403.4926208546171,397.1777761938928,1,0.0
2025-05-27,414.95,415.55,406.3,412.15,4849935,405.06668979014125,398.60370227066494,1,0.0
2025-05-28,412.15,420.5,409.05,418.1,5630546,407.43638255557005,400.46049253060164,1,0.0
2025-05-29,418.85,419.15,412.6,414.75,3108847,408.76613118183,401.8213980038777,1,0.0
2025-05-30,414.75,418.9,408.9,411.05,6164496,409.1813800578609,402.7003124796989,1,0.0
2025-06-02,409.6,412.7,407.0,408.2,2200493,409.00294732006796,403.2240922435371,1,0.0
2025-06-03,407.5,410.0,401.1,402.0,2570008,407.7296841709647,403.1075120298669,1,0.0
2025-06-04,404.0,407.65,401.0,406.6,2415724,407.5242870489711,403.4401299317843,1,0.0
2025-06-05,408.5,409.4,399.9,401.0,2588378,406.33805304006717,403.20773660494774,1,0.0
2025-06-06,402.25,407.75,402.25,407.05,1443804,406.4674979418731,403.57366645209555,1,0.0
2025-06-09,407.05,409.6,404.85,408.45,1139355,406.8279528615325,404.03807917094355,1,0.0
2025-06-10,409.1,409.9,404.1,405.1,2079819,406.5137796139811,404.1392144879966,1,0.0
2025-06-11,406.65,423.0,406.05,414.85,8990781,408.02945604780274,405.15928929866357,1,0.0
2025-06-12,410.0,410.0,390.4,392.55,12405231,405.21500949365674,403.95840460355276,1,0.0
2025-06-13,376.0,388.4,370.15,386.25,17736231,401.7668259493555,402.27188987940485,-1,-2.0
2025-06-16,384.1,396.5,383.05,395.35,5792606,400.6001303221999,401.6126622718425,-1,0.0
2025-06-17,393.95,401.0,392.0,393.25,3815275,399.2637429908908,400.81621824595277,-1,0.0
2025-06-18,390.1,394.95,388.3,393.95,3440848,398.2976079016379,400.16229269871917,-1,0.0
2025-06-19,393.7,396.45,388.95,390.0,3390334,396.7889519195219,399.19445529884115,-1,0.0
2025-06-20,389.5,394.45,388.25,392.25,6244473,395.9636879341542,398.5330786037134,-1,0.0
2025-06-23,390.35,397.2,383.55,393.25,4641365,395.47029012794434,398.02992826050263,-1,0.0
2025-06-24,412.5,414.8,403.9,406.25,15143931,397.430237377409,398.8127922356929,-1,0.0
2025-06-25,410.0,411.8,405.05,408.15,4125652,399.37928512697096,399.70205011800783,-1,0.0
2025-06-26,408.0,424.35,407.7,420.3,11364641,403.1830514675217,401.6637596305785,1,2.0
2025-06-27,420.95,440.3,419.45,439.0,15352970,409.6952239279723,405.2195920467139,1,0.0
2025-06-30,440.0,443.2,436.25,438.05,3398554,414.85063775925005,408.3462975660745,1,0.0
2025-07-01,439.4,441.5,433.75,440.45,4624750,419.50506725756816,411.40379303597217,1,0.0
2025-07-02,444.0,446.85,433.3,436.55,3566248,422.6041459380103,413.7986698896891,1,0.0
2025-07-03,437.7,441.6,435.25,436.6,2130326,425.14884667655383,415.9702251382902,1,0.0
2025-07-04,438.8,446.55,436.15,444.6,4318402,428.6854200080895,418.69687036321494,1,0.0
2025-07-07,448.0,455.2,441.25,447.9,8516084,432.1789800066187,421.4781208048135,1,0.0
2025-07-08,447.0,455.0,444.7,452.7,3860453,435.9100745508698,424.451633109117,1,0.0
2025-07-09,453.0,454.65,442.65,445.45,5207942,437.64460645071165,426.4514775749153,1,0.0
2025-07-10,445.45,450.5,440.05,441.25,4470700,438.30013255058225,427.8608606630186,1,0.0
2025-07-11,444.5,444.5,433.05,435.9,2627116,437.8637448141127,428.6264929808264,1,0.0
2025-07-14,435.9,437.5,428.0,429.9,4575393,436.41579121154666,428.7477793636048,1,0.0
2025-07-15,433.5,441.0,429.1,433.45,6427673,435.8765564458109,429.19560990040435,1,0.0
2025-07-16,434.45,448.55,433.7,446.1,6690619,437.73536436475433,430.80555181465155,1,0.0
2025-07-17,446.05,446.4,438.35,440.0,2643122,438.1471162984353,431.6812135465895,1,0.0
2025-07-18,440.0,441.85,429.5,430.6,3796647,436.77491333508345,431.5782408278667,1,0.0
2025-07-21,433.0,434.6,428.05,431.7,3426999,435.8522018196137,431.5898369394984,1,0.0
2025-07-22,433.0,437.6,428.45,429.25,4216517,434.6518014887748,431.3669953262129,1,0.0
2025-07-23,430.5,436.0,428.35,434.5,2793895,434.62420121808844,431.66537672371646,1,0.0
2025-07-24,435.3,437.0,432.4,434.9,2805754,434.6743464511632,431.9734360833625,1,0.0
2025-07-25,434.6,434.9,420.2,421.8,3196808,432.3335561873153,431.00453740875656,1,0.0
2025-07-28,422.5,430.9,419.5,421.9,2551271,430.4365459714397,430.1374386079226,1,0.0
2025-07-29,421.5,426.6,419.45,425.8,4743610,429.59353761299616,429.72434921669185,-1,-2.0
2025-07-30,424.0,435.9,416.0,426.25,6890461,428.9856216833605,429.3934588151021,-1,0.0
2025-07-31,418.75,421.4,410.6,418.45,9826520,427.07005410456765,428.35122464223525,-1,0.0
2025-08-01,420.9,421.0,402.1,403.8,3787580,422.8391351764644,426.0130127715462,-1,0.0
2025-08-04,409.0,409.55,399.7,408.65,3277835,420.25929241710725,424.3593925075894,-1,0.0
2025-08-05,405.9,405.9,394.5,402.45,7973897,417.02123925036045,422.2727836973428,-1,0.0
2025-08-06,403.5,404.9,399.6,401.4,2150509,414.1810139321131,420.2848995356911,-1,0.0
2025-08-07,401.0,403.2,392.15,402.4,6318838,412.03901139900165,418.5815757703872,-1,0.0
2025-08-08,407.0,415.35,399.5,409.5,12286666,411.5773729628195,417.7166637922551,-1,0.0
2025-08-11,414.05,418.0,400.6,410.35,8713932,411.35421424230685,417.0150767644213,-1,0.0
2025-08-12,414.9,414.9,406.8,408.05,4526566,410.75344801643286,416.1612599297145,-1,0.0
2025-08-13,411.5,413.3,406.7,411.1,3543374,410.8164574679905,415.6792351745036,-1,0.0
2025-08-14,402.0,406.1,393.8,394.35,6536476,407.82255611017405,413.6478794435985,-1,0.0
2025-08-18,397.05,397.05,383.4,387.05,6525577,404.045727726506,411.1147480680177,-1,0.0
2025-08-19,388.0,397.85,386.15,395.6,4227710,402.5101408671413,409.6371530139208,-1,0.0
2025-08-20,394.55,396.85,390.1,390.8,5553949,400.38102434584283,407.84313844116645,-1,0.0
2025-08-21,390.7,395.45,390.2,393.15,2094370,399.0662926465987,406.4437919229601,-1,0.0
2025-08-22,393.0,393.45,387.7,390.75,2627075,397.5542394381262,404.9491450731544,-1,0.0
2025-08-25,390.5,391.5,387.6,390.25,1235196,396.2261959039214,403.5492264947588,-1,0.0
2025-08-26,388.2,391.4,381.95,382.95,4825204,393.8123421032084,401.5873954000199,-1,0.0
2025-08-28,384.65,386.5,380.8,381.75,3975225,391.61918899353407,399.69811964763704,-1,0.0
2025-08-29,381.75,383.85,375.05,375.9,3112442,388.7611546310733,397.4316320621478,-1,0.0
2025-09-01,377.0,385.7,376.6,385.25,2360108,388.12276287996906,396.27147662765753,-1,0.0
2025-09-02,385.25,387.35,382.0,384.6,1630216,387.4822605381565,395.1599074250235,-1,0.0
2025-09-03,383.0,391.65,383.0,387.25,2725471,387.4400313494008,394.4065829083546,-1,0.0
2025-09-04,389.1,391.95,383.5,384.6,2609930,386.9236620131461,393.47262263136844,-1,0.0
2025-09-05,384.7,386.55,380.2,383.6,2017875,386.3193598289377,392.5323728569524,-1,0.0
2025-09-08,384.15,395.3,384.15,393.9,2956578,387.6976580418581,392.6626230610522,-1,0.0
2025-09-09,394.0,397.0,389.3,389.9,1921681,388.09808385242934,392.39951610285675,-1,0.0
2025-09-10,391.0,393.9,388.8,392.45,1897568,388.8893413338058,392.40432409306084,-1,0.0
2025-09-11,391.0,405.8,391.0,397.8,3642055,390.50946109129563,392.91819798895983,-1,0.0
2025-09-12,398.95,401.05,396.55,398.75,1389746,392.00774089287825,393.473607704297,-1,0.0
2025-09-15,398.75,400.65,396.2,399.85,1227975,393.43360618508217,394.08088316103067,-1,0.0
2025-09-16,401.8,403.05,400.15,402.0,1344352,394.99113233324897,394.835084764742,1,2.0
2025-09-17,404.0,408.5,402.35,405.65,2545562,396.9291082726582,395.86507669190945,1,0.0
2025-09-18,405.7,409.25,404.9,408.6,1832949,399.0510885867203,397.07792653077524,1,0.0
2025-09-19,408.6,416.0,408.2,413.05,4587363,401.59634520731663,398.59907638498714,1,0.0
2025-09-22,413.05,417.35,409.8,412.75,2571485,403.62428244234997,399.9467833959407,1,0.0
2025-09-23,413.0,425.25,413.0,424.3,4865287,407.3835038164682,402.2661373582321,1,0.0
2025-09-24,426.0,431.0,422.75,424.9,7158456,410.56832130438306,404.4217433241147,1,0.0
2025-09-25,424.0,427.7,420.75,423.5,2368804,412.919535612677,406.23872015038944,1,0.0
2025-09-26,423.0,425.25,420.0,422.25,5579737,414.61598368309933,407.76360394559043,1,0.0
2025-09-29,422.3,444.4,421.5,441.75,11650349,419.54944119526306,411.0004035698199,1,0.0
2025-09-30,442.05,445.45,439.05,443.4,4266200,423.88590643248796,414.08607942031324,1,0.0
2025-10-01,443.5,449.9,433.4,434.4,6469324,425.7975598083992,416.02073852314055,1,0.0
2025-10-03,439.0,447.0,431.8,446.3,6294835,429.52527620687204,418.9044777114129,1,0.0
2025-10-06,446.0,459.15,440.1,456.3,4323430,434.3934078056226,422.46595602461167,1,0.0
2025-10-07,456.8,465.2,453.0,454.25,8444885,438.00369729550937,425.4930078317915,1,0.0
2025-10-08,452.0,463.0,452.0,457.3,4192443,441.51211596905307,428.5222451811447,1,0.0
2025-10-09,460.5,464.8,456.05,458.0,3613774,444.5099130655889,431.32965040198803,1,0.0
2025-10-10,456.5,461.35,450.85,452.5,1709268,445.96265614457275,433.34587417322723,1,0.0
2025-10-13,454.5,457.0,444.0,451.35,5914037,446.94217320919586,435.06055282339605,1,0.0
2025-10-14,452.1,454.85,440.55,442.65,1703812,446.16177808025117,435.78335731640595,1,0.0
2025-10-15,445.0,451.85,439.35,448.65,6539175,446.61418206566003,437.0087518577006,1,0.0
2025-10-16,449.5,456.2,443.2,451.95,5317330,447.58433078099455,438.4317278712529,1,0.0
2025-10-17,453.0,459.0,446.0,448.6,3262100,447.7689979117228,439.4001347406574,1,0.0
2025-10-20,450.0,457.6,450.0,452.95,2128923,448.71099829140957,440.69059809869003,1,0.0
2025-10-21,454.95,456.5,451.7,455.4,327276,449.92718042024416,442.09149351786243,1,0.0
2025-10-23,454.55,454.55,437.05,440.7,6169707,448.249511252927,441.9589703256851,1,0.0
2025-10-24,436.25,444.0,432.1,438.45,4341566,446.467781934213,441.6247826756198,1,0.0
2025-10-27,438.1,454.55,438.0,453.75,5526263,447.79182158253786,442.77956527794174,1,0.0
2025-10-28,454.0,456.7,449.2,452.15,4477594,448.58421765844,443.6719876324235,1,0.0
2025-10-29,451.1,470.9,451.1,468.85,8351676,452.26890535690546,446.0698935721927,1,0.0
2025-10-30,470.0,478.8,464.55,469.75,9564962,455.4472862011045,448.32514180341246,1,0.0
2025-10-31,469.95,484.1,469.35,476.0,7891214,459.1841432554491,450.9608425840398,1,0.0
2025-11-03,481.5,487.4,480.05,484.1,6195012,463.7142990271856,454.1169528141313,1,0.0
2025-11-04,483.75,491.4,482.75,484.85,6047242,467.55715374951546,457.04390968897593,1,0.0
2025-11-06,484.0,484.0,471.75,473.15,5156374,468.5740348859672,458.57782305193064,1,0.0
2025-11-07,472.0,480.9,468.35,479.55,5059893,470.5696649067004,460.57517323746106,1,0.0
2025-11-10,479.55,485.2,477.75,482.0,2222672,472.64790765093665,462.61563292913144,1,0.0
2025-11-11,480.5,489.5,470.0,487.9,6815234,475.4210153507663,465.02366788826174,1,0.0
2025-11-12,490.0,494.45,483.25,484.9,3568821,477.14446710517245,466.91665189890347,1,0.0
2025-11-13,487.0,490.4,481.9,486.05,2807895,478.763654904232,468.7388755275793,1,0.0
2025-11-14,483.1,488.75,477.35,481.25,2456049,479.21571764891706,469.9304111916193,1,0.0
2025-11-17,483.0,492.2,482.4,486.5,3478922,480.54013262184117,471.50846726860794,1,0.0
2025-11-18,486.4,488.5,482.4,483.55,1780519,481.08738123605184,472.65527990969287,1,0.0
2025-11-19,482.6,485.0,475.3,477.15,3937809,480.37149373858784,473.0833484897221,1,0.0
2025-11-20,478.0,481.35,474.45,477.9,2859788,479.92213124066274,473.5420772049867,1,0.0
2025-11-21,477.6,478.0,470.15,471.9,2763162,478.4635619241786,473.3856888997498,1,0.0
2025-11-24,471.9,474.5,462.0,463.05,8097325,475.6610961197824,472.40133757596413,1,0.0
2025-11-25,461.75,462.0,452.75,455.25,6235243,471.94998773436737,470.7678768544437,1,0.0
2025-11-26,457.1,467.7,457.05,466.25,3690761,470.91362632811877,470.33760286830625,1,0.0
2025-11-27,467.1,469.3,459.15,463.4,2236914,469.54751245027893,469.6768787856104,-1,-2.0
2025-11-28,462.0,462.5,455.7,457.5,1539822,467.35705564113726,468.5171760441237,-1,0.0
2025-12-01,458.0,461.1,449.0,451.95,2140607,464.55577279729414,466.93934975420717,-1,0.0
2025-12-02,455.0,460.45,447.0,450.45,5323687,461.99108683414977,465.3689354919017,-1,0.0
2025-12-03,450.95,455.3,446.65,450.7,4191593,459.9381619552134,463.97189401648245,-1,0.0
2025-12-04,451.9,453.75,445.0,447.95,3132109,457.75849614517455,462.445999348246,-1,0.0
2025-12-05,447.95,451.95,445.4,450.35,2114565,456.4114968460519,461.29399941031784,-1,0.0
2025-12-08,451.8,452.95,442.7,445.95,3238893,454.50940651040605,459.83266613314476,-1,0.0
2025-12-09,445.15,453.9,442.3,448.75,6794529,453.46224169033223,458.7771741204643,-1,0.0
