Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,488.0,496.25,484.5,493.7,433475,493.7,493.7,0,
2025-02-01,497.45,503.7,480.05,494.5,431019,493.84545454545446,493.77619047619044,1,1.0
2025-02-03,485.0,495.55,475.85,482.3,405053,491.74628099173543,492.6832199546485,-1,-2.0
2025-02-04,490.0,496.95,483.9,489.45,373712,491.3287753568744,492.375294244682,-1,0.0
2025-02-05,496.6,515.75,492.85,512.75,849201,495.22354347380633,494.3157424118551,1,2.0
2025-02-06,515.15,516.45,497.25,501.6,351516,496.3828992058415,495.00948122977366,1,0.0
2025-02-07,502.0,503.0,490.35,493.3,345408,495.82237207750666,494.8466734936047,1,0.0
2025-02-10,492.5,494.35,473.0,475.35,451635,492.10012260886907,492.9898474465948,-1,-2.0
2025-02-11,475.0,476.0,442.25,449.75,758656,484.40010031634745,488.87176673739526,-1,0.0
2025-02-12,440.0,448.45,419.05,434.15,1303897,475.2637184406479,483.66016990526236,-1,0.0
2025-02-13,437.0,452.6,432.35,439.15,567886,468.6975878150755,479.4211061047612,-1,0.0
2025-02-14,440.95,443.0,404.55,413.7,1185198,458.69802639415263,473.161953142403,-1,0.0
2025-02-17,413.5,422.1,399.05,417.4,1044443,451.1892943224885,467.8512909383646,-1,0.0
2025-02-18,416.35,421.35,397.15,414.65,1117898,444.54578626385415,462.7845013251871,-1,0.0
2025-02-19,415.0,449.2,411.0,441.25,1573385,443.94655239769884,460.733596437074,-1,0.0
2025-02-20,440.0,455.8,436.35,448.4,697401,444.7562701435718,459.55896820497173,-1,0.0
2025-02-21,448.4,459.3,441.0,456.95,628343,446.9733119356496,459.31049504259346,-1,0.0
2025-02-24,436.0,453.7,436.0,446.7,621263,446.9236188564405,458.1094955147274,-1,0.0
2025-02-25,448.0,456.35,432.0,434.15,472552,444.60114270072404,455.8276387990391,-1,0.0
2025-02-27,434.95,437.2,418.05,421.8,382163,440.45548039150145,452.58691129436875,-1,0.0
2025-02-28,420.0,421.0,402.05,408.25,1152889,434.59993850213755,448.36434831395263,-1,0.0
2025-03-03,405.0,412.45,384.6,398.6,1339413,428.05449513811254,443.62488656976666,-1,0.0
2025-03-04,391.95,414.0,391.55,410.5,1099505,424.86276874936476,440.4701354678841,-1,0.0
2025-03-05,411.0,436.5,411.0,434.45,1323418,426.6059017040257,439.89678923284754,-1,0.0
2025-03-06,440.0,447.0,433.95,436.4,524133,428.3866468487482,439.56376168686205,-1,0.0
2025-03-07,434.0,442.85,429.65,434.8,598638,429.55271105806673,439.1100700976371,-1,0.0
2025-03-10,437.0,443.35,410.05,411.2,737083,426.2158545020546,436.4519681835764,-1,0.0
2025-03-11,405.0,413.25,403.55,406.25,705521,422.5856991380446,433.57559026133106,-1,0.0
2025-03-12,409.25,416.2,399.75,404.65,625055,419.32466293112736,430.8207721412043,-1,0.0
2025-03-13,409.55,412.1,398.9,401.6,618997,416.1019969436496,428.0378414610896,-1,0.0
2025-03-17,400.05,410.45,400.0,402.0,719955,413.5379974993497,425.5580470362239,-1,0.0
2025-03-18,404.5,422.1,404.5,420.85,768445,414.86745249946784,425.1096616042026,-1,0.0
2025-03-19,424.0,437.0,422.55,431.15,967613,417.82791568138276,425.6849319276119,-1,0.0
2025-03-20,435.9,441.2,425.1,426.45,792061,419.3955673756768,425.7577955535536,-1,0.0
2025-03-21,428.7,444.0,427.45,441.55,812456,423.42364603464466,427.2618150246437,-1,0.0
2025-03-24,445.0,461.75,443.0,458.05,1000736,429.7193467556183,430.19402311753475,-1,0.0
2025-03-25,461.1,464.0,430.15,432.85,1340736,430.2885564364149,430.44697329681713,-1,0.0
2025-03-26,432.95,435.7,421.65,423.55,598568,429.06336435706675,429.7901186971203,-1,0.0
2025-03-27,426.95,438.3,422.3,429.65,1983615,429.17002538305456,429.7767740592993,-1,0.0
2025-03-28,433.9,439.8,420.25,424.35,591009,428.29365713159007,429.2599384346042,-1,0.0
2025-04-01,438.7,439.5,427.0,435.85,920562,429.6675376531191,429.88756334559423,-1,0.0
2025-04-02,432.5,474.0,424.5,454.9,6114932,434.25525807982467,432.26970016982335,1,2.0
2025-04-03,451.2,467.6,451.2,456.3,1493317,438.263392974402,434.5583001536497,1,0.0
