Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,261.75,281.4,254.6,279.8,2131477,279.8,279.8,0,
2025-02-05,276.85,291.0,273.4,280.9,2639493,280.0,279.9047619047619,1,1.0
2025-02-06,282.7,283.85,279.15,281.55,964906,280.28181818181815,280.06145124716556,1,0.0
2025-02-07,280.0,286.0,275.55,278.85,663639,280.02148760330573,279.9460749379117,1,0.0
2025-02-10,279.25,279.65,273.6,276.5,385178,279.3812171299774,279.6178773247772,-1,-2.0
2025-02-11,275.4,279.9,273.2,278.15,602497,279.1573594699815,279.4780794843223,-1,0.0
2025-02-12,276.75,281.75,267.4,279.55,527113,279.22874865725754,279.48492905724396,-1,0.0
2025-02-13,278.0,282.95,276.05,281.75,323421,279.6871579923016,279.7006500994112,-1,0.0
2025-02-14,280.0,282.85,272.05,282.05,637664,280.11676563006495,279.9243977089911,1,2.0
2025-02-17,282.05,283.8,271.3,276.3,543161,279.4228082427804,279.57921697480145,-1,-2.0
2025-02-18,277.0,277.55,267.1,270.35,497988,277.77320674409305,278.70024392958226,-1,0.0
2025-02-19,268.0,275.25,266.1,268.95,328042,276.1689873360761,277.77164926962206,-1,0.0
2025-02-20,268.35,271.05,257.15,259.75,1296127,273.18371691133495,276.05530172013425,-1,0.0
2025-02-21,261.7,267.0,257.1,258.85,404114,270.5775865638195,274.416701556312,-1,0.0
2025-02-24,256.0,258.85,251.05,255.7,412213,267.87257082494324,272.63415855094894,-1,0.0
2025-02-25,253.7,259.3,247.8,250.6,470957,264.73210340222624,270.53566726038235,-1,0.0
2025-02-27,256.9,257.0,244.25,246.65,341222,261.4444482381851,268.26084180701264,-1,0.0
2025-02-28,242.95,257.9,238.85,253.4,545719,259.9818212857878,266.8455235396781,-1,0.0
2025-03-03,256.5,261.1,247.65,256.55,707443,259.3578537792809,265.86499748828015,-1,0.0
2025-03-04,253.4,302.1,252.25,295.2,13324305,265.87460763759344,268.6588072513011,-1,0.0
2025-03-05,293.0,298.0,285.65,296.2,2352951,271.38831533984916,271.2817779892724,1,2.0
2025-03-06,292.0,300.9,288.6,295.1,1252034,275.6995307326039,273.5501800855322,1,0.0
2025-03-07,293.05,300.0,290.65,297.0,875488,279.5723433266759,275.78349626786246,1,0.0
2025-03-10,296.65,300.0,285.15,288.65,427443,281.22282635818937,277.0088775756851,1,0.0
2025-03-11,284.0,286.65,278.7,280.6,318901,281.1095852021549,277.35088923514365,1,0.0
2025-03-12,280.6,284.7,277.1,280.6,334919,281.0169333472176,277.66032835560617,1,0.0
2025-03-13,279.85,280.5,271.85,272.85,403507,279.5320363749962,277.2022018455484,1,0.0
2025-03-17,271.0,274.35,265.9,266.85,329533,277.22621157954234,276.2162778602581,1,0.0
2025-03-18,267.3,275.6,265.25,274.35,417645,276.7032640196255,276.0385371116621,1,0.0
2025-03-19,275.1,278.05,269.05,274.7,570384,276.33903419787543,275.9110573867419,1,0.0
2025-03-20,274.7,278.25,270.4,274.85,354296,276.06830070735265,275.8100043022903,1,0.0
2025-03-21,274.85,283.0,274.45,279.6,491236,276.71042785147034,276.17095627350074,1,0.0
2025-03-24,282.85,290.15,280.1,282.7,711417,277.7994409693848,276.79276996173877,1,0.0
2025-03-25,285.65,288.85,273.15,274.85,495934,277.2631789749512,276.607744251097,1,0.0
2025-03-26,275.5,277.0,267.1,267.85,518802,275.5516918885964,275.77367337004017,-1,-2.0
2025-03-27,265.5,279.5,265.1,277.15,475016,275.84229336339706,275.904752096703,-1,0.0
2025-03-28,277.0,280.0,273.1,277.0,401362,276.05278547914304,276.0090614208266,1,2.0
2025-04-01,274.9,283.0,273.0,281.0,232923,276.95227902838974,276.48438890455736,1,0.0
2025-04-02,279.2,283.0,273.05,280.4,202747,277.5791373868643,276.85730424698045,1,0.0
2025-04-03,280.0,284.45,278.0,283.4,204413,278.6374760437981,277.48041812822044,1,0.0
2025-04-04,283.25,283.25,273.0,277.65,165393,278.4579349449257,277.49656878267564,1,0.0
2025-04-07,253.0,279.8,253.0,275.85,376053,277.9837649549392,277.3397527081351,1,0.0
2025-04-08,278.0,278.75,272.0,273.3,187362,277.13217132676846,276.95501435497937,1,0.0
2025-04-09,273.65,275.9,268.0,274.15,185515,276.5899583582651,276.6878701306956,-1,-2.0
2025-04-11,278.15,281.7,275.75,280.65,183984,277.32814774767144,277.06521583253414,1,2.0
2025-04-15,281.5,286.5,281.5,285.95,184585,278.8957572480948,277.91138575324516,1,0.0
2025-04-16,285.95,289.25,281.05,282.5,255536,279.5510741120776,278.34839663388846,1,0.0
2025-04-17,282.5,304.0,282.15,288.4,5545649,281.15996972806346,279.30569219256574,1,0.0
