Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,345.95,348.9,342.4,347.2,6499334,347.2,347.2,0,
2025-02-01,346.9,366.4,334.0,348.0,7956975,347.3454545454545,347.27619047619044,1,1.0
2025-02-03,347.1,351.25,338.7,350.1,4618051,347.8462809917355,347.5451247165533,1,0.0
2025-02-04,353.65,359.15,349.7,356.9,5792352,349.49241172051086,348.4360652197387,1,0.0
2025-02-05,358.25,363.45,356.45,358.05,6894532,351.04833686223617,349.3516780559541,1,0.0
2025-02-06,359.95,368.3,354.05,356.1,8285405,351.9668210691023,349.99437538395847,1,0.0
2025-02-07,358.3,369.35,357.7,363.3,10231223,354.02739905653823,351.2615777283434,1,0.0
2025-02-10,363.25,364.8,348.55,352.05,4667093,353.6678719553494,351.33666556373925,1,0.0
2025-02-11,353.25,354.45,344.5,348.2,4574371,352.67371341801316,351.03793551004975,1,0.0
2025-02-12,349.0,350.75,332.15,347.4,7020361,351.7148564329199,350.69146546147357,1,0.0
2025-02-13,347.05,356.8,343.45,348.75,4427505,351.1757916269344,350.5065639889523,1,0.0
2025-02-14,350.15,350.4,329.6,335.5,3742431,348.3256476947645,349.0773674185759,-1,-2.0
2025-02-17,334.25,340.4,326.75,339.3,4162964,346.6846208411709,348.14618956918775,-1,0.0
2025-02-18,339.3,340.1,329.05,337.05,2976715,344.93287159732165,347.0894096102175,-1,0.0
2025-02-19,334.6,344.25,329.95,341.4,7010165,344.2905313068995,346.5475610759111,-1,0.0
2025-02-20,337.05,344.5,336.05,341.1,3324577,343.710434705645,346.02874573534814,-1,0.0
2025-02-21,339.0,340.95,331.5,336.4,7741976,342.3812647591641,345.11172233198164,-1,0.0
2025-02-24,332.0,333.9,325.25,330.2,5605913,340.16648934840697,343.69155830036436,-1,0.0
2025-02-25,330.5,336.95,329.6,331.6,4709750,338.6089458305148,342.5399813193773,-1,0.0
2025-02-27,331.65,339.9,329.5,338.25,8675643,338.54368295223935,342.13141166991284,-1,0.0
2025-02-28,337.9,337.9,321.9,323.35,9209911,335.7811951427413,340.34270579658784,-1,0.0
2025-03-03,325.0,328.25,312.75,326.7,6628370,334.13006875315193,339.0434004826271,-1,0.0
2025-03-04,326.0,330.15,319.5,327.0,3429689,332.83369261621516,337.89640996047217,-1,0.0
2025-03-05,329.9,337.5,326.55,336.8,3824203,333.55483941326696,337.7919899642367,-1,0.0
2025-03-06,338.0,340.9,328.6,330.45,5352132,332.9903231563093,337.0927528247856,-1,0.0
2025-03-07,331.05,332.25,325.9,327.4,3798696,331.973900764253,336.1696335081393,-1,0.0
2025-03-10,329.05,336.55,328.15,330.2,4911269,331.65137335257066,335.60109698355467,-1,0.0
2025-03-11,326.3,342.5,325.2,341.4,6330559,333.4238509248305,336.1533734613114,-1,0.0
2025-03-12,345.0,345.0,314.7,324.65,16599619,331.828605302134,335.0578140840436,-1,0.0
2025-03-13,324.95,330.2,323.35,327.0,6340342,330.9506770653823,334.29040321889664,-1,0.0
2025-03-17,326.0,332.0,322.25,330.6,4496735,330.88691759894914,333.9389362456684,-1,0.0
2025-03-18,332.3,338.0,331.75,336.85,3533635,331.97111439914016,334.21618041274763,-1,0.0
2025-03-19,337.25,342.85,336.05,339.3,7037625,333.30363905384195,334.7003537067717,-1,0.0
2025-03-20,341.0,342.1,334.1,340.6,3429892,334.63025013496156,335.2622247823172,-1,0.0
2025-03-21,340.9,350.0,338.45,348.85,8201117,337.2156592013322,336.55629861257273,1,2.0
2025-03-24,355.0,358.9,348.25,349.05,5023515,339.36735752836273,337.74617493518485,1,0.0
2025-03-25,350.9,350.9,337.25,339.75,4042558,339.43692888684217,337.9370154175482,1,0.0
2025-03-26,339.7,344.0,334.9,339.25,3678722,339.4029418165072,338.0620615682579,1,0.0
2025-03-27,338.1,341.6,335.0,338.4,4513735,339.2205887589604,338.0942461808047,1,0.0
2025-03-28,339.95,343.2,332.0,334.3,5874129,338.32593625733125,337.7328894016805,1,0.0
2025-04-01,349.9,360.9,346.8,352.45,21049199,340.89394784690734,339.13451898247285,1,0.0
2025-04-02,352.4,362.7,350.0,361.3,8411874,344.6041391474696,341.2455171746183,1,0.0
2025-04-03,355.35,360.0,352.85,358.0,4129080,347.039750211566,342.841182205607,1,0.0
2025-04-04,360.0,368.0,356.4,360.5,16145235,349.48706835491765,344.52297437650157,1,0.0
2025-04-07,340.0,358.2,336.15,356.0,10272279,350.6712377449326,345.61602443588237,1,0.0
2025-04-08,363.95,372.0,359.5,370.65,10437414,354.30373997312665,348.00021258484594,1,0.0
2025-04-09,371.2,374.4,365.2,370.6,9155700,357.26669634164904,350.1525732910511,1,0.0
2025-04-11,371.05,375.2,365.3,373.65,7244994,360.2454788249856,352.3904234538082,1,0.0
2025-04-15,380.8,382.7,374.25,380.45,7889826,363.9190281295337,355.06276407725505,1,0.0
2025-04-16,375.0,387.2,375.0,386.1,9061814,367.95193210598205,358.01869130799264,1,0.0
2025-04-17,385.9,398.85,384.5,397.9,9288018,373.3970353594399,361.8169111834219,1,0.0
2025-04-21,398.35,409.5,397.4,407.5,3516980,379.5975743849963,366.1676815469055,1,0.0
2025-04-22,409.2,421.5,399.5,400.85,13842212,383.46165176954236,369.4707594948193,1,0.0
2025-04-23,400.0,405.0,393.9,400.1,8895838,386.4868059932619,372.3878300191222,1,0.0
2025-04-24,400.15,407.35,397.2,406.5,6409664,390.12556853994147,375.63660811253914,1,0.0
2025-04-25,406.5,406.9,390.3,397.35,6732062,391.4391015326794,377.70455019705923,1,0.0
2025-04-28,409.0,411.5,403.65,408.1,8988016,394.4683557994649,380.59935494019646,1,0.0
2025-04-29,410.8,413.8,401.45,402.6,3721608,395.94683656319853,382.69465446970156,1,0.0
2025-04-30,403.45,409.35,397.7,408.2,6841231,398.17468446079874,385.12373499639665,1,0.0
2025-05-02,394.0,395.45,378.0,379.3,19737832,394.7429236497444,384.5690935681684,1,0.0
2025-05-05,380.4,387.4,378.05,384.1,3295612,392.8078466225181,384.5244179902476,1,0.0
2025-05-06,384.9,387.5,376.55,378.9,6415596,390.2791472366057,383.98875913403356,1,0.0
2025-05-07,379.9,385.75,376.75,383.85,8336824,389.1102113754047,383.97554397841134,1,0.0
2025-05-08,383.9,395.6,380.6,384.65,11135804,388.2992638526038,384.0397778852293,1,0.0
2025-05-09,379.4,389.85,377.6,388.2,5477155,388.2812158794031,384.4359895152075,1,0.0
2025-05-12,395.4,400.0,392.25,397.4,5386177,389.93917662860247,385.67065718042585,1,0.0
2025-05-13,397.4,400.15,391.65,394.75,5876199,390.81387178703835,386.53535649657573,1,0.0
2025-05-14,396.75,398.95,392.05,396.0,6920703,391.756804189395,387.4367511159495,1,0.0
2025-05-15,395.25,400.45,391.25,396.95,7283759,392.70102160950495,388.3427748191924,1,0.0
2025-05-16,397.7,407.35,396.1,400.45,5908953,394.10992677141314,389.4958438840312,1,0.0
2025-05-19,402.25,403.9,382.0,389.1,11516967,393.19903099479257,389.45814446650445,1,0.0
2025-05-20,389.1,392.5,384.85,386.5,5699529,391.98102535937574,389.1764164220754,1,0.0
2025-05-21,385.2,392.25,385.05,387.95,13139198,391.2481116576711,389.05961485806824,1,0.0
2025-05-22,386.0,388.85,382.25,383.95,3595416,389.92118226536724,388.57298487158556,1,0.0
2025-05-23,385.25,389.2,381.3,383.6,3469258,388.7718763989368,388.0993672647679,1,0.0
2025-05-26,383.6,385.0,375.6,380.5,8119620,387.26789887185737,387.3756180014567,-1,-2.0
2025-05-27,380.5,386.0,377.25,383.85,7402268,386.6464627133378,387.03984485846087,-1,0.0
2025-05-28,385.7,398.95,383.8,391.3,14515992,387.49256040182183,387.4455739195598,1,2.0
2025-05-29,392.5,394.75,387.8,391.25,4344927,388.17573123785417,387.80790021293507,1,0.0
2025-05-30,391.25,394.5,381.35,384.15,23501700,387.4437801036988,387.4595287640841,-1,-2.0
