Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,237.0,243.75,235.8,241.65,31130589,241.65,241.65,0,
2025-02-01,244.4,245.55,239.25,241.5,24056728,241.62272727272725,241.6357142857143,-1,-1.0
2025-02-03,239.0,239.56,232.9,233.97,15183090,240.23132231404955,240.90564625850342,-1,0.0
2025-02-04,236.4,246.95,235.0,245.1,23138568,241.1165364387678,241.30510851959832,-1,0.0
2025-02-05,246.65,254.34,246.6,249.82,28695524,242.69898435899182,242.11605056535086,1,2.0
2025-02-06,252.6,253.79,248.65,250.48,16298230,244.11371447553873,242.9126171781746,1,0.0
2025-02-07,248.4,252.75,246.13,249.45,11922059,245.08394820725894,243.5352250659675,1,0.0
2025-02-10,249.28,250.0,242.06,242.96,11175493,244.69777580593913,243.48044172635156,1,0.0
2025-02-11,242.0,243.18,234.75,235.94,15330326,243.105452932132,242.76230441907998,1,0.0
2025-02-12,233.0,233.98,223.23,227.62,45167995,240.2899160353807,241.3201801886914,-1,-2.0
2025-02-13,228.18,233.05,227.0,228.06,15841475,238.06629493803877,240.0573058850065,-1,0.0
2025-02-14,230.0,230.84,219.15,222.29,22176523,235.19787767657715,238.3651815150059,-1,0.0
2025-02-17,222.25,224.0,217.14,222.45,21988192,232.88008173538128,236.8494499421482,-1,0.0
2025-02-18,223.56,223.98,217.01,221.02,19138944,230.7237032380392,235.34188328099123,-1,0.0
2025-02-19,221.02,229.7,219.26,228.92,14085762,230.39575719475934,234.73027534946823,-1,0.0
2025-02-20,228.0,235.9,225.9,235.27,15681050,231.28198315934856,234.78167769713792,-1,0.0
2025-02-21,236.0,238.55,232.64,233.67,15152682,231.716168039467,234.67580363074384,-1,0.0
2025-02-24,231.0,233.5,228.01,228.45,14715002,231.12231930501844,234.08286995162538,-1,0.0
2025-02-25,229.59,231.67,225.25,226.32,11683220,230.24917034046962,233.34354900385154,-1,0.0
2025-02-27,226.36,228.0,221.05,221.7,16215296,228.6947757331115,232.23463957491327,-1,0.0
2025-02-28,219.26,219.9,207.0,207.61,50855490,224.86118014527304,229.88943580587392,-1,0.0
2025-03-03,210.0,210.25,198.65,200.92,51311993,220.50823830067793,227.1304419196002,-1,0.0
2025-03-04,199.99,208.04,199.02,206.38,50579885,217.93946770055467,225.15420935582875,-1,0.0
2025-03-05,207.0,217.66,207.0,217.1,36954756,217.78683720954473,224.38714179813078,-1,0.0
2025-03-06,222.0,222.39,218.06,219.94,24296337,218.17832135326387,223.96360448402308,-1,0.0
2025-03-07,220.0,224.5,218.79,221.81,27997558,218.83862656176132,223.7584992950685,-1,0.0
2025-03-10,222.6,224.9,215.5,216.5,19521402,218.41342173235017,223.06721364791912,-1,0.0
2025-03-11,214.7,218.99,213.01,217.56,20118890,218.25825414465012,222.54271711002207,-1,0.0
2025-03-12,220.0,226.5,216.72,225.53,28455086,219.5803897547137,222.8272202424009,-1,0.0
2025-03-13,227.88,228.94,221.32,222.6,25219084,220.1294097993112,222.8055802193151,-1,0.0
2025-03-17,223.12,223.85,218.54,219.52,22290925,220.01860801761822,222.49266781747556,-1,0.0
2025-03-18,221.1,225.5,220.71,225.18,28081319,220.9570429235058,222.7486042158112,-1,0.0
2025-03-19,227.27,231.25,225.64,228.84,21456932,222.39030784650475,223.32873714763872,-1,0.0
2025-03-20,231.0,234.25,228.95,231.69,24426400,224.08116096532206,224.12504789548265,-1,0.0
2025-03-21,232.0,235.94,228.05,229.12,46879564,224.99731351708166,224.6007576197224,1,2.0
2025-03-24,231.9,234.46,230.7,232.68,26607361,226.394165604885,225.37020927498693,1,0.0
2025-03-25,234.1,234.2,226.31,227.53,22492788,226.60068094945134,225.5759036297501,1,0.0
2025-03-26,228.0,228.9,222.01,222.67,19372538,225.8860116859147,225.2991509031072,1,0.0
2025-03-27,222.17,228.0,221.33,225.78,188868886,225.8667368339302,225.34494605519225,1,0.0
2025-03-28,227.18,232.3,226.11,227.51,30356334,226.1655119550338,225.55114166898346,1,0.0
2025-04-01,227.0,231.29,225.21,230.42,18781790,226.93905523593673,226.01484246241358,1,0.0
2025-04-02,230.99,230.99,225.3,229.78,16203186,227.4555906475846,226.37342889456468,1,0.0
2025-04-03,227.0,231.79,226.5,230.41,11752612,227.99275598438737,226.7578642379395,1,0.0
2025-04-04,230.05,230.35,220.8,222.32,20832533,226.96134580540786,226.33521050099284,1,0.0
2025-04-07,203.1,215.0,203.1,213.52,25772065,224.51746474987914,225.11471426280303,-1,-2.0
2025-04-08,217.0,225.5,216.62,224.81,25131280,224.57065297717384,225.08569385682182,-1,0.0
2025-04-09,224.0,224.0,218.25,220.92,19372735,223.90689789041494,224.68896110855306,-1,0.0
2025-04-11,225.78,230.98,223.72,230.02,24630876,225.01837100124857,225.19667909821467,-1,0.0
2025-04-15,235.9,239.49,232.6,238.57,27663804,227.4823035464761,226.47032870790852,1,2.0
2025-04-16,239.05,242.75,237.26,242.28,27720767,230.17279381075315,227.97601168810772,1,0.0
2025-04-17,242.94,248.0,238.3,246.47,30422206,233.135922208798,229.73734390828793,1,0.0
2025-04-21,250.0,250.0,244.5,246.38,31786610,235.5439363526529,231.32235877416525,1,0.0
2025-04-22,245.5,251.34,243.7,250.56,30235264,238.27412974307964,233.15451508138761,1,0.0
2025-04-23,252.0,258.55,251.39,258.14,37568336,241.88610615342878,235.53408507363642,1,0.0
2025-04-24,258.0,259.8,256.5,258.78,17152009,244.9577232164417,237.7479817332901,1,0.0
2025-04-25,258.78,261.62,249.1,253.05,33348716,246.42904626799776,239.20531680631007,1,0.0
2025-04-28,252.39,259.7,252.3,257.9,19380922,248.5146742192709,240.98576282475673,1,0.0
2025-04-29,258.1,259.75,255.6,257.63,12494831,250.17200617940344,242.57092827001802,1,0.0
2025-04-30,256.0,263.3,255.2,260.42,32058337,252.03527778314825,244.27083986334964,1,0.0
2025-05-02,262.9,265.2,257.75,258.8,20015942,253.26522727712128,245.6545694001735,1,0.0
2025-05-05,259.6,262.4,259.3,260.6,10986246,254.5988223176447,247.07794374301412,1,0.0
2025-05-06,259.25,260.75,250.4,251.2,18568703,253.98085462352748,247.47052052939372,1,0.0
2025-05-07,245.05,256.7,245.05,256.1,19393399,254.3661537828861,248.2923757170705,1,0.0
2025-05-08,256.1,258.3,249.4,251.45,14849940,253.8359440041795,248.59310183925427,1,0.0
2025-05-09,244.1,250.0,242.0,248.35,25011071,252.8384996397832,248.56994928313483,1,0.0
2025-05-12,258.95,263.5,257.0,262.9,19437052,254.66786334164078,249.93471601807437,1,0.0
2025-05-13,263.2,268.95,261.5,267.4,19305043,256.9827972795243,251.5980763973054,1,0.0
2025-05-14,268.8,269.95,265.2,267.5,13255755,258.8950159559744,253.11254531184775,1,0.0
2025-05-15,268.0,274.6,265.5,273.7,16201350,261.5868312367063,255.07325528214795,1,0.0
2025-05-16,274.1,277.95,273.05,277.0,13449060,264.3892255573051,257.16151668384816,1,0.0
2025-05-19,277.0,279.35,275.75,277.05,10202024,266.691184546886,259.0556579520531,1,0.0
2025-05-20,277.1,278.0,270.85,271.45,12885413,267.55642372017945,260.23607148042896,1,0.0
2025-05-21,271.5,275.5,270.35,274.35,10476515,268.79161940741955,261.5802551489595,1,0.0
2025-05-22,274.45,277.35,271.4,274.55,13207455,269.8385976969796,262.8154689442967,1,0.0
2025-05-23,274.95,283.65,274.55,281.75,13548313,272.00430720661967,264.61875761626845,1,0.0
2025-05-26,282.75,284.7,281.35,281.75,8653797,273.7762513508706,266.2503045099572,1,0.0
2025-05-27,280.0,292.9,279.1,291.4,24400393,276.9805692870759,268.64551360424696,1,0.0
2025-05-28,296.05,299.25,288.8,290.35,37169009,279.41137487124394,270.7126075466996,1,0.0
2025-05-29,291.75,292.05,285.5,287.85,15854792,280.94567034919953,272.3447401612996,1,0.0
2025-05-30,288.0,291.0,285.6,286.65,17881681,281.9828211947996,273.7071458602235,1,0.0
2025-06-02,286.95,289.2,283.4,286.45,12638716,282.7950355230178,274.92075101639267,1,0.0
2025-06-03,287.75,290.8,283.1,283.9,9276084,282.99593815519637,275.77591758626005,1,0.0
2025-06-04,283.9,291.7,282.5,290.35,13640678,284.333040308797,277.1639254351877,1,0.0
2025-06-05,292.0,293.0,289.55,291.5,11867068,285.6361238890157,278.5292658699317,1,0.0
2025-06-06,292.0,296.9,290.5,294.0,15858719,287.15682863646737,280.0026691204144,1,0.0
2025-06-09,296.0,305.5,295.65,304.25,26608267,290.2646779752915,282.31193872799395,1,0.0
2025-06-10,305.8,306.85,302.1,302.8,15246190,292.5438274343294,284.2631826586612,1,0.0
2025-06-11,303.5,306.8,299.7,302.65,17551031,294.38131335536036,286.0143081197411,1,0.0
2025-06-12,303.85,303.85,295.0,296.0,16175003,294.67562001802213,286.9653263940515,1,0.0
2025-06-13,288.0,295.3,287.8,294.05,16908691,294.5618709238363,287.6400572136656,1,0.0
2025-06-16,293.5,294.95,287.5,294.15,16256316,294.4869853013206,288.2600517647451,1,0.0
2025-06-17,295.0,295.5,289.4,289.8,8857573,293.63480615562594,288.4067135014361,1,0.0
2025-06-18,289.0,292.65,287.35,288.15,8400088,292.6375686727848,288.3822645965374,1,0.0
2025-06-19,289.5,290.6,282.7,284.1,13910925,291.0852834595512,287.9744298730577,1,0.0
2025-06-20,283.2,295.0,283.0,294.25,21062467,291.66068646690553,288.5721032184808,1,0.0
2025-06-23,288.55,295.9,287.45,293.15,13408538,291.93147074564996,289.00809338814923,1,0.0
2025-06-24,298.0,304.4,297.1,300.8,24073049,293.5439306100772,290.1311321130874,1,0.0
2025-06-25,303.7,304.95,302.0,303.3,11854474,295.31776140824496,291.3853100070791,1,0.0
2025-06-26,304.8,312.9,304.1,312.5,37158992,298.44180478856407,293.39623286354777,1,0.0
2025-06-27,314.1,329.3,312.85,323.45,60666211,302.9887493724615,296.2584964003527,1,0.0
2025-06-30,326.9,331.9,325.2,326.75,36746297,307.3089767592867,299.1624491241286,1,0.0
2025-07-01,328.2,331.9,327.1,329.6,20683383,311.36189007578,302.0612634932592,1,0.0
2025-07-02,330.2,330.95,325.05,326.7,13385187,314.1506373347291,304.40780982723453,1,0.0
2025-07-03,327.55,328.75,324.55,325.05,11497044,316.1323396375056,306.3737327008312,1,0.0
2025-07-04,326.0,327.6,323.35,324.95,9623498,317.73555061250454,308.1429010150378,1,0.0
2025-07-07,324.95,329.7,323.05,328.05,13172854,319.6109050465946,310.0388152040818,1,0.0
2025-07-08,329.0,330.7,324.75,328.85,13953335,321.2907404926683,311.8303566132169,1,0.0
2025-07-09,329.0,335.3,328.75,329.85,24522736,322.84696949400137,313.5465131262439,1,0.0
2025-07-10,330.5,333.4,329.0,331.65,13973005,324.447520495092,315.2706547332683,1,0.0
2025-07-11,331.0,331.0,325.0,325.8,14554942,324.69342585962073,316.2734495205761,1,0.0
2025-07-14,325.0,327.7,317.65,319.1,17980889,323.67643933968964,316.54264480433073,1,0.0
2025-07-15,321.1,322.55,318.3,321.2,12753151,323.2261776415642,316.9862024420135,1,0.0
2025-07-16,321.0,322.7,318.65,319.55,14151922,322.5577817067344,317.2303736380122,1,0.0
2025-07-17,320.1,320.95,317.35,318.15,12037735,321.75636685096447,317.3179571010587,1,0.0
2025-07-18,320.5,323.95,313.75,316.85,29776471,320.8643001507891,317.27338975810073,1,0.0
2025-07-21,318.2,320.8,314.1,317.25,16996843,320.20715466882746,317.2711621620912,1,0.0
2025-07-22,318.0,318.45,309.85,310.8,15797945,318.4967629108588,316.6548610037968,1,0.0
2025-07-23,311.6,315.2,311.6,314.45,9726960,317.7609878361572,316.44487424153044,1,0.0
2025-07-24,315.0,319.4,313.45,316.45,11348072,317.52262641140135,316.44536240900374,1,0.0
2025-07-25,315.55,315.55,310.2,311.25,10957081,316.3821488820556,315.95056598909866,1,0.0
2025-07-28,311.25,315.85,306.5,307.35,15732708,314.7399399944091,315.1314644663273,-1,-2.0
2025-07-29,306.3,322.5,306.3,321.1,27086587,315.89631454088016,315.6998964219152,1,2.0
2025-07-30,323.0,324.0,319.7,320.3,15393963,316.6969846243565,316.1380015245899,1,0.0
2025-07-31,317.0,332.65,316.45,329.25,49292436,318.97935105629165,317.3867632841528,1,0.0
2025-08-01,329.95,332.7,326.0,329.5,19635750,320.8921963187841,318.54040487613827,1,0.0
2025-08-04,329.85,335.5,328.6,333.9,19850637,323.2572515335506,320.0032234593632,1,0.0
2025-08-05,334.45,338.6,331.5,332.85,16052991,325.0013876183595,321.22672598704287,1,0.0
2025-08-06,333.2,333.6,325.6,326.55,11615135,325.2829535059305,321.7337044644674,1,0.0
2025-08-07,323.0,328.0,316.8,325.5,16461908,325.3224165048522,322.09239927737525,1,0.0
2025-08-08,325.1,326.0,320.1,321.15,10312947,324.56379532215175,322.00264696524425,1,0.0
2025-08-11,321.0,328.6,320.8,327.75,11342718,325.1431052635787,322.55001392093527,1,0.0
2025-08-12,327.95,331.7,326.55,327.0,10094423,325.4807224883825,322.9738221189415,1,0.0
2025-08-13,328.6,332.6,328.6,330.6,11363627,326.4115002177675,323.70012477428037,1,0.0
2025-08-14,330.6,331.95,325.85,327.4,8079069,326.59122745090065,324.0524938433965,1,0.0
2025-08-18,331.25,333.7,327.6,329.35,9341169,327.0928224598278,324.5570182392635,1,0.0
2025-08-19,330.0,333.2,328.45,331.3,8842923,327.8577638307682,325.19920697838126,1,0.0
2025-08-20,330.85,331.0,327.05,328.45,8822662,327.9654431342649,325.5088063137735,1,0.0
2025-08-21,329.0,329.4,322.6,323.85,10947441,327.2171807462167,325.3508247600808,1,0.0
2025-08-22,324.8,326.3,320.1,320.6,8800338,326.01405697417727,324.89836525912074,1,0.0
2025-08-25,322.0,322.35,318.35,319.7,11445521,324.8660466152359,324.4032828534902,1,0.0
2025-08-26,319.5,320.15,314.2,315.75,10076775,323.20858359428394,323.5791606769673,-1,-2.0
2025-08-28,315.75,316.9,309.5,310.1,15243091,320.82520475895956,322.2954310886847,-1,0.0
2025-08-29,311.0,316.65,309.35,311.7,17274984,319.1660766209669,321.2863424135719,-1,0.0
2025-09-01,311.7,314.5,307.2,314.05,11486206,318.2358808717002,320.5971669456127,-1,0.0
2025-09-02,314.2,316.25,311.0,311.75,13220799,317.05662980411836,319.7545796174591,-1,0.0
2025-09-03,311.0,314.7,309.8,313.7,11360605,316.44633347609687,319.1779529872249,-1,0.0
2025-09-04,315.25,316.0,309.0,309.45,10392904,315.1742728440792,318.2514812741559,-1,0.0
2025-09-05,310.0,313.9,308.9,309.4,8618197,314.1244050542466,317.4084830575696,-1,0.0
2025-09-08,310.75,313.35,309.6,311.1,6198613,313.57451322620176,316.80767514732486,-1,0.0
2025-09-09,311.1,312.35,307.25,307.95,10103729,312.55187445780143,315.9640870380558,-1,0.0
2025-09-10,310.0,313.4,309.25,310.05,10838910,312.0969881927466,315.40084065347907,-1,0.0
2025-09-11,310.05,312.5,309.95,310.7,6146666,311.84299033951993,314.95314154362393,-1,0.0
2025-09-12,311.05,312.2,310.0,311.2,6049420,311.72608300506175,314.5956994918502,-1,0.0
2025-09-15,311.05,316.65,310.0,315.35,14414947,312.38497700414143,314.66753763548354,-1,0.0
2025-09-16,315.8,317.8,314.3,315.45,10963429,312.9422539124793,314.7420578606756,-1,0.0
2025-09-17,315.9,318.7,315.0,315.85,8836571,313.47093501930124,314.84757615965884,-1,0.0
2025-09-18,316.3,317.95,315.9,317.35,9396848,314.17621956124646,315.08590223969134,-1,0.0
2025-09-19,317.6,321.6,315.8,317.0,17671561,314.68963418647434,315.26819726448264,-1,0.0
2025-09-22,317.0,319.0,312.8,313.85,7711667,314.53697342529716,315.1331308583414,-1,0.0
2025-09-23,313.85,315.0,310.75,312.55,11896537,314.17570552978856,314.88711839564223,-1,0.0
2025-09-24,314.0,314.1,306.0,306.75,11253782,312.82557725164514,314.1121547389144,-1,0.0
2025-09-25,306.75,308.3,301.0,301.6,12147554,310.78456320589146,312.9205209542559,-1,0.0
2025-09-26,300.9,301.6,294.35,295.85,11503280,308.06918807754755,311.29475705385056,-1,0.0
2025-09-29,296.0,299.9,293.4,294.2,9607887,305.5475175179934,309.66668495348387,-1,0.0
2025-09-30,295.0,296.8,292.2,293.2,10119815,303.3025143329037,308.09842924362823,-1,0.0
2025-10-01,294.0,300.85,293.05,300.05,8551743,302.7111480905575,307.3319121728065,-1,0.0
2025-10-03,300.05,302.95,298.8,301.7,8773415,302.5273029831834,306.79553958492016,-1,0.0
2025-10-06,302.0,306.65,301.5,306.25,8816471,303.20415698624095,306.7435834339754,-1,0.0
2025-10-07,306.35,315.0,306.3,309.9,18717966,304.42158298874256,307.04419453550156,-1,0.0
2025-10-08,309.9,310.95,304.2,304.65,7853613,304.46311335442573,306.81617600831095,-1,0.0
2025-10-09,305.3,308.15,305.3,307.35,6279739,304.9880018354392,306.8670163884718,-1,0.0
2025-10-10,307.0,310.4,306.65,308.15,7654597,305.562910592632,306.98920530385544,-1,0.0
2025-10-13,306.0,308.8,304.7,308.45,6533659,306.08783593942616,307.1283286082502,-1,0.0
2025-10-14,309.65,310.8,305.1,305.6,7420573,305.9991384958941,306.98277350270257,-1,0.0
2025-10-15,305.6,312.95,305.6,312.65,14796118,307.2083860420952,307.52250935958807,-1,0.0
2025-10-16,314.05,314.3,310.6,312.1,10445546,308.09777039807784,307.9584608491511,1,2.0
2025-10-17,313.55,314.75,307.05,309.3,13963053,308.3163575984273,308.0862264825653,1,0.0
2025-10-20,309.2,315.8,309.1,310.7,14883909,308.74974712598595,308.33515729374955,1,0.0
2025-10-21,311.45,313.3,311.05,311.8,3190393,309.3043385576249,308.66514231339244,1,0.0
2025-10-23,312.0,313.85,308.4,309.05,11107313,309.2580951835113,308.70179542640267,1,0.0
2025-10-24,310.0,311.15,305.5,305.95,8292307,308.6566233319637,308.43971967150713,1,0.0
2025-10-27,306.85,307.9,305.15,305.55,8333968,308.09178272615213,308.1645082742208,-1,-2.0
2025-10-28,306.1,308.75,305.05,307.95,11236088,308.0660040486699,308.14407891477117,-1,0.0
2025-10-29,307.8,310.75,307.6,309.75,8605721,308.3721851307299,308.29702378003105,1,2.0
2025-10-30,310.1,312.8,309.15,309.8,8517048,308.63178783423353,308.440164372409,1,0.0
2025-10-31,309.0,310.95,306.25,306.8,6533999,308.29873550073654,308.2839582417034,1,0.0
2025-11-03,306.2,308.4,303.5,306.8,8075806,308.02623813696624,308.1426288853507,-1,-2.0
2025-11-04,306.0,306.95,301.35,301.9,8396727,306.9123766575178,307.5480928010316,-1,0.0
2025-11-06,301.9,303.2,297.5,298.1,8339076,305.31012635615093,306.64827443902857,-1,0.0
2025-11-07,297.0,300.15,293.5,299.3,9364502,304.217376109578,305.9484387781687,-1,0.0
2025-11-10,299.65,303.4,299.65,301.95,8870055,303.80512590783655,305.5676350850098,-1,0.0
2025-11-11,302.0,305.65,297.65,304.9,10752137,304.0041939245935,305.50405079119935,-1,0.0
2025-11-12,305.3,310.3,305.25,309.5,12029642,305.0034313928492,305.8846173825137,-1,0.0
2025-11-13,310.0,316.6,309.7,310.7,15761851,306.03917113960387,306.3432252508457,-1,0.0
2025-11-14,311.0,315.7,309.3,314.9,13675544,307.65023093240313,307.15815617933663,1,2.0
2025-11-17,316.0,316.85,311.15,312.0,8876003,308.4410980356026,307.619284162257,1,0.0
2025-11-18,311.15,311.85,305.45,305.95,8869128,307.9881711200385,307.46030471823246,1,0.0
2025-11-19,305.85,306.4,303.6,304.45,5882303,307.34486728003145,307.1736090307818,1,0.0
2025-11-20,305.6,309.6,305.2,308.35,7784069,307.52761868366207,307.28564626594545,1,0.0
2025-11-21,307.0,308.35,303.0,303.55,5973657,306.8044152866326,306.9298704310935,-1,-2.0
2025-11-24,303.3,304.35,299.1,299.85,12349069,305.5399761436085,306.25559705670366,-1,0.0
2025-11-25,299.75,303.4,299.6,300.8,7131282,304.67816229931606,305.7360163846367,-1,0.0
2025-11-26,301.5,308.65,301.5,308.0,8885249,305.28213279034946,305.9516338718141,-1,0.0
2025-11-27,309.0,309.8,305.0,306.45,5565162,305.4944722830132,305.9990973125937,-1,0.0
2025-11-28,306.15,308.0,305.5,306.2,5488672,305.62275004973804,306.0182309018704,-1,0.0
2025-12-01,307.1,308.15,303.55,304.75,6225454,305.46406822251294,305.8974470064542,-1,0.0
2025-12-02,303.0,307.0,303.0,304.85,8589532,305.3524194547833,305.7976901486967,-1,0.0
2025-12-03,305.0,305.7,298.45,301.0,8408528,304.5610704630045,305.3407672773923,-1,0.0
2025-12-04,301.0,303.45,300.0,302.25,5601692,304.1408758333673,305.0464084890692,-1,0.0
2025-12-05,302.0,304.45,300.25,303.75,6506083,304.0698075000278,304.9229410139198,-1,0.0
2025-12-08,303.0,304.25,295.25,297.2,12432114,302.8207515909318,304.1874228221179,-1,0.0
2025-12-09,296.15,296.8,288.75,293.2,13376328,301.07152402894417,303.1410016009638,-1,0.0
2025-12-10,294.0,295.4,289.25,290.85,8655536,299.2130651145907,301.97043001991966,-1,0.0
2025-12-11,291.0,299.0,290.0,298.45,9589482,299.0743260028469,301.63515097040346,-1,0.0
2025-12-12,300.0,302.4,298.75,300.75,7955711,299.37899400232925,301.5508508779841,-1,0.0
2025-12-15,299.0,300.4,297.55,299.6,4850351,299.41917691099667,301.36505555627133,-1,0.0
2025-12-16,298.05,298.75,294.5,295.25,7141463,298.6611447453609,300.7826693128169,-1,0.0
2025-12-17,295.0,296.0,291.7,293.15,5906902,297.6591184280225,300.0557484258819,-1,0.0
2025-12-18,292.7,293.55,289.75,292.3,6478984,296.68473325929114,299.3171057186551,-1,0.0
2025-12-19,294.1,297.8,293.35,296.95,8767177,296.73296357578363,299.0916670787832,-1,0.0
2025-12-22,298.0,299.95,297.9,298.75,5136735,297.0996974710957,299.05912735699434,-1,0.0
2025-12-23,299.55,299.75,297.7,298.7,5346120,297.39066156726005,299.02492475156635,-1,0.0
2025-12-24,298.7,302.6,298.05,298.9,6548391,297.6650867368491,299.0130271561791,-1,0.0
2025-12-26,298.0,299.8,296.15,296.95,3945249,297.5350709665129,298.8165483794001,-1,0.0
2025-12-29,297.0,297.55,293.35,293.95,4713140,296.88323988169236,298.35306758136204,-1,0.0
2025-12-30,293.0,293.85,291.4,292.5,6850674,296.08628717593007,297.79563257361326,-1,0.0
2025-12-31,292.6,296.9,292.6,294.95,6540400,295.8796895075791,297.52461994755487,-1,0.0
2026-01-01,295.4,296.75,294.15,295.7,3697802,295.84701868801926,297.35084661921627,-1,0.0
2026-01-02,295.6,303.0,295.5,301.7,10604978,296.9111971083794,297.7650517031004,-1,0.0
2026-01-05,301.8,302.45,298.85,300.4,6971528,297.54552490685586,298.015999159948,-1,0.0
2026-01-06,300.1,302.3,293.5,298.55,10930694,297.72815674197295,298.0668563828101,-1,0.0
2026-01-07,298.0,306.0,296.65,303.5,20416851,298.77758278888695,298.5842986320663,1,2.0
2026-01-08,303.3,304.3,292.15,293.55,12255998,297.8271131909075,298.1048416194885,-1,-2.0
2026-01-09,292.0,294.6,286.15,287.25,11375541,295.90400170165157,297.07104717953723,-1,0.0
2026-01-12,287.25,289.0,280.75,288.25,12216471,294.512365028624,296.23094744815273,-1,0.0
2026-01-13,289.1,290.2,281.9,284.6,12956779,292.71011684160146,295.1232381673763,-1,0.0
2026-01-14,281.95,287.85,281.85,287.0,6701056,291.67191377949206,294.34959643714996,-1,0.0
2026-01-16,287.0,291.0,277.15,278.8,18934861,289.3315658195844,292.8686824907547,-1,0.0
