Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,489.5,509.95,482.2,508.6,3358679,508.6,508.6,0,
2025-02-01,509.45,516.54,469.0,471.7,5760214,501.8909090909091,505.0857142857143,-1,-1.0
2025-02-03,474.8,475.9,439.6,445.65,12724924,491.6652892561983,499.42517006802717,-1,0.0
2025-02-04,453.95,473.0,446.0,469.7,7217597,487.6716003005258,496.5942014901198,-1,0.0
2025-02-05,474.85,501.5,474.5,493.8,14443076,488.78585479133926,496.3280870624893,-1,0.0
2025-02-06,494.0,500.0,488.05,494.2,3540027,489.77024482927754,496.125412104157,-1,0.0
2025-02-07,492.75,494.9,482.35,484.65,2431783,488.8392912239543,495.0325157132849,-1,0.0
2025-02-10,483.6,485.0,474.0,476.9,6658769,486.66851100141713,493.3056094548768,-1,0.0
2025-02-11,475.1,477.6,461.15,466.9,3213487,483.0742362738867,490.79078950679326,-1,0.0
2025-02-12,466.85,471.0,451.75,467.6,2782225,480.26073876954365,488.5821428870987,-1,0.0
2025-02-13,468.0,480.05,465.3,467.65,1560258,477.9678771750812,486.5886054692798,-1,0.0
2025-02-14,469.0,470.2,434.3,437.1,3885358,470.53735405233914,481.875404948396,-1,0.0
2025-02-17,436.05,437.1,418.75,431.5,6897917,463.4396533155502,477.07774733426305,-1,0.0
2025-02-18,430.5,442.75,419.7,440.4,4154074,459.2506254399956,473.5846285405237,-1,0.0
2025-02-19,439.0,460.0,431.45,454.85,4076153,458.4505117236327,471.800378203331,-1,0.0
2025-02-20,450.0,477.75,448.8,468.55,7733476,460.2867823193358,471.4908183744423,-1,0.0
2025-02-21,474.0,506.7,473.1,496.6,25750317,466.889185534002,473.88216900544785,-1,0.0
2025-02-24,494.0,497.7,478.0,479.7,4578924,469.2184245278198,474.43624814778616,-1,0.0
2025-02-25,482.0,482.8,466.2,467.25,3336761,468.8605291591253,473.7518435622827,-1,0.0
2025-02-27,474.5,476.25,454.25,458.8,3135406,467.0313420392843,472.32785846111295,-1,0.0
2025-02-28,453.05,468.0,442.35,464.1,6930904,466.4983707594144,471.5442528933879,-1,0.0
2025-03-03,464.7,477.25,449.25,473.85,5530160,467.835030621339,471.7638478559224,-1,0.0
2025-03-04,471.5,485.35,466.55,481.25,4501589,470.2741159629137,472.6672909172631,-1,0.0
2025-03-05,479.25,514.7,479.25,509.1,7368531,477.33336760602026,476.13707273466656,1,2.0
2025-03-06,509.5,517.0,494.6,499.6,4847592,481.38184622310746,478.3716372361269,1,0.0
2025-03-07,498.05,506.35,486.25,491.7,4329758,483.2578741825424,479.6410051184005,1,0.0
2025-03-10,491.0,514.4,490.25,505.35,9854493,487.274624331171,482.08948082141,1,0.0
2025-03-11,501.0,519.5,498.1,513.75,6225817,492.08832899823085,485.1047683622281,1,0.0
2025-03-12,517.0,523.85,506.3,515.2,4974269,496.2904509985525,487.9709808991588,1,0.0
2025-03-13,519.65,523.65,508.1,514.1,4303396,499.5285508169975,490.4594589087627,1,0.0
2025-03-17,519.0,530.85,516.65,527.9,3934834,504.6869961229979,494.0252247269758,1,0.0
2025-03-18,533.95,552.15,525.15,548.35,5904233,512.6257241006347,499.19901284821617,1,0.0
2025-03-19,551.4,574.25,550.55,570.75,7493067,523.1937742641556,506.0133925769575,1,0.0
2025-03-20,576.0,576.0,552.1,562.9,4063831,530.4130880343091,511.4311647124853,1,0.0
2025-03-21,563.5,564.9,555.05,559.7,3118262,535.7379811189802,516.0281966446296,1,0.0
2025-03-24,562.55,579.0,556.85,575.25,4240378,542.9219845518928,521.6683683927602,1,0.0
2025-03-25,578.0,578.05,552.0,555.35,3022903,545.1816237242759,524.8761428315449,1,0.0
2025-03-26,552.0,562.7,549.0,553.05,2480329,546.6122375925894,527.5593673237787,1,0.0
2025-03-27,551.0,554.7,543.35,548.35,7424905,546.9281943939368,529.539427578657,1,0.0
2025-03-28,551.9,554.05,534.0,537.9,4123070,545.2867045041301,530.3356725711658,1,0.0
2025-04-01,532.05,540.85,520.85,522.5,3372414,541.143667321561,529.5894180405785,1,0.0
2025-04-02,528.0,532.65,518.0,526.25,4370554,538.4357278085499,529.2713782271901,1,0.0
2025-04-03,520.15,534.0,518.65,527.15,4738116,536.3837772979044,529.069342205553,1,0.0
2025-04-04,524.95,527.55,500.6,506.4,4338333,530.9321814255582,526.9103572335955,1,0.0
2025-04-07,460.0,492.85,460.0,488.4,3038809,523.199057530002,523.2427041637293,-1,-2.0
2025-04-08,502.05,503.55,486.4,490.25,1859126,517.2083197972744,520.1005418624218,-1,0.0
2025-04-09,490.0,490.2,477.0,482.3,1765150,510.8613525614063,516.5004902564768,-1,0.0
2025-04-11,501.0,501.0,486.0,493.95,3235537,507.7865611866051,514.3528245177647,-1,0.0
2025-04-15,499.9,521.5,499.75,512.6,3065723,508.6617318799496,514.1858888494062,-1,0.0
2025-04-16,514.0,518.45,501.9,509.7,2574424,508.85050790177695,513.758661339939,-1,0.0
2025-04-17,511.0,516.6,506.65,507.9,2226131,508.677688283272,513.2006935932782,-1,0.0
2025-04-21,510.9,523.25,503.2,521.35,4128522,510.9817449590407,513.976818012966,-1,0.0
2025-04-22,526.0,527.5,507.1,509.2,4070438,510.65779133012416,513.521882964112,-1,0.0
2025-04-23,513.8,515.0,504.6,508.85,5386110,510.3291019973743,513.0769417294347,-1,0.0
2025-04-24,508.75,512.6,501.55,503.8,2120881,509.14199254330623,512.1934234694885,-1,0.0
2025-04-25,503.0,508.7,478.2,482.7,3196366,504.33435753543233,509.3845259962039,-1,0.0
2025-04-28,476.85,489.9,473.3,476.2,6571011,499.2190198017173,506.22409494894634,-1,0.0
2025-04-29,479.9,485.8,463.0,464.6,5429671,492.9246525650414,502.25989542999906,-1,0.0
2025-04-30,465.8,486.85,463.05,479.2,5506434,490.4292611895793,500.06371491285626,-1,0.0
2025-05-02,483.8,483.8,467.7,469.6,2817845,486.6421227914739,497.16240873067943,-1,0.0
2025-05-05,472.0,483.65,457.05,481.2,4696931,485.65264592029683,495.64217932775756,-1,0.0
2025-05-06,482.9,484.7,464.6,466.2,1813659,482.1158012075156,492.8381622489235,-1,0.0
2025-05-07,457.6,474.95,457.6,468.5,1740467,479.64020098796726,490.52024203474025,-1,0.0
2025-05-08,472.7,476.5,459.0,463.35,2323658,476.67834626288226,487.9325999361936,-1,0.0
2025-05-09,441.0,463.35,441.0,459.85,2156494,473.61864694235817,485.2580666089371,-1,0.0
2025-05-12,475.0,482.0,472.3,481.1,1959126,474.9788929528385,484.8620602652288,-1,0.0
2025-05-13,482.0,482.05,470.35,474.25,2597495,474.8463669614133,483.8513878590166,-1,0.0
2025-05-14,474.25,477.9,471.05,474.95,3784668,474.86520933206543,483.00363663434837,-1,0.0
2025-05-15,478.0,491.45,477.15,487.4,5192791,477.1442621807808,483.42233790726755,-1,0.0
2025-05-16,490.0,506.65,481.85,503.85,9882396,481.9998508751843,485.3678295351468,-1,0.0
2025-05-19,506.0,524.85,505.1,515.35,6049881,488.06351435242345,488.22327434132336,-1,0.0
2025-05-20,517.8,519.0,502.85,504.7,3170791,491.0883299247101,489.79248630881636,1,2.0
2025-05-21,503.9,513.9,498.1,504.8,2590939,493.58136084749003,491.2217733270244,1,0.0
2025-05-22,504.3,510.8,492.5,499.95,4039008,494.73929523885545,492.0530330101649,1,0.0
2025-05-23,500.75,504.05,495.65,496.6,2122235,495.07760519542717,492.4860774853873,1,0.0
2025-05-26,496.9,507.5,496.5,504.9,1927370,496.8634951598949,493.6683558201123,1,0.0
2025-05-27,504.9,505.0,493.65,497.35,2509599,496.95195058536854,494.0189885991492,1,0.0
2025-05-28,498.5,503.8,493.9,496.3,1794123,496.83341411530154,494.2362277801826,1,0.0
2025-05-29,497.95,503.0,492.1,500.9,3046559,497.57279336706483,494.87087275349853,1,0.0
2025-05-30,500.5,502.35,486.85,487.95,3732715,495.823194573053,494.2117420150701,1,0.0
2025-06-02,487.95,501.4,484.1,497.55,1879134,496.13715919613423,494.5296713469682,1,0.0
2025-06-03,498.1,508.35,496.2,499.05,2378912,496.6667666150189,494.9601788377331,1,0.0
2025-06-04,500.9,510.75,495.4,509.05,2982748,498.91826359410635,496.3020665674728,1,0.0
2025-06-05,512.0,515.3,505.4,508.1,1631097,500.58767021335973,497.4256792753326,1,0.0
2025-06-06,514.0,523.95,508.0,522.85,5565991,504.63536653820336,499.8470431538724,1,0.0
2025-06-09,526.8,541.85,525.0,534.9,6278958,510.1380271676209,503.18541999636074,1,0.0
2025-06-10,537.0,538.8,529.0,533.2,2909626,514.3311131371444,506.04395142527875,1,0.0
2025-06-11,537.85,543.1,532.3,535.5,4458603,518.1800016576635,508.849289384776,1,0.0
2025-06-12,535.0,537.95,514.25,516.8,2193633,517.9290922653611,509.6064999195592,1,0.0
2025-06-13,502.3,515.85,502.3,506.85,2226519,515.9147118534772,509.34397611769646,1,0.0
2025-06-16,507.8,514.3,503.05,512.85,1713177,515.3574915164813,509.6778831541063,1,0.0
2025-06-17,515.0,515.9,500.5,503.35,2324881,513.1743112407574,509.07522761562,1,0.0
2025-06-18,503.3,512.5,500.7,504.05,2255318,511.5153455606197,508.59663450937046,1,0.0
2025-06-19,504.1,507.0,479.0,480.55,5484701,505.8852827314161,505.925526460859,-1,-2.0
2025-06-20,481.0,502.2,480.05,499.3,5785366,504.68795859843135,505.29452394077714,-1,0.0
2025-06-23,495.0,503.0,489.5,500.55,3285462,503.93560248962564,504.842664517846,-1,0.0
2025-06-24,506.0,510.8,502.0,504.9,3594212,504.11094749151187,504.8481250399559,-1,0.0
2025-06-25,510.9,513.05,506.7,507.7,4375094,504.7635024930551,505.1197321790077,-1,0.0
2025-06-26,512.9,520.45,505.5,516.95,7709890,506.9792293124996,506.24642435243555,1,2.0
2025-06-27,519.0,528.5,516.0,522.5,3849783,509.80118761931783,507.79438393791787,1,0.0
2025-06-30,523.3,526.1,517.1,522.1,2172588,512.0373353248964,509.15682356287806,1,0.0
2025-07-01,522.3,528.45,518.8,527.15,2604174,514.7850925385516,510.8704594140325,1,0.0
2025-07-02,531.9,532.65,513.2,518.05,3540272,515.3787120769966,511.5542251841246,1,0.0
2025-07-03,519.8,520.3,507.95,510.35,3273830,514.4644007902699,511.43953707135086,1,0.0
2025-07-04,510.4,513.4,502.1,512.0,3519624,514.0163279193117,511.492914493127,1,0.0
2025-07-07,513.65,524.2,508.0,509.65,3411737,513.2224501158005,511.3173988271149,1,0.0
2025-07-08,510.0,516.85,504.35,513.55,3934146,513.2820046402003,511.53002751024684,1,0.0
2025-07-09,515.05,525.5,513.9,514.9,3516374,513.5761856147093,511.85097727117574,1,0.0
2025-07-10,516.5,536.6,515.45,530.55,6941032,516.6623336847621,513.6318365786829,1,0.0
2025-07-11,531.0,535.5,522.2,523.7,4054505,517.9419093784417,514.590709285475,1,0.0
2025-07-14,525.0,534.35,522.25,530.5,3346236,520.2251985823614,516.1058798297154,1,0.0
2025-07-15,532.0,533.5,526.4,528.95,2422923,521.8115261128411,517.3291293697425,1,0.0
2025-07-16,528.75,533.5,526.2,531.75,2460503,523.6185213650517,518.7025456202432,1,0.0
2025-07-17,528.0,534.3,521.55,531.6,4175593,525.0696992986786,519.9308746087914,1,0.0
2025-07-18,532.5,538.75,522.0,530.4,5871617,526.0388448807371,520.9279341698589,1,0.0
2025-07-21,530.4,535.5,526.05,531.7,2545659,527.0681458115121,521.9538452013009,1,0.0
2025-07-22,533.0,536.1,529.55,531.55,2785824,527.8830283912371,522.8677647059388,1,0.0
2025-07-23,532.95,535.8,531.0,533.85,1429888,528.967932320103,523.9136918768017,1,0.0
2025-07-24,535.0,537.0,526.5,532.55,3750877,529.6192173528116,524.7361974123444,1,0.0
2025-07-25,531.45,532.85,512.0,518.1,3715596,527.524814197755,524.1041786111687,1,0.0
2025-07-28,515.0,527.75,511.6,520.1,2232420,526.1748479799813,523.7228282672478,1,0.0
2025-07-29,515.2,526.35,515.2,524.8,1532398,525.9248756199847,523.8254160513195,1,0.0
2025-07-30,524.8,529.75,521.05,526.5,1616906,526.0294436890783,524.0801383321462,1,0.0
2025-07-31,520.05,523.8,512.1,515.05,1946308,524.033181200155,523.2201251576562,1,0.0
2025-08-01,530.0,533.9,509.4,511.65,12369442,521.7816937092177,522.1182084759746,-1,-2.0
2025-08-04,515.0,539.9,512.3,537.8,9051726,524.6941130348144,523.6117124306437,1,2.0
2025-08-05,539.0,548.4,535.2,537.7,8557539,527.0588197557572,524.9534541039158,1,0.0
2025-08-06,538.5,541.4,521.7,534.05,4521179,528.3299434365285,525.8197918083048,1,0.0
2025-08-07,530.0,537.0,514.6,532.9,3013051,529.1608628117051,526.494097350371,1,0.0
2025-08-08,533.2,535.05,516.5,518.3,1688157,527.1861604823041,525.7137071265262,1,0.0
2025-08-11,521.5,537.0,518.3,535.1,2511889,528.6250403946124,526.6076397811428,1,0.0
2025-08-12,534.6,539.4,531.1,533.15,1582468,529.4477603228646,527.2307217067482,1,0.0
2025-08-13,534.1,538.95,533.85,535.0,1205129,530.4572584459801,527.9706529727722,1,0.0
2025-08-14,535.0,535.75,525.85,529.15,1062841,530.2195750921655,528.0829717372701,1,0.0
2025-08-18,534.5,540.65,531.15,533.6,2426463,530.8341978026809,528.6084030003872,1,0.0
2025-08-19,533.6,535.0,530.4,533.3,1331520,531.2825254749207,529.0552217622551,1,0.0
2025-08-20,532.2,539.15,531.0,531.75,2552499,531.3675208431168,529.311867308707,1,0.0
2025-08-21,532.0,532.3,519.2,521.3,2595769,529.5370625080046,528.5488323269253,1,0.0
2025-08-22,520.7,522.6,513.3,517.9,2099250,527.4212329610947,527.534657819599,-1,-2.0
2025-08-25,518.9,525.8,515.8,521.45,3246470,526.3355542408957,526.9551665986849,-1,0.0
2025-08-26,520.0,521.6,511.45,513.1,1985173,523.9290898334601,525.6356269226196,-1,0.0
2025-08-28,513.0,513.0,496.2,497.65,2117153,519.1510735001037,522.9703291204654,-1,0.0
2025-08-29,498.05,498.85,485.5,488.45,2020026,513.5690601364485,519.6826787280401,-1,0.0
2025-09-01,490.0,501.9,488.0,501.1,1287794,511.3019582934578,517.9128998015601,-1,0.0
2025-09-02,504.0,513.1,499.55,511.3,2096621,511.30160224010183,517.2830998204591,-1,0.0
2025-09-03,511.3,515.5,508.35,509.05,1579405,510.8922200146287,516.4989950756535,-1,0.0
2025-09-04,509.9,513.75,501.5,502.5,1691028,509.36636183015077,515.1657574494008,-1,0.0
2025-09-05,502.1,507.15,499.55,504.1,1075403,508.408841497396,514.1118757875531,-1,0.0
2025-09-08,505.2,520.0,505.2,510.2,1649154,508.73450667968757,513.7393161887386,-1,0.0
2025-09-09,511.95,512.35,505.0,506.1,1197551,508.2555054651989,513.0117622660016,-1,0.0
2025-09-10,508.9,523.0,508.2,519.0,2428381,510.2090499260718,513.5820706216205,-1,0.0
2025-09-11,518.65,529.5,516.45,521.55,2031990,512.2710408486042,514.3409210386089,-1,0.0
2025-09-12,525.0,529.6,523.1,525.75,1823634,514.7217606943125,515.4274999873129,-1,0.0
2025-09-15,523.95,535.0,523.15,532.0,1875958,517.863258749892,517.0058333218545,1,2.0
2025-09-16,532.45,551.25,532.0,540.05,5756908,521.897211704457,519.2005158626303,1,0.0
2025-09-17,541.9,545.3,534.0,535.0,1370817,524.2795368491012,520.7052286376178,1,0.0
2025-09-18,535.4,542.5,533.8,537.8,1135518,526.7378028765373,522.3333021007018,1,0.0
2025-09-19,551.0,552.0,542.65,545.5,4396075,530.1491114444395,524.5396542815873,1,0.0
2025-09-22,547.0,549.45,539.35,542.95,1883318,532.4765457272687,526.2930205404838,1,0.0
2025-09-23,542.5,555.5,541.1,543.85,3398352,534.5444465041289,527.9651138223425,1,0.0
2025-09-24,546.05,551.0,533.25,535.15,2427695,534.6545471397418,528.6493886964051,1,0.0
2025-09-25,536.0,539.85,527.15,528.6,2098712,533.5537203870614,528.6446850110332,1,0.0
2025-09-26,526.15,528.4,518.3,520.1,1451737,531.1075894075957,527.8309054861729,1,0.0
2025-09-29,521.0,531.85,520.2,528.55,1476731,530.6425731516691,527.8993906779659,1,0.0
2025-09-30,526.5,534.35,525.0,530.85,1505150,530.680287124093,528.1804010895883,1,0.0
2025-10-01,532.9,538.0,528.2,536.45,840361,531.7293258288033,528.9679819381989,1,0.0
2025-10-03,537.0,542.35,532.05,539.9,1851581,533.214902950839,530.0091265155133,1,0.0
2025-10-06,539.9,542.8,536.1,541.0,1940149,534.6303751415956,531.0558763711788,1,0.0
2025-10-07,541.0,557.4,538.55,548.05,4233559,537.0703069340327,532.6743643358284,1,0.0
2025-10-08,547.05,547.95,530.1,534.45,3256894,536.5938874914813,532.843472494321,1,0.0
2025-10-09,534.0,544.0,532.55,542.8,1425566,537.7222715839391,533.7917132091475,1,0.0
2025-10-10,542.8,547.5,541.5,546.0,1605532,539.227313114132,534.9544071892287,1,0.0
2025-10-13,543.0,546.5,538.65,544.45,1373686,540.1768925479262,535.8587493616832,1,0.0
2025-10-14,546.0,549.5,534.9,541.05,2538458,540.335639357394,536.3531541843801,1,0.0
2025-10-15,541.25,547.1,537.6,545.75,1730184,541.3200685651406,537.2480918811058,1,0.0
2025-10-16,545.75,551.5,545.0,548.6,2481559,542.6436924623877,538.3292259876671,1,0.0
2025-10-17,550.0,552.7,536.75,540.8,3399859,542.3084756510444,538.5645377983654,1,0.0
2025-10-20,539.6,539.6,514.0,525.2,5106756,539.1978437144909,537.2917246747115,1,0.0
2025-10-21,531.5,531.5,525.3,528.1,489245,537.1800539482198,536.416322324739,1,0.0
2025-10-23,528.25,535.0,522.85,533.3,2656263,536.474589593998,536.1195297223829,1,0.0
2025-10-24,533.0,538.05,528.25,531.15,2323758,535.5064823950893,535.646241177394,-1,-2.0
2025-10-27,531.0,535.85,527.8,529.35,2154794,534.3871219596185,535.0465991604993,-1,0.0
2025-10-28,527.0,539.9,525.1,536.35,2738818,534.7440088760515,535.1707325737851,-1,0.0
2025-10-29,536.5,546.35,531.85,534.45,2691960,534.6905527167694,535.1020913762818,-1,0.0
2025-10-30,535.0,541.3,529.0,538.15,1726926,535.3195431319022,535.3923683880645,-1,0.0
2025-10-31,538.0,540.0,525.5,527.45,2820568,533.8887171079199,534.635952351106,-1,0.0
2025-11-03,528.0,536.25,524.8,532.9,1781082,533.7089503610254,534.4706235557626,-1,0.0
2025-11-04,534.0,535.45,525.9,528.1,1525398,532.6891412044753,533.8638975028329,-1,0.0
2025-11-06,526.15,531.95,515.6,517.35,2026463,529.9002064400253,532.2911453597059,-1,0.0
2025-11-07,522.0,523.9,511.2,519.15,1562135,527.9456234509297,531.0396077064006,-1,0.0
2025-11-10,521.0,527.0,519.55,522.5,878117,526.9555100962152,530.2263117343625,-1,0.0
2025-11-11,523.0,529.45,518.25,526.85,1434139,526.9363264423579,529.9047582358519,-1,0.0
2025-11-12,527.9,532.35,523.05,528.05,1747648,527.1388125437472,529.7281145943422,-1,0.0
2025-11-13,527.5,532.9,525.4,528.3,1677794,527.3499375357932,529.5921036805953,-1,0.0
2025-11-14,525.05,531.75,522.55,528.8,1755919,527.613585256558,529.5166652348244,-1,0.0
2025-11-17,528.0,535.5,526.85,527.65,1230818,527.620206119002,529.3388875934126,-1,0.0
2025-11-18,526.8,528.5,520.95,526.95,2011169,527.4983504610016,529.111374489278,-1,0.0
2025-11-19,526.05,528.7,512.35,513.65,2913764,524.9804685590012,527.6388626331562,-1,0.0
2025-11-20,516.0,517.3,503.5,504.85,3532744,521.3203833664555,525.4684947633318,-1,0.0
2025-11-21,506.0,507.65,483.0,484.55,6244965,514.634859118009,521.5714952620621,-1,0.0
2025-11-24,487.9,487.9,479.5,481.0,3561430,508.51943018746186,517.7075433323419,-1,0.0
2025-11-25,481.4,482.4,475.0,476.6,2950968,502.71589742610513,513.7925392054522,-1,0.0
2025-11-26,476.6,489.6,473.8,487.25,1486994,499.90391607590414,511.26467832874243,-1,0.0
2025-11-27,489.0,490.2,480.65,488.0,2266552,497.739567698467,509.048994678386,-1,0.0
2025-11-28,489.5,489.5,483.45,488.65,1256225,496.08691902601845,507.1062332804445,-1,0.0
2025-12-01,488.7,493.4,484.1,491.8,1933563,495.30747920310597,505.648496777545,-1,0.0
2025-12-02,488.05,490.55,480.0,484.15,2109674,493.278846620723,503.6010208939693,-1,0.0
2025-12-03,482.2,484.85,468.1,470.2,2984285,489.08269268968246,500.41997128501987,-1,0.0
2025-12-04,470.2,473.3,457.9,459.85,6057866,483.76765765519474,496.5561644959704,-1,0.0
2025-12-05,459.85,465.0,448.65,461.95,4893964,479.8008108087957,493.260339305878,-1,0.0
2025-12-08,461.9,470.9,449.55,453.85,3062061,475.0824815708328,489.5069736576991,-1,0.0
2025-12-09,453.5,456.9,442.7,451.2,21783593,470.7402121943177,485.858690452204,-1,0.0
2025-12-10,452.0,470.8,448.9,451.15,5390865,467.1783554317144,482.55310088532735,-1,0.0
2025-12-11,452.15,460.0,448.15,457.8,2098580,465.47319989867543,480.1956627057724,-1,0.0
2025-12-12,457.8,485.1,457.8,482.2,5749586,468.51443628073446,480.3865519718893,-1,0.0
2025-12-15,484.1,487.8,478.9,486.45,3760447,471.77544786605546,480.96402321266174,-1,0.0
2025-12-16,484.0,484.95,472.15,478.5,1861838,472.9980937085908,480.7293543352654,-1,0.0
2025-12-17,477.8,482.55,473.0,475.25,1837506,473.40753121611965,480.2075110652401,-1,0.0
2025-12-18,475.25,475.25,467.65,472.0,1792598,473.1516164495524,479.42584334474105,-1,0.0
2025-12-19,475.0,479.9,468.3,478.25,1533200,474.07859527690647,479.31385826428954,-1,0.0
2025-12-22,479.0,482.1,476.1,478.95,847804,474.9643052265598,479.27920509626193,-1,0.0
2025-12-23,480.0,486.75,477.2,485.65,1158705,476.9071588217307,479.88594746804654,-1,0.0
2025-12-24,486.9,488.1,481.55,484.35,1822866,478.2604026723251,480.31109532823257,-1,0.0
2025-12-26,481.9,486.95,477.3,479.4,712818,478.4676021864477,480.22432434459137,-1,0.0
2025-12-29,479.0,479.35,470.0,471.15,796387,477.13712906163903,479.3601029784398,-1,0.0
2025-12-30,469.3,474.65,468.0,469.75,638823,475.79401468679555,478.44485507573125,-1,0.0
2025-12-31,470.05,484.15,469.95,482.45,2308011,477.0041938346509,478.8262974494711,-1,0.0
2026-01-01,484.0,503.05,483.0,502.0,6027942,481.5488858647143,481.03331673999764,1,2.0
2026-01-02,505.0,514.55,502.2,510.65,5505156,486.83999752567524,483.85395324095026,1,0.0
2026-01-05,510.05,524.1,509.85,516.9,3982373,492.305452521007,487.00119578943116,1,0.0
2026-01-06,517.25,521.6,511.5,514.85,1579518,496.40446115355115,489.6534628571044,1,0.0
2026-01-07,515.0,518.0,507.2,512.6,1268975,499.34910458017816,491.838847346904,1,0.0
2026-01-08,512.0,512.9,497.0,499.7,1233169,499.4129037474185,492.58752855196076,1,0.0
2026-01-09,499.8,502.3,487.4,490.25,1227007,497.7469212478878,492.3649067851074,1,0.0
2026-01-12,490.0,499.9,479.35,498.8,2300943,497.9383901119082,492.97777280557335,1,0.0
2026-01-13,500.0,502.05,488.0,494.15,1491221,497.249591909743,493.08941349075684,1,0.0
2026-01-14,493.0,501.0,491.5,494.65,950741,496.77693883524427,493.23804077735144,1,0.0
2026-01-16,496.5,503.65,490.6,492.8,2548099,496.053859047018,493.19632260807987,1,0.0
2026-01-19,492.9,500.35,484.2,486.35,954571,494.2895210384693,492.5442918835009,1,0.0
2026-01-20,486.35,487.75,476.05,479.1,1392651,491.52778994056575,491.26388313269126,1,0.0
2026-01-21,479.5,481.55,471.0,477.8,1565280,489.0318281331901,489.98160854862545,-1,-2.0
2026-01-22,479.8,494.3,479.25,492.35,1249211,489.6351321089737,490.2071696392326,-1,0.0
2026-01-23,492.0,492.0,472.5,477.65,1759170,487.45601718006935,489.01124872121045,-1,0.0
2026-01-27,475.0,475.0,427.75,440.05,24092304,478.8367413291476,484.34827265252375,-1,0.0
2026-01-28,442.0,452.4,438.7,446.25,9881272,472.9118792693026,480.7198657332358,-1,0.0
2026-01-29,454.0,461.05,446.2,459.0,3250586,470.38244667488385,478.65130709197524,-1,0.0
