Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,418.95,420.0,408.8,415.35,518151,415.35,415.35,0,
2025-02-05,415.25,423.0,408.0,417.95,941091,415.82272727272726,415.59761904761905,1,1.0
2025-02-06,422.55,422.55,398.25,399.9,725550,412.92768595041315,414.1026077097506,-1,-2.0
2025-02-07,403.25,404.75,384.0,385.8,780290,407.99537941397443,411.4071212612029,-1,0.0
2025-02-10,385.9,389.2,375.0,378.7,355266,402.6689467932518,408.29215733156457,-1,0.0
2025-02-11,378.65,379.45,360.05,366.15,300403,396.0291382853878,404.27861853808224,-1,0.0
2025-02-12,366.15,370.15,349.15,368.0,736079,390.9329313244082,400.82351201064586,-1,0.0
2025-02-13,369.4,379.25,361.05,363.15,438170,385.8814892654249,397.2355584858224,-1,0.0
2025-02-14,364.6,366.0,353.8,358.75,446966,380.9484912171658,393.5702672014584,-1,0.0
2025-02-17,356.75,359.7,343.2,345.05,761620,374.4214928140447,388.9492893727481,-1,0.0
2025-02-18,348.6,348.95,332.55,337.65,673109,367.73576684785473,384.06364276581974,-1,0.0
2025-02-19,335.0,357.5,333.2,355.2,533043,365.4565365118811,381.3147244071702,-1,0.0
2025-02-20,352.0,352.95,342.65,344.15,927001,361.58262078244815,377.7752268445826,-1,0.0
2025-02-21,345.8,351.6,341.0,343.5,344922,358.29487154927574,374.51091952605094,-1,0.0
2025-02-24,340.4,342.95,335.2,338.6,296316,354.7139858130438,371.0908319521413,-1,0.0
2025-02-25,339.15,346.2,327.0,332.2,618832,350.6205338470358,367.38694319479447,-1,0.0
2025-02-27,332.9,335.85,318.0,334.1,838561,347.616800420302,364.2167581286236,-1,0.0
2025-02-28,330.0,335.5,319.65,322.4,868344,343.03192761661074,360.23420973542136,-1,0.0
2025-03-03,323.3,324.45,312.3,315.2,797135,337.9715771408633,355.94523737966693,-1,0.0
2025-03-04,314.9,339.2,310.2,334.15,1051853,337.2767449334336,353.8695004863653,-1,0.0
2025-03-05,334.95,337.4,325.6,328.55,1810602,335.6900640364456,351.45811948766385,-1,0.0
2025-03-06,334.95,339.0,326.35,334.8,919684,335.5282342116373,349.8716319174102,-1,0.0
2025-03-07,335.0,336.65,328.0,329.8,1685687,334.48673708224874,347.9600479252759,-1,0.0
2025-03-10,332.0,335.0,325.1,327.1,476411,333.14369397638535,345.97337669429726,-1,0.0
2025-03-11,323.9,335.85,322.0,333.9,854696,333.2812041624971,344.8235312948404,-1,0.0
2025-03-12,333.9,336.4,328.0,329.55,248841,332.6028034056794,343.3689092667604,-1,0.0
2025-03-13,332.3,337.7,326.55,330.8,369413,332.2750209682831,342.1718702889737,-1,0.0
2025-03-17,330.95,333.85,327.3,331.5,229740,332.13410806495887,341.1555016900238,-1,0.0
2025-03-18,331.5,343.25,331.45,339.25,405121,333.4279065986027,340.974025338593,-1,0.0
2025-03-19,342.0,343.0,330.25,331.65,673457,333.1046508534022,340.08602292539365,-1,0.0
2025-03-20,333.05,341.1,330.75,337.25,1204571,333.8583506982381,339.8159255039276,-1,0.0
2025-03-21,337.9,348.65,336.45,345.5,603542,335.97501420764934,340.35726593212496,-1,0.0
2025-03-24,346.05,348.4,339.45,342.4,562845,337.14319344262213,340.55181203382733,-1,0.0
2025-03-25,343.95,345.65,331.7,333.0,564857,336.38988554396354,339.8325918401295,-1,0.0
2025-03-26,332.5,334.2,323.75,325.05,1011572,334.3280881723338,338.42472595059337,-1,0.0
2025-03-27,324.8,331.15,322.75,329.8,540723,333.5047994137277,337.6033234791083,-1,0.0
2025-03-28,331.1,334.85,327.4,328.7,416607,332.63119952032264,336.7553879096694,-1,0.0
2025-04-01,328.5,333.0,325.25,328.95,279752,331.9618905166276,336.01201763255807,-1,0.0
2025-04-02,327.4,336.3,318.6,334.75,493645,332.4688195136044,335.8918254770764,-1,0.0
2025-04-03,332.05,343.6,322.05,342.6,335800,334.3108523293127,336.53069924116437,-1,0.0
2025-04-04,342.0,342.0,330.0,331.7,301390,333.8361519058013,336.07063264676776,-1,0.0
2025-04-07,301.55,337.45,300.1,334.0,590314,333.86594246838285,335.8734295375518,-1,0.0
2025-04-08,333.0,345.9,331.4,344.25,461269,335.7539529286769,336.671198153023,-1,0.0
2025-04-09,342.95,389.35,340.3,379.6,14072874,343.7259614870993,340.7596554717827,1,2.0
2025-04-11,375.15,376.45,362.05,366.8,2624545,347.9212412167176,343.23968828399387,1,0.0
2025-04-15,370.0,372.9,366.25,371.5,757117,352.2082882682235,345.93114654266117,1,0.0
2025-04-16,373.5,378.0,370.95,376.9,412408,356.6976904012738,348.8805611576458,1,0.0
2025-04-17,376.9,378.05,371.35,375.55,333632,360.1253830555877,351.4205077140605,1,0.0
2025-04-21,383.0,384.55,367.65,382.5,1424601,364.193495227299,354.38045936034047,1,0.0
2025-04-22,387.2,395.1,381.75,394.05,682093,369.6219506405174,358.1585108498318,1,0.0
2025-04-23,399.4,399.9,386.6,391.2,668237,373.5452323422415,361.30531934032405,1,0.0
2025-04-24,393.3,394.65,380.25,383.5,427105,375.35519009819757,363.41909845076935,1,0.0
2025-04-25,383.5,384.9,370.3,376.7,414902,375.5997009894344,364.68394621736275,1,0.0
2025-04-28,376.7,388.95,374.65,381.0,926494,376.58157353680997,366.2378561014234,1,0.0
2025-04-29,381.0,386.5,375.6,377.5,216700,376.74856016648084,367.3104412346212,1,0.0
2025-04-30,377.0,381.9,371.0,374.0,360834,376.2488219543934,367.9475420694191,1,0.0
2025-05-02,375.85,378.55,368.25,369.4,216450,375.0035815990491,368.0858713961411,1,0.0
2025-05-05,369.0,383.0,366.8,378.55,265903,375.6483849446765,369.0824550726991,1,0.0
2025-05-06,375.0,378.05,368.35,369.8,177190,374.58504222746257,369.150792684823,1,0.0
2025-05-07,364.25,374.65,360.9,373.2,189769,374.3332163679239,369.5364314767446,1,0.0
2025-05-08,374.2,376.9,367.25,370.05,448635,373.55444975557407,369.58534276467367,1,0.0
2025-05-09,364.1,370.1,357.6,366.7,293497,372.3081861636515,369.31054821565715,1,0.0
2025-05-12,375.0,378.2,348.0,350.8,1575679,368.39760686116944,367.54763886178506,1,0.0
2025-05-13,351.0,353.8,332.15,336.2,2280942,362.54349652277494,364.56214944637696,-1,-2.0
2025-05-14,337.85,345.25,337.0,341.4,975126,358.6992244277249,362.35623045148395,-1,0.0
2025-05-15,343.25,352.0,341.65,347.75,809374,356.70845634995675,360.9651608846759,-1,0.0
2025-05-16,347.85,350.8,345.25,348.5,376094,355.2160097408737,359.778002705183,-1,0.0
2025-05-19,350.8,352.5,346.55,347.5,346683,353.81309887889665,358.60866911421317,-1,0.0
2025-05-20,350.0,351.6,338.0,339.8,472849,351.2652627190973,356.8173672938119,-1,0.0
2025-05-21,340.0,341.8,337.2,338.75,405208,348.9897604065342,355.0966656467822,-1,0.0
2025-05-22,338.4,339.25,332.7,334.25,323067,346.30980396898246,353.1112689185172,-1,0.0
2025-05-23,335.4,339.9,332.3,338.05,339732,344.8080214291674,351.67686235484894,-1,0.0
2025-05-26,339.7,341.75,335.5,337.8,334433,343.5338357147733,350.3552564162919,-1,0.0
2025-05-27,339.0,342.8,338.0,341.5,248378,343.1640474029963,349.51189866235933,-1,0.0
2025-05-28,342.45,346.0,341.55,344.55,273100,343.41603878426963,349.0393368849918,-1,0.0
2025-05-29,346.15,346.55,342.15,345.45,277568,343.78584991440243,348.69749527689737,-1,0.0
2025-05-30,346.3,347.0,342.75,345.0,203644,344.00660447542015,348.3453528695738,-1,0.0
2025-06-02,345.0,346.5,342.9,344.3,147656,344.0599491162528,347.9600811677096,-1,0.0
2025-06-03,345.6,346.3,341.3,343.4,374526,343.9399583678432,347.52578772316576,-1,0.0
2025-06-04,341.55,344.5,340.05,341.25,234168,343.4508750282353,346.9280936542928,-1,0.0
2025-06-05,342.8,344.75,341.6,342.8,170703,343.3325341140107,346.5349418776935,-1,0.0
2025-06-06,344.45,344.5,338.0,338.75,326151,342.4993460932815,345.7935188417227,-1,0.0
2025-06-09,339.5,343.5,338.1,338.45,442521,341.7631013490485,345.09413609489195,-1,0.0
2025-06-10,338.15,349.95,336.1,345.5,1659092,342.44253746740327,345.13278980014036,-1,0.0
2025-06-11,347.2,350.6,345.9,348.25,585248,343.4984397460572,345.4296669620318,-1,0.0
2025-06-12,348.95,349.2,343.0,344.05,433498,343.5987234285923,345.29827010850494,-1,0.0
