Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,378.2,388.2,375.4,385.7,26663090,385.7,385.7,0,
2025-02-05,387.6,387.8,380.5,382.4,17136925,385.1,385.38571428571424,-1,-1.0
2025-02-06,383.4,384.0,379.3,383.2,15969855,384.75454545454545,385.17755102040815,-1,0.0
2025-02-07,384.2,392.1,381.6,385.8,22070870,384.94462809917354,385.2368318756074,-1,0.0
2025-02-10,387.1,393.0,384.7,392.0,17846865,386.22742299023287,385.8809431255495,1,2.0
2025-02-11,392.9,394.1,381.3,383.7,17533410,385.76789153746324,385.6732342564495,1,0.0
2025-02-12,384.7,389.8,381.0,388.8,16095020,386.3191839851972,385.971021470121,1,0.0
2025-02-13,392.6,398.6,392.1,394.6,63391865,387.8247868969795,386.7928289491571,1,0.0
2025-02-14,394.8,394.8,386.7,390.5,13050240,388.3111892793468,387.1458928587612,1,0.0
2025-02-17,391.0,392.8,386.5,389.1,11500595,388.45460941037464,387.331998300784,1,0.0
2025-02-18,388.4,393.2,387.8,392.7,21720625,389.2264986084883,387.84323655785215,1,0.0
2025-02-19,392.8,399.0,392.4,397.0,19570825,390.63986249785404,388.71530926662814,1,0.0
2025-02-20,396.5,396.5,392.0,394.1,23621860,391.2689784073351,389.22813695552065,1,0.0
2025-02-21,394.1,395.7,386.9,390.6,20042760,391.14734596963785,389.3587905788044,1,0.0
2025-02-24,387.7,394.0,386.7,393.2,11090405,391.52055579334007,389.7246200474897,1,0.0
2025-02-25,393.8,395.9,391.7,393.4,20099470,391.86227292182366,390.074656233443,1,0.0
2025-02-27,394.4,395.0,388.0,389.5,18540340,391.43276875421935,390.0199270683532,1,0.0
2025-02-28,387.4,387.4,378.8,380.6,34851575,389.46317443527033,389.12279115708145,1,0.0
2025-03-03,381.1,384.7,379.0,382.9,13038950,388.2698699924939,388.53014438021654,-1,-2.0
2025-03-04,380.2,383.2,379.4,381.6,15860250,387.05716635749496,387.87013062971977,-1,0.0
2025-03-05,380.6,390.7,379.1,386.6,19058440,386.97404520158676,387.74916580784173,-1,0.0
2025-03-06,388.8,389.0,382.0,384.3,25965465,386.4878551649346,387.42067382614255,-1,0.0
2025-03-07,383.4,388.1,382.0,387.1,13901690,386.59915422585556,387.390133461748,-1,0.0
2025-03-10,386.5,388.0,383.3,384.4,11142670,386.1993080029727,387.10535884634345,-1,0.0
2025-03-11,384.6,388.8,380.9,387.0,16035260,386.3448883660686,387.0953246705012,-1,0.0
2025-03-12,388.0,399.5,387.6,396.5,33522470,388.1912722995106,387.9910080352154,1,2.0
2025-03-13,395.1,398.7,393.9,397.0,24628970,389.79285915414505,388.84900726995676,1,0.0
2025-03-17,396.0,399.8,394.8,398.6,15854645,391.39415748975506,389.77767324424656,1,0.0
2025-03-18,400.0,407.8,397.7,406.8,26921440,394.195219764345,391.398847220985,1,0.0
2025-03-19,407.8,410.2,403.4,404.3,26691440,396.032452534464,392.627528438034,1,0.0
2025-03-20,406.2,407.8,403.3,407.1,13416530,398.0447338918342,394.0058590629832,1,0.0
2025-03-21,408.0,419.5,407.0,415.8,94254040,401.2729640933189,396.08149153317527,1,0.0
2025-03-24,420.0,436.8,418.0,435.2,42541755,407.4415160763518,399.807063768111,1,0.0
2025-03-25,436.0,440.5,432.0,434.0,36712165,412.27033133519683,403.06353388543374,1,0.0
2025-03-26,435.0,435.2,426.0,429.0,15084580,415.31208927425195,405.5336735153924,1,0.0
2025-03-27,428.8,430.3,422.4,425.7,47106120,417.200800315297,407.454276037736,1,0.0
2025-03-28,427.9,436.0,427.8,434.2,18361265,420.2915638943339,410.0014878436659,1,0.0
2025-04-01,434.9,435.7,427.2,429.2,18754695,421.9112795499095,411.8299175728406,1,0.0
