Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,376.3,386.2,373.15,384.8,487360,384.8,384.8,0,
2025-02-05,385.35,397.0,382.0,394.25,372637,386.5181818181818,385.7,1,1.0
2025-02-06,394.0,402.65,386.25,401.0,353364,389.15123966942144,387.15714285714284,1,0.0
2025-02-07,400.05,404.95,390.7,400.4,328887,391.1964688204357,388.41836734693874,1,0.0
2025-02-10,400.0,411.4,386.6,396.75,656909,392.20620176217466,389.2118561710398,1,0.0
2025-02-11,395.15,397.5,378.15,381.75,405082,390.305074169052,388.5012032023693,1,0.0
2025-02-12,381.7,397.6,371.8,391.15,584996,390.45869704740613,388.7534695640484,1,0.0
2025-02-13,392.0,406.25,391.0,393.5,573578,391.011661220605,389.20552008175804,1,0.0
2025-02-14,394.65,399.2,382.05,386.65,584236,390.2186319077677,388.9621372168287,1,0.0
2025-02-17,383.3,387.95,367.05,376.6,567174,387.7425170154463,387.78479081522596,-1,-2.0
2025-02-18,376.6,385.0,359.05,362.05,442554,383.07115028536515,385.333858356633,-1,0.0
2025-02-19,362.0,387.0,358.5,385.5,477046,383.51275932438966,385.34968137028704,-1,0.0
2025-02-20,381.0,389.85,378.55,381.9,416005,383.2195303563188,385.02114028740255,-1,0.0
2025-02-21,383.95,389.8,372.2,376.25,384878,381.95234301880623,384.18579359336417,-1,0.0
2025-02-24,374.0,375.45,360.05,367.9,342254,379.3973715608414,382.6347656320914,-1,0.0
2025-02-25,368.65,371.7,355.05,357.2,386428,375.36148582250655,380.21240700046366,-1,0.0
2025-02-27,356.75,358.95,348.1,353.5,345999,371.38667021841445,377.66836823851474,-1,0.0
2025-02-28,348.55,350.85,329.55,339.55,1389102,365.59818472415725,374.03804745389425,-1,0.0
2025-03-03,335.0,340.75,316.0,334.35,1100357,359.9166965924923,370.25823341066626,-1,0.0
2025-03-04,327.9,334.5,318.0,319.5,922846,352.5682063029483,365.4241159429838,-1,0.0
2025-03-05,322.55,339.4,321.35,337.25,910533,349.7830778842304,362.74086680555683,-1,0.0
2025-03-06,338.0,357.8,338.0,349.85,782328,349.79524554164306,361.51316520502763,-1,0.0
2025-03-07,350.3,356.5,349.0,350.05,374629,349.84156453407155,360.4214351855012,-1,0.0
2025-03-10,352.85,362.75,345.55,349.1,704181,349.70673461878584,359.3432032630725,-1,0.0
2025-03-11,337.05,349.2,337.05,344.4,330700,348.7418737790066,357.9200410475418,-1,0.0
2025-03-12,344.85,348.0,340.55,341.75,240666,347.4706240010054,356.38003713825213,-1,0.0
2025-03-13,344.0,344.05,330.0,334.55,350927,345.1214196371862,354.30098598222816,-1,0.0
2025-03-17,335.0,347.8,334.55,341.6,437763,344.4811615213342,353.09136826963504,-1,0.0
2025-03-18,344.9,358.75,343.2,357.4,463408,346.83004124472797,353.50171414871744,-1,0.0
2025-03-19,361.0,374.95,358.35,371.85,600842,351.3791246547774,355.24916994407766,-1,0.0
2025-03-20,374.45,381.95,373.0,375.85,528138,355.8283747175451,357.2111537589274,-1,0.0
2025-03-21,378.9,385.0,372.15,381.3,332710,360.45957931435504,359.5053295914105,1,2.0
2025-03-24,384.7,393.85,384.25,389.75,423621,365.7851103481087,362.38577439222854,1,0.0
2025-03-25,389.75,393.8,369.85,371.9,484223,366.89690846663433,363.2918911167782,1,0.0
2025-03-26,373.0,381.0,364.0,364.75,350616,366.5065614727008,363.43075862946597,1,0.0
2025-03-27,366.55,388.0,358.15,376.75,1533872,368.36900484130064,364.69925780761207,1,0.0
2025-03-28,380.4,396.0,377.85,381.0,1072820,370.6655494156096,366.25170944498234,1,0.0
2025-04-01,382.75,388.6,361.15,362.4,1006477,369.1627222491351,365.88487997403166,1,0.0
2025-04-02,362.9,373.25,345.45,369.9,1226158,369.2967727492923,366.2672723574573,1,0.0
2025-04-03,361.0,368.1,358.85,366.65,584824,368.81554134033,366.303722609128,1,0.0
2025-04-04,365.0,368.2,349.8,352.75,641588,365.89453382390633,365.0128918844491,1,0.0
2025-04-07,293.8,341.0,288.25,336.85,688475,360.613709492287,362.3307117049778,-1,-2.0
2025-04-08,342.8,352.8,340.1,341.0,309490,357.04758049368934,360.29921535212276,-1,0.0
2025-04-09,333.0,333.0,308.0,321.35,3656454,350.55711131301854,356.5897662709682,-1,0.0
2025-04-11,350.5,356.7,333.0,354.35,3522923,351.2467274379242,356.3764551975426,-1,0.0
2025-04-15,356.7,363.4,354.25,360.5,834614,352.92914063102893,356.76917375015756,-1,0.0
2025-04-16,360.5,364.35,350.2,351.35,490902,352.64202415266,356.25306196442824,-1,0.0
2025-04-17,350.2,361.0,350.0,357.25,723388,353.4798379430854,356.3480084440065,-1,0.0
2025-04-21,360.0,362.9,347.05,357.4,1024151,354.19259468070624,356.44819811600587,-1,0.0
2025-04-22,357.4,367.75,357.4,361.2,860246,355.4666683751233,356.9007506763862,-1,0.0
2025-04-23,365.85,374.95,361.75,368.15,667323,357.7727286705554,357.97210775482563,-1,0.0
2025-04-24,368.0,374.35,362.35,364.5,511541,358.9958689122726,358.59381177817556,1,2.0
2025-04-25,365.0,369.25,348.55,355.25,743832,358.3148018373139,358.2753535135874,1,0.0
2025-04-28,353.0,359.25,351.9,355.5,369583,357.80301968507496,358.011034131341,-1,-2.0
2025-04-29,356.05,358.3,350.15,352.4,237528,356.8206524696067,357.47664992835615,-1,0.0
2025-04-30,352.4,359.8,344.55,346.55,732011,354.9532611114964,356.436016601846,-1,0.0
2025-05-02,345.05,354.0,337.3,341.55,556387,352.51630454576974,355.0183007350035,-1,0.0
2025-05-05,344.0,347.7,339.2,344.65,580717,351.0860673556298,354.03084352214603,-1,0.0
2025-05-06,346.0,349.5,333.0,334.85,339639,348.13405510915163,352.2040965200369,-1,0.0
2025-05-07,332.0,352.9,330.0,351.0,725652,348.65513599839676,352.0894206609858,-1,0.0
2025-05-08,351.45,359.45,345.6,348.9,442988,348.69965672596095,351.7856663123205,-1,0.0
2025-05-09,336.2,363.3,335.15,359.55,1662513,350.67244641214984,352.52512666352806,-1,0.0
2025-05-12,366.0,370.7,361.6,366.55,536044,353.55927433721354,353.8608288860492,-1,0.0
2025-05-13,363.3,372.0,361.2,370.2,421804,356.58486082135653,355.41694042071117,1,2.0
2025-05-14,374.15,375.5,365.8,368.75,397263,358.79670430838263,356.68675561873863,1,0.0
2025-05-15,370.0,371.35,362.0,363.25,479698,359.60639443413123,357.31182651219206,1,0.0
2025-05-16,375.0,383.8,366.1,370.85,1943285,361.6506863551983,358.6011763681738,1,0.0
2025-05-19,373.75,389.45,372.15,384.15,1038449,365.74147065425313,361.034397666443,1,0.0
2025-05-20,387.2,387.6,375.4,377.3,672523,367.8430214443889,362.5835026505913,1,0.0
2025-05-21,377.0,403.0,375.3,398.15,2270883,373.3533811817727,365.9707881124397,1,0.0
2025-05-22,399.35,410.15,397.55,402.25,1306550,378.60731187599583,369.4259511493502,1,0.0
2025-05-23,402.8,424.0,398.4,413.15,2769305,384.88780062581475,373.59014627798354,1,0.0
2025-05-26,415.15,423.8,414.25,421.2,1397658,391.4900186938484,378.1244180610327,1,0.0
2025-05-27,420.9,420.95,410.4,412.4,439261,395.29183347678503,381.38875919807725,1,0.0
2025-05-28,413.0,425.0,407.7,422.4,1044226,400.22059102646045,385.2945916554032,1,0.0
2025-05-29,425.0,427.0,418.3,423.95,473703,404.5350290216494,388.97605911679335,1,0.0
2025-05-30,424.9,441.85,420.0,439.9,1878828,410.96502374498584,393.8259582485273,1,0.0
2025-06-02,439.9,459.7,438.05,445.9,1696003,417.3168376095338,398.78539079628655,1,0.0
2025-06-03,445.0,449.0,429.1,446.05,1254116,422.5410489532549,403.2867821490212,1,0.0
2025-06-04,446.7,448.95,440.5,443.1,432735,426.2790400526631,407.07851718244774,1,0.0
2025-06-05,447.0,464.95,445.3,456.55,1576693,431.7828509521789,411.79008697459557,1,0.0
2025-06-06,462.0,483.95,459.2,477.35,3116359,440.0677871426918,418.03388821511027,1,0.0
2025-06-09,482.6,484.0,469.0,471.4,722738,445.76455311674783,423.1163750517664,1,0.0
2025-06-10,474.0,474.5,460.2,468.8,704214,449.95281618643,427.4671964754077,1,0.0
2025-06-11,469.5,479.05,462.65,465.75,721256,452.82503142526093,431.1131777634641,1,0.0
2025-06-12,466.6,471.35,460.5,463.95,387882,454.8477529843044,434.2404941669437,1,0.0
2025-06-13,451.0,463.8,445.2,458.8,518977,455.5663433507945,436.5794947224729,1,0.0
2025-06-16,454.0,461.0,444.5,451.0,698392,454.7360991051955,437.95287617747545,1,0.0
2025-06-17,451.0,457.85,440.3,441.95,563905,452.41135381334175,438.3335546367635,1,0.0
2025-06-18,441.9,447.75,435.65,437.95,329123,449.78201675637047,438.2970256237384,1,0.0
2025-06-19,438.0,442.2,420.15,424.7,583405,445.221650073394,437.00207080243,1,0.0
2025-06-20,423.15,443.9,423.15,432.85,2432600,442.9722591509587,436.60663548791285,1,0.0
2025-06-23,420.0,421.2,389.2,405.6,4894648,436.1773029416934,433.6536225843021,1,0.0
2025-06-24,415.0,448.8,402.25,441.7,11285102,437.1814296795673,434.41994424294,1,0.0
2025-06-25,441.7,451.35,432.1,448.9,2446551,439.3120788287369,435.7989971721838,1,0.0
2025-06-26,448.8,455.0,439.05,441.4,1035184,439.6917008598756,436.33242601292824,1,0.0
2025-06-27,442.7,498.7,441.3,483.25,6801972,447.6113916126255,440.80076639264934,1,0.0
2025-06-30,483.3,491.4,477.75,486.45,2534433,454.6729567739663,445.14831245049226,1,0.0
2025-07-01,485.0,485.95,465.9,475.95,1649334,458.5415100877906,448.08180650282634,1,0.0
2025-07-02,476.95,500.0,475.3,494.75,2247461,465.1248718900104,452.5263963597,1,0.0
2025-07-03,497.0,508.9,493.3,499.55,3423372,471.38398609182667,457.00483480163336,1,0.0
2025-07-04,500.7,502.35,482.0,487.35,1133837,474.28689771149453,459.89485053481116,1,0.0
2025-07-07,489.0,491.55,478.0,485.3,876617,476.2892799457682,462.31438857911485,1,0.0
2025-07-08,484.0,491.0,479.5,481.9,761374,477.30941086471944,464.1796849049134,1,0.0
2025-07-09,483.45,497.7,476.8,493.95,1253122,480.3349725256795,467.0149530092074,1,0.0
2025-07-10,498.0,506.1,490.85,496.05,883673,483.1922502482832,469.78019557975904,1,0.0
2025-07-11,490.0,498.75,482.45,484.5,699167,483.43002293041354,471.1820817150201,1,0.0
2025-07-14,487.85,491.9,478.5,481.75,544539,483.1245642157928,472.1885501231134,1,0.0
2025-07-15,481.75,499.9,480.4,491.2,1411907,484.5928252674668,473.99916439710256,1,0.0
2025-07-16,490.0,505.0,490.0,502.2,1618740,487.79412976429103,476.6849582640452,1,0.0
2025-07-17,506.2,518.55,502.5,509.05,2468246,491.65883344351084,479.76734319127894,1,0.0
2025-07-18,510.95,513.0,500.9,503.6,966248,493.82995463559973,482.03712003020473,1,0.0
2025-07-21,504.0,504.95,492.8,502.45,659825,495.39723561094524,483.9812038368519,1,0.0
2025-07-22,504.9,510.85,495.65,497.35,504786,495.75228368168246,485.25442251905645,1,0.0
2025-07-23,498.3,501.2,485.1,487.7,658353,494.28823210319473,485.48733466009867,1,0.0
2025-07-24,490.0,494.65,480.6,490.7,1160192,493.6358262662502,485.98377897818455,1,0.0
2025-07-25,492.85,499.6,482.05,488.25,938921,492.656585126932,486.1996095516908,1,0.0
2025-07-28,488.05,494.8,477.0,480.6,677536,490.46447874021703,485.66631340391075,1,0.0
2025-07-29,479.8,503.9,478.85,500.7,909515,492.32548260563203,487.09809307972876,1,0.0
2025-07-30,500.0,507.8,496.5,501.05,641544,493.9117584955171,488.4268461197546,1,0.0
2025-07-31,482.0,497.65,481.8,486.45,868110,492.5550751326958,488.23857506073034,1,0.0
2025-08-01,485.5,490.05,471.2,477.0,739168,489.72687965402383,487.168234578756,1,0.0
2025-08-04,479.3,487.7,473.15,485.75,487320,489.00381062601946,487.0331646188745,1,0.0
