Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,615.0,629.5,612.85,621.7,178728,621.7,621.7,0,
2025-02-05,621.0,635.8,614.8,618.8,362637,621.1727272727273,621.4238095238095,-1,-1.0
2025-02-06,621.15,660.5,618.95,654.3,848304,627.1958677685951,624.5548752834467,1,2.0
2025-02-07,644.0,652.9,635.55,641.3,213729,629.7602554470324,626.1496490659756,1,0.0
2025-02-10,638.75,641.45,618.2,620.35,83347,628.0492999112082,625.5973015358827,1,0.0
2025-02-11,617.25,624.6,600.25,613.3,153673,625.3676090182612,624.4261299610367,1,0.0
2025-02-12,613.0,625.0,597.05,619.8,148722,624.3553164694864,623.9855461552238,1,0.0
2025-02-13,619.5,623.8,608.3,617.4,225688,623.0907134750344,623.3583512832977,-1,-2.0
2025-02-14,619.15,621.3,599.4,610.5,352919,620.8014928432099,622.133746399174,-1,0.0
2025-02-17,600.5,619.0,590.55,605.95,502539,618.1012214171717,620.5924372183003,-1,0.0
2025-02-18,605.95,612.95,595.0,603.6,320945,615.4646357049587,618.9741098641765,-1,0.0
2025-02-19,596.1,614.9,592.0,608.2,514428,614.1437928495117,617.9480041628264,-1,0.0
2025-02-20,602.1,657.0,598.2,646.45,1811924,620.017648695055,620.662479956843,-1,0.0
2025-02-21,645.0,704.8,642.65,664.0,1794167,628.0144398414086,624.7898628180959,1,2.0
2025-02-24,650.0,663.8,640.15,645.3,265630,631.1572689611525,626.7432092163724,1,0.0
2025-02-25,644.35,675.9,641.7,653.85,671838,635.2832200591247,629.3248083386227,1,0.0
2025-02-27,653.85,656.35,623.0,627.25,227905,633.8226345938292,629.1272075444681,1,0.0
2025-02-28,622.0,626.3,605.1,612.8,211469,630.0003373949511,627.5722353973758,1,0.0
2025-03-03,611.15,618.0,596.6,602.5,281954,625.0002760504144,625.1844034547687,-1,-2.0
2025-03-04,600.1,629.75,596.6,627.45,296666,625.4456804048845,625.4001745543145,1,2.0
2025-03-05,627.9,641.95,627.45,636.65,311146,627.4828294221782,626.4715865015227,1,0.0
2025-03-06,640.9,651.3,638.2,643.4,272879,630.3768604363275,628.0838163585205,1,0.0
2025-03-07,644.0,658.5,642.05,653.5,237919,634.5810676297225,630.5044052767566,1,0.0
2025-03-10,651.05,659.45,632.95,638.95,177321,635.3754189697729,631.3087476313513,1,0.0
2025-03-11,630.05,654.9,620.9,651.5,310217,638.3071609752687,633.2317240474131,1,0.0
2025-03-12,651.0,656.0,636.1,652.1,210387,640.8149498888563,635.0287027095642,1,0.0
2025-03-13,656.0,669.0,635.0,661.4,317028,644.5576862727006,637.5402548324629,1,0.0
2025-03-17,667.95,677.5,642.6,673.05,673364,649.7381069503914,640.9221353246093,1,0.0
2025-03-18,674.0,692.0,665.45,689.45,431251,656.9584511412293,645.5438367222656,1,0.0
2025-03-19,699.0,712.3,693.25,701.5,519076,665.0569145700966,650.8729951296689,1,0.0
2025-03-20,708.45,729.0,700.15,720.6,474999,675.1556573755336,657.5136622601767,1,0.0
2025-03-21,721.0,730.05,707.15,710.8,327900,681.6364469436184,662.5885515687313,1,0.0
2025-03-24,721.0,726.3,708.4,712.55,220230,687.2570929538695,667.3467847526616,1,0.0
2025-03-25,718.25,719.0,690.1,696.75,199676,688.9830760531659,670.1470909666939,1,0.0
2025-03-26,696.0,703.9,680.35,682.0,182292,687.7134258616811,671.2759394460564,1,0.0
2025-03-27,675.0,694.95,674.5,692.15,221648,688.5200757050118,673.2639452130987,1,0.0
2025-03-28,692.15,701.7,681.0,682.75,118213,687.4709710313732,674.1673790023274,1,0.0
2025-04-01,682.75,755.0,682.75,735.1,3962647,696.1307944802144,679.9704857640105,1,0.0
2025-04-02,718.9,734.55,701.2,731.75,601187,702.6070136656299,684.9018680721999,1,0.0
2025-04-03,722.55,740.0,722.4,726.95,179218,707.0330111809699,688.9064520653237,1,0.0
2025-04-04,723.0,725.0,693.9,699.0,434993,705.5724636935208,689.8677423448166,1,0.0
2025-04-07,650.95,674.7,632.6,642.4,440856,694.0865612037896,685.3470049786436,1,0.0
2025-04-08,659.0,672.15,648.6,660.5,195786,687.9799137121915,682.9806235521061,1,0.0
2025-04-09,655.05,657.25,624.25,632.05,330900,677.810838491793,678.130087975715,-1,-2.0
2025-04-11,644.75,668.0,641.7,663.9,247591,675.2815951296488,676.7748415018374,-1,0.0
2025-04-15,666.15,685.0,664.4,681.1,171993,676.3394869242582,677.1867613588053,-1,0.0
2025-04-16,680.0,695.5,677.1,688.6,133204,678.5686711198476,678.2737364674904,1,2.0
2025-04-17,690.0,708.4,686.6,699.5,172281,682.3743672798753,680.2952853753484,1,0.0
2025-04-21,709.0,714.95,694.05,705.85,155051,686.6426641380798,682.7290677205533,1,0.0
2025-04-22,708.85,713.2,697.5,700.7,120731,689.1985433857016,684.4405850805007,1,0.0
2025-04-23,701.3,708.65,685.0,690.5,134837,689.4351718610285,685.0176722156912,1,0.0
2025-04-24,687.5,703.85,687.5,695.0,101365,690.4469587953869,685.968370099911,1,0.0
2025-04-25,697.0,702.6,664.0,672.25,170063,687.1384208325892,684.6618586618242,1,0.0
2025-04-28,663.0,699.25,663.0,687.15,240441,687.1405261357547,684.8988245035553,1,0.0
2025-04-29,688.0,699.0,675.0,676.55,125911,685.2149759292538,684.1036983603594,1,0.0
2025-04-30,675.0,687.7,651.1,655.45,234106,679.803162123935,681.3747747069918,-1,-2.0
2025-05-02,648.4,672.2,646.0,649.45,137530,674.2844053741286,678.3343199729926,-1,0.0
2025-05-05,650.2,659.5,645.7,656.2,106767,670.9963316697416,676.2262894993743,-1,0.0
2025-05-06,656.2,665.55,631.15,636.0,128726,664.633362275243,672.3952143089576,-1,0.0
2025-05-07,636.0,644.8,627.2,641.7,128929,660.4636600433807,669.4718605652474,-1,0.0
2025-05-08,644.4,657.85,625.0,631.95,140697,655.2793582173115,665.8983500352239,-1,0.0
2025-05-09,621.9,639.0,616.8,634.1,156271,651.4285658141639,662.869935746155,-1,0.0
2025-05-12,650.2,685.0,650.2,680.2,279700,656.6597356661341,664.520418056045,-1,0.0
2025-05-13,680.15,686.3,668.0,670.15,129502,659.1125109995643,665.0565687173739,-1,0.0
2025-05-14,670.4,689.0,664.0,686.2,182184,664.0375089996435,667.0702288395288,-1,0.0
2025-05-15,686.2,694.8,681.95,688.4,118752,668.46705281789,669.1016356167165,-1,0.0
2025-05-16,688.45,699.8,683.05,696.8,184688,673.6184977600917,671.7395750817911,1,2.0
2025-05-19,695.95,716.0,695.0,701.35,239832,678.6605890764387,674.559615550192,1,0.0
2025-05-20,701.35,711.9,684.9,687.5,153071,680.2677546989044,675.7920331168403,1,0.0
2025-05-21,689.4,706.1,683.8,693.35,343385,682.646344753649,677.464220439046,1,0.0
2025-05-22,693.05,702.6,688.5,696.9,129916,685.2379184348038,679.3152470638988,1,0.0
2025-05-23,696.9,698.7,687.6,690.55,119431,686.2037514466575,680.3852235340037,1,0.0
2025-05-26,694.5,700.1,689.85,693.4,106573,687.512160274538,681.6247260545748,1,0.0
2025-05-27,700.0,726.0,695.15,705.15,965189,690.7190402246221,683.8652283350915,1,0.0
2025-05-28,707.85,726.35,690.05,702.3,429143,692.8246692746907,685.6209208746066,1,0.0
2025-05-29,708.95,708.95,690.1,692.45,215974,692.7565475883832,686.2713093627392,1,0.0
2025-05-30,694.0,702.95,686.65,691.45,170604,692.5189934814044,686.7645179948593,1,0.0
2025-06-02,692.5,710.9,690.15,702.55,180754,694.3428128484218,688.267897233444,1,0.0
2025-06-03,700.0,703.75,672.6,677.85,379216,691.3441196032542,687.2757165445446,1,0.0
2025-06-04,677.85,681.85,668.5,670.5,190462,687.5542796753897,685.678029254588,1,0.0
2025-06-05,671.15,680.9,668.0,671.3,140282,684.5989560980461,684.3086931351033,1,0.0
2025-06-06,674.65,677.3,668.1,672.85,100381,682.4627822620376,683.2173890269983,-1,-2.0
2025-06-09,676.0,695.0,675.05,684.35,215847,682.805912759849,683.3252567387128,-1,0.0
2025-06-10,684.55,708.0,683.65,695.5,328296,685.1139286216946,684.4847560969306,1,2.0
2025-06-11,699.0,723.9,693.05,719.35,668863,691.3386688722956,687.8052555162706,1,0.0
2025-06-12,722.5,735.9,702.0,706.35,626920,694.0680018046055,689.5714216575782,1,0.0
2025-06-13,692.3,703.8,680.1,694.75,181926,694.1920014764954,690.0646195949516,1,0.0
2025-06-16,692.0,702.45,683.1,691.4,119266,693.6843648444053,690.1917986811468,1,0.0
2025-06-17,692.35,701.7,678.7,686.05,374066,692.2962985090588,689.7973416638947,1,0.0
2025-06-18,680.1,687.25,675.2,681.25,288199,690.2878805983208,688.9833091244762,1,0.0
2025-06-19,676.5,685.0,661.0,667.55,289137,686.1537204895352,686.9420415888119,-1,-2.0
2025-06-20,659.0,680.0,659.0,674.05,246767,683.9530440368924,685.7142281041631,-1,0.0
2025-06-23,674.05,685.5,667.2,678.3,231751,682.9252178483665,685.008111141862,-1,0.0
2025-06-24,688.3,699.8,680.0,687.05,322598,683.6751782395726,685.2025767473989,-1,0.0
2025-06-25,691.0,742.0,691.0,736.55,1773400,693.2887821960138,690.0928075333609,1,2.0
2025-06-26,739.85,764.0,724.55,760.7,1347198,705.545367251284,696.8173020539931,1,0.0
2025-06-27,770.0,773.8,757.0,762.3,1080445,715.8643913874141,703.0537494774223,1,0.0
2025-06-30,766.0,768.4,754.0,762.9,333729,724.4163202260661,708.7533923843345,1,0.0
2025-07-01,760.0,764.0,745.25,759.3,452054,730.7588074576904,713.5673550143978,1,0.0
2025-07-02,759.3,762.9,741.1,754.45,460698,735.0662970108376,717.4609402511218,1,0.0
2025-07-03,752.3,754.45,735.0,737.45,333183,735.4996975543216,719.3646602272054,1,0.0
2025-07-04,737.7,758.0,734.3,748.85,315067,737.9270252717176,722.1727878246144,1,0.0
2025-07-07,750.85,752.75,737.0,741.2,128385,738.5221115859507,723.9849032698893,1,0.0
2025-07-08,744.9,745.0,715.65,718.25,310998,734.8362731157779,723.4387220060903,1,0.0
2025-07-09,716.2,719.95,701.3,702.65,287408,728.9842234583637,721.458843719796,1,0.0
2025-07-10,707.0,712.1,697.55,708.8,244658,725.3143646477521,720.2532395560058,1,0.0
2025-07-11,705.0,713.7,695.0,697.5,172515,720.2572074390699,718.0862643601957,1,0.0
2025-07-14,702.35,714.0,692.65,706.1,149564,717.6831697228754,716.9447153735105,1,0.0
2025-07-15,711.9,713.05,702.7,708.9,128672,716.0862297732616,716.1785520046047,-1,-2.0
2025-07-16,714.0,748.75,711.3,730.8,1143204,718.7614607235777,717.5710708613091,1,2.0
2025-07-17,734.2,734.5,718.35,723.65,200579,719.6502860465635,718.1500164935654,1,0.0
2025-07-18,722.95,725.8,710.0,713.0,121144,718.4411431290064,717.6595387322735,1,0.0
2025-07-21,715.5,718.1,701.9,703.85,135714,715.7882080146416,716.344344567295,-1,-2.0
2025-07-22,708.5,716.1,702.55,704.85,100852,713.7994429210703,715.2496450846954,-1,0.0
2025-07-23,707.95,738.0,705.3,734.95,567835,717.644998753603,717.1258693623435,1,2.0
2025-07-24,734.85,737.5,721.1,727.35,171179,719.4095444347661,718.0995960897393,1,0.0
2025-07-25,722.35,722.95,702.1,706.05,341220,716.9805363557176,716.9520155097641,1,0.0
2025-07-28,705.0,705.0,685.1,687.8,169118,711.6749842910416,714.1756330802627,-1,-2.0
2025-07-29,685.0,697.0,674.3,692.6,164545,708.2068053290341,712.1208108821425,-1,0.0
2025-07-30,698.9,699.0,684.0,689.95,148614,704.8873861783006,710.0093050838432,-1,0.0
2025-07-31,692.45,712.8,680.15,700.75,477654,704.1351341458823,709.1274665044295,-1,0.0
2025-08-01,702.0,704.7,668.05,671.35,211414,698.1742006648128,705.5296125516268,-1,0.0
2025-08-04,670.0,678.4,664.1,674.2,131919,693.8152550893923,702.5458399276623,-1,0.0
2025-08-05,674.05,705.0,665.05,685.5,379469,692.3033905276845,700.9224266012184,-1,0.0
2025-08-06,685.5,685.95,668.25,670.35,91884,688.3118649771964,698.0107669249119,-1,0.0
2025-08-07,661.15,676.1,652.0,665.2,143272,684.1097077086152,694.8859319796821,-1,0.0
2025-08-08,662.55,669.5,658.5,659.55,98127,679.6443063070487,691.5206051244743,-1,0.0
2025-08-11,663.8,664.6,650.3,653.95,99628,674.9726142512217,687.9424522554767,-1,0.0
2025-08-12,655.6,698.0,655.6,679.95,591628,675.8775934782723,687.1812663263837,-1,0.0
2025-08-13,678.0,695.0,678.0,685.15,224154,677.5634855731319,686.9878123905376,-1,0.0
2025-08-14,679.9,686.35,672.6,674.45,81569,676.9973972871078,685.7937350200102,-1,0.0
2025-08-18,680.95,689.95,674.7,677.1,129451,677.0160523258154,684.9657602561997,-1,0.0
2025-08-19,677.1,687.95,674.3,677.15,128675,677.0404064483944,684.2214021365617,-1,0.0
2025-08-20,675.0,686.95,675.0,681.5,131519,677.8512416395953,683.9622209806987,-1,0.0
2025-08-21,680.4,689.75,673.05,675.05,159698,677.3419249778507,683.113438030156,-1,0.0
2025-08-22,674.2,678.0,666.3,668.0,71001,675.643393163696,681.6740629796649,-1,0.0
2025-08-25,670.95,679.4,663.55,665.3,95354,673.7627762248422,680.1146284101729,-1,0.0
2025-08-26,665.3,666.0,651.0,656.9,144943,670.6968169112345,677.9037114187279,-1,0.0
2025-08-28,651.9,657.05,645.3,654.85,74422,667.8155774728282,675.7081198550395,-1,0.0
2025-08-29,652.55,657.45,640.0,641.45,100248,663.0218361141322,672.4454417736073,-1,0.0
