Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-02-06,1222.0,1299.9,1190.4,1296.7,396780,1296.7,1296.7,-1,
2023-02-07,1297.0,1300.0,1240.0,1249.75,204929,1288.1636363636364,1292.2285714285713,-1,0.0
2023-02-08,1255.95,1288.95,1237.25,1287.15,197911,1287.9793388429753,1291.7448979591836,-1,0.0
2023-02-09,1275.05,1300.0,1266.6,1288.15,167005,1288.0103681442524,1291.4025267249758,-1,0.0
2023-02-10,1280.0,1304.95,1256.6,1286.75,198431,1287.7812102998428,1290.9594289416448,-1,0.0
2023-02-13,1261.0,1335.0,1261.0,1312.5,470377,1292.2755356998714,1293.0109118995833,-1,0.0
2023-02-14,1314.95,1332.0,1305.05,1328.8,197853,1298.9163473908036,1296.4193964805754,1,2.0
2023-02-15,1328.05,1330.25,1289.9,1302.25,159856,1299.522466047021,1296.9746920538541,1,0.0
2023-02-16,1308.8,1352.9,1303.7,1348.45,247283,1308.418381311199,1301.8771023344395,1,0.0
2023-02-17,1341.0,1356.5,1330.25,1348.0,317849,1315.6150392546172,1306.2697592549691,1,0.0
2023-02-20,1350.0,1363.0,1333.35,1359.4,168241,1323.5759412083232,1311.3297821830674,1,0.0
2023-02-21,1366.2,1372.0,1347.15,1354.8,120699,1329.2530428068098,1315.4698029275373,1,0.0
2023-02-22,1354.0,1359.95,1335.05,1348.6,81898,1332.77067138739,1318.6250597915814,1,0.0
2023-02-23,1325.15,1347.1,1322.05,1336.65,230120,1333.47600386241,1320.3417207638117,1,0.0
2023-02-24,1334.95,1344.25,1321.6,1337.4,105056,1334.1894577056082,1321.966318786306,1,0.0
2023-02-27,1331.0,1340.2,1298.95,1308.65,149046,1329.5459199409522,1320.698097949515,1,0.0
2023-02-28,1300.0,1327.75,1300.0,1311.15,84826,1326.2012072244154,1319.7887552876564,1,0.0
2023-03-01,1314.0,1338.6,1301.1,1329.35,121565,1326.7737150017945,1320.6993500221654,1,0.0
2023-03-02,1311.0,1356.0,1311.0,1317.45,145582,1325.0784940923772,1320.3898881152925,1,0.0
2023-03-03,1321.0,1330.8,1305.0,1312.05,90813,1322.7096769846721,1319.595613056693,1,0.0
2023-03-06,1312.15,1320.0,1308.0,1312.05,120614,1320.7715538965497,1318.87698324177,1,0.0
2023-03-08,1310.0,1312.75,1291.0,1300.0,164894,1316.9949077335405,1317.0791753139824,-1,-2.0
2023-03-09,1296.0,1299.2,1272.0,1275.15,158984,1309.3867426910783,1313.0859205221745,-1,0.0
2023-03-10,1272.0,1277.75,1235.4,1240.6,102610,1296.8800622017911,1306.1824995200627,-1,0.0
2023-03-13,1240.0,1250.0,1210.8,1221.5,134573,1283.1745963469198,1298.117499565771,-1,0.0
2023-03-14,1221.5,1239.9,1206.45,1229.85,155490,1273.4792151929341,1291.6158329404593,-1,0.0
2023-03-15,1236.3,1271.5,1234.75,1264.9,179393,1271.919357885128,1289.071467898511,-1,0.0
2023-03-16,1253.1,1297.1,1253.1,1261.7,165682,1270.0612928151047,1286.464661431986,-1,0.0
2023-03-17,1263.0,1281.4,1255.0,1272.7,78218,1270.541057757813,1285.1537412956063,-1,0.0
2023-03-20,1296.95,1311.0,1245.75,1270.5,111553,1270.5335927109377,1283.758146886501,-1,0.0
2023-03-21,1273.0,1277.0,1237.2,1239.65,58825,1264.9183940362218,1279.5573709925486,-1,0.0
2023-03-22,1240.15,1270.35,1228.4,1252.85,154679,1262.7241405750904,1277.013811850401,-1,0.0
2023-03-23,1250.0,1253.0,1225.0,1230.55,67049,1256.8742968341649,1272.5886869122676,-1,0.0
2023-03-24,1233.0,1238.75,1200.0,1203.4,265615,1247.151697409771,1265.9992881587184,-1,0.0
2023-03-27,1205.0,1243.45,1202.0,1233.05,230838,1244.5877524261762,1262.861260715031,-1,0.0
2023-03-28,1233.1,1236.0,1191.0,1197.3,246191,1235.9899792577805,1256.6173311231232,-1,0.0
2023-03-29,1186.0,1208.05,1182.6,1201.5,180361,1229.719073938184,1251.3680614923494,-1,0.0
2023-03-31,1207.55,1253.5,1171.35,1248.3,240658,1233.0974241312413,1251.0758651597448,-1,0.0
2023-04-03,1262.0,1262.0,1236.45,1256.1,129189,1237.2797106528337,1251.55435419215,-1,0.0
2023-04-05,1253.1,1274.65,1231.45,1252.0,175124,1239.956126897773,1251.5967966500405,-1,0.0
2023-04-06,1258.0,1258.3,1237.05,1240.1,254851,1239.9822856436324,1250.501863635751,-1,0.0
2023-04-10,1255.0,1259.95,1239.0,1250.4,224910,1241.8764155266083,1250.4921623371083,-1,0.0
2023-04-11,1259.75,1261.95,1230.1,1235.4,138698,1240.6988854308613,1249.054813543098,-1,0.0
2023-04-12,1243.0,1319.55,1237.75,1294.8,785642,1250.5354517161593,1253.4114979675649,-1,0.0
2023-04-13,1294.95,1311.0,1284.75,1290.4,212286,1257.7835514041303,1256.9342124468444,1,2.0
2023-04-17,1288.95,1297.2,1264.6,1288.55,112487,1263.3774511488339,1259.9452398328592,1,0.0
2023-04-18,1286.0,1308.45,1276.15,1295.45,177567,1269.2088236672275,1263.326645563063,1,0.0
2023-04-19,1298.0,1307.85,1270.15,1273.05,236853,1269.9072193640952,1264.2526793189618,1,0.0
2023-04-20,1273.1,1279.75,1240.0,1243.15,123457,1265.042270388805,1262.2429003362035,1,0.0
2023-04-21,1249.9,1255.95,1225.5,1239.35,132671,1260.3709484999313,1260.062624113708,1,0.0
2023-04-24,1241.0,1243.55,1226.0,1235.05,83508,1255.7671396817618,1257.680469436212,-1,-2.0
2023-04-25,1233.9,1239.45,1220.1,1225.65,86848,1250.2912961032598,1254.6299485375253,-1,0.0
2023-04-26,1224.85,1228.9,1214.1,1217.8,148247,1244.3837877208489,1251.1223343910942,-1,0.0
2023-04-27,1225.0,1232.55,1214.4,1225.25,255081,1240.904917226149,1248.6583025443233,-1,0.0
2023-04-28,1230.0,1259.0,1227.0,1251.5,214125,1242.8312959123039,1248.9289403972448,-1,0.0
2023-05-02,1249.95,1278.7,1246.05,1263.75,236918,1246.6346966555213,1250.3404698832214,-1,0.0
2023-05-03,1268.25,1275.0,1235.0,1239.5,162510,1245.3374790817902,1249.3080441800575,-1,0.0
2023-05-04,1241.2,1257.3,1231.2,1253.45,131723,1246.812482885101,1249.7025161629092,-1,0.0
2023-05-05,1256.05,1295.1,1253.45,1285.5,436832,1253.8465769059917,1253.1118003378701,1,2.0
2023-05-08,1300.0,1361.7,1275.05,1339.1,635756,1269.3471992867205,1261.3011526866444,1,0.0
2023-05-09,1349.0,1360.0,1333.05,1337.7,164346,1281.7749812345894,1268.5772333831546,1,0.0
2023-05-10,1337.7,1360.0,1337.45,1355.75,184031,1295.2249846464822,1276.8794016323782,1,0.0
2023-05-11,1362.85,1364.35,1308.65,1317.3,197057,1299.2386238016672,1280.7289824292945,1,0.0
2023-05-12,1324.4,1357.45,1305.45,1351.25,278159,1308.6952376559095,1287.4452698169807,1,0.0
2023-05-15,1360.9,1370.0,1333.55,1344.15,234828,1315.1415580821078,1292.8457203106016,1,0.0
2023-05-16,1347.0,1361.95,1304.0,1308.45,201853,1313.9249111580882,1294.3318421857823,1,0.0
2023-05-17,1280.0,1323.8,1270.0,1296.65,1189160,1310.784018220254,1294.5526191204697,1,0.0
2023-05-18,1298.0,1298.0,1235.0,1241.3,705609,1298.150560362026,1289.4809411089964,1,0.0
2023-05-19,1251.25,1253.0,1220.0,1224.5,246048,1284.7595493871122,1283.2922800509969,1,0.0
2023-05-22,1229.05,1248.0,1209.25,1242.5,214680,1277.0759949530918,1279.407300998521,-1,-2.0
2023-05-23,1245.9,1280.0,1239.0,1259.0,266806,1273.7894504161661,1277.4637485224714,-1,0.0
2023-05-24,1259.0,1270.0,1246.05,1261.35,126274,1271.5277321586811,1275.9291058060455,-1,0.0
2023-05-25,1260.05,1274.4,1240.0,1253.95,105394,1268.3317808571028,1273.835857634041,-1,0.0
2023-05-26,1262.8,1289.9,1253.15,1284.8,240467,1271.3260025194475,1274.8800616688943,-1,0.0
2023-05-29,1284.9,1314.6,1276.15,1306.05,186416,1277.6394566068207,1277.8486272242378,-1,0.0
2023-05-30,1311.0,1313.15,1288.1,1305.05,107433,1282.6231917692169,1280.439234155263,1,2.0
2023-05-31,1305.0,1339.9,1294.75,1301.15,233397,1285.9917023566318,1282.411688045238,1,0.0
