Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,122.55,124.4,122.13,124.04,965398,124.04,124.04,0,
2025-02-05,126.0,128.73,125.29,127.2,1491817,124.61454545454545,124.34095238095239,1,1.0
2025-02-06,129.0,129.09,125.15,126.04,961709,124.87371900826446,124.50276643990931,1,0.0
2025-02-07,127.09,127.09,123.14,124.13,937701,124.73849737039819,124.46726487420366,1,0.0
2025-02-10,125.8,126.0,120.86,121.3,998350,124.11331603032579,124.16562060046999,-1,-2.0
2025-02-11,121.67,122.48,116.65,117.63,1354352,122.93453129753928,123.54318054328238,-1,0.0
2025-02-12,115.0,117.26,110.32,115.28,2211847,121.54279833435032,122.75621096773168,-1,0.0
2025-02-13,115.36,117.6,115.0,115.52,900499,120.44774409174116,122.06704801842389,-1,0.0
2025-02-14,115.5,115.9,109.0,110.67,1257365,118.6699724386973,120.98161487381208,-1,0.0
2025-02-17,110.2,111.6,107.75,111.0,1472347,117.2754319952978,120.03098488582998,-1,0.0
2025-02-18,112.3,112.96,108.0,110.28,1220283,116.00353526888,119.10231965860807,-1,0.0
2025-02-19,109.5,114.5,108.55,114.07,1166924,115.6519834018109,118.62305111969302,-1,0.0
2025-02-20,114.49,120.83,113.46,117.37,3857420,115.96435005602709,118.5037129178175,-1,0.0
2025-02-21,117.99,119.89,114.87,115.63,1442416,115.90355913674944,118.23002597326345,-1,0.0
2025-02-24,114.4,115.46,112.64,114.35,914007,115.62109383915862,117.86049969009551,-1,0.0
2025-02-25,115.48,115.48,112.92,114.31,900557,115.38271314112977,117.52235686246738,-1,0.0
2025-02-27,114.07,114.57,109.81,110.49,772004,114.49312893365163,116.85260858985143,-1,0.0
2025-02-28,109.99,109.99,105.18,105.8,1174522,112.91256003662406,115.79997920034177,-1,0.0
2025-03-03,106.79,107.33,98.92,101.4,3132937,110.8193673026924,114.42855260983303,-1,0.0
2025-03-04,100.56,104.8,99.53,103.31,1991300,109.45402779311195,113.36964283746798,-1,0.0
2025-03-05,102.61,106.79,102.6,106.29,1538966,108.87875001254613,112.6953911386615,-1,0.0
2025-03-06,107.69,114.71,107.69,113.1,13510293,109.646250010265,112.73392531593184,-1,0.0
2025-03-07,113.0,116.93,111.81,113.67,5071709,110.37784091748955,112.82307528584309,-1,0.0
2025-03-10,114.0,115.73,110.1,111.28,1372317,110.54186984158235,112.67611573481042,-1,0.0
2025-03-11,109.2,114.5,108.29,112.68,5063228,110.93062077947646,112.67648566482848,-1,0.0
2025-03-12,113.3,114.98,111.2,112.09,1270755,111.14141700138981,112.62062988722577,-1,0.0
2025-03-13,112.75,121.8,110.71,119.33,40026749,112.63025027386439,113.2596175170138,-1,0.0
2025-03-17,121.72,121.75,116.0,117.47,8211417,113.5102047695254,113.66060632491725,-1,0.0
2025-03-18,117.0,117.06,114.5,114.84,4392210,113.75198572052079,113.77292953206799,-1,0.0
2025-03-19,115.0,119.31,114.95,115.95,5333497,114.1516246804261,113.98026957663295,1,2.0
2025-03-20,117.23,120.34,116.52,117.88,4073603,114.8295111021668,114.35167247409647,1,0.0
2025-03-21,118.5,137.8,117.52,135.53,32575538,118.59323635631829,116.36865604799205,1,0.0
2025-03-24,136.9,147.65,134.81,143.24,18892289,123.07446610971496,118.927831662469,1,0.0
2025-03-25,143.24,143.99,135.5,140.18,10020273,126.18456318067587,120.95184769461481,1,0.0
2025-03-26,140.19,146.4,138.62,140.92,14997837,128.86373351146207,122.85357648560387,1,0.0
2025-03-27,139.75,140.74,136.2,136.92,5260675,130.32850923665077,124.1932358679273,1,0.0
2025-03-28,137.8,140.7,133.51,134.44,3728253,131.0760530118052,125.16911816621993,1,0.0
2025-04-01,133.79,136.35,130.81,134.62,3778788,131.72040700965877,126.06920215038946,1,0.0
2025-04-02,134.98,140.19,131.3,138.35,4383305,132.92578755335717,127.23880194559045,1,0.0
2025-04-03,136.0,139.85,135.11,136.73,3549244,133.61746254365585,128.14272556981993,1,0.0
2025-04-04,137.4,141.9,132.63,134.9,10805830,133.85065117208205,128.78627551555138,1,0.0
2025-04-07,120.0,131.15,118.01,129.18,6751442,133.00144186806713,128.82377308549886,1,0.0
2025-04-08,130.2,135.98,129.6,134.91,3850788,133.34845243750945,129.40341374402277,1,0.0
2025-04-09,135.5,136.0,131.25,132.24,2733956,133.14691563068953,129.6735648160206,1,0.0
2025-04-11,134.7,135.6,129.5,130.81,3479712,132.72202187965507,129.78179673830434,1,0.0
2025-04-15,131.94,133.44,131.25,132.5,2166198,132.6816542651723,130.0406732394182,1,0.0
2025-04-16,133.05,140.42,132.55,137.58,10050157,133.57226258059552,130.7587043594736,1,0.0
2025-04-17,137.58,137.98,135.41,136.21,2066086,134.05185120230541,131.27787537285707,1,0.0
2025-04-21,136.99,144.38,135.94,141.08,7789651,135.32969643824987,132.21141105163258,1,0.0
2025-04-22,142.5,143.6,139.8,143.07,3938388,136.73702435856805,133.24556238004854,1,0.0
2025-04-23,143.95,145.25,138.35,141.26,4014711,137.55938356610113,134.00884215337723,1,0.0
2025-04-24,141.25,142.5,140.22,141.2,2077768,138.22131382681,134.69371432924606,1,0.0
2025-04-25,141.75,141.9,134.0,137.11,4475928,138.01925676738998,134.92383677407977,1,0.0
2025-04-28,133.0,136.9,130.7,135.66,4870594,137.59030099150087,134.99394755750075,1,0.0
2025-04-29,137.2,138.43,132.51,133.9,3938421,136.91933717486435,134.889762075834,1,0.0
2025-04-30,134.21,136.48,132.9,134.21,2571950,136.4267304157981,134.82502283051647,1,0.0
2025-05-02,134.8,136.2,132.65,134.0,1917268,135.9855067038348,134.74644922761016,1,0.0
2025-05-05,136.2,139.35,132.58,133.34,6057710,135.50450548495573,134.61250168212348,1,0.0
2025-05-06,133.85,134.38,127.3,127.98,2503518,134.13641357860013,133.98083485525459,1,0.0
2025-05-07,125.75,131.66,125.6,130.99,2354687,133.564338382491,133.69599344046844,-1,-2.0
2025-05-08,132.0,132.46,124.1,125.16,4028421,132.03627685840172,132.88304168423335,-1,0.0
2025-05-09,120.25,126.05,120.0,125.39,2371406,130.82786288414687,132.1694186666873,-1,0.0
2025-05-12,129.6,132.34,129.6,131.83,1750419,131.0100696324838,132.13709307938376,-1,0.0
2025-05-13,132.55,133.57,130.5,132.04,1385231,131.19732969930493,132.12784611944247,-1,0.0
2025-05-14,130.5,134.44,130.5,134.23,1485958,131.7487242994313,132.32805125092412,-1,0.0
