Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,214.0,222.96,212.01,221.92,1077412,221.92,221.92,0,
2025-02-01,221.35,225.9,216.0,219.5,676929,221.47999999999996,221.6895238095238,-1,-1.0
2025-02-03,216.0,216.0,205.11,211.34,1131038,219.6363636363636,220.70385487528344,-1,0.0
2025-02-04,228.99,237.4,222.2,227.74,40386782,221.10975206611565,221.37396393478028,-1,0.0
2025-02-05,229.84,230.95,222.6,223.63,3768784,221.5679789631855,221.58882451242025,-1,0.0
2025-02-06,227.0,227.2,217.55,220.19,1523351,221.31743733351541,221.45560313028497,-1,0.0
2025-02-07,220.5,220.5,214.06,216.54,1055395,220.44881236378532,220.9874504512102,-1,0.0
2025-02-10,216.54,217.0,206.4,208.79,1042205,218.32902829764254,219.8257885034759,-1,0.0
2025-02-11,208.79,208.79,201.1,202.86,1066147,215.51647769807118,218.20999912219247,-1,0.0
2025-02-12,202.86,203.84,196.0,202.48,1419428,213.1462090256946,216.71190396769794,-1,0.0
2025-02-13,202.48,206.28,199.4,200.87,754007,210.91417102102284,215.20315120886957,-1,0.0
2025-02-14,201.95,201.99,190.05,194.28,932163,207.8897762899278,213.2104701413582,-1,0.0
2025-02-17,193.46,214.8,186.03,208.2,4889004,207.94618060085,212.73328250884788,-1,0.0
2025-02-18,207.03,233.39,200.05,226.87,12919647,211.38687503705907,214.07963655562426,-1,0.0
2025-02-19,221.5,232.33,216.16,229.4,7024903,214.6619886666847,215.53871878842196,-1,0.0
2025-02-20,225.95,234.0,223.06,228.05,4508231,217.09617254546927,216.7302693800008,1,2.0
2025-02-21,224.6,232.9,222.12,223.78,2749434,218.3114139008385,217.4016722961912,1,0.0
2025-02-24,220.5,222.64,216.5,217.79,1154429,218.2166113734133,217.43865588703014,1,0.0
2025-02-25,217.8,221.14,210.5,211.78,1449979,217.04631839642903,216.89973627874156,1,0.0
2025-02-27,210.8,212.69,204.55,208.02,1186581,215.40516959707827,216.0540471093376,-1,-2.0
2025-02-28,207.87,211.49,202.0,207.04,2535082,213.88422967033677,215.19556643225783,-1,0.0
2025-03-03,212.0,212.4,197.07,204.32,2441079,212.14527882118463,214.15979820061423,-1,0.0
2025-03-04,202.49,230.9,200.5,226.53,8752305,214.76068267187833,215.33791265769858,-1,0.0
2025-03-05,219.2,227.94,218.51,222.33,5184830,216.13692218608227,216.00382573791777,1,2.0
2025-03-06,221.98,237.31,221.11,229.7,8428626,218.6029363340673,217.3082232866875,1,0.0
2025-03-07,227.9,230.0,224.0,225.04,1977800,219.77331154605503,218.04458297366966,1,0.0
2025-03-10,224.59,228.83,217.03,220.78,1553344,219.95634581040866,218.30509888093923,1,0.0
2025-03-11,216.0,221.2,215.12,219.28,1192757,219.83337384487982,218.39794660656406,1,0.0
2025-03-12,219.3,231.3,219.3,229.31,10632915,221.55639678217437,219.4371897868913,1,0.0
2025-03-13,230.5,231.34,225.0,226.1,1503164,222.38250645814264,220.0717431405207,1,0.0
2025-03-17,227.89,230.9,225.58,228.91,1502819,223.56932346575306,220.91348188904254,1,0.0
2025-03-18,229.0,241.4,228.9,238.24,4001650,226.2367191992525,222.5636264710385,1,0.0
