Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,257.01,263.49,255.21,262.61,8850307,262.61,262.61,0,
2025-02-01,259.55,262.5,253.75,257.7,10907165,261.7172727272727,262.14238095238096,-1,-1.0
2025-02-03,255.6,256.35,244.85,249.0,25719512,259.405041322314,260.8907256235828,-1,0.0
2025-02-04,252.4,257.5,252.0,254.1,8402532,258.4404883546205,260.24398984990825,-1,0.0
2025-02-05,259.0,263.0,257.75,261.65,11590755,259.0240359265077,260.3778955784884,-1,0.0
2025-02-06,262.65,262.95,254.3,256.15,12327998,258.5014839398699,259.9752388567276,-1,0.0
2025-02-07,252.95,253.85,247.5,248.9,10098454,256.75575958716627,258.9204542037059,-1,0.0
2025-02-10,248.95,249.6,241.8,242.45,7582536,254.15471238949965,257.35183951763867,-1,0.0
2025-02-11,242.45,242.45,236.8,238.95,6711630,251.3902192277724,255.59928337310166,-1,0.0
2025-02-12,239.0,241.25,234.15,237.4,5985956,248.84654300454105,253.86601828994912,-1,0.0
2025-02-13,238.5,239.45,234.2,234.95,10079210,246.3198988218972,252.06449273852542,-1,0.0
2025-02-14,235.0,237.95,226.75,230.5,8065352,243.44355358155224,250.01073152533255,-1,0.0
2025-02-17,230.2,234.3,225.05,233.65,6692422,241.66290747581547,248.45256661815802,-1,0.0
2025-02-18,232.2,237.15,229.55,236.6,6170974,240.742378843849,247.323750749762,-1,0.0
2025-02-19,236.0,238.8,234.5,238.3,6168581,240.29830996314917,246.46434591645135,-1,0.0
2025-02-20,236.8,242.65,236.5,241.9,8929816,240.58952633348565,246.02964630536076,-1,0.0
2025-02-21,241.9,243.05,238.1,239.9,5697387,240.46415790921552,245.44587046675497,-1,0.0
2025-02-24,236.3,237.95,234.0,234.35,6883143,239.35249283481267,244.3891208984926,-1,0.0
2025-02-25,235.0,236.7,232.55,233.0,5519036,238.19749413757398,243.3044427176838,-1,0.0
2025-02-27,233.5,233.85,228.5,231.0,9664032,236.88885883983323,242.13259103028534,-1,0.0
2025-02-28,230.0,230.5,223.15,225.25,17237276,234.77270268713625,240.52472521787723,-1,0.0
2025-03-03,224.75,226.0,218.36,225.13,11928529,233.01948401674784,239.05856091141274,-1,0.0
2025-03-04,220.1,227.75,215.48,226.76,12428265,231.88139601370275,237.8872693960401,-1,0.0
2025-03-05,227.12,231.25,226.76,228.94,7466729,231.34659673848407,237.03514850117912,-1,0.0
2025-03-06,231.49,233.57,226.71,232.6,10439208,231.57448824057786,236.61275340582873,-1,0.0
2025-03-07,232.6,236.47,231.17,232.89,9079049,231.81367219683642,236.25820546241647,-1,0.0
2025-03-10,232.89,235.0,222.48,223.19,16489167,230.24573179741162,235.01361446599586,-1,0.0
2025-03-11,220.9,227.26,220.1,226.72,10941588,229.60468965242768,234.2237464216153,-1,0.0
2025-03-12,227.1,228.84,222.36,224.4,6994310,228.65838244289537,233.28815152431858,-1,0.0
2025-03-13,228.15,230.4,224.87,225.43,16105085,228.0714038169144,232.53975614105016,-1,0.0
2025-03-17,226.52,230.45,226.24,229.74,8789001,228.37478494111178,232.27311269904538,-1,0.0
2025-03-18,230.84,232.5,228.52,232.12,9647391,229.05573313363692,232.25853053723154,-1,0.0
2025-03-19,232.5,235.14,231.6,232.57,8626593,229.69469074570293,232.28819429559042,-1,0.0
2025-03-20,233.48,237.04,232.01,235.59,18955995,230.7665651555751,232.60265198172465,-1,0.0
2025-03-21,235.8,248.0,235.8,242.42,29285333,232.88537149092508,233.5376375072747,-1,0.0
