Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,1822.3,1824.9,1760.8,1784.2,559998,1784.2,1784.2,0,
2025-02-05,1771.0,1775.45,1689.0,1700.0,504015,1768.8909090909092,1776.1809523809525,-1,-1.0
2025-02-06,1670.0,1695.0,1598.05,1615.6,693704,1741.0198347107437,1760.8875283446712,-1,0.0
2025-02-07,1618.0,1665.0,1611.4,1643.75,698041,1723.3344102178812,1749.7315732642262,-1,0.0
2025-02-10,1623.3,1645.0,1585.3,1622.15,694793,1704.937244723721,1737.5809472390617,-1,0.0
2025-02-11,1622.15,1622.6,1532.0,1576.8,686439,1681.6395638648626,1722.268476073437,-1,0.0
2025-02-12,1573.05,1610.0,1545.05,1600.05,541332,1666.8050977076148,1710.6286212093,-1,0.0
2025-02-13,1604.75,1617.45,1580.05,1600.15,415833,1654.685989033503,1700.1068477607953,-1,0.0
2025-02-14,1602.0,1608.95,1537.5,1569.6,663525,1639.2158092092295,1687.677624164529,-1,0.0
2025-02-17,1532.55,1617.95,1502.6,1545.05,1060324,1622.0947529893697,1674.0940409107643,-1,0.0
2025-02-18,1553.6,1606.2,1538.55,1600.15,1060913,1618.1047979003934,1667.0517513002153,-1,0.0
2025-02-19,1581.05,1610.0,1550.0,1554.3,578298,1606.5039255548672,1656.3134892716234,-1,0.0
2025-02-20,1556.0,1601.25,1545.75,1597.7,306609,1604.9032118176185,1650.7312521981355,-1,0.0
2025-02-21,1594.0,1605.75,1564.05,1587.4,548071,1601.7208096689606,1644.6997043697418,-1,0.0
2025-02-24,1573.0,1590.2,1550.0,1573.35,445813,1596.5624806382402,1637.9044944297664,-1,0.0
2025-02-25,1559.0,1585.0,1525.95,1562.45,785080,1590.3602114312876,1630.718352103122,-1,0.0
2025-02-27,1552.05,1567.4,1494.65,1511.85,1307347,1576.0856275346896,1619.3975566647293,-1,0.0
2025-02-28,1510.5,1554.85,1465.05,1548.1,1165867,1570.9973316192913,1612.6073131728504,-1,0.0
2025-03-03,1546.2,1556.2,1502.3,1548.45,481651,1566.89781677942,1606.4970928706741,-1,0.0
2025-03-04,1515.0,1559.95,1483.85,1551.9,601184,1564.1709410013436,1601.2973697401337,-1,0.0
2025-03-05,1550.0,1590.05,1545.15,1578.55,645873,1566.7853153647357,1599.1309535744067,-1,0.0
2025-03-06,1584.0,1601.15,1562.55,1575.65,428061,1568.397076207511,1596.894672281606,-1,0.0
2025-03-07,1584.9,1606.0,1550.0,1560.15,515001,1566.8976078061453,1593.395179683358,-1,0.0
2025-03-10,1568.4,1632.55,1548.2,1551.7,1104212,1564.134406386846,1589.4242101897048,-1,0.0
2025-03-11,1554.5,1664.2,1540.0,1656.85,1138230,1580.991787043783,1595.8457139811615,-1,0.0
2025-03-12,1647.05,1654.65,1597.55,1601.5,335942,1584.7205530358224,1596.384217411527,-1,0.0
2025-03-13,1601.05,1605.2,1550.0,1564.5,593633,1581.044088847491,1593.3476252770959,-1,0.0
2025-03-17,1564.5,1575.0,1524.25,1560.35,552695,1577.2815272388561,1590.204994298325,-1,0.0
2025-03-18,1568.8,1615.0,1564.2,1607.05,295404,1582.6939768317914,1591.8092805556273,-1,0.0
2025-03-19,1618.0,1626.35,1542.05,1555.65,2650134,1577.776890135102,1588.3655395503295,-1,0.0
2025-03-20,1563.4,1632.85,1552.45,1624.0,1057945,1586.1810919287195,1591.7592976883934,-1,0.0
2025-03-21,1629.0,1687.75,1623.05,1666.15,1251677,1600.720893396225,1598.844126479975,1,2.0
2025-03-24,1671.45,1702.0,1667.95,1681.65,437165,1615.435276415093,1606.7304001485488,1,0.0
2025-03-25,1690.0,1698.5,1647.55,1657.3,432210,1623.0470443396214,1611.5465525153538,1,0.0
2025-03-26,1655.0,1686.0,1635.35,1641.55,384448,1626.4112180960537,1614.4040237043678,1,0.0
2025-03-27,1625.15,1671.95,1607.1,1660.7,669385,1632.6455420785894,1618.8131643039517,1,0.0
2025-03-28,1649.9,1677.65,1635.0,1643.3,479237,1634.5827162461185,1621.1452438940514,1,0.0
2025-04-01,1659.25,1659.25,1585.75,1601.1,231375,1628.4949496559152,1619.2361730469988,1,0.0
2025-04-02,1601.1,1660.0,1593.75,1647.05,786508,1631.8685951730215,1621.8851089472846,1,0.0
2025-04-03,1615.5,1655.0,1606.5,1630.9,288970,1631.6924869597447,1622.7436699999244,1,0.0
2025-04-04,1629.0,1639.5,1562.0,1580.3,774671,1622.348398421609,1618.7014157142173,1,0.0
2025-04-07,1501.4,1578.9,1480.1,1548.3,1339636,1608.8850532540437,1611.9965189795298,-1,-2.0
2025-04-08,1558.85,1590.0,1548.3,1572.35,1110994,1602.242316298763,1608.2206600290986,-1,0.0
2025-04-09,1581.4,1581.4,1481.0,1495.8,2106869,1582.8891678808059,1597.5139305025177,-1,0.0
2025-04-11,1505.25,1522.35,1470.0,1478.0,838815,1563.8184100842957,1586.13165140704,-1,0.0
2025-04-15,1517.0,1558.0,1497.0,1548.3,416227,1560.99688097806,1582.5286369873218,-1,0.0
2025-04-16,1547.8,1613.7,1544.5,1598.7,324034,1567.8519935275037,1584.0687667980528,-1,0.0
2025-04-17,1590.0,1630.0,1584.2,1614.7,227378,1576.3698128861392,1586.9860271030002,-1,0.0
