Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,3609.05,3609.05,3528.0,3574.45,218062,3574.45,3574.45,0,
2025-02-05,3600.0,3638.55,3537.4,3596.8,358394,3578.513636363636,3576.5785714285716,1,1.0
2025-02-06,3600.0,3664.9,3569.5,3641.45,415667,3589.9566115702473,3582.7568027210887,1,0.0
2025-02-07,3528.35,3582.35,3451.0,3543.85,1266192,3581.5735912847476,3579.0513929381277,1,0.0
2025-02-10,3538.5,3599.95,3475.0,3524.2,191736,3571.142029232975,3573.827450753544,-1,-2.0
2025-02-11,3500.0,3500.0,3375.75,3419.6,407211,3543.5889330087975,3559.1391221103495,-1,0.0
2025-02-12,3430.0,3440.6,3315.3,3356.65,341176,3509.600036098107,3539.8544438141257,-1,0.0
2025-02-13,3378.7,3378.7,3220.0,3226.65,522317,3458.1545749893603,3510.0254491651617,-1,0.0
2025-02-14,3227.9,3249.8,3140.0,3162.8,218261,3404.453743173113,3476.9563587684797,-1,0.0
2025-02-17,3135.0,3189.95,3101.25,3118.6,418973,3352.4803353234556,3442.82718174291,-1,0.0
2025-02-18,3115.5,3179.05,3097.6,3165.6,138881,3318.5020925373724,3416.4245930054904,-1,0.0
2025-02-19,3159.0,3211.95,3110.0,3203.5,179722,3297.5926211669407,3396.1460603383007,-1,0.0
2025-02-20,3192.2,3229.95,3152.7,3189.05,464132,3277.857599136588,3376.4226260203673,-1,0.0
2025-02-21,3189.05,3237.05,3118.85,3145.4,349942,3253.7743992935716,3354.4204711612847,-1,0.0
2025-02-24,3134.2,3138.4,3081.35,3090.45,142386,3224.0790539674676,3329.280426288781,-1,0.0
2025-02-25,3092.05,3118.7,3065.0,3084.8,220228,3198.755589609746,3305.99657616604,-1,0.0
2025-02-27,3084.8,3097.95,3000.0,3012.45,378209,3164.881846044337,3278.039759388322,-1,0.0
2025-02-28,3012.45,3032.0,2962.55,3013.95,627755,3137.439692218094,3252.8883537322913,-1,0.0
2025-03-03,3017.2,3029.3,2951.1,2987.1,260732,3110.1052027238948,3227.575177186359,-1,0.0
2025-03-04,2980.0,3051.25,2964.95,3040.7,156264,3097.486074955914,3209.7775412638484,-1,0.0
2025-03-05,3035.0,3156.45,3025.1,3145.35,310633,3106.188606782111,3203.641584953006,-1,0.0
2025-03-06,3150.0,3265.25,3148.05,3255.6,348644,3133.354314639909,3208.590005433672,-1,0.0
2025-03-07,3195.0,3312.05,3044.7,3219.1,1416296,3148.944439250834,3209.5909572971323,-1,0.0
2025-03-10,3225.0,3292.05,3205.05,3253.65,381671,3167.9818139325002,3213.7870566021675,-1,0.0
2025-03-11,3250.0,3365.0,3200.0,3353.9,339583,3201.7851204902277,3227.13114644958,-1,0.0
2025-03-12,3372.8,3433.9,3281.15,3333.65,166349,3225.760553128368,3237.2757991686676,-1,0.0
2025-03-13,3354.15,3360.4,3280.1,3297.3,210443,3238.767725286846,3242.992389724033,-1,0.0
2025-03-17,3271.0,3381.0,3270.75,3373.25,141132,3263.219047961965,3255.397876416982,1,2.0
2025-03-18,3374.0,3449.85,3355.4,3418.25,243592,3291.406493787062,3270.9076024725073,1,0.0
2025-03-19,3440.45,3440.45,3380.0,3404.95,227139,3312.0507676439597,3283.6735450941733,1,0.0
2025-03-20,3400.1,3443.8,3389.25,3422.55,178326,3332.1415371632397,3296.8998741328237,1,0.0
2025-03-21,3444.8,3484.0,3411.55,3456.7,284840,3354.788530406287,3312.1189337392216,1,0.0
2025-03-24,3456.7,3519.9,3454.95,3492.5,107888,3379.8269794233256,3329.2980829069147,1,0.0
2025-03-25,3515.65,3520.0,3413.8,3441.6,169163,3391.058437709993,3339.993503582447,1,0.0
2025-03-26,3463.95,3464.1,3420.05,3428.05,109293,3397.784176308176,3348.3798365745947,1,0.0
2025-03-27,3399.9,3514.0,3390.0,3482.65,427342,3413.214326070326,3361.167471186538,1,0.0
2025-03-28,3507.35,3523.95,3408.2,3428.2,338808,3415.9389940575393,3367.551521549725,1,0.0
2025-04-01,3420.0,3508.0,3412.0,3450.4,289559,3422.2046315016228,3375.4418528307033,1,0.0
2025-04-02,3445.05,3510.0,3403.65,3501.6,180181,3436.640153046782,3387.4569144658744,1,0.0
2025-04-03,3470.0,3477.9,3415.0,3453.35,535423,3439.678307038276,3393.7324464215053,1,0.0
2025-04-04,3440.0,3440.0,3292.0,3315.45,430413,3417.091342122226,3386.276975333743,1,0.0
2025-04-07,3060.0,3270.0,3051.0,3242.05,330450,3385.265643554548,3372.5410729210053,1,0.0
2025-04-08,3259.65,3313.0,3230.15,3277.1,246889,3365.599162908267,3363.4514469285286,1,0.0
2025-04-09,3250.1,3300.0,3215.05,3294.8,127031,3352.7265878340363,3356.913213887716,-1,-2.0
2025-04-11,3420.0,3699.0,3420.0,3607.45,1520004,3399.039935500575,3380.7738601841243,1,2.0
2025-04-15,3664.0,3664.4,3565.0,3589.4,542128,3433.650856318652,3400.643016357065,1,0.0
2025-04-16,3574.2,3672.1,3574.1,3641.6,369433,3471.4597915334425,3423.591300513535,1,0.0
2025-04-17,3641.6,3655.0,3612.1,3645.3,78387,3503.067102163726,3444.7064147503415,1,0.0
2025-04-21,3645.3,3710.0,3621.1,3683.9,208161,3535.9458108612303,3467.48675620269,1,0.0
2025-04-22,3694.5,3742.5,3675.3,3699.5,215267,3565.682936159188,3489.5832556119576,1,0.0
2025-04-23,3717.0,3729.0,3630.0,3656.7,169104,3582.231493221154,3505.4991360298663,1,0.0
2025-04-24,3656.6,3678.3,3609.1,3658.4,238189,3596.0803126354895,3520.061123074641,1,0.0
2025-04-25,3670.0,3692.4,3520.0,3583.9,110845,3593.8657103381274,3526.141016115151,1,0.0
2025-04-28,3565.0,3659.0,3540.3,3649.2,78944,3603.9264902766495,3537.8609193422794,1,0.0
2025-04-29,3645.7,3694.1,3621.6,3647.7,138901,3611.8853102263492,3548.3217841668243,1,0.0
2025-04-30,3663.0,3672.5,3614.3,3640.2,203428,3617.03343563974,3557.072090436651,1,0.0
2025-05-02,3640.2,3737.9,3624.2,3709.9,249028,3633.9182655234235,3571.627129442684,1,0.0
2025-05-05,3711.9,3738.8,3672.6,3680.0,180654,3642.2967627009825,3581.9483552100473,1,0.0
2025-05-06,3663.1,3711.2,3615.0,3630.3,94993,3640.1155331189852,3586.5532737614717,1,0.0
2025-05-07,3551.2,3687.9,3551.2,3658.1,141319,3643.3854361882604,3593.3672476889506,1,0.0
2025-05-08,3651.3,3668.8,3587.4,3611.4,325795,3637.5699023358493,3595.084652670955,1,0.0
2025-05-09,3550.0,3657.9,3550.0,3639.7,108129,3637.9571928202404,3599.333733368959,1,0.0
2025-05-12,3685.2,3739.0,3654.2,3708.4,206683,3650.7649759438327,3609.72099685763,1,0.0
2025-05-13,3731.5,3731.5,3630.0,3638.6,253553,3648.5531621358627,3612.471378109284,1,0.0
2025-05-14,3635.0,3660.0,3607.2,3651.0,115213,3648.998041747524,3616.140770670305,1,0.0
2025-05-15,3652.0,3733.6,3622.0,3691.3,181586,3656.6893068843374,3623.2987925112284,1,0.0
2025-05-16,3712.0,3789.0,3652.9,3769.7,602501,3677.2367056326398,3637.2417646530157,1,0.0
2025-05-19,3795.0,3795.0,3719.2,3759.0,350829,3692.102759153978,3648.8377870670142,1,0.0
2025-05-20,3701.0,3834.9,3701.0,3730.2,890551,3699.0295302168906,3656.586569251108,1,0.0
2025-05-21,3698.1,3719.8,3534.1,3709.9,480623,3701.0059792683646,3661.66403884624,1,0.0
2025-05-22,3700.0,3701.1,3608.0,3644.4,226597,3690.7139830377528,3660.019844670408,1,0.0
2025-05-23,3630.4,3694.0,3630.1,3680.8,114905,3688.9114406672525,3661.99890708275,1,0.0
2025-05-26,3703.5,3705.5,3660.0,3683.6,109213,3687.9457241822975,3664.05615402725,1,0.0
2025-05-27,3690.0,3796.1,3664.2,3752.0,360398,3699.591956149152,3672.4317584056075,1,0.0
2025-05-28,3790.0,3865.0,3738.3,3855.5,459662,3727.9388732129423,3689.866829033645,1,0.0
2025-05-29,3885.0,3895.7,3840.1,3875.5,442076,3754.768168992407,3707.5461786494884,1,0.0
2025-05-30,3877.9,3920.0,3804.8,3823.7,582201,3767.301229175606,3718.608447349537,1,0.0
2025-06-02,3823.7,3837.2,3756.0,3827.9,140233,3778.3191875073135,3729.017166649581,1,0.0
2025-06-03,3829.9,3894.3,3802.3,3812.1,204115,3784.4611534150745,3736.9298174448595,1,0.0
2025-06-04,3812.1,4015.0,3785.5,3970.3,1213676,3818.2500346123334,3759.155549116778,1,0.0
2025-06-05,3955.0,3965.0,3895.1,3904.4,222681,3833.913664682818,3772.988353962799,1,0.0
2025-06-06,3904.4,3939.0,3853.1,3897.9,206437,3845.547543831396,3784.884701204437,1,0.0
2025-06-09,3922.0,3949.5,3894.8,3935.8,105853,3861.9570813165965,3799.2575868040144,1,0.0
2025-06-10,3936.1,3959.9,3915.9,3924.3,110771,3873.2921574408515,3811.1663880607753,1,0.0
2025-06-11,3920.0,3985.0,3919.8,3975.0,261045,3891.7844924516057,3826.769589197844,1,0.0
2025-06-12,3989.0,3994.8,3930.0,3948.3,141194,3902.0600392785864,3838.3439140361447,1,0.0
2025-06-13,3850.0,3981.8,3850.0,3972.6,268722,3914.8854866824795,3851.130207937464,1,0.0
2025-06-16,4055.9,4172.9,4025.0,4146.5,1216279,3956.9972163765738,3879.260664324372,1,0.0
2025-06-17,4101.0,4198.0,4101.0,4172.3,399557,3996.1431770353784,3907.169172483956,1,0.0
2025-06-18,4145.1,4170.0,4126.0,4138.7,234637,4022.062599392582,3929.219727485484,1,0.0
2025-06-19,4138.7,4162.0,4095.0,4108.4,142988,4037.7603085939304,3946.2845153440094,1,0.0
2025-06-20,4080.0,4140.0,4062.0,4121.5,390758,4052.9857070313974,3962.9717043588657,1,0.0
2025-06-23,4067.0,4164.8,4066.6,4152.2,209809,4071.024669389325,3980.9934468008782,1,0.0
2025-06-24,4180.0,4189.0,4145.0,4175.2,241403,4089.9656385912654,3999.4893090103183,1,0.0
2025-06-25,4170.2,4249.8,4149.9,4168.0,266925,4104.153704301944,4015.5379462474307,1,0.0
2025-06-26,4170.0,4170.0,4108.0,4138.4,248892,4110.3803035197725,4027.239094223866,1,0.0
2025-06-27,4120.0,4167.0,4112.1,4157.3,135043,4118.911157425268,4039.6258471549263,1,0.0
2025-06-30,4170.0,4193.8,4058.7,4104.7,305594,4116.327310620673,4045.823385521124,1,0.0
2025-07-01,4110.0,4174.4,4085.6,4154.3,116357,4123.231435962369,4056.154491661969,1,0.0
2025-07-02,4135.1,4173.9,4103.0,4167.8,112267,4131.334811241938,4066.7873972179723,1,0.0
2025-07-03,4189.0,4260.0,4161.0,4238.6,185912,4150.837572834313,4083.1505022448323,1,0.0
2025-07-04,4249.9,4274.1,4191.7,4220.0,127365,4163.41255959171,4096.1837877453245,1,0.0
2025-07-07,4220.0,4220.0,4136.9,4162.1,93141,4163.1739123932175,4102.46152224577,1,0.0
2025-07-08,4154.0,4179.9,4125.0,4148.5,204381,4160.505928321723,4106.846139174744,1,0.0
2025-07-09,4130.0,4193.0,4126.0,4168.4,92807,4161.941214081409,4112.708411634292,1,0.0
2025-07-10,4145.1,4178.8,4030.0,4041.9,278360,4140.11553879388,4105.964753383408,1,0.0
2025-07-11,4042.9,4068.0,4026.5,4044.8,204123,4122.785440831356,4100.139538775464,1,0.0
2025-07-14,4011.9,4061.7,3975.4,4050.1,184800,4109.569906134746,4095.3738684158957,1,0.0
2025-07-15,4059.9,4179.0,4059.9,4172.0,126010,4120.920832292065,4102.67159523343,1,0.0
2025-07-16,4150.0,4159.4,4085.2,4104.4,145054,4117.917044602598,4102.836205211198,1,0.0
2025-07-17,4116.5,4145.3,4073.9,4135.8,124033,4121.168491038489,4105.975614238703,1,0.0
2025-07-18,4125.0,4152.0,4086.2,4120.9,78543,4121.119674486036,4107.396984311207,1,0.0
2025-07-21,4110.0,4184.0,4095.1,4173.1,63568,4130.570642761302,4113.654414376806,1,0.0
2025-07-22,4197.5,4197.5,4057.0,4080.0,156149,4121.375980441065,4110.449232055205,1,0.0
2025-07-23,4080.0,4089.1,4018.0,4074.4,55530,4112.834893088144,4107.015971859471,1,0.0
2025-07-24,4070.0,4123.8,4063.0,4113.9,72784,4113.028548890299,4107.671593587141,1,0.0
2025-07-25,4089.2,4114.8,4030.6,4092.1,73472,4109.223358182971,4106.18858467408,1,0.0
2025-07-28,4086.4,4165.0,4054.6,4113.0,124615,4109.910020331522,4106.837290895596,1,0.0
2025-07-29,4086.4,4258.0,4039.7,4249.5,221479,4135.290016634882,4120.424215572206,1,0.0
2025-07-30,4257.0,4330.0,4249.5,4324.2,249591,4169.63728633763,4139.831433136757,1,0.0
2025-07-31,4240.0,4315.0,4175.0,4250.9,265735,4184.412325185333,4150.409391885638,1,0.0
2025-08-01,4275.0,4275.0,4152.1,4190.2,94332,4185.4646296970905,4154.198973610815,1,0.0
2025-08-04,4190.0,4190.1,4067.7,4138.0,159262,4176.834697024892,4152.656214219309,1,0.0
2025-08-05,4145.0,4149.0,4091.3,4109.3,91475,4164.555661202185,4148.527050960327,1,0.0
2025-08-06,4120.0,4128.1,4066.0,4084.9,67607,4150.072813710878,4142.467331821248,1,0.0
2025-08-07,4065.0,4100.3,3957.1,4023.8,179302,4127.1141203089,4131.165681171606,-1,-2.0
2025-08-08,4015.0,4027.8,3904.3,3919.1,101833,4089.293371161827,4110.968949631452,-1,0.0
2025-08-11,3875.0,3904.0,3781.2,3853.7,367193,4046.458212768767,4086.4671449046473,-1,0.0
2025-08-12,3857.6,3883.5,3811.1,3837.9,283903,4008.5385377199004,4062.794083485157,-1,0.0
2025-08-13,3802.0,3879.0,3754.0,3772.7,1197821,3965.658803589009,4035.16607553419,-1,0.0
2025-08-14,3772.7,3844.9,3664.1,3690.2,660958,3915.5753847546434,4002.312163578553,-1,0.0
2025-08-18,3700.0,3779.0,3681.0,3750.4,161048,3885.5434966174353,3978.3205289520242,-1,0.0
2025-08-19,3770.8,3792.9,3738.0,3765.0,143908,3863.6264972324466,3958.0042880994506,-1,0.0
2025-08-20,3770.0,3821.9,3742.5,3796.8,65999,3851.4762250083654,3942.6514987566457,-1,0.0
2025-08-21,3796.8,3882.8,3774.9,3869.8,162383,3854.8078204613894,3935.7132607798226,-1,0.0
2025-08-22,3869.7,3882.7,3838.4,3865.1,60860,3856.6791258320454,3928.988188324601,-1,0.0
2025-08-25,3866.0,3917.8,3844.0,3896.2,130508,3863.8647393171277,3925.8655037222584,-1,0.0
2025-08-26,3898.0,3898.0,3774.7,3787.2,312272,3849.9256958049223,3912.6592652725194,-1,0.0
2025-08-28,3788.9,3806.1,3700.0,3708.8,161470,3824.2664783858454,3893.244097151327,-1,0.0
2025-08-29,3701.1,3732.0,3685.3,3694.8,113988,3800.727118679328,3874.344659327391,-1,0.0
2025-09-01,3713.2,3775.0,3696.0,3767.7,86430,3794.7221880103593,3864.1880251057346,-1,0.0
2025-09-02,3791.0,3791.0,3736.6,3753.2,70356,3787.1726992812028,3853.6177370004266,-1,0.0
2025-09-03,3753.2,3782.5,3715.0,3757.7,241421,3781.8140266846203,3844.4827144289575,-1,0.0
2025-09-04,3783.0,3797.6,3723.3,3741.2,253977,3774.4296581965073,3834.6462654357238,-1,0.0
2025-09-05,3747.5,3760.0,3652.2,3664.0,184860,3754.3515385244145,3818.3942401561308,-1,0.0
2025-09-08,3668.4,3729.4,3654.0,3697.7,113535,3744.0512587927024,3806.8995506174515,-1,0.0
2025-09-09,3695.1,3715.2,3649.0,3695.5,105943,3735.223757194029,3796.2900696062657,-1,0.0
2025-09-10,3705.3,3755.0,3684.7,3707.2,227001,3730.128528613296,3787.8053010723356,-1,0.0
2025-09-11,3705.9,3765.2,3704.4,3741.1,187933,3732.1233415926963,3783.3571771606844,-1,0.0
2025-09-12,3764.4,3776.9,3697.9,3701.0,80690,3726.464552212206,3775.5136364787145,-1,0.0
2025-09-15,3708.5,3731.2,3699.2,3723.1,55316,3725.85281544635,3770.5218615759795,-1,0.0
2025-09-16,3723.1,3738.8,3699.1,3711.8,125306,3723.297758092468,3764.929303330648,-1,0.0
2025-09-17,3721.2,3810.0,3714.5,3753.0,204080,3728.698165712019,3763.79317920392,-1,0.0
2025-09-18,3776.0,3776.0,3652.0,3705.7,272282,3724.5166810371065,3758.260495470213,-1,0.0
2025-09-19,3728.2,3769.2,3708.0,3731.2,569442,3725.7318299394506,3755.6833054254307,-1,0.0
2025-09-22,3745.0,3745.0,3661.2,3668.9,133893,3715.398769950459,3747.4182287182466,-1,0.0
2025-09-23,3668.9,3681.0,3592.8,3625.8,184263,3699.108084504921,3735.83554026889,-1,0.0
2025-09-24,3632.0,3644.8,3593.0,3629.0,142580,3686.3611600494805,3725.660726909948,-1,0.0
2025-09-25,3638.0,3646.2,3563.3,3573.2,78675,3665.7864036768474,3711.1406576804293,-1,0.0
2025-09-26,3573.2,3593.9,3478.1,3487.6,185817,3633.388875735602,3689.8510712346742,-1,0.0
2025-09-29,3509.0,3593.0,3471.0,3492.3,127227,3607.736352874583,3671.0366834980387,-1,0.0
2025-09-30,3505.9,3543.7,3479.9,3513.5,244113,3590.60247053375,3656.033189831559,-1,0.0
