Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,364.0,368.8,352.1,356.0,1933976,356.0,356.0,0,
2025-02-05,359.0,367.55,357.0,358.15,1356976,356.3909090909091,356.2047619047619,1,1.0
2025-02-06,359.7,361.7,356.0,358.45,956711,356.76528925619834,356.41859410430834,1,0.0
2025-02-07,358.45,358.7,349.1,352.7,980026,356.02614575507135,356.0644422848504,-1,-2.0
2025-02-10,350.0,353.1,339.3,345.65,1062069,354.1395737996038,355.0725906386741,-1,0.0
2025-02-11,345.0,345.0,326.0,327.85,1442518,349.3596512905849,352.4799629588004,-1,0.0
2025-02-12,327.8,328.45,305.2,323.65,2925724,344.6851692377512,349.7342522008194,-1,0.0
2025-02-13,327.25,334.7,321.05,323.2,1783509,340.7787748308873,347.20718056264616,-1,0.0
2025-02-14,323.2,325.1,302.25,306.05,1782400,334.4644521343623,343.2874490804894,-1,0.0
2025-02-17,302.15,315.0,296.7,304.35,3070058,328.9890972008419,339.57912059663323,-1,0.0
2025-02-18,304.05,307.0,285.0,292.2,2666364,322.30017043705243,335.06682339695385,-1,0.0
2025-02-19,288.0,316.5,285.5,314.4,3638982,320.8637758121338,333.09855450200587,-1,0.0
2025-02-20,311.0,321.45,307.05,313.2,2155197,319.47036202810943,331.2034540732434,-1,0.0
2025-02-21,311.0,322.45,304.05,305.5,1765645,316.9302962048168,328.7555060662678,-1,0.0
2025-02-24,308.0,315.5,306.3,308.4,6236194,315.37933325848644,326.81688644090895,-1,0.0
2025-02-25,307.3,311.8,301.65,307.5,1478990,313.9467272114889,324.9771829703462,-1,0.0
2025-02-27,309.95,312.8,294.5,297.6,1820686,310.97459499121817,322.3698322112656,-1,0.0
2025-02-28,291.5,294.6,275.2,281.15,2244463,305.5519413564512,318.4441339054308,-1,0.0
2025-03-03,285.0,289.7,265.5,277.25,3040637,300.40613383709643,314.52088305729455,-1,0.0
2025-03-04,271.85,285.9,270.0,281.2,2196687,296.91410950307886,311.3474656232665,-1,0.0
2025-03-05,281.2,293.2,281.2,289.45,1995472,295.55699868433726,309.26199270676494,-1,0.0
2025-03-06,292.0,300.65,290.2,295.9,2160486,295.6193625599123,307.98942197278734,-1,0.0
2025-03-07,297.75,306.0,293.45,298.7,2121243,296.17947845811005,307.1047151182362,-1,0.0
2025-03-10,304.9,309.0,287.6,292.15,3986476,295.4468460111809,305.680456535547,-1,0.0
2025-03-11,285.0,294.15,279.25,292.65,1841463,294.93832855460255,304.4394606750187,-1,0.0
2025-03-12,295.3,298.7,288.0,289.45,1346459,293.9404506355839,303.0118929916836,-1,0.0
2025-03-13,289.45,291.2,282.0,283.25,1149035,291.996732338205,301.1298079448566,-1,0.0
2025-03-17,283.95,286.45,273.85,275.6,1400879,289.01550827671315,298.69839766439407,-1,0.0
2025-03-18,276.55,282.9,276.4,281.7,1490704,287.6854158627653,297.0795026487375,-1,0.0
2025-03-19,283.2,303.5,283.2,296.3,3365639,289.25170388771704,297.0052643012387,-1,0.0
2025-03-20,298.1,305.75,293.1,297.5,2479811,290.7513940899503,297.052381986835,-1,0.0
2025-03-21,298.9,321.65,295.35,309.75,7527427,294.2056860735957,298.2616789404697,-1,0.0
2025-03-24,318.0,339.4,316.7,327.5,20867260,300.25919769657827,301.0462809461393,-1,0.0
2025-03-25,329.85,336.9,319.45,323.35,3622244,304.4575253881095,303.1704446655546,1,2.0
2025-03-26,322.95,325.3,306.0,308.0,2175910,305.1016116811805,303.63040231645414,1,0.0
2025-03-27,306.3,313.9,303.0,308.1,2831491,305.6467731936931,304.05607828631565,1,0.0
2025-03-28,307.0,318.75,301.5,302.55,2651784,305.0837235221125,303.91264225904746,1,0.0
2025-04-01,305.35,308.4,300.2,301.4,2706011,304.4139556090011,303.673342996281,1,0.0
2025-04-02,302.1,308.9,294.55,307.1,2052515,304.9023273164554,303.9996912823495,1,0.0
2025-04-03,302.5,314.8,301.4,311.75,2116016,306.14735871346346,304.7378159221257,1,0.0
2025-04-04,309.0,312.0,294.25,297.55,1838279,304.5842025837428,304.05326202478045,1,0.0
2025-04-07,266.0,288.0,266.0,281.55,2320611,300.396165750335,301.9100942128966,-1,-2.0
2025-04-08,289.95,292.95,284.25,291.05,1249478,298.6968628866377,300.87579952595405,-1,0.0
2025-04-09,291.45,291.45,284.05,284.9,912857,296.18834236179447,299.3542948091965,-1,0.0
2025-04-11,292.0,295.1,288.15,292.3,1093173,295.4813710232864,298.68245720832067,-1,0.0
2025-04-15,296.05,309.0,296.05,306.5,1556998,297.4847581099616,299.42698509324254,-1,0.0
2025-04-16,309.0,313.8,306.05,309.4,1388805,299.65116572633224,300.3767960367432,-1,0.0
2025-04-17,310.0,313.25,307.05,309.75,1164586,301.48731741245365,301.26948212848197,1,2.0
2025-04-21,311.5,318.75,310.65,316.35,1699688,304.1896233374621,302.7057219257694,1,0.0
2025-04-22,317.95,322.15,314.05,317.45,1253430,306.60060091246896,304.10993888521995,1,0.0
2025-04-23,318.0,321.25,309.3,319.5,1684785,308.9459462011109,305.5756589913895,1,0.0
2025-04-24,318.4,324.9,315.0,316.2,1804924,310.2648650736362,306.5875009922095,1,0.0
2025-04-25,316.95,317.7,299.15,302.0,2075251,308.7621623329751,306.1505961358086,1,0.0
2025-04-28,304.8,310.0,299.6,308.5,1945383,308.7144964542523,306.37434888477924,1,0.0
2025-04-29,308.0,312.8,303.0,304.5,948957,307.94822437166096,306.1958394671812,1,0.0
2025-04-30,303.9,304.15,292.5,296.05,1000905,305.7849108495408,305.2295690417354,1,0.0
2025-05-02,313.65,336.4,313.65,316.0,43880878,307.6421997859879,306.2553243710939,1,0.0
2025-05-05,326.6,328.0,319.5,322.85,4545448,310.4072543703537,307.8357696690849,1,0.0
2025-05-06,322.85,323.55,301.15,303.05,4435539,309.06957175756213,307.37998208155307,1,0.0
2025-05-07,298.8,310.5,295.65,307.65,3028918,308.8114678016417,307.40569807378614,1,0.0
2025-05-08,310.0,313.55,296.0,300.55,1688374,307.3093827467977,306.7527744477113,1,0.0
2025-05-09,292.0,310.9,290.8,308.35,3226052,307.4985858837436,306.90489116697694,1,0.0
2025-05-12,320.0,323.95,316.2,322.4,3310135,310.2079339048811,308.38061581774105,1,0.0
2025-05-13,321.8,331.4,317.8,325.85,2528846,313.05194592217543,310.0443666922419,1,0.0
2025-05-14,326.05,360.0,323.45,356.55,14315782,320.96068302723444,314.4734746263141,1,0.0
2025-05-15,357.4,366.85,355.15,362.05,5581707,328.4314679313736,319.00457228095087,1,0.0
2025-05-16,362.95,392.8,358.0,383.55,11360243,338.4530192165784,325.15175587324126,1,0.0
2025-05-19,384.8,402.4,384.5,397.35,6559510,349.1615611772005,332.0277791234088,1,0.0
2025-05-20,398.9,402.3,375.35,377.85,4871354,354.377640963164,336.39180015927457,1,0.0
2025-05-21,377.85,383.05,372.45,378.2,2883209,358.70897896986145,340.3735334774389,1,0.0
2025-05-22,378.0,391.5,373.9,380.8,3265540,362.72552824806843,344.2236731462542,1,0.0
2025-05-23,380.0,380.8,371.6,376.2,1951739,365.1754322029651,347.2690376085157,1,0.0
2025-05-26,377.05,388.5,372.1,385.3,3408964,368.8344445296987,350.8910340267523,1,0.0
2025-05-27,385.0,393.05,380.1,387.65,2639012,372.255454615208,354.39188792896636,1,0.0
2025-05-28,389.6,408.0,389.55,401.45,9030164,377.5635537760793,358.87361288811246,1,0.0
2025-05-29,403.8,405.0,394.3,403.15,3258916,382.2156349077012,363.09041166067317,1,0.0
2025-05-30,403.75,411.5,392.55,398.55,3477686,385.1855194699373,366.4675153120376,1,0.0
2025-06-02,396.0,405.0,392.8,399.25,2251539,387.74269774813047,369.5896567108912,1,0.0
2025-06-03,401.1,406.0,395.0,398.95,2343405,389.7803890666522,372.3858798812825,1,0.0
2025-06-04,400.5,449.8,395.2,442.05,32564320,399.28395469089725,379.02055798782703,1,0.0
2025-06-05,446.95,464.95,439.5,461.15,15751914,410.5323265652795,386.84240960803396,1,0.0
2025-06-06,457.0,457.45,441.0,444.15,6811423,416.64463082613776,392.3002753596498,1,0.0
2025-06-09,450.0,463.7,444.15,457.85,8635123,424.1365161304763,398.5431062777784,1,0.0
2025-06-10,461.3,478.95,447.0,449.1,9349421,428.67533137948055,403.3580485370376,1,0.0
2025-06-11,451.0,467.25,443.2,456.45,9653539,433.7252711286659,408.41442486684355,1,0.0
2025-06-12,460.0,469.1,434.75,438.3,8272215,434.557040014363,411.26067011762035,1,0.0
2025-06-13,427.0,437.95,422.8,425.35,5128845,432.8830327390242,412.60251105879934,1,0.0
2025-06-16,425.0,436.1,410.0,432.5,5204767,432.8133904228379,414.49751000558035,1,0.0
2025-06-17,433.55,435.95,424.15,426.6,2914956,431.683683073231,415.650128100287,1,0.0
2025-06-18,429.5,443.15,422.2,426.65,7510851,430.76846796900713,416.6977349478787,1,0.0
2025-06-19,427.3,431.5,404.05,407.45,5582382,426.5287465200967,415.816998286176,1,0.0
2025-06-20,409.0,423.4,407.5,421.5,5673890,425.6144289709882,416.35823654463536,1,0.0
2025-06-23,418.0,423.65,414.65,417.25,3217506,424.09362370353574,416.44316639752725,1,0.0
2025-06-24,424.0,432.3,418.8,420.5,4637262,423.44023757562013,416.8295315025247,1,0.0
2025-06-25,422.7,436.5,421.6,423.35,3684087,423.4238307436892,417.45052850228427,1,0.0
2025-06-26,425.5,429.75,420.7,423.8,2489394,423.4922251539275,418.0552400734953,1,0.0
2025-06-27,425.95,431.65,422.65,428.3,3242769,424.36636603503155,419.0309314950672,1,0.0
2025-06-30,430.45,431.7,423.5,428.4,2215402,425.0997540286621,419.92322373363226,1,0.0
2025-07-01,430.6,433.95,424.15,426.5,2278329,425.354344205269,420.5495833780482,1,0.0
2025-07-02,427.8,430.6,418.1,422.95,1714857,424.91719071340185,420.7781944849008,1,0.0
2025-07-03,424.5,429.25,418.5,420.9,1825203,424.1867924018742,420.78979501014834,1,0.0
2025-07-04,422.0,423.7,416.05,418.75,1180709,423.1982846924425,420.5955288187056,1,0.0
2025-07-07,418.75,421.2,411.0,413.0,1349859,421.3440511119984,419.872145121686,1,0.0
2025-07-08,412.0,415.9,405.55,411.75,1795624,419.59967818254415,419.0986074910493,1,0.0
2025-07-09,413.85,417.7,408.15,410.2,1635134,417.8906457857179,418.2511210633303,-1,-2.0
2025-07-10,412.25,417.4,405.55,408.1,2300172,416.1105283701328,417.2843476287274,-1,0.0
2025-07-11,405.9,411.95,405.6,411.15,1439601,415.2086141210177,416.70012404503905,-1,0.0
2025-07-14,413.15,414.45,408.5,409.9,1099253,414.2434115535599,416.05249318360677,-1,0.0
2025-07-15,415.0,426.0,415.0,417.1,5801868,414.76279127109444,416.15225573754896,-1,0.0
2025-07-16,418.0,418.4,412.2,414.0,1179162,414.62410194907727,415.9472790006395,-1,0.0
2025-07-17,415.2,415.4,410.2,411.0,835146,413.9651743219723,415.4761095720072,-1,0.0
2025-07-18,410.3,412.0,405.55,406.45,815564,412.59877899070455,414.6164800889589,-1,0.0
