Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,650.55,686.3,646.4,682.8,194812,682.8,682.8,0,
2025-02-01,679.25,692.7,660.85,668.0,150798,680.1090909090909,681.3904761904761,-1,-1.0
2025-02-03,664.75,676.5,618.8,637.3,471465,672.3256198347107,677.1913832199546,-1,0.0
2025-02-04,655.0,655.0,634.15,642.9,159384,666.9755071374905,673.9255371990065,-1,0.0
2025-02-05,648.85,668.45,637.95,653.75,181912,664.5708694761286,672.0040574657678,-1,0.0
2025-02-06,657.0,667.0,650.5,662.3,115080,664.1579841168324,671.079861516647,-1,0.0
2025-02-07,660.0,660.5,642.95,654.75,93616,662.4474415501355,669.5246366102997,-1,0.0
2025-02-10,654.75,660.9,642.45,646.3,149456,659.5115430864745,667.3127664569379,-1,0.0
2025-02-11,646.3,672.35,617.9,662.55,667103,660.0639897980245,666.8591696515152,-1,0.0
2025-02-12,666.6,702.0,653.0,685.55,2521695,664.6978098347473,668.6392487323233,-1,0.0
2025-02-13,689.7,694.9,657.5,664.5,404449,664.6618444102478,668.2450345673401,-1,0.0
2025-02-14,667.85,675.05,623.0,627.45,271873,657.8960545174755,664.3597931799744,-1,0.0
2025-02-17,630.0,639.05,610.05,615.6,291145,650.2058627870254,659.7160033533102,-1,0.0
2025-02-18,620.0,624.75,594.3,608.7,274291,642.6593422802935,654.8573363672806,-1,0.0
2025-02-19,602.15,638.0,596.0,628.35,221429,640.0576436838764,652.3328281418253,-1,0.0
2025-02-20,622.05,644.5,618.7,640.65,163187,640.1653448322626,651.2201778426039,-1,0.0
2025-02-21,646.0,668.5,636.1,641.15,220095,640.3443730445784,650.2611132861655,-1,0.0
2025-02-24,631.0,655.0,620.35,646.9,260504,641.5363052182914,649.9410072589117,-1,0.0
2025-02-25,646.2,660.0,643.05,656.0,202103,644.1660679058748,650.5180541866343,-1,0.0
2025-02-27,655.35,657.55,632.5,642.3,149279,643.8267828320793,649.7353823593359,-1,0.0
2025-02-28,630.0,638.35,606.85,612.05,195757,638.0491859535193,646.1462983251134,-1,0.0
2025-03-03,612.0,621.95,582.15,600.25,285131,631.176606689243,641.7752222941502,-1,0.0
2025-03-04,598.05,624.35,591.05,619.2,235039,628.9990418366534,639.6252011232788,-1,0.0
2025-03-05,615.0,638.15,613.55,635.9,203736,630.2537615027164,639.2704200639189,-1,0.0
2025-03-06,640.15,651.0,623.25,637.05,306687,631.4894412294952,639.0589514864029,-1,0.0
2025-03-07,634.0,651.25,630.15,632.7,166456,631.7095428241324,638.4533370591264,-1,0.0
