Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,503.85,507.3,500.05,504.3,2151141,504.3,504.3,0,
2025-02-01,510.1,514.0,498.85,504.25,866058,504.29090909090905,504.2952380952381,-1,-1.0
2025-02-03,500.0,502.0,477.6,485.5,6332539,500.87438016528915,502.50521541950116,-1,0.0
2025-02-04,500.0,524.85,499.55,502.4,6030302,501.15176558978203,502.4951949033582,-1,0.0
2025-02-05,509.95,517.7,496.0,515.0,2580847,503.6696263916398,503.686128722086,-1,0.0
2025-02-06,518.95,535.0,511.5,533.25,4612104,509.0478761386143,506.50173551045873,1,2.0
2025-02-07,535.85,535.85,520.0,529.6,1676568,512.7846259315935,508.7015702237484,1,0.0
2025-02-10,529.5,534.5,522.05,528.65,1160970,515.6692393985765,510.6014206786295,1,0.0
2025-02-11,525.1,530.85,506.35,510.95,2500361,514.8111958715625,510.6346187092362,1,0.0
2025-02-12,510.0,513.7,495.0,511.35,1449261,514.1818875312783,510.7027502607375,1,0.0
2025-02-13,515.0,521.5,509.5,516.45,1005358,514.5942716165005,511.25010737876255,1,0.0
2025-02-14,516.4,522.55,485.0,489.25,2492187,509.9862222316822,509.1548590569756,1,0.0
2025-02-17,483.9,493.45,475.05,487.3,2915888,505.8614545531945,507.07344390869224,-1,-2.0
2025-02-18,492.3,508.0,489.65,506.55,3212526,505.98664463443185,507.0235921078644,-1,0.0
2025-02-19,505.0,513.8,498.75,509.35,1595962,506.59816379180785,507.24515476425825,-1,0.0
2025-02-20,502.0,520.2,502.0,517.95,1562900,508.6621340114791,508.26466383432887,1,2.0
2025-02-21,520.7,524.65,505.35,507.45,1331623,508.441746009392,508.18707680248804,1,0.0
2025-02-24,504.85,513.55,497.75,504.95,1407219,507.8068830985934,507.87878377367963,-1,-2.0
2025-02-25,503.1,512.0,502.05,508.9,650257,508.00563162612184,507.9760424619006,1,2.0
2025-02-27,507.0,508.3,491.85,503.05,1456475,507.1046076940996,507.5068955607672,-1,-2.0
2025-02-28,495.0,497.65,476.7,493.9,3533392,504.70376993153604,506.21100074545603,-1,0.0
2025-03-03,503.95,503.95,476.1,485.95,1083796,501.29399358034766,504.28138162684115,-1,0.0
2025-03-04,472.9,484.9,464.05,474.2,1539353,496.3678129293753,501.41648813857057,-1,0.0
2025-03-05,470.0,511.9,470.0,509.05,2597910,498.6736651240343,502.1434892682305,-1,0.0
2025-03-06,518.0,532.45,515.0,521.9,1212006,502.89663510148256,504.0250617188752,-1,0.0
2025-03-07,520.5,529.7,512.95,517.6,1035927,505.56997417394024,505.31791298374424,1,2.0
2025-03-10,518.0,522.9,507.9,512.2,1761286,506.77543341504196,505.97334984243525,1,0.0
2025-03-11,504.5,509.25,495.0,507.6,1285121,506.92535461230705,506.1282689050605,1,0.0
2025-03-12,512.0,513.1,491.0,504.8,1587133,506.5389265009785,506.00176710457856,1,0.0
2025-03-13,505.55,506.75,484.45,485.8,1388137,502.76821259170964,504.07778928509487,-1,-2.0
2025-03-17,485.1,491.55,481.0,485.95,682758,499.71035575685335,502.35133316270486,-1,0.0
2025-03-18,489.8,495.8,485.45,493.85,1074596,498.64483652833457,501.5416823853044,-1,0.0
2025-03-19,495.0,514.35,491.0,507.95,940318,500.3366844322737,502.15199834860874,-1,0.0
2025-03-20,509.15,517.65,504.65,508.5,753432,501.8209236264057,502.75656993445557,-1,0.0
2025-03-21,518.0,518.0,503.15,509.35,1818450,503.18984660342284,503.3845156549836,-1,0.0
2025-03-24,512.15,520.5,500.95,501.95,1600763,502.964419948255,503.24789511641376,-1,0.0
2025-03-25,505.05,510.7,491.1,493.7,1499538,501.27997995766316,502.33857177199343,-1,0.0
2025-03-26,497.0,503.85,494.6,496.95,2852798,500.4927108744517,501.82537446037503,-1,0.0
2025-03-27,470.0,480.15,462.0,467.35,8410256,494.46676344273317,498.5420054641488,-1,0.0
2025-03-28,467.95,473.35,458.0,461.2,2707951,488.41826099859986,494.98562399137273,-1,0.0
2025-04-01,460.0,465.0,455.3,461.0,1240444,483.433122635218,491.7488978969563,-1,0.0
2025-04-02,462.8,468.5,452.8,465.65,1378880,480.19982761063284,489.2632885734366,-1,0.0
2025-04-03,458.55,462.0,443.55,450.15,4325036,474.73622259051774,485.5382134712046,-1,0.0
2025-04-04,450.0,451.75,414.15,421.85,4180157,465.1205457558781,479.47266933108983,-1,0.0
2025-04-07,380.0,413.0,380.0,406.6,3475481,454.48044652753657,472.5324151090813,-1,0.0
2025-04-08,415.0,424.8,405.4,411.05,1686256,446.5840017043481,466.67694700345453,-1,0.0
2025-04-09,410.0,413.0,402.3,407.45,1164353,439.4687286671939,461.0362853840779,-1,0.0
2025-04-11,428.7,431.25,416.0,430.1,2314455,437.7653234549768,458.0899724903562,-1,0.0
2025-04-15,452.6,466.0,450.0,462.55,6752078,442.27162828134465,458.51473701508417,-1,0.0
2025-04-16,465.0,465.0,445.4,446.8,1718495,443.09496859382745,457.39904777555233,-1,0.0
2025-04-17,445.0,452.5,435.85,451.7,2582488,444.65951975858604,456.8562813207378,-1,0.0
2025-04-21,451.7,458.95,449.3,455.6,1083089,446.64869798429766,456.73663548066753,-1,0.0
2025-04-22,456.4,459.1,450.2,451.6,1199046,447.54893471442534,456.24743210155634,-1,0.0
2025-04-23,453.0,479.85,453.0,478.45,5766536,453.16731022089346,458.3619623775986,-1,0.0
2025-04-24,485.0,488.0,466.1,469.15,3981952,456.0732538170946,459.38939453211304,-1,0.0
2025-04-25,469.15,471.0,451.0,453.65,2181275,455.63266221398646,458.84278552905465,-1,0.0
2025-04-28,453.0,465.5,452.1,463.25,1037631,457.0176327205344,459.2625202405732,-1,0.0
2025-04-29,475.0,499.3,467.4,491.85,9531228,463.35079040770995,462.366089741471,1,2.0
2025-04-30,492.0,495.05,477.7,481.15,3063465,466.58701033358085,464.15503357561664,1,0.0
2025-05-02,470.0,499.0,468.45,496.95,4969979,472.1075539092934,467.2783637112722,1,0.0
2025-05-05,497.0,510.05,492.5,508.6,1741588,478.7425441076037,471.213757643532,1,0.0
2025-05-06,509.35,513.75,499.5,502.45,3030894,483.0529906334939,474.18863786795754,1,0.0
2025-05-07,491.0,512.8,490.0,511.15,2188022,488.1615377910404,477.7087675948187,1,0.0
2025-05-08,513.0,515.8,504.0,508.1,2833517,491.7867127381239,480.6031706810265,1,0.0
2025-05-09,497.8,503.65,491.6,500.5,1291054,493.3709467857377,482.498106806643,1,0.0
2025-05-12,512.95,522.85,508.6,519.8,932430,498.1762291883308,486.0506680631532,1,0.0
2025-05-13,519.8,521.85,506.5,508.15,1005905,499.9896420631797,488.15536634285286,1,0.0
2025-05-14,517.0,532.55,512.5,528.2,2757417,505.11879805169247,491.96914097686687,1,0.0
2025-05-15,528.0,535.5,520.8,533.75,850032,510.3244711332029,495.9482704076414,1,0.0
2025-05-16,533.75,545.35,528.5,542.85,801815,516.2382036544387,500.41510179738987,1,0.0
2025-05-19,544.8,548.55,534.05,536.1,854863,519.8494393536316,503.8136635309718,1,0.0
2025-05-20,538.0,540.85,521.65,524.45,780051,520.6859049256985,505.7790289089745,1,0.0
