Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2023-02-06,2210.65,2222.0,2178.4,2219.15,541851,2219.15,2219.15,-1,
2023-02-07,2220.0,2221.9,2196.3,2204.4,372736,2216.4681818181816,2217.745238095238,-1,0.0
2023-02-08,2208.5,2217.0,2185.95,2197.1,442756,2212.9466942148756,2215.7790249433106,-1,0.0
2023-02-09,2205.1,2239.9,2184.05,2218.35,683252,2213.9291134485343,2216.0238797106144,-1,0.0
2023-02-10,2219.95,2304.0,2203.75,2289.4,1147275,2227.651092821528,2223.012081642937,1,2.0
2023-02-13,2295.8,2295.8,2210.0,2216.4,556723,2225.60543958125,2222.382359581705,1,0.0
2023-02-14,2216.0,2237.05,2206.6,2226.85,506924,2225.8317232937497,2222.807849145352,1,0.0
2023-02-15,2226.85,2259.8,2220.6,2255.3,434256,2231.189591785795,2225.9023397029378,1,0.0
2023-02-16,2258.0,2337.05,2258.0,2326.2,933259,2248.4642114611047,2235.4544978264676,1,0.0
2023-02-17,2310.0,2329.0,2305.35,2318.85,390304,2261.2616275590854,2243.396926604899,1,0.0
2023-02-20,2320.0,2337.95,2300.0,2312.35,518037,2270.5504225483423,2249.963885975861,1,0.0
2023-02-21,2317.0,2355.0,2312.0,2318.2,511136,2279.213982085007,2256.4625635019693,1,0.0
2023-02-22,2300.05,2307.1,2244.7,2274.3,444547,2278.3205307968237,2258.161366977972,1,0.0
2023-02-23,2285.0,2285.0,2232.85,2242.7,301133,2271.844070651947,2256.688855837213,1,0.0
2023-02-24,2253.95,2260.0,2215.0,2224.5,324464,2263.236057806138,2253.623250519383,1,0.0
2023-02-27,2224.5,2231.45,2161.45,2191.9,382292,2250.2658654777492,2247.744845708013,1,0.0
2023-02-28,2190.75,2191.0,2154.05,2168.55,569085,2235.4084353908856,2240.202479450107,-1,-2.0
2023-03-01,2184.05,2241.75,2184.05,2235.45,618814,2235.415992592543,2239.7498623596207,-1,0.0
2023-03-02,2223.3,2257.7,2222.0,2247.0,340417,2237.522175757535,2240.4403516587045,-1,0.0
2023-03-03,2255.6,2287.0,2245.6,2271.95,511341,2243.781780165256,2243.441270548352,1,2.0
2023-03-06,2280.0,2307.15,2275.1,2300.35,467292,2254.0669110443005,2248.861149543747,1,0.0
2023-03-08,2280.3,2315.0,2268.05,2307.4,363490,2263.763836308973,2254.4362781586283,1,0.0
2023-03-09,2318.4,2334.5,2290.0,2300.55,560192,2270.4522297073418,2258.82806119114,1,0.0
2023-03-10,2279.8,2300.0,2273.05,2292.55,339874,2274.470006124189,2262.0396744110312,1,0.0
2023-03-13,2300.0,2308.85,2272.55,2281.6,510226,2275.7663686470632,2263.9025625623617,1,0.0
2023-03-14,2281.6,2314.95,2261.0,2305.4,960492,2281.154301620324,2267.8546994611843,1,0.0
2023-03-15,2319.85,2330.45,2263.0,2272.4,449004,2279.5626104166286,2268.2875852267857,1,0.0
2023-03-16,2282.4,2317.4,2263.0,2309.65,446515,2285.0330448863324,2272.2268628242346,1,0.0
2023-03-17,2321.2,2325.0,2298.3,2307.55,309283,2289.127036725181,2275.5909711266886,1,0.0
2023-03-20,2299.0,2318.0,2290.25,2303.35,236668,2291.7130300478752,2278.234688162242,1,0.0
2023-03-21,2303.35,2364.9,2298.55,2349.35,619952,2302.1924791300794,2285.007575003933,1,0.0
2023-03-22,2352.05,2387.65,2346.0,2381.25,1042488,2316.566573833701,2294.173520241654,1,0.0
