Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,432.0,444.85,431.15,433.25,956270,433.25,433.25,0,
2025-02-01,434.0,463.15,434.0,444.5,734963,435.2954545454545,434.32142857142856,1,1.0
2025-02-03,443.6,450.0,437.3,440.15,1116625,436.1780991735536,434.8765306122449,1,0.0
2025-02-04,440.0,444.2,435.0,438.45,432378,436.5911720510893,435.2168610301263,1,0.0
2025-02-05,444.0,446.6,437.2,439.45,2864641,437.11095895089124,435.62001712249526,1,0.0
2025-02-06,440.2,445.0,434.15,435.5,468315,436.81805732345646,435.6085869203529,1,0.0
2025-02-07,437.7,437.7,426.15,432.65,643474,436.0602287191916,435.3268167374621,1,0.0
2025-02-10,432.65,435.2,413.55,418.7,560266,432.9038234975204,433.7433103815133,-1,-2.0
2025-02-11,418.7,419.55,397.85,399.6,842299,426.8485828616076,430.4915665356549,-1,0.0
2025-02-12,402.7,407.05,386.85,391.3,1485996,420.3852041594971,426.759036389402,-1,0.0
2025-02-13,394.0,410.55,394.0,397.15,1080872,416.16062158504303,423.9391281618399,-1,0.0
2025-02-14,399.95,402.95,385.35,392.3,752861,411.8223267513988,420.9258778607123,-1,0.0
2025-02-17,392.3,397.8,386.95,394.05,825927,408.5909946147808,418.36627044540637,-1,0.0
2025-02-18,394.95,395.9,387.0,391.95,1869565,405.5653592302752,415.85043516489145,-1,0.0
2025-02-19,392.45,396.3,383.55,389.7,642099,402.6807484611342,413.35991753013985,-1,0.0
2025-02-20,391.0,396.2,387.8,389.55,941863,400.2933396500189,411.09230633679323,-1,0.0
2025-02-21,390.35,404.95,383.25,384.8,1307943,397.47636880456093,408.58827716186056,-1,0.0
2025-02-24,383.25,384.0,369.45,374.55,1077871,393.30793811282257,405.3465364797786,-1,0.0
2025-02-25,378.25,378.25,362.05,366.05,926089,388.3519493650366,401.60400919599016,-1,0.0
2025-02-27,368.55,370.6,355.1,364.55,1007426,384.0243222077572,398.0750559392292,-1,0.0
2025-02-28,364.05,380.0,360.25,375.3,2488759,382.4380818063468,395.90600299263593,-1,0.0
2025-03-03,374.4,378.15,362.5,365.15,2142649,379.29479420519283,392.97685985048014,-1,0.0
2025-03-04,365.05,375.0,353.6,358.95,2231156,375.5957407133396,389.73620653138676,-1,0.0
2025-03-05,360.55,368.6,359.2,367.2,1374051,374.06924240182326,387.5899011474452,-1,0.0
2025-03-06,370.9,379.75,365.2,368.95,934184,373.1384710560372,385.8146724667361,-1,0.0
2025-03-07,370.0,373.15,365.1,366.55,880191,371.94056722766675,383.9799417556184,-1,0.0
2025-03-10,368.0,378.95,363.05,364.75,980398,370.63319136809093,382.14851873127384,-1,0.0
2025-03-11,360.7,368.05,353.15,364.65,1052514,369.54533839207437,380.48199313781925,-1,0.0
2025-03-12,364.7,370.0,350.15,352.7,1496850,366.4825495935154,377.8360890294555,-1,0.0
2025-03-13,356.95,365.0,351.15,354.05,1282853,364.22208603105804,375.5707472171264,-1,0.0
2025-03-17,356.95,363.7,352.15,357.7,949907,363.03625220722927,373.8687712916858,-1,0.0
2025-03-18,357.0,359.4,352.85,354.5,1184472,361.4842063513694,372.02412640676334,-1,0.0
