Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,520.05,541.95,515.15,532.05,1822694,532.05,532.05,0,
2025-02-01,537.0,548.95,516.2,530.5,1469774,531.7681818181818,531.9023809523809,-1,-1.0
2025-02-03,531.0,562.35,520.25,552.75,2638450,535.5830578512396,533.8878684807256,1,2.0
2025-02-04,559.8,569.35,549.05,563.45,1344534,540.6497746055596,536.7033095777994,1,0.0
2025-02-05,565.0,566.8,519.0,524.75,1209487,537.7589064954578,535.5648991418185,1,0.0
2025-02-06,526.0,542.8,525.5,537.25,695812,537.6663780417382,535.7253849378358,1,0.0
2025-02-07,533.05,534.15,511.25,519.85,656511,534.427036579604,534.2134435151847,1,0.0
2025-02-10,520.05,522.0,495.1,516.65,519585,531.1948481105851,532.5407346089767,-1,-2.0
2025-02-11,512.5,512.65,477.1,482.0,740914,522.2503302722969,527.7273313128836,-1,0.0
2025-02-12,485.9,485.9,453.35,476.75,873600,513.977542950061,522.8723473783233,-1,0.0
2025-02-13,475.0,494.8,464.0,466.75,741002,505.3907169591408,517.527361913721,-1,0.0
2025-02-14,469.95,474.7,437.0,441.55,781637,493.7833138756606,510.2914226838428,-1,0.0
2025-02-17,440.0,456.0,424.85,444.5,1862669,484.8227113528132,504.0255729044292,-1,0.0
2025-02-18,446.85,447.7,419.3,427.15,575696,474.3367638341199,496.70408977067405,-1,0.0
2025-02-19,426.0,452.2,423.65,441.2,977985,468.3118976824617,491.4179859829908,-1,0.0
2025-02-20,440.0,449.95,433.3,447.35,978171,464.50064355837776,487.22103493699166,-1,0.0
2025-02-21,447.0,455.7,423.35,425.7,949840,457.44598109321817,481.3618887525163,-1,0.0
2025-02-24,424.35,441.8,413.1,427.2,1081572,451.94671180354214,476.203613633229,-1,0.0
2025-02-25,431.4,436.35,420.55,424.7,488327,446.9927642028981,471.2985075729215,-1,0.0
2025-02-27,434.45,458.0,409.4,414.95,3654988,441.1668070750984,465.9319830421671,-1,0.0
2025-02-28,410.25,421.0,406.15,413.85,1020174,436.20011487962597,460.9717941810083,-1,0.0
2025-03-03,419.95,422.7,397.0,418.45,1039495,432.97282126514847,456.92209949710275,-1,0.0
2025-03-04,412.0,437.85,409.8,425.05,893215,431.53230830784867,453.88666144975963,-1,0.0
2025-03-05,428.1,438.7,423.1,429.85,731448,431.22643407005796,451.59745559740156,-1,0.0
2025-03-06,435.0,448.0,428.5,439.9,1091787,432.8034460573201,450.4834122071728,-1,0.0
2025-03-07,441.05,456.0,440.25,449.55,751764,435.84827404689827,450.39451580648966,-1,0.0
2025-03-10,451.95,454.3,422.8,424.9,691381,433.857678765644,447.96646668206205,-1,0.0
2025-03-11,414.9,428.8,413.55,423.85,604252,432.0381008082541,445.6696603313895,-1,0.0
2025-03-12,428.8,430.0,413.45,417.6,430374,429.4129915703897,442.99635934744765,-1,0.0
2025-03-13,422.6,426.9,409.5,413.75,646989,426.56517492122794,440.2109917905479,-1,0.0
2025-03-17,423.0,424.5,414.0,416.85,421800,424.79877948100466,437.9861354295433,-1,0.0
2025-03-18,422.5,446.45,419.6,442.65,1068996,428.0444559390038,438.43031300768206,-1,0.0
2025-03-19,447.0,486.4,445.25,468.6,1839603,435.41819122282124,441.30361653075994,-1,0.0
2025-03-20,474.75,478.5,461.25,468.45,746446,441.4239746368537,443.8889863849733,-1,0.0
2025-03-21,471.0,476.0,462.7,468.9,531229,446.41961561197115,446.2709876816425,1,2.0
2025-03-24,474.0,485.7,471.1,482.2,811309,452.9251400461582,449.69279837862894,1,0.0
2025-03-25,486.95,492.55,466.3,487.9,905474,459.28420549231123,453.3315794854262,1,0.0
2025-03-26,490.3,490.3,468.0,469.9,776463,461.2143499482546,454.90952429633796,1,0.0
2025-03-27,470.0,480.8,460.95,474.7,879707,463.6662863212992,456.79433150621054,1,0.0
2025-03-28,476.0,485.0,454.95,459.9,566481,462.9815069901539,457.09010945800003,1,0.0
2025-04-01,459.5,471.8,455.0,463.9,495880,463.1485057192168,457.738670462,1,0.0
2025-04-02,468.95,470.5,454.85,466.55,542607,463.7669592248137,458.57784470371433,1,0.0
2025-04-03,464.9,475.9,460.05,467.0,489150,464.35478482030214,459.379954731932,1,0.0
2025-04-04,468.0,472.0,440.1,442.15,528478,460.3175512166108,457.7390066622242,1,0.0
2025-04-07,382.55,420.0,370.0,417.1,897519,452.4598146317725,453.8686250753457,-1,-2.0
2025-04-08,438.0,444.0,427.15,434.8,507646,449.24893924417745,452.0525655443604,-1,0.0
2025-04-09,434.8,436.0,421.45,433.2,405931,446.3309502906906,450.25708311156416,-1,0.0
2025-04-11,451.0,484.9,446.0,479.8,3160293,452.41623205601957,453.07069424379614,-1,0.0
2025-04-15,490.8,511.9,485.25,492.45,1573823,459.695098954925,456.82110431581555,1,2.0
2025-04-16,496.0,505.6,490.1,494.7,596521,466.05962641766587,460.4286181904998,1,0.0
2025-04-17,496.6,508.95,491.0,500.9,666574,472.394239796272,464.28303550569024,1,0.0
2025-04-21,503.95,505.5,494.55,496.2,496965,476.7225598333134,467.3227464099102,1,0.0
2025-04-22,500.0,533.2,497.6,517.05,2639761,484.05482168180185,472.0586753232521,1,0.0
2025-04-23,524.0,525.7,502.0,520.7,977553,490.71758137601967,476.6911824353233,1,0.0
2025-04-24,520.65,526.1,511.8,521.25,669069,496.26893021674334,480.9348793462449,1,0.0
2025-04-25,523.8,523.8,486.05,489.75,1009365,495.0836701773354,481.7744146466025,1,0.0
2025-04-28,490.25,494.9,480.25,481.95,726714,492.69573014509257,481.79113706121177,1,0.0
2025-04-29,485.2,492.9,477.85,480.85,477549,490.541961027803,481.701504960144,1,0.0
2025-04-30,480.85,484.15,462.0,465.4,493283,485.97069538638425,480.14898067822554,1,0.0
2025-05-02,465.55,472.5,453.8,466.55,756930,482.4396598615871,478.8538396612517,1,0.0
