Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,866.0,922.3,860.0,916.15,1471986,916.15,916.15,0,
2025-02-01,916.15,947.6,881.05,884.1,1061845,910.3227272727272,913.0976190476191,-1,-1.0
2025-02-03,868.25,886.8,844.05,852.0,753076,899.7185950413221,907.278798185941,-1,0.0
2025-02-04,855.05,894.8,855.0,879.85,868006,896.1061232156272,904.6665316920419,-1,0.0
2025-02-05,885.0,909.8,885.0,891.05,575536,895.1868280855132,903.3697191499426,-1,0.0
2025-02-06,881.05,889.85,863.55,872.0,711673,890.9710411608744,900.3821268499481,-1,0.0
2025-02-07,872.0,887.6,860.2,868.7,523186,886.9217609498063,897.3647814356674,-1,0.0
2025-02-10,874.0,882.0,846.0,857.4,509831,881.5541680498415,893.5586117751276,-1,0.0
2025-02-11,855.0,857.0,814.0,824.3,816981,871.1443193135066,886.9625535108298,-1,0.0
2025-02-12,824.3,834.85,782.15,821.4,967304,862.0998976201417,880.7185007955127,-1,0.0
2025-02-13,816.8,847.7,815.6,827.85,616817,855.8726435073886,875.6834054816544,-1,0.0
2025-02-14,826.0,831.95,775.65,780.2,849944,842.1139810514998,866.589747816735,-1,0.0
2025-02-17,780.2,790.0,748.3,780.7,1032923,830.9478026784998,858.4097718341887,-1,0.0
2025-02-18,776.6,786.55,750.0,768.75,800398,819.6391112824089,849.8707459452183,-1,0.0
2025-02-19,764.5,823.0,757.2,802.6,1044398,816.5410910492435,845.3687701409118,-1,0.0
2025-02-20,799.0,841.5,797.3,821.9,1072581,817.5154381311993,843.1336491751107,-1,0.0
2025-02-21,821.9,847.4,796.05,799.15,882271,814.1762675618902,838.9447302060526,-1,0.0
2025-02-24,792.0,792.7,752.25,760.35,2227687,804.3896734597283,831.4595178054761,-1,0.0
2025-02-25,760.8,793.9,760.0,761.8,1172559,796.6460964670504,824.8252780144785,-1,0.0
2025-02-27,755.0,767.7,730.9,740.55,822180,786.4468062003139,816.7990610607187,-1,0.0
2025-02-28,730.0,740.55,701.85,710.7,1060424,772.6746596184386,806.6943885787456,-1,0.0
2025-03-03,714.0,729.0,681.0,719.9,1179426,763.0792669605406,798.4282563331508,-1,0.0
2025-03-04,709.95,745.0,696.3,732.05,1006198,757.4375820586241,792.1065176347555,-1,0.0
2025-03-05,734.0,747.6,730.1,735.85,1277939,753.5125671388741,786.7487540504931,-1,0.0
2025-03-06,749.95,755.65,731.1,735.15,1087776,750.1739185681697,781.8345869980652,-1,0.0
2025-03-07,735.0,760.7,730.3,736.45,1431961,747.6786606466842,777.5122453792019,-1,0.0
2025-03-10,739.0,744.1,695.0,702.0,876358,739.3734496200143,770.3206029621351,-1,0.0
2025-03-11,693.05,711.65,676.2,686.8,1175665,729.8146405981935,762.3662598228841,-1,0.0
2025-03-12,690.0,695.8,671.3,676.1,878754,720.0483423076128,754.150425554038,-1,0.0
2025-03-13,676.1,682.35,657.0,659.75,860568,709.0850073425922,745.1599088346059,-1,0.0
2025-03-17,667.5,689.0,646.55,649.7,2924980,698.2877332803027,736.0684889455957,-1,0.0
2025-03-18,660.0,677.0,650.05,673.2,1802467,693.7263272293385,730.08101380792,-1,0.0
2025-03-19,673.5,725.25,673.5,710.4,2938822,696.7579040967314,728.2066315404991,-1,0.0
2025-03-20,721.0,737.3,706.2,710.5,1708580,699.2564669882347,726.5202856794991,-1,0.0
2025-03-21,714.2,835.0,709.2,799.9,17122444,717.555291172192,733.5088299004992,-1,0.0
2025-03-24,811.0,844.45,804.05,822.85,4178380,736.699783686339,742.0175127671183,-1,0.0
2025-03-25,831.1,841.6,787.0,797.55,1803498,747.7634593797318,747.3063210750117,1,2.0
2025-03-26,796.9,807.0,746.3,748.65,2852060,747.9246485834169,747.4342904964392,1,0.0
2025-03-27,748.7,787.35,741.1,776.4,4451431,753.1019852046138,750.1929294967783,1,0.0
2025-03-28,785.0,799.7,756.0,760.45,1709221,754.4379878946839,751.169793354228,1,0.0
2025-04-01,759.15,815.7,759.15,791.7,5762206,761.2128991865596,755.0298130347777,1,0.0
2025-04-02,795.0,809.5,771.05,803.0,1603638,768.8105538799124,759.5984022695608,1,0.0
2025-04-03,784.0,904.0,784.0,876.35,27900527,788.363180447201,770.7176020534122,1,0.0
2025-04-04,875.15,883.7,827.0,842.65,5838138,798.2335112749826,777.5683066197538,1,0.0
2025-04-07,731.05,808.7,731.05,796.2,4785790,797.8637819522584,779.3427536083486,1,0.0
2025-04-08,820.05,845.4,804.35,820.15,2706332,801.9158215973023,783.2291580266011,1,0.0
2025-04-09,810.55,819.85,799.15,807.55,1048983,802.94021767052,785.5454286907343,1,0.0
2025-04-11,837.0,852.75,822.2,837.8,2258086,809.2783599122436,790.522054529712,1,0.0
2025-04-15,859.0,869.05,844.4,860.8,1373232,818.6459308372902,797.215192193549,1,0.0
2025-04-16,861.9,883.0,860.0,863.25,1125451,826.7557615941465,803.5042215084491,1,0.0
2025-04-17,866.0,867.7,846.6,857.5,932397,832.3456231224834,808.6466766028825,1,0.0
2025-04-21,861.95,869.9,848.15,856.7,1202243,836.7736916456681,813.2231835930842,1,0.0
2025-04-22,861.9,914.4,859.3,888.85,5187411,846.2421113464557,820.4257375366001,1,0.0
2025-04-23,892.0,901.9,865.55,886.9,1455389,853.6344547380091,826.7566196759716,1,0.0
2025-04-24,890.9,902.0,876.8,885.85,1636887,859.4918266038255,832.3845606592124,1,0.0
2025-04-25,888.5,892.45,834.45,858.95,2051634,859.3933126758573,834.9146025011922,1,0.0
2025-04-28,749.15,784.85,735.5,747.85,10934706,839.1127103711559,826.6227355963168,1,0.0
2025-04-29,755.0,772.0,726.1,729.4,5953308,819.1649448491276,817.3634274442867,1,0.0
2025-04-30,742.0,744.7,696.15,702.3,3520006,797.916773058377,806.405005782926,-1,-2.0
2025-05-02,708.0,723.15,692.9,704.95,2311682,781.0137234113993,796.7426242797902,-1,0.0
2025-05-05,709.0,712.95,686.35,692.85,2237264,764.9839555184176,786.8480886340959,-1,0.0
2025-05-06,695.6,740.0,691.6,700.75,10368718,753.3050545150688,778.648270668944,-1,0.0
2025-05-07,685.0,699.85,681.25,690.7,2272911,741.9223173305109,770.2722448909493,-1,0.0
2025-05-08,697.0,724.45,680.75,685.3,4637026,731.6273505431452,762.1796501394304,-1,0.0
2025-05-09,674.75,688.1,664.0,678.3,1800484,721.9314686262097,754.1911120309132,-1,0.0
2025-05-12,707.65,710.0,696.7,702.35,1638595,718.3712016032625,749.2538632660644,-1,0.0
2025-05-13,705.5,720.0,695.5,713.4,1564460,717.4673467663057,745.8392096216774,-1,0.0
2025-05-14,718.0,719.65,708.15,710.05,1098279,716.118738263341,742.430713467232,-1,0.0
2025-05-15,711.85,716.85,700.5,702.8,1324220,713.6971494881881,738.656359803686,-1,0.0
2025-05-16,708.0,748.4,704.05,740.6,4883424,718.588576853972,738.841468393811,-1,0.0
2025-05-19,748.85,761.6,731.1,741.65,2767870,722.7815628805225,739.1089475944004,-1,0.0
2025-05-20,747.0,748.4,719.1,723.6,1641145,722.9303696295183,737.6319049663623,-1,0.0
2025-05-21,725.0,759.5,715.1,746.3,4394142,727.1793933332422,738.4574378267088,-1,0.0
2025-05-22,745.0,754.5,738.0,742.65,1124583,729.9922309090163,738.8567294622603,-1,0.0
2025-05-23,745.0,749.2,736.65,741.45,916641,732.0754616528313,739.1037076087117,-1,0.0
2025-05-26,742.35,751.7,737.6,740.5,760175,733.607195897771,739.2366878364535,-1,0.0
2025-05-27,741.0,750.0,736.4,739.05,643116,734.5967966436308,739.2189080425055,-1,0.0
2025-05-28,742.3,744.3,730.65,733.25,639972,734.351924526607,738.650440609886,-1,0.0
2025-05-29,738.0,739.2,725.05,727.0,658351,733.0152109763148,737.540874837516,-1,0.0
2025-05-30,729.7,735.75,716.35,717.95,982740,730.276081707894,735.675077233943,-1,0.0
2025-06-02,715.0,721.85,706.1,711.35,910673,726.8349759428224,733.3584032116627,-1,0.0
2025-06-03,714.9,728.0,703.0,704.2,1127916,722.7195257714002,730.5814124295996,-1,0.0
2025-06-04,707.0,715.0,698.25,706.7,925399,719.8068847220546,728.3069921982092,-1,0.0
2025-06-05,711.9,728.4,711.0,715.05,1128407,718.941996590772,727.0444215126655,-1,0.0
2025-06-06,727.0,749.95,722.3,726.7,3221107,720.352542665177,727.0116194638402,-1,0.0
2025-06-09,728.0,737.5,721.1,722.5,1265693,720.7429894533266,726.581941419665,-1,0.0
2025-06-10,726.1,727.0,714.05,715.25,1031522,719.7442640981762,725.5027089035063,-1,0.0
2025-06-11,717.45,723.9,708.3,714.6,905497,718.8089433530533,724.4643556746009,-1,0.0
2025-06-12,713.0,721.65,701.75,703.0,893658,715.9345900161345,722.420131324639,-1,0.0
2025-06-13,690.0,709.45,684.15,704.45,1040312,713.8464827404737,720.708690246102,-1,0.0
2025-06-16,704.5,708.05,690.0,692.25,991424,709.9198495149329,717.9983387940923,-1,0.0
2025-06-17,692.35,712.45,691.5,697.7,1182621,707.698058694036,716.0651636708454,-1,0.0
2025-06-18,699.0,708.6,691.05,698.0,775350,705.9347752951203,714.3446718926697,-1,0.0
2025-06-19,695.3,698.75,681.1,682.65,685710,701.7011797869166,711.3261317124154,-1,0.0
2025-06-20,681.95,712.0,681.8,701.5,1143294,701.6646016438407,710.3903096445664,-1,0.0
2025-06-23,700.0,706.7,693.0,695.95,696471,700.6255831631423,709.0150420593696,-1,0.0
2025-06-24,704.0,705.9,696.05,701.1,496934,700.7118407698437,708.2612285299059,-1,0.0
2025-06-25,704.0,704.4,695.4,697.45,586167,700.1187788116903,707.2315877175339,-1,0.0
2025-06-26,715.0,731.9,712.2,718.2,4518403,703.4062735732011,708.2761984111021,-1,0.0
2025-06-27,721.0,724.8,715.15,718.45,847674,706.1414965598918,709.245131895759,-1,0.0
2025-06-30,720.85,722.0,712.25,714.6,655101,707.6794062762751,709.7551193342581,-1,0.0
2025-07-01,716.8,718.95,706.05,708.0,560395,707.7376960442251,709.5879651119478,-1,0.0
2025-07-02,708.05,713.65,704.0,708.95,540208,707.958114945275,709.5272065298575,-1,0.0
2025-07-03,709.1,716.9,703.2,706.6,658115,707.711184955225,709.2484249555854,-1,0.0
2025-07-04,707.1,710.5,701.8,705.45,467032,707.3000604179114,708.8866701979106,-1,0.0
2025-07-07,705.0,707.95,700.0,700.85,364932,706.1273221601093,708.1212730362048,-1,0.0
2025-07-08,700.85,703.7,694.6,697.85,361839,704.6223544946348,707.1430565565662,-1,0.0
2025-07-09,699.4,703.6,694.0,695.9,410446,703.0364718592466,706.0722892654646,-1,0.0
2025-07-10,696.6,709.0,696.6,701.65,463184,702.7843860666563,705.6511188592299,-1,0.0
2025-07-11,701.0,703.95,692.0,693.65,388831,701.1235885999915,704.5081551583509,-1,0.0
2025-07-14,693.7,703.8,688.0,698.4,555786,700.6283906727203,703.9264260956508,-1,0.0
2025-07-15,645.0,668.0,627.45,653.2,6900472,692.0050469140439,699.095337896065,-1,0.0
2025-07-16,655.0,660.0,651.35,653.65,1461808,685.0314020205814,694.767210477392,-1,0.0
2025-07-17,653.65,659.8,646.0,647.5,1100123,678.207510744112,690.265571384307,-1,0.0
2025-07-18,648.0,651.8,637.0,638.7,713435,671.0243269724552,685.3545645858015,-1,0.0
2025-07-21,639.0,642.45,629.0,630.1,611444,663.5835402501907,680.0922251014395,-1,0.0
2025-07-22,630.1,636.7,625.0,625.8,612005,656.7138056592469,674.9215369965405,-1,0.0
2025-07-23,625.1,625.5,605.0,615.55,1721090,649.2294773575655,669.2671049016319,-1,0.0
2025-07-24,614.0,629.5,607.05,622.0,1337104,644.2786632925536,664.7654758633812,-1,0.0
2025-07-25,622.0,622.0,599.45,601.3,920567,636.4643608757257,658.7211448287735,-1,0.0
2025-07-28,601.3,604.3,573.4,576.9,1513501,625.6344770801392,650.9286548450808,-1,0.0
2025-07-29,572.0,601.0,566.55,591.25,1364808,619.3827539746593,645.2449734312636,-1,0.0
2025-07-30,594.05,597.05,586.1,588.5,602797,613.7677077974485,639.8406902473337,-1,0.0
2025-07-31,576.0,589.0,572.0,583.55,596884,608.2735791070032,634.4796721285401,-1,0.0
2025-08-01,580.7,590.3,573.95,575.55,453090,602.3238374511844,628.8673224020124,-1,0.0
2025-08-04,575.55,584.2,570.15,580.85,404244,598.4195033691509,624.2942440780113,-1,0.0
2025-08-05,582.05,588.0,576.0,578.5,374072,594.7977754838507,619.932887499153,-1,0.0
2025-08-06,579.0,579.55,568.45,569.95,361159,590.2799981231506,615.1726124992337,-1,0.0
2025-08-07,565.0,576.3,560.7,570.3,431825,586.6472711916686,610.8990303564494,-1,0.0
2025-08-08,570.4,576.8,554.4,556.65,500783,581.1932218840924,605.7324560367877,-1,0.0
2025-08-11,557.75,565.85,545.0,563.0,869500,577.885363359712,601.6626983189983,-1,0.0
2025-08-12,567.9,574.4,550.0,550.95,548827,572.988024567037,596.8329175267128,-1,0.0
2025-08-13,556.0,556.3,542.25,550.85,612497,568.9629291912121,592.4535920479782,-1,0.0
2025-08-14,555.5,558.8,545.65,554.8,565723,566.3878511564462,588.8675356624565,-1,0.0
2025-08-18,559.9,588.5,558.0,571.35,1257513,567.2900600370923,587.1991989326987,-1,0.0
2025-08-19,578.0,588.55,570.5,586.9,704878,570.8555036667119,587.1707037962512,-1,0.0
2025-08-20,585.0,588.85,579.25,580.6,390568,572.6272302727643,586.5449224823226,-1,0.0
2025-08-21,581.0,647.0,580.55,620.05,10306723,581.2495520413526,589.735882245911,-1,0.0
2025-08-22,620.0,628.9,612.55,621.15,1012625,588.5041789429248,592.7277029843956,-1,0.0
2025-08-25,621.0,622.25,605.2,609.4,544421,592.3034191351202,594.3155407954056,-1,0.0
2025-08-26,607.55,613.35,592.0,601.05,785088,593.8937065650983,594.9569178625098,-1,0.0
2025-08-28,596.0,600.9,586.0,589.85,483320,593.1584871896259,594.470544732747,-1,0.0
2025-08-29,586.95,591.95,581.4,583.55,292296,591.4114895187848,593.4304928534378,-1,0.0
2025-09-01,584.0,593.0,582.55,587.2,330761,590.645764151733,592.8371125816818,-1,0.0
2025-09-02,590.0,593.0,583.0,585.8,513531,589.7647161241451,592.1669113834264,-1,0.0
2025-09-03,590.0,624.85,585.55,612.4,3094293,593.8802222833914,594.0938722040524,-1,0.0
2025-09-04,615.15,618.0,597.0,598.55,465790,594.7292727773203,594.5182653274761,1,2.0
2025-09-05,600.0,600.3,584.75,588.25,453648,593.5512231814438,593.9212876772403,-1,-2.0
2025-09-08,593.55,599.7,590.5,591.6,265242,593.1964553302722,593.7002126603603,-1,0.0
2025-09-09,595.0,595.0,585.55,587.65,333243,592.1880089065863,593.1240019308023,-1,0.0
2025-09-10,590.0,596.6,589.05,591.0,380334,591.972007287207,592.9217160326307,-1,0.0
2025-09-11,591.0,596.8,590.0,590.85,292218,591.7680059622603,592.7244097438088,-1,0.0
2025-09-12,593.0,605.6,588.3,592.75,570583,591.9465503327584,592.7268469110651,-1,0.0
2025-09-15,595.4,607.0,592.7,594.45,514565,592.4017229995296,592.890956729059,-1,0.0
2025-09-16,597.9,626.2,596.3,615.35,2581273,596.5741369996151,595.0299132310533,1,2.0
2025-09-17,619.95,625.75,613.1,619.05,627813,600.6606575451395,597.3175405423815,1,0.0
2025-09-18,621.25,623.7,613.0,615.35,484047,603.3314470823868,599.0349176335832,1,0.0
2025-09-19,616.9,617.5,607.95,610.95,396139,604.7166385219529,600.1696873827658,1,0.0
2025-09-22,606.0,614.5,598.2,599.85,430703,603.831795154325,600.1392409653595,1,0.0
2025-09-23,600.0,603.95,591.7,596.6,338648,602.5169233080841,599.80217039723,1,0.0
2025-09-24,598.0,603.0,587.5,589.15,344528,600.0865736157051,598.7876779784463,1,0.0
2025-09-25,594.8,594.8,581.2,582.85,341371,596.9526511401223,597.2698038852609,-1,-2.0
2025-09-26,584.45,597.4,572.0,588.8,889236,595.4703509328273,596.4631558961885,-1,0.0
2025-09-29,614.8,621.9,589.65,593.85,3557977,595.1757416723132,596.2142839060753,-1,0.0
2025-09-30,595.0,595.6,582.0,585.4,411207,593.398334095529,595.1843521054966,-1,0.0
2025-10-01,586.55,589.25,579.95,582.35,418820,591.38954607816,593.9620328573541,-1,0.0
2025-10-03,585.1,593.0,583.65,590.7,386841,591.2641740639491,593.6513630614156,-1,0.0
2025-10-06,594.95,609.7,591.8,601.55,1012167,593.1343242341401,594.4036141984236,-1,0.0
2025-10-07,600.0,601.4,591.4,592.5,309018,593.0189925552055,594.2223176080976,-1,0.0
2025-10-08,592.5,600.6,587.5,588.7,355780,592.2337211815317,593.6963825978027,-1,0.0
