Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-01-31,699.05,732.05,689.8,717.35,254994,717.35,717.35,0,
2025-02-01,724.95,737.9,693.0,733.0,371441,720.1954545454545,718.8404761904762,1,1.0
2025-02-03,720.0,741.95,709.95,736.9,355512,723.2326446280991,720.5604308390023,1,0.0
2025-02-04,740.0,756.0,725.25,748.9,362130,727.8994365138992,723.259437425764,1,0.0
2025-02-05,756.9,780.95,750.1,771.6,451003,735.844993511372,727.8633005280722,1,0.0
2025-02-06,771.6,771.6,751.0,758.3,165627,739.9277219638498,730.7620338111129,1,0.0
2025-02-07,751.0,789.0,743.35,763.5,345447,744.2135906976953,733.8799353529116,1,0.0
2025-02-10,770.0,774.95,687.15,702.6,388679,736.6474832981143,730.9008938907295,1,0.0
2025-02-11,702.6,702.6,646.35,670.1,645369,724.5479408802753,725.110332567803,-1,-2.0
2025-02-12,673.0,715.95,652.0,702.8,366364,720.5937698111343,722.9855389899169,-1,0.0
2025-02-13,670.0,721.4,661.35,704.3,469061,717.6312662091098,721.2059638480201,-1,0.0
2025-02-14,718.0,724.0,652.65,676.15,300073,710.0892178074535,716.9149196720182,-1,0.0
2025-02-17,675.2,675.2,636.9,660.65,299215,701.1002691151891,711.5563558937308,-1,0.0
2025-02-18,672.0,672.0,636.0,643.75,125512,690.672947457882,705.0986077133756,-1,0.0
2025-02-19,645.85,660.6,636.95,645.3,183359,682.423320647358,699.4035022168636,-1,0.0
2025-02-20,640.0,655.45,638.0,639.35,181578,674.5918078023838,693.6841210533528,-1,0.0
2025-02-21,649.0,649.0,611.25,628.0,193238,666.1205700201322,687.4284904768431,-1,0.0
2025-02-24,624.95,624.95,579.15,596.55,380304,653.4713754710173,678.7733961457152,-1,0.0
2025-02-25,598.0,612.25,591.55,600.0,257614,643.7493072035596,671.2711679413613,-1,0.0
2025-02-27,606.25,606.25,565.25,572.85,131695,630.8585240756396,661.8977233755173,-1,0.0
2025-02-28,568.0,568.95,550.0,557.4,139906,617.5024287891597,651.9455592445157,-1,0.0
2025-03-03,560.15,565.95,523.4,559.35,225572,606.9292599184033,643.1269345545619,-1,0.0
2025-03-04,555.0,578.95,536.1,571.0,161366,600.3966672059663,636.2577026922227,-1,0.0
2025-03-05,571.0,628.1,563.25,620.85,272714,604.1154549866997,634.7903024358204,-1,0.0
2025-03-06,622.0,682.9,622.0,682.9,336499,618.4399177163906,639.3721783943138,-1,0.0
2025-03-07,714.75,723.7,686.05,705.5,670302,634.2690235861377,645.6700661662838,-1,0.0
2025-03-10,694.05,740.75,680.5,739.3,352703,653.3655647522944,654.5872027218758,-1,0.0
2025-03-11,716.0,741.7,716.0,736.85,194899,668.5445529791499,662.4217548436018,1,2.0
2025-03-12,730.0,744.95,715.1,737.2,156360,681.0273615283954,669.5434924775445,1,0.0
2025-03-13,738.0,774.0,715.05,734.35,231413,690.7223867050508,675.7155408130164,1,0.0
2025-03-17,734.35,736.65,710.5,725.15,189088,696.981952758678,680.4235845451101,1,0.0
2025-03-18,716.0,739.1,711.05,730.15,217325,703.0125068025546,685.159433636052,1,0.0
2025-03-19,730.15,751.0,727.05,735.1,229392,708.8465964748174,689.9156780516661,1,0.0
2025-03-20,720.0,771.85,720.0,771.85,202084,720.3017607521233,697.7189468086502,1,0.0
2025-03-21,810.4,810.4,785.0,793.15,595808,733.5468951608282,706.8076185411597,1,0.0
2025-03-24,806.15,806.15,753.5,755.1,231485,737.465641495223,711.4068929658112,1,0.0
2025-03-25,756.0,763.2,727.75,743.4,143601,738.5446157688187,714.4538555404957,1,0.0
2025-03-26,735.0,735.0,706.25,707.7,1173433,732.9365038108517,713.8106312033057,1,0.0
2025-03-27,710.0,743.0,684.0,730.45,466096,732.4844122088787,715.395332993467,1,0.0
2025-03-28,730.45,734.4,706.65,712.45,220069,728.8417918072644,715.1148250893273,1,0.0
2025-04-01,710.0,736.95,702.25,718.4,101034,726.9432842059435,715.4276988903438,1,0.0
2025-04-02,718.75,750.4,707.75,739.8,181403,729.280868895772,717.7488704245968,1,0.0
2025-04-03,736.5,749.4,715.0,724.2,144609,728.357074551086,718.3632637174924,1,0.0
