Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-02-04,1421.25,1445.0,1371.05,1400.6,4017475,1400.6,1400.6,0,
2025-02-05,1400.0,1437.35,1388.35,1394.5,1625191,1399.4909090909089,1400.0190476190476,-1,-1.0
2025-02-06,1400.0,1414.55,1344.75,1351.7,1870141,1390.8016528925616,1395.4172335600906,-1,0.0
2025-02-07,1330.0,1388.0,1322.0,1383.25,1597612,1389.428625093914,1394.2584494115106,-1,0.0
2025-02-10,1383.25,1389.7,1353.55,1368.4,480296,1385.6052387132022,1391.7957399437478,-1,0.0
2025-02-11,1361.1,1365.45,1287.0,1292.65,1396393,1368.7042862198925,1382.3532885205336,-1,0.0
2025-02-12,1289.8,1312.6,1265.0,1299.15,1480614,1356.0580523617302,1374.4291658042923,-1,0.0
2025-02-13,1300.0,1306.75,1245.55,1248.55,2004213,1336.5111337505064,1362.440673822931,-1,0.0
2025-02-14,1250.0,1264.0,1202.2,1213.85,1020091,1314.2091094322325,1348.2891810778901,-1,0.0
2025-02-17,1200.0,1244.95,1182.7,1241.6,987187,1301.0074531718265,1338.1283066895196,-1,0.0
2025-02-18,1242.5,1245.95,1202.9,1226.85,628523,1287.5242798678578,1327.5303727190892,-1,0.0
2025-02-19,1225.0,1289.55,1212.9,1284.1,1829398,1286.9016835282473,1323.3941467458426,-1,0.0
2025-02-20,1273.0,1291.1,1255.05,1279.15,1895350,1285.4922865231113,1319.1804184843338,-1,0.0
2025-02-21,1275.0,1299.75,1257.55,1269.0,1639291,1282.4936889734547,1314.4013310096354,-1,0.0
2025-02-24,1260.0,1291.9,1243.75,1277.15,1051867,1281.5221091600993,1310.8535851991942,-1,0.0
2025-02-25,1280.0,1301.6,1263.5,1277.7,1218753,1280.8271802218992,1307.696100894509,-1,0.0
2025-02-27,1285.1,1321.8,1275.0,1312.65,2636482,1286.6131474542813,1308.1679008093179,-1,0.0
2025-02-28,1310.0,1335.55,1283.1,1320.1,8031830,1292.7016660989573,1309.3042912084304,-1,0.0
2025-03-03,1347.15,1380.0,1322.15,1366.15,5084713,1306.0559086264195,1314.718168236199,-1,0.0
2025-03-04,1374.9,1425.0,1363.9,1409.55,4297483,1324.8730161488886,1323.749771261323,1,2.0
2025-03-05,1410.0,1417.75,1381.85,1387.8,2467014,1336.3142859399995,1329.849793045959,1,0.0
2025-03-06,1410.0,1421.55,1388.4,1406.25,1637524,1349.029870314545,1337.1260032320579,1,0.0
2025-03-07,1414.8,1417.95,1380.0,1405.45,1234800,1359.2880757119003,1343.6330505432907,1,0.0
2025-03-10,1404.0,1434.8,1390.65,1397.75,1552435,1366.2811528551913,1348.787045729644,1,0.0
2025-03-11,1389.95,1418.0,1372.0,1406.1,1484093,1373.5209432451566,1354.245422326821,1,0.0
2025-03-12,1412.25,1452.0,1408.55,1445.45,2355735,1386.5989535642188,1362.9315725814095,1,0.0
2025-03-13,1451.95,1463.85,1394.6,1402.55,1236849,1389.4991438252698,1366.7047561450847,1,0.0
2025-03-17,1404.45,1460.75,1402.95,1458.45,1881113,1402.0356631297661,1375.4423984169816,1,0.0
2025-03-18,1468.95,1480.95,1450.75,1467.4,1869320,1413.920088015263,1384.200265234412,1,0.0
2025-03-19,1477.0,1531.0,1477.0,1495.2,2604431,1428.6982538306697,1394.7716685454204,1,0.0
2025-03-20,1510.15,1510.15,1465.55,1469.9,1799802,1436.1894804069116,1401.9267477315707,1,0.0
2025-03-21,1460.0,1463.95,1412.0,1429.5,3477300,1434.9732112420186,1404.5527717571354,1,0.0
