Date,Open,High,Low,Close,Volume
2026-02-16,1638.0,1648.9,1620.2,1632.2,146223
2026-02-17,1633.1,1649.2,1625.7,1639.4,148310
2026-02-18,1639.4,1648.8,1630.1,1640.6,65970
2026-02-19,1640.6,1646.8,1611.0,1617.6,89225
2026-02-20,1610.0,1625.8,1602.0,1612.6,85754
2026-02-23,1628.7,1628.8,1611.0,1618.8,96024
2026-02-24,1618.5,1624.4,1605.6,1619.1,87389
2026-02-25,1620.2,1631.6,1618.0,1623.9,99578
2026-02-26,1628.0,1630.0,1610.1,1613.1,104053
2026-02-27,1614.0,1617.2,1585.1,1592.4,173456
2026-03-02,1568.0,1576.0,1546.1,1553.2,212450
2026-03-04,1542.0,1545.5,1510.0,1529.7,258447
2026-03-05,1523.6,1528.4,1505.1,1523.6,165123
2026-03-06,1514.0,1535.0,1499.0,1501.2,259409
2026-03-09,1476.0,1476.0,1435.7,1450.5,239746
2026-03-10,1463.3,1482.2,1447.2,1474.0,212739
2026-03-11,1481.0,1497.4,1452.7,1456.4,205801
2026-03-12,1455.7,1455.7,1425.2,1433.4,258116
2026-03-13,1430.0,1430.1,1360.0,1376.4,418777
2026-03-16,1377.0,1386.1,1361.8,1373.2,278403
2026-03-17,1380.0,1391.1,1368.5,1385.0,247661
2026-03-18,1385.1,1409.5,1376.4,1405.2,201573
2026-03-19,1390.0,1396.5,1349.1,1352.9,294292
2026-03-20,1362.0,1390.0,1358.6,1381.4,380815
2026-03-23,1374.9,1374.9,1320.0,1329.8,413599
2026-03-24,1356.5,1357.9,1319.5,1334.3,249566
2026-03-25,1340.0,1383.3,1340.0,1367.9,254138
2026-03-27,1367.9,1367.9,1305.0,1314.4,480450
2026-03-30,1305.1,1306.5,1251.7,1254.6,496998
2026-04-01,1280.1,1331.9,1280.1,1327.9,208873
2026-04-02,1311.0,1329.0,1289.7,1325.9,190185
2026-04-06,1325.9,1369.9,1310.1,1362.1,148242
2026-04-07,1357.9,1358.6,1333.1,1340.0,127358
2026-04-08,1376.0,1451.0,1376.0,1411.0,312369
2026-04-09,1409.8,1409.8,1380.0,1391.9,192918
2026-04-10,1398.7,1430.0,1395.6,1424.6,186253
2026-04-13,1408.2,1414.0,1367.1,1410.5,330446
2026-04-15,1429.0,1446.7,1422.4,1431.2,267004
2026-04-16,1434.9,1447.1,1425.2,1442.8,196798
2026-04-17,1446.0,1449.9,1428.2,1432.2,497877
2026-04-20,1435.0,1444.8,1413.0,1428.8,222508
2026-04-21,1429.0,1444.8,1425.0,1438.0,116234
2026-04-22,1437.0,1455.0,1424.4,1446.4,212480
2026-04-23,1439.0,1439.7,1420.0,1423.1,128954
2026-04-24,1423.0,1429.0,1398.8,1412.7,173032
2026-04-27,1418.0,1459.6,1416.4,1439.8,274971
2026-04-28,1441.9,1443.0,1432.0,1439.3,123384
2026-04-29,1447.9,1457.5,1433.3,1436.6,137892
2026-04-30,1438.0,1438.0,1406.0,1422.1,174028
2026-05-04,1412.1,1436.5,1391.0,1398.2,509584
2026-05-05,1396.1,1396.1,1375.1,1392.6,316020
2026-05-06,1397.6,1425.9,1392.1,1414.0,159515
2026-05-07,1421.6,1435.0,1409.2,1414.6,189832
2026-05-08,1416.8,1432.9,1387.7,1391.9,507255
2026-05-11,1385.0,1390.0,1340.4,1357.9,939282
2026-05-12,1354.0,1370.0,1340.0,1347.0,336085
2026-05-13,1347.4,1372.5,1341.8,1366.4,195955
2026-05-14,1369.8,1387.5,1357.2,1378.2,125220
2026-05-15,1386.0,1398.8,1356.4,1362.8,116644
2026-05-18,1359.1,1364.3,1332.0,1359.6,346093
2026-05-19,1367.5,1373.1,1353.3,1359.3,111606
2026-05-20,1353.8,1353.8,1343.0,1351.6,95705
2026-05-21,1358.0,1365.0,1354.7,1360.8,119454
2026-05-22,1362.8,1370.4,1357.1,1360.0,141070
