Date,Open,High,Low,Close,Volume
2026-02-16,140.5,143.65,139.01,142.77,17314552
2026-02-17,142.54,145.0,141.58,144.35,11021261
2026-02-18,144.5,145.25,142.2,144.49,10122491
2026-02-19,145.7,146.43,140.0,140.45,14048153
2026-02-20,140.45,144.33,139.7,142.7,11915213
2026-02-23,145.15,145.69,142.7,144.05,9098843
2026-02-24,143.5,144.72,142.24,144.31,8248526
2026-02-25,144.7,145.6,139.81,140.54,17864508
2026-02-26,141.0,142.0,140.5,141.34,6526437
2026-02-27,141.0,141.66,139.8,140.11,8054854
2026-03-02,133.0,138.68,130.7,137.97,26699798
2026-03-04,135.0,139.3,134.41,137.82,16666324
2026-03-05,139.0,140.55,138.11,140.11,8274419
2026-03-06,139.6,142.59,138.5,138.99,11769177
2026-03-09,136.5,139.83,134.86,139.11,12009431
2026-03-10,141.5,141.5,138.61,138.94,15123909
2026-03-11,139.2,142.09,138.68,138.85,15328343
2026-03-12,138.84,151.98,137.51,149.11,81276272
2026-03-13,151.0,153.9,145.3,146.57,54479845
2026-03-16,149.9,155.0,146.4,154.06,90227164
2026-03-17,156.0,157.44,153.61,155.6,41644726
2026-03-18,156.0,156.5,151.3,154.07,28773212
2026-03-19,151.0,155.49,150.15,151.01,17635762
2026-03-20,152.0,157.2,150.52,151.54,44265976
2026-03-23,151.54,152.87,144.65,147.85,25968931
2026-03-24,151.0,153.9,147.35,150.11,21762199
2026-03-25,152.9,158.2,152.2,153.65,33813515
2026-03-27,153.5,155.28,151.56,153.92,23958053
2026-03-30,152.1,156.45,149.2,150.43,21100984
2026-04-01,155.0,158.15,153.44,157.11,48215780
2026-04-02,154.5,160.35,150.62,159.97,59833120
2026-04-06,162.0,165.1,161.05,163.26,127464037
2026-04-07,163.0,165.66,161.6,163.36,34671421
2026-04-08,168.0,174.35,166.21,169.31,66318120
2026-04-09,168.95,173.5,167.55,172.33,42258124
2026-04-10,173.6,178.1,172.11,175.81,51959590
2026-04-13,172.0,184.4,170.36,181.35,91406261
2026-04-15,185.27,187.07,181.55,183.43,51497511
2026-04-16,184.0,194.37,183.27,193.19,69751834
2026-04-17,196.45,200.0,190.66,198.5,95051761
2026-04-20,198.5,207.5,197.41,200.83,81881887
2026-04-21,203.3,207.3,201.87,202.98,57973716
2026-04-22,203.99,216.5,203.3,215.65,117165796
2026-04-23,216.0,217.25,212.53,214.18,58947381
2026-04-24,215.44,216.87,207.0,212.9,61885765
2026-04-27,214.6,222.16,214.6,218.05,57532309
2026-04-28,219.5,224.66,219.29,223.35,46710708
2026-04-29,225.0,226.24,215.35,219.28,51932086
2026-04-30,216.9,223.5,214.24,221.85,67584204
2026-05-04,223.0,234.0,221.9,227.3,67200729
2026-05-05,227.97,234.4,227.3,229.96,43045308
2026-05-06,232.39,232.39,224.24,229.12,45243061
2026-05-07,230.0,233.47,229.5,230.19,37064595
2026-05-08,231.0,231.43,224.03,225.33,27156296
2026-05-11,224.5,224.68,217.8,222.03,30556141
2026-05-12,222.77,224.63,208.03,209.63,46023863
2026-05-13,209.0,217.95,208.9,213.87,49608338
2026-05-14,216.4,225.7,215.87,224.49,41896940
2026-05-15,229.0,229.0,213.78,221.33,60020608
2026-05-18,221.0,223.5,218.03,219.3,30197883
