Date,Open,High,Low,Close,Volume
2026-02-16,953.0,955.9,932.9,937.4,33392
2026-02-17,937.4,961.9,927.1,956.2,51116
2026-02-18,956.2,958.9,944.0,950.7,15745
2026-02-19,950.7,956.9,930.0,933.8,22652
2026-02-20,935.0,954.0,928.4,948.4,29024
2026-02-23,948.4,960.0,930.7,951.9,59073
2026-02-24,940.9,941.0,923.4,933.6,38140
2026-02-25,935.9,939.6,924.7,931.4,46229
2026-02-26,933.0,943.0,926.8,938.8,48599
2026-02-27,935.0,939.0,880.6,900.7,247826
2026-03-02,865.0,887.5,840.25,850.85,152110
2026-03-04,840.0,868.7,815.0,860.2,188788
2026-03-05,859.0,860.0,826.05,843.55,105634
2026-03-06,831.0,843.95,825.0,828.85,45217
2026-03-09,800.0,844.9,785.1,835.7,118642
2026-03-10,838.9,890.0,826.8,879.25,184828
2026-03-11,880.0,887.5,858.0,864.55,26535
2026-03-12,864.45,867.95,837.45,856.2,30626
2026-03-13,852.0,852.0,825.0,830.0,33608
2026-03-16,825.0,844.9,814.05,839.7,44055
2026-03-17,840.0,856.75,832.35,839.9,64823
2026-03-18,841.0,955.0,841.0,864.4,11209621
2026-03-19,859.5,874.35,832.5,841.4,566173
2026-03-20,843.0,848.7,805.05,810.45,349611
2026-03-23,807.1,826.95,782.1,801.85,1034045
2026-03-24,807.9,822.95,775.1,813.0,207653
2026-03-25,817.5,846.5,811.3,836.75,137758
2026-03-27,835.0,836.45,805.55,817.1,114749
2026-03-30,806.0,818.4,776.0,784.4,163988
2026-04-01,814.0,828.4,800.1,822.7,90611
2026-04-02,814.95,824.0,790.75,821.6,72258
2026-04-06,815.0,825.0,799.1,815.9,286793
2026-04-07,816.0,819.0,801.7,805.4,50906
2026-04-08,838.0,860.8,827.75,854.65,124887
2026-04-09,860.05,869.7,844.85,858.75,76567
2026-04-10,868.95,879.9,864.05,869.85,50111
2026-04-13,859.0,859.0,824.6,828.0,339489
2026-04-15,834.0,859.85,831.7,850.2,447494
2026-04-16,850.2,860.0,848.0,849.9,94254
2026-04-17,855.0,858.8,833.85,851.25,267906
2026-04-20,851.25,855.7,838.05,843.7,77185
2026-04-21,843.75,861.85,842.8,853.9,123619
2026-04-22,858.85,864.95,853.9,861.15,63969
2026-04-23,860.0,869.8,851.05,854.05,56802
2026-04-24,854.2,869.35,831.0,834.05,51174
2026-04-27,835.95,858.0,835.95,854.95,88714
2026-04-28,850.0,868.9,850.0,866.55,88991
2026-04-29,876.0,887.2,846.5,850.6,105102
2026-04-30,852.9,863.85,826.0,836.25,165702
2026-05-04,844.55,852.95,822.8,842.85,140479
2026-05-05,849.95,856.0,831.5,841.5,70881
2026-05-06,845.0,849.25,833.05,841.4,78885
2026-05-07,849.9,857.35,842.0,845.45,99567
2026-05-08,846.0,852.2,835.0,836.1,51896
2026-05-11,836.1,839.0,825.55,830.55,93785
2026-05-12,835.0,835.1,807.4,813.05,77068
2026-05-13,808.0,824.05,798.6,814.95,89273
2026-05-14,821.95,828.8,803.3,821.6,77021
2026-05-15,828.0,828.0,805.55,819.65,101510
2026-05-18,815.15,815.2,793.95,802.7,71702
2026-05-19,800.5,845.95,796.4,837.75,136107
2026-05-20,835.45,835.45,820.8,828.95,26047
2026-05-21,834.5,860.95,832.15,852.7,105953
2026-05-22,854.0,871.4,850.1,856.05,76988
