Date,Open,High,Low,Close,Volume
2026-02-16,595.0,624.95,592.25,620.65,925945
2026-02-17,624.9,630.0,617.0,625.9,697704
2026-02-18,630.0,631.7,618.8,629.2,426300
2026-02-19,630.05,640.2,627.0,636.8,419054
2026-02-20,635.5,635.5,626.8,630.8,312088
2026-02-23,638.0,648.0,632.3,646.05,668681
2026-02-24,643.5,653.55,633.5,638.0,296016
2026-02-25,638.0,649.95,633.6,642.6,402191
2026-02-26,643.35,651.0,632.75,649.45,277143
2026-02-27,649.0,659.9,639.05,654.6,630633
2026-03-02,618.2,652.7,612.6,644.6,762213
2026-03-04,631.95,655.6,626.7,649.25,740015
2026-03-05,656.0,664.0,648.95,655.45,601514
2026-03-06,658.0,686.6,655.5,672.7,1434361
2026-03-09,669.35,695.8,629.25,658.3,3509920
2026-03-10,662.8,669.95,657.1,665.5,341877
2026-03-11,665.5,693.9,661.85,685.9,901077
2026-03-12,682.5,702.15,673.55,684.05,886467
2026-03-13,684.05,684.05,662.0,666.95,441975
2026-03-16,665.0,668.05,633.35,649.2,2399945
2026-03-17,657.05,675.5,649.2,669.55,811373
2026-03-18,673.95,686.4,654.2,662.0,644483
2026-03-19,652.0,654.45,634.0,636.2,501294
2026-03-20,642.0,645.0,622.6,626.95,1080780
2026-03-23,625.3,626.95,603.8,621.3,671519
2026-03-24,628.55,644.0,622.25,633.85,627903
2026-03-25,636.05,654.0,627.5,652.0,700264
2026-03-27,653.0,671.8,645.4,668.0,913286
2026-03-30,666.0,709.6,645.65,670.0,765008
2026-04-01,680.0,689.55,671.25,687.9,632568
2026-04-02,684.5,684.5,652.0,658.1,469311
2026-04-06,658.0,672.2,652.25,670.6,343386
2026-04-07,668.0,670.1,652.9,655.75,384549
2026-04-08,677.0,677.0,661.35,666.5,376992
2026-04-09,668.3,677.4,665.0,668.1,228657
2026-04-10,674.5,683.35,668.0,681.8,442593
2026-04-13,675.0,681.65,662.4,666.05,354865
2026-04-15,675.0,686.0,671.05,683.0,436861
2026-04-16,686.4,689.25,671.0,674.35,633612
2026-04-17,675.0,692.75,672.05,688.15,461622
2026-04-20,685.5,690.4,675.0,679.5,374227
2026-04-21,685.15,689.5,677.4,679.75,419172
2026-04-22,679.75,685.9,673.25,684.3,585372
2026-04-23,683.6,692.95,681.85,687.6,705231
2026-04-24,691.0,708.3,687.6,705.25,1151133
2026-04-27,710.6,724.5,709.5,719.8,1422709
2026-04-28,720.05,723.0,697.55,705.3,768228
2026-04-29,710.1,711.15,690.05,699.5,821255
2026-04-30,700.0,708.8,685.2,701.05,520071
2026-05-04,725.0,770.0,723.95,744.85,11163925
2026-05-05,750.0,753.95,738.0,742.8,675300
2026-05-06,748.0,748.1,720.65,731.05,1176303
2026-05-07,740.0,749.0,734.05,738.55,924216
2026-05-08,739.4,748.15,730.1,742.4,698355
2026-05-11,742.4,745.55,721.05,739.85,2327416
2026-05-12,735.7,741.95,727.3,730.35,1395667
2026-05-13,730.0,754.4,728.0,735.75,542051
2026-05-14,743.0,750.5,731.1,746.6,358394
2026-05-15,748.0,766.95,740.2,753.65,764794
2026-05-18,746.1,761.6,733.65,755.25,646189
