Date,Open,High,Low,Close,Volume
2026-02-16,851.9,851.9,821.1,828.85,209104
2026-02-17,828.85,842.8,823.75,838.8,111621
2026-02-18,840.65,847.65,831.35,836.95,87279
2026-02-19,839.9,839.9,823.8,825.5,102001
2026-02-20,828.0,828.0,809.65,811.9,174321
2026-02-23,816.0,821.35,807.1,812.35,114694
2026-02-24,815.0,815.0,795.0,799.05,103364
2026-02-25,800.0,802.0,794.0,797.5,84672
2026-02-26,800.0,810.0,792.5,794.65,97306
2026-02-27,794.65,800.45,786.7,789.0,111543
2026-03-02,759.0,776.2,758.05,769.5,120445
2026-03-04,762.5,762.95,731.0,732.5,424533
2026-03-05,733.95,751.45,733.95,743.2,149583
2026-03-06,739.5,752.05,738.8,743.75,118373
2026-03-09,735.0,735.15,715.0,717.55,111782
2026-03-10,720.05,725.0,711.5,716.9,166188
2026-03-11,719.95,732.6,717.0,718.7,125313
2026-03-12,718.5,733.0,707.0,713.95,183133
2026-03-13,710.85,713.6,696.8,699.4,170968
2026-03-16,699.5,700.6,672.0,677.95,390040
2026-03-17,681.05,682.4,665.1,671.25,214479
2026-03-18,673.0,687.0,671.05,673.1,472806
2026-03-19,666.05,670.0,641.5,647.95,257851
2026-03-20,653.05,690.7,649.55,663.3,423468
2026-03-23,660.0,660.0,622.05,625.75,303782
2026-03-24,635.0,645.0,622.05,640.05,465067
2026-03-25,643.9,665.45,640.15,660.05,395428
2026-03-27,659.9,659.9,625.15,632.15,330598
2026-03-30,621.0,631.9,605.0,607.5,261103
2026-04-01,631.95,647.15,622.3,628.05,333068
2026-04-02,621.8,662.0,612.0,657.15,377850
2026-04-06,657.15,688.55,639.55,666.5,375225
2026-04-07,667.9,676.0,662.65,669.5,159443
2026-04-08,693.0,709.0,678.1,704.15,228018
2026-04-09,709.0,709.0,687.0,701.2,149559
2026-04-10,708.5,718.5,702.0,715.45,139166
2026-04-13,707.0,736.0,692.0,733.45,205569
2026-04-15,738.0,755.0,735.0,740.45,288559
2026-04-16,749.95,753.85,736.95,746.6,123441
2026-04-17,748.95,760.05,744.05,757.35,168354
2026-04-20,763.0,763.2,742.0,757.75,115049
2026-04-21,756.9,772.0,753.95,762.3,97277
2026-04-22,763.0,779.0,755.55,774.3,106988
2026-04-23,774.3,774.3,749.0,755.1,100510
2026-04-24,756.95,758.95,735.0,737.4,90411
2026-04-27,735.0,745.8,730.05,731.15,396096
2026-04-28,732.55,733.0,724.15,725.5,79431
2026-04-29,728.35,734.0,723.5,724.55,122439
2026-04-30,723.95,726.15,713.85,718.45,100394
2026-05-04,722.2,729.45,713.4,721.35,123061
2026-05-05,719.95,731.15,715.1,718.55,134100
2026-05-06,721.05,729.35,715.9,724.95,101179
2026-05-07,724.5,735.5,722.7,728.15,155585
2026-05-08,728.15,730.2,716.0,721.75,99527
2026-05-11,721.75,722.75,705.0,711.7,116668
2026-05-12,711.7,714.95,697.5,699.65,75107
2026-05-13,699.0,709.8,696.05,701.3,55795
2026-05-14,705.0,714.0,700.8,705.55,61835
2026-05-15,705.55,715.05,691.3,694.1,87704
2026-05-18,691.0,691.95,676.05,679.35,147482
2026-05-19,679.35,701.25,679.35,690.75,212840
