Date,Open,High,Low,Close,Volume
2026-02-16,453.65,453.65,446.0,447.1,420225
2026-02-17,446.45,457.0,443.5,453.75,511382
2026-02-18,455.0,464.5,452.0,459.6,685676
2026-02-19,461.0,461.9,449.0,458.7,964303
2026-02-20,458.7,458.7,451.05,454.4,443638
2026-02-23,457.6,461.4,452.0,454.75,665062
2026-02-24,452.2,459.0,452.2,458.0,529910
2026-02-25,458.45,461.5,455.5,458.95,696884
2026-02-26,458.95,464.1,456.5,458.8,465709
2026-02-27,460.05,464.4,455.05,461.25,569462
2026-03-02,442.05,457.85,442.05,448.15,926613
2026-03-04,440.0,440.0,428.45,431.25,903887
2026-03-05,432.0,435.0,424.2,433.3,552867
2026-03-06,434.05,436.3,425.15,427.65,513403
2026-03-09,417.35,419.4,409.1,412.25,630970
2026-03-10,420.1,442.0,415.0,431.55,2262329
2026-03-11,433.8,441.25,427.9,431.75,1242580
2026-03-12,428.0,436.95,423.3,434.1,696191
2026-03-13,432.65,436.8,413.15,415.55,850416
2026-03-16,413.8,414.55,399.75,413.05,958441
2026-03-17,416.65,432.2,409.7,428.65,1283475
2026-03-18,429.8,442.9,427.0,438.9,1080546
2026-03-19,429.9,433.9,424.75,426.85,551797
2026-03-20,427.15,436.0,425.6,428.55,501654
2026-03-23,426.0,426.0,410.85,414.0,792969
2026-03-24,423.0,423.55,412.85,420.25,591501
2026-03-25,426.0,434.45,422.8,432.35,708223
2026-03-27,431.0,433.5,415.05,419.95,1281282
2026-03-30,416.0,432.95,413.35,426.7,1421758
2026-04-01,436.35,447.8,432.5,446.2,993432
2026-04-02,436.05,453.0,433.35,452.4,668538
2026-04-06,457.0,457.95,444.25,446.85,644564
2026-04-07,446.8,450.2,442.35,448.85,256421
2026-04-08,460.4,469.8,454.2,464.95,977661
2026-04-09,469.0,473.8,451.6,455.15,1129101
2026-04-10,454.25,461.45,454.25,456.7,346018
2026-04-13,450.1,458.75,440.4,457.25,723044
2026-04-15,461.0,465.6,453.65,455.8,737833
2026-04-16,459.75,461.0,448.8,453.25,671131
2026-04-17,455.1,462.75,452.8,454.45,678735
2026-04-20,456.0,456.5,449.15,450.75,350408
2026-04-21,452.5,455.85,449.7,451.4,408157
2026-04-22,453.0,459.0,448.4,452.3,1109889
2026-04-23,452.5,455.4,446.0,446.95,363233
2026-04-24,449.9,450.2,439.0,440.8,335939
2026-04-27,441.05,448.0,441.05,445.95,273893
2026-04-28,447.9,455.85,446.1,448.5,492860
2026-04-29,453.0,457.0,448.15,450.55,712427
2026-04-30,452.0,455.0,436.15,438.05,871474
2026-05-04,443.8,449.0,439.35,441.55,482285
2026-05-05,441.55,443.4,437.7,442.55,277246
2026-05-06,442.15,453.7,442.15,452.65,643943
2026-05-07,455.8,456.5,450.25,453.95,557820
2026-05-08,456.45,460.15,451.55,455.8,783892
2026-05-11,451.0,456.5,446.0,452.3,692041
2026-05-12,452.3,452.3,431.5,433.9,572321
2026-05-13,435.0,437.35,427.7,428.6,568454
2026-05-14,432.75,434.9,422.0,424.6,524915
2026-05-15,436.4,460.0,431.05,449.9,9497223
2026-05-18,448.25,459.0,440.1,457.3,1923032
2026-05-19,457.35,461.0,452.15,453.25,852436
2026-05-20,453.0,453.85,442.4,444.2,1037703
2026-05-21,451.0,454.8,445.0,446.45,451956
2026-05-22,446.45,457.7,445.1,454.7,705520
2026-05-25,458.0,469.5,456.1,463.45,1451716
2026-05-26,465.5,481.55,461.9,477.95,2803681
