Date,Open,High,Low,Close,Volume
2026-02-16,2798.0,2870.0,2773.1,2809.3,971754
2026-02-17,2828.0,2844.7,2749.8,2797.2,347636
2026-02-18,2797.2,2838.0,2780.0,2798.5,216116
2026-02-19,2799.9,2806.6,2720.0,2757.7,311037
2026-02-20,2745.0,2818.0,2730.4,2774.6,341881
2026-02-23,2805.0,2834.6,2771.3,2815.7,163658
2026-02-24,2829.3,2928.0,2809.6,2906.8,520502
2026-02-25,2920.0,3011.0,2885.0,2997.8,695808
2026-02-26,2999.9,3020.6,2875.0,2920.3,530900
2026-02-27,2926.0,2994.9,2897.4,2930.9,680155
2026-03-02,2840.0,3015.0,2840.0,2972.7,706747
2026-03-04,2924.7,2998.0,2910.1,2942.0,500244
2026-03-05,2942.0,2987.9,2830.5,2863.9,474634
2026-03-06,2864.0,2927.9,2847.7,2920.6,186334
2026-03-09,2885.0,2940.0,2819.0,2883.2,297164
2026-03-10,2934.0,2980.0,2915.1,2957.6,221907
2026-03-11,2960.0,2990.0,2915.8,2942.8,135817
2026-03-12,2925.0,2925.0,2861.3,2866.9,119153
2026-03-13,2866.9,2930.0,2776.0,2796.9,230108
2026-03-16,2821.0,2843.5,2711.0,2787.7,321631
2026-03-17,2791.0,2798.0,2730.1,2768.9,198077
2026-03-18,2779.8,2907.7,2766.8,2840.6,442560
2026-03-19,2770.0,2812.1,2750.0,2755.2,192926
2026-03-20,2775.0,2842.0,2775.0,2791.2,288016
2026-03-23,2751.2,2758.5,2666.1,2696.1,221627
2026-03-24,2742.0,2752.3,2671.9,2688.0,221897
2026-03-25,2715.0,2781.0,2695.1,2771.4,357865
2026-03-27,2749.1,2749.1,2596.0,2629.4,559312
2026-03-30,2619.2,2661.0,2551.2,2565.5,357797
2026-04-01,2640.0,2652.8,2585.0,2613.9,438974
2026-04-02,2570.0,2633.5,2521.7,2612.0,255030
2026-04-06,2622.0,2644.9,2595.1,2620.2,294424
2026-04-07,2614.9,2646.3,2578.1,2629.0,203769
2026-04-08,2690.0,2719.0,2656.7,2701.7,438157
2026-04-09,2703.2,2774.4,2656.8,2767.7,412862
2026-04-10,2789.7,2855.4,2780.0,2813.5,294848
2026-04-13,2762.5,2885.0,2762.5,2849.2,316390
2026-04-15,2885.0,2939.0,2871.0,2918.3,392171
2026-04-16,2935.0,2982.0,2888.1,2901.3,301522
2026-04-17,2906.0,3056.0,2888.0,3019.6,505945
2026-04-20,3040.0,3171.0,3019.6,3138.4,830674
2026-04-21,3187.3,3268.4,3166.0,3208.2,964136
2026-04-22,3190.0,3255.9,3158.1,3188.2,477291
2026-04-23,3198.9,3294.4,3175.4,3221.6,606693
2026-04-24,3221.6,3289.0,3140.0,3205.1,530820
2026-04-27,3245.0,3261.2,3171.6,3192.4,395529
2026-04-28,3206.0,3284.0,3199.5,3233.7,601045
2026-04-29,3264.0,3368.0,3250.9,3310.0,922444
2026-04-30,3319.0,3319.0,3250.1,3278.8,378229
2026-05-04,3310.0,3340.0,3265.9,3320.7,271242
2026-05-05,3312.1,3337.0,3275.2,3297.4,293941
2026-05-06,3311.0,3323.7,3146.0,3185.8,597663
2026-05-07,3190.1,3201.8,3130.0,3139.5,527947
2026-05-08,3152.2,3260.7,3152.2,3183.2,513010
2026-05-11,3174.9,3210.1,3089.8,3157.8,261700
2026-05-12,3160.6,3207.0,3024.8,3055.6,235592
2026-05-13,3050.5,3132.9,3045.0,3112.6,281115
2026-05-14,3121.0,3149.6,3076.7,3104.8,235112
2026-05-15,3175.0,3180.0,3024.1,3086.1,662110
2026-05-18,3086.1,3099.9,3013.6,3060.7,204190
2026-05-19,3100.0,3174.0,3077.8,3163.5,495921
2026-05-20,3149.7,3494.0,3139.9,3459.6,3683159
2026-05-21,3485.0,3684.6,3480.0,3574.5,2115768
2026-05-22,3570.0,3585.0,3479.3,3508.3,421025
