Date,Open,High,Low,Close,Volume
2026-02-16,259.0,261.45,236.8,239.7,9181643
2026-02-17,239.0,239.2,228.1,229.9,3569431
2026-02-18,230.0,232.0,209.95,216.15,5742900
2026-02-19,216.4,219.85,207.05,213.75,7867089
2026-02-20,213.65,241.55,212.0,219.35,47811442
2026-02-23,220.35,222.95,216.1,218.05,3342030
2026-02-24,215.65,218.6,210.45,212.65,2150854
2026-02-25,214.5,218.9,209.4,210.5,1964792
2026-02-26,211.5,223.25,211.1,220.45,7352617
2026-02-27,220.45,220.75,210.25,217.4,1762314
2026-03-02,207.74,218.6,207.74,214.5,1393706
2026-03-04,211.01,218.49,211.01,217.76,1527431
2026-03-05,219.9,219.9,211.56,215.25,932849
2026-03-06,216.49,217.95,213.77,214.72,837392
2026-03-09,213.0,214.0,208.65,211.24,898383
2026-03-10,214.0,219.09,211.77,218.32,1541855
2026-03-11,218.0,225.99,217.5,224.86,1261134
2026-03-12,225.0,225.59,218.93,223.17,909538
2026-03-13,223.17,234.9,221.11,223.65,7691239
2026-03-16,224.0,225.0,212.34,214.06,1135017
2026-03-17,214.05,215.13,209.05,212.89,924059
2026-03-18,214.1,215.04,210.5,214.06,1342660
2026-03-19,211.0,213.15,208.6,210.06,974522
2026-03-20,210.7,252.07,210.29,250.87,70444931
2026-03-23,245.0,245.85,218.02,220.97,29542839
2026-03-24,228.0,234.2,221.26,225.49,15238535
2026-03-25,226.74,227.58,221.5,224.83,4629789
2026-03-27,224.7,226.16,212.1,223.78,7407004
2026-03-30,221.1,221.1,207.25,208.34,3901251
2026-04-01,215.0,225.3,212.54,220.67,2425134
2026-04-02,217.0,225.11,212.0,224.33,1731691
2026-04-06,224.33,231.0,219.65,226.7,1871308
2026-04-07,227.98,269.63,225.21,243.05,83964921
2026-04-08,249.0,253.8,243.0,246.33,11596253
2026-04-09,244.0,249.9,239.29,242.84,3418057
2026-04-10,245.0,252.78,242.27,243.61,3794866
2026-04-13,239.86,247.5,235.78,245.51,2021317
2026-04-15,250.0,252.65,246.73,247.74,1668099
2026-04-16,251.0,252.42,244.93,247.43,1163780
2026-04-17,246.32,269.4,246.32,251.86,10526077
2026-04-20,253.05,261.1,247.51,253.19,3489324
2026-04-21,254.7,259.14,251.03,252.82,2882548
2026-04-22,252.0,257.59,251.95,253.08,1816274
2026-04-23,252.5,255.25,247.11,248.24,1586171
2026-04-24,248.01,251.0,243.0,244.58,882157
2026-04-27,246.0,253.84,245.71,251.67,1526280
2026-04-28,252.0,254.19,245.0,245.58,940137
2026-04-29,247.54,249.88,240.05,241.11,971538
2026-04-30,240.74,243.11,236.5,239.21,991001
2026-05-04,239.9,242.99,234.41,236.89,922504
2026-05-05,237.0,238.25,231.18,233.73,907858
2026-05-06,235.09,240.98,234.5,239.86,878756
2026-05-07,240.94,246.4,238.01,238.71,998072
2026-05-08,239.5,239.5,234.15,235.28,624823
2026-05-11,234.9,234.9,228.0,229.51,635905
2026-05-12,229.0,238.47,223.12,235.48,7156174
2026-05-13,235.0,237.03,233.7,236.04,647154
2026-05-14,237.0,237.6,229.02,230.0,700921
2026-05-15,231.5,231.5,223.1,224.22,449546
2026-05-18,224.0,224.0,216.07,216.91,814310
