Date,Open,High,Low,Close,Volume
2026-02-16,565.85,569.0,557.0,563.8,1927376
2026-02-17,556.0,563.6,536.6,541.95,3819051
2026-02-18,545.1,580.9,545.1,576.65,5914154
2026-02-19,576.65,581.8,552.0,560.9,2110530
2026-02-20,556.0,585.75,556.0,567.6,4074426
2026-02-23,574.05,578.7,560.75,564.2,1557320
2026-02-24,560.0,568.25,552.55,560.85,1437156
2026-02-25,566.0,576.95,561.6,564.65,1627328
2026-02-26,568.6,579.45,562.7,576.8,2075670
2026-02-27,581.65,582.7,565.0,569.4,3087978
2026-03-02,545.0,568.9,542.55,551.45,1975553
2026-03-04,544.0,546.7,521.0,530.45,2246103
2026-03-05,538.0,556.25,538.0,544.75,2866183
2026-03-06,547.9,556.0,544.8,546.85,1330265
2026-03-09,535.0,538.0,523.0,530.05,1724543
2026-03-10,541.0,550.5,537.05,547.5,1588763
2026-03-11,550.0,564.45,540.0,542.35,1768674
2026-03-12,539.6,562.65,531.7,555.5,2137993
2026-03-13,554.0,557.85,527.2,528.75,1812575
2026-03-16,530.0,538.95,523.15,532.1,2032930
2026-03-17,541.0,559.4,535.1,553.1,4702437
2026-03-18,553.8,566.5,546.4,559.25,2801215
2026-03-19,548.0,557.65,531.65,534.15,1374289
2026-03-20,539.9,599.0,539.0,575.7,32107235
2026-03-23,566.0,586.0,562.3,569.05,7318326
2026-03-24,584.0,587.45,566.55,574.0,3569629
2026-03-25,584.0,590.5,576.0,578.65,2594131
2026-03-27,577.8,582.0,561.0,566.6,1944081
2026-03-30,560.0,579.4,548.05,566.15,3614114
2026-04-01,582.1,590.95,575.6,580.3,2107349
2026-04-02,569.8,584.85,565.15,582.35,2265219
2026-04-06,581.0,600.0,574.2,597.1,2788595
2026-04-07,597.0,612.0,590.0,593.1,3683882
2026-04-08,609.0,609.0,596.75,600.25,2050301
2026-04-09,602.0,614.0,596.0,604.35,2535617
2026-04-10,608.0,614.4,599.0,603.1,2013456
2026-04-13,597.0,625.0,590.25,614.6,4431370
2026-04-15,627.5,643.0,620.0,622.3,4775985
2026-04-16,628.4,746.75,623.25,746.75,51557208
2026-04-17,746.75,771.9,714.2,736.9,31100876
2026-04-20,728.95,732.7,689.0,691.25,11199942
2026-04-21,695.0,707.85,683.1,689.5,4842635
2026-04-22,690.0,701.0,684.65,691.35,3110507
2026-04-23,690.0,700.45,678.0,682.85,2513995
2026-04-24,686.0,690.4,654.0,669.85,3365213
2026-04-27,673.0,703.9,673.0,698.55,4593877
2026-04-28,702.0,753.25,697.8,714.4,13288503
2026-04-29,718.05,754.3,712.6,740.05,9350592
2026-04-30,742.0,752.35,725.25,736.15,4040540
2026-05-04,740.0,743.8,712.65,727.6,2667508
2026-05-05,728.15,746.45,705.6,715.35,2553577
2026-05-06,716.0,720.8,682.9,699.8,4278784
2026-05-07,703.9,719.5,699.0,703.7,3274665
2026-05-08,704.45,707.45,682.2,684.7,2412337
2026-05-11,681.0,681.0,654.5,663.2,2930879
2026-05-12,662.5,677.65,640.1,643.1,3476294
2026-05-13,646.8,670.5,646.0,663.1,2461900
2026-05-14,668.4,679.85,656.15,663.5,2859570
2026-05-15,658.7,674.2,636.2,652.6,3451686
2026-05-18,648.0,648.0,625.0,632.8,1950336
2026-05-19,637.0,647.5,633.0,643.85,1544110
2026-05-20,638.6,645.4,631.1,642.8,892708
2026-05-21,648.2,668.75,647.05,652.2,2298754
2026-05-22,654.05,663.9,648.7,651.5,1247471
2026-05-25,657.1,664.95,652.1,655.55,1012049
2026-05-26,655.0,698.2,652.6,693.15,9108067
