Date,Open,High,Low,Close,Volume
2026-02-16,11.25,11.5,11.21,11.43,299017626
2026-02-17,11.4,11.46,11.3,11.38,252469405
2026-02-18,11.41,11.66,11.4,11.56,358955663
2026-02-19,11.6,11.64,11.14,11.26,330114434
2026-02-20,11.25,11.4,11.09,11.16,314954760
2026-02-23,11.2,11.22,10.87,10.98,385896457
2026-02-24,10.98,11.05,10.79,10.91,385651453
2026-02-25,11.01,11.08,10.69,10.73,305829521
2026-02-26,10.75,11.16,10.74,10.85,428109099
2026-02-27,10.88,10.94,10.54,10.59,383228221
2026-03-02,10.25,10.53,10.1,10.29,498723631
2026-03-04,10.1,10.18,9.85,9.99,479791170
2026-03-05,10.03,10.34,9.88,10.22,591320459
2026-03-06,10.3,10.38,10.01,10.06,450840141
2026-03-09,9.89,9.97,9.57,9.91,414186823
2026-03-10,10.01,10.12,9.86,10.01,404894631
2026-03-11,10.01,10.12,9.61,9.71,399806526
2026-03-12,9.64,9.74,9.36,9.56,444257788
2026-03-13,9.52,9.59,9.18,9.27,570944045
2026-03-16,9.32,9.74,9.29,9.39,550904012
2026-03-17,9.46,9.5,9.21,9.25,435075957
2026-03-18,9.3,9.54,9.22,9.44,514240404
2026-03-19,9.27,9.3,8.85,8.94,636955924
2026-03-20,9.05,9.45,9.05,9.34,612165493
2026-03-23,9.22,9.22,8.65,8.7,664844250
2026-03-24,9.08,9.08,8.72,8.88,544357109
2026-03-25,9.0,9.17,8.97,9.04,437977196
2026-03-27,9.0,9.06,8.84,8.89,467368070
2026-03-30,8.77,8.85,8.5,8.53,490503989
2026-04-01,8.94,8.94,8.63,8.64,664715028
2026-04-02,8.63,8.64,8.13,8.58,833576637
2026-04-06,8.6,8.8,8.36,8.76,539938324
2026-04-07,8.67,8.74,8.52,8.63,482130182
2026-04-08,9.0,9.25,8.9,9.2,640895030
2026-04-09,9.15,9.22,9.0,9.12,405859803
2026-04-10,9.18,9.39,9.17,9.25,468683513
2026-04-13,9.0,9.33,8.94,9.25,454947155
2026-04-15,9.36,9.5,9.32,9.44,410002148
2026-04-16,9.54,9.66,9.42,9.53,457206154
2026-04-17,9.51,9.68,9.48,9.61,383484709
2026-04-20,9.64,9.71,9.38,9.47,389805796
2026-04-21,9.47,9.73,9.42,9.55,388623918
2026-04-22,9.52,9.61,9.46,9.54,354014633
2026-04-23,9.54,9.63,9.48,9.58,372680769
2026-04-24,9.58,9.63,9.37,9.52,374835087
2026-04-27,9.58,9.75,9.56,9.69,339973336
2026-04-28,9.7,10.15,9.67,9.95,744203178
2026-04-29,10.05,10.55,10.01,10.29,605375435
2026-04-30,10.29,10.3,10.01,10.22,403450744
2026-05-04,11.0,11.0,10.4,10.52,1177221785
2026-05-05,10.52,11.32,10.5,10.8,808377583
2026-05-06,11.1,11.42,10.91,11.3,879179908
2026-05-07,11.39,11.39,11.11,11.23,422871156
2026-05-08,11.17,11.44,11.01,11.24,552801225
2026-05-11,11.24,12.43,11.2,12.18,1860835451
2026-05-12,12.04,12.11,11.63,11.89,919513608
2026-05-13,12.18,12.96,12.04,12.83,1473925447
2026-05-14,12.92,13.09,12.63,12.97,964456163
2026-05-15,13.0,13.33,12.68,12.95,1217112786
2026-05-18,12.74,13.05,12.45,12.86,1324417963
