Date,Open,High,Low,Close,Volume
2024-12-03,53.65,55.2,53.43,54.45,7566537
2024-12-04,54.6,59.4,54.3,58.97,47725663
2024-12-05,59.69,59.94,57.23,57.87,21407451
2024-12-06,57.95,59.75,57.32,57.86,19278886
2024-12-09,58.0,58.33,57.4,57.48,5594379
2024-12-10,57.48,57.99,56.61,56.87,5493375
2024-12-11,58.4,59.55,57.31,57.65,22108383
2024-12-12,58.05,58.72,57.05,57.68,8377470
2024-12-13,57.35,57.4,54.39,55.68,15192346
2024-12-16,55.8,56.8,55.73,56.05,5060275
2024-12-17,56.05,56.05,55.03,55.15,3630308
2024-12-18,55.1,55.1,53.8,53.9,4838693
2024-12-19,52.6,53.61,51.9,53.21,4146681
2024-12-20,53.21,53.68,52.06,52.4,4441746
2024-12-23,52.75,53.0,51.55,51.64,4311273
2024-12-24,51.97,52.08,51.32,51.69,3202568
2024-12-26,51.8,52.87,51.37,51.5,4763749
2024-12-27,51.62,51.98,51.14,51.33,2794441
2024-12-30,51.5,51.65,50.04,50.58,4383524
2024-12-31,50.6,51.97,50.53,51.76,4151678
2025-01-01,51.6,52.18,51.2,51.87,2928341
2025-01-02,51.91,52.5,51.36,52.14,3636626
2025-01-03,52.35,54.4,52.35,53.1,10787592
2025-01-06,53.31,53.35,50.5,50.69,5842917
2025-01-07,51.0,51.53,50.36,51.11,4406397
2025-01-08,51.0,51.08,50.27,50.77,2647466
2025-01-09,50.5,50.72,49.6,49.94,3046993
2025-01-10,50.0,50.19,47.9,48.11,5333888
2025-01-13,47.0,47.8,45.05,45.45,7160861
2025-01-14,45.61,54.54,45.61,53.77,25580989
2025-01-15,51.8,51.8,49.2,49.91,24755502
2025-01-16,50.55,51.84,50.1,50.37,11962764
2025-01-17,50.37,50.98,49.8,50.64,6231707
2025-01-20,50.95,53.65,50.7,52.52,22139563
2025-01-21,52.39,52.39,50.8,51.2,6634740
2025-01-22,51.21,51.38,49.36,50.3,4499478
2025-01-23,50.0,51.12,49.7,50.64,3788273
2025-01-24,50.64,50.84,48.86,49.04,4581745
2025-01-27,49.04,51.39,47.42,49.93,14973443
2025-01-28,50.5,51.26,48.9,49.49,9330906
2025-01-29,49.6,50.34,49.45,50.1,4279424
2025-01-30,49.97,50.79,49.73,50.19,3851286
2025-01-31,50.14,51.65,49.49,51.0,5921321
2025-02-01,51.09,52.14,50.02,50.2,4981900
2025-02-03,50.1,50.21,48.71,48.85,3285887
2025-02-04,49.59,50.3,49.16,49.7,3534556
2025-02-05,50.43,52.41,50.3,51.43,9836644
2025-02-06,51.77,51.77,50.35,50.9,3452974
2025-02-07,51.0,51.68,50.14,50.37,4591431
2025-02-10,50.3,50.3,49.21,49.53,2216534
2025-02-11,49.8,49.85,47.91,48.17,2985402
2025-02-12,48.08,48.35,45.97,47.74,5663480
2025-02-13,48.0,48.67,47.83,48.19,3007173
2025-02-14,48.19,48.35,46.26,46.58,3677228
2025-02-17,46.34,46.44,45.0,46.13,4789272
2025-02-18,46.1,46.3,44.72,45.18,3871176
2025-02-19,45.0,46.46,44.48,46.3,3191340
2025-02-20,46.0,47.63,45.8,47.2,3364313
2025-02-21,46.8,47.95,46.35,46.61,3141246
2025-02-24,46.3,46.49,45.38,46.18,2253429
2025-02-25,47.0,47.9,45.85,46.23,5727515
2025-02-27,46.3,46.84,45.4,45.6,2699997
2025-02-28,45.01,45.12,43.2,43.53,3898293
2025-03-03,43.0,43.51,41.01,41.71,9922401
2025-03-04,41.16,43.36,40.52,42.99,6252615
2025-03-05,42.99,44.15,42.86,43.99,4118839
2025-03-06,44.5,45.08,44.15,44.36,3522773
2025-03-07,44.3,45.14,44.02,44.67,3410958
2025-03-10,44.68,45.02,42.89,43.41,3270666
2025-03-11,42.71,43.26,42.3,42.6,3315230
2025-03-12,42.62,43.18,41.95,42.09,3183384
2025-03-13,42.16,42.56,41.44,41.54,2822442
2025-03-17,42.04,42.15,41.02,41.1,3203730
2025-03-18,41.1,42.7,41.1,42.43,4485385
2025-03-19,42.43,44.1,42.43,43.83,4788697
2025-03-20,44.42,44.77,42.86,43.0,6379044
2025-03-21,42.99,43.8,42.7,43.56,7215793
2025-03-24,43.91,45.09,43.9,44.47,7952521
