Date,Open,High,Low,Close,Volume
2024-12-03,1297.0,1316.0,1285.0,1296.3,770876
2024-12-04,1300.0,1381.45,1290.9,1371.1,3131476
2024-12-05,1375.0,1388.6,1349.45,1369.7,1585598
2024-12-06,1365.0,1397.4,1356.75,1371.3,1145369
2024-12-09,1356.0,1382.0,1354.05,1376.5,731021
2024-12-10,1377.0,1407.05,1377.0,1401.6,2483381
2024-12-11,1400.0,1422.0,1383.5,1411.0,1723949
2024-12-12,1411.0,1442.1,1406.0,1436.3,1343959
2024-12-13,1429.95,1434.75,1372.0,1418.05,1488375
2024-12-16,1428.0,1484.5,1417.45,1467.55,2613659
2024-12-17,1469.0,1523.0,1464.6,1490.75,3153493
2024-12-18,1498.55,1508.6,1466.9,1479.45,1952964
2024-12-19,1435.15,1483.0,1423.8,1476.25,1206964
2024-12-20,1480.0,1495.0,1392.0,1400.7,1023456
2024-12-23,1404.35,1465.8,1402.3,1440.0,2486998
2024-12-24,1439.0,1442.0,1391.25,1403.05,1021001
2024-12-26,1398.1,1417.3,1384.25,1414.05,614519
2024-12-27,1406.0,1429.8,1398.05,1408.35,383153
2024-12-30,1395.05,1461.2,1373.45,1420.45,4052271
2024-12-31,1395.0,1401.55,1351.2,1389.4,1478192
2025-01-01,1382.0,1393.65,1358.6,1364.8,367445
2025-01-02,1374.0,1382.75,1346.6,1372.9,456627
2025-01-03,1369.9,1412.15,1366.6,1399.55,908087
2025-01-06,1421.0,1448.0,1341.15,1346.15,878096
2025-01-07,1356.0,1364.95,1320.0,1340.75,519362
2025-01-08,1359.0,1359.0,1326.7,1350.35,987831
2025-01-09,1350.3,1355.65,1302.55,1309.3,459750
2025-01-10,1316.0,1327.9,1276.85,1283.7,789698
2025-01-13,1256.9,1259.9,1160.3,1165.3,2072547
2025-01-14,1165.3,1178.9,1136.8,1144.15,2127808
2025-01-15,1162.0,1162.0,1110.0,1124.95,3165699
2025-01-16,1134.9,1166.2,1125.8,1128.45,1364331
2025-01-17,1135.0,1198.25,1131.35,1176.95,4892113
2025-01-20,1180.45,1222.5,1171.05,1208.75,2096285
2025-01-21,1202.1,1209.4,1136.6,1147.55,1534096
2025-01-22,1147.55,1148.6,1062.25,1077.2,3308966
2025-01-23,1060.75,1094.65,1053.2,1082.3,1582475
2025-01-24,1077.0,1109.0,1076.0,1099.55,2566066
2025-01-27,1100.0,1137.0,1087.4,1103.5,5455401
2025-01-28,1120.05,1150.0,1098.85,1131.0,2243789
2025-01-29,1108.3,1150.0,1102.0,1135.5,2018443
2025-01-30,1141.85,1174.15,1133.0,1160.6,1861163
2025-01-31,1167.45,1235.4,1158.2,1204.5,3559155
2025-02-01,1218.34,1292.0,1169.7,1263.8,1268852
2025-02-03,1249.85,1305.05,1237.2,1297.45,2093414
2025-02-04,1280.0,1297.8,1270.6,1286.5,1170642
2025-02-05,1286.35,1303.75,1265.4,1268.4,751453
2025-02-06,1252.3,1267.15,1194.1,1198.7,2114481
2025-02-07,1202.0,1243.0,1202.0,1238.8,1983603
2025-02-10,1236.0,1244.95,1170.45,1176.65,1288374
2025-02-11,1183.0,1184.75,1147.65,1170.45,1144470
2025-02-12,1168.0,1201.7,1150.0,1172.65,2380787
2025-02-13,1178.5,1194.2,1165.0,1173.2,1182683
2025-02-14,1174.7,1185.75,1135.2,1153.55,2535663
2025-02-17,1144.0,1171.85,1123.6,1167.8,820581
2025-02-18,1162.0,1181.1,1148.55,1162.55,1108216
2025-02-19,1159.0,1199.2,1149.95,1181.75,626677
2025-02-20,1179.25,1200.9,1169.45,1192.5,498434
2025-02-21,1188.0,1222.35,1182.8,1215.55,2045038
2025-02-24,1197.0,1215.0,1185.0,1195.0,731706
2025-02-25,1200.95,1214.35,1183.2,1196.6,1486433
2025-02-27,1194.0,1215.0,1174.55,1194.95,2220279
2025-02-28,1184.9,1194.9,1120.05,1130.9,4466895
2025-03-03,1131.25,1165.7,1101.25,1120.85,1050459
2025-03-04,1120.85,1135.35,1087.05,1117.95,1162488
2025-03-05,1115.0,1159.9,1111.9,1152.5,734447
2025-03-06,1158.0,1172.75,1132.0,1138.15,779868
2025-03-07,1138.15,1149.9,1103.6,1113.0,1292906
2025-03-10,1118.0,1128.0,1072.05,1075.7,1119938
2025-03-11,1075.7,1149.95,1065.0,1132.35,2683783
2025-03-12,1122.1,1137.45,1075.65,1081.7,1175851
2025-03-13,1086.45,1090.45,1050.15,1055.25,1369790
2025-03-17,1049.0,1075.0,1035.15,1064.0,862374
2025-03-18,1069.6,1116.5,1059.65,1112.1,1347118
2025-03-19,1113.5,1190.4,1113.5,1177.45,1890436
2025-03-20,1180.0,1238.1,1178.1,1193.75,2406145
2025-03-21,1179.0,1224.4,1164.55,1180.75,2261969
2025-03-24,1190.0,1240.0,1188.45,1216.75,1577877
2025-03-25,1229.65,1251.0,1198.8,1209.8,672554
2025-03-26,1210.25,1252.95,1190.0,1197.35,1534225
2025-03-27,1193.0,1255.0,1190.0,1241.3,1158000
2025-03-28,1241.75,1248.35,1191.0,1195.8,965367
2025-04-01,1205.0,1205.0,1147.0,1157.2,1191228
2025-04-02,1163.65,1223.0,1163.65,1218.45,1919618
2025-04-03,1189.0,1231.75,1175.15,1217.75,732130
2025-04-04,1211.0,1222.25,1161.1,1180.85,456039
2025-04-07,1116.55,1144.95,1076.0,1106.6,1482723
2025-04-08,1120.0,1149.8,1111.0,1132.7,1767581
2025-04-09,1134.05,1134.05,1095.3,1111.25,958219
2025-04-11,1102.5,1149.0,1102.5,1122.6,1777845
2025-04-15,1157.0,1216.9,1145.0,1214.0,3463329
2025-04-16,1240.0,1254.9,1225.2,1240.8,2739797
2025-04-17,1240.4,1262.4,1225.0,1236.1,872152
2025-04-21,1250.0,1308.0,1239.0,1293.4,1108203
2025-04-22,1300.0,1339.9,1285.0,1313.4,1250475
2025-04-23,1331.7,1369.8,1330.0,1366.4,2431953
2025-04-24,1379.9,1380.3,1307.3,1320.2,2388212
2025-04-25,1355.5,1390.0,1293.0,1305.1,4799027
2025-04-28,1314.7,1332.8,1272.6,1310.2,1240596
2025-04-29,1315.0,1320.1,1284.0,1288.0,778686
2025-04-30,1320.9,1362.7,1303.1,1329.3,5035119
2025-05-02,1319.9,1382.5,1315.0,1341.5,2444909
