Date,Open,High,Low,Close,Volume
2026-02-16,261.4,261.4,255.0,256.05,691101
2026-02-17,256.05,261.45,254.5,260.8,619105
2026-02-18,260.8,260.95,256.6,258.65,651397
2026-02-19,259.8,259.85,254.45,254.9,631174
2026-02-20,254.75,255.5,250.5,251.45,839881
2026-02-23,253.2,254.0,244.15,245.8,1452230
2026-02-24,246.0,246.5,238.7,239.95,1445567
2026-02-25,242.0,245.3,239.15,242.55,1193147
2026-02-26,242.9,245.5,238.3,244.55,1345952
2026-02-27,244.55,286.0,244.0,280.45,92286714
2026-03-02,267.9,283.45,260.2,262.85,24008717
2026-03-04,256.0,265.35,247.8,249.55,6668546
2026-03-05,251.85,252.85,245.15,248.85,2658594
2026-03-06,249.95,252.25,244.15,246.15,1741482
2026-03-09,243.5,243.5,229.5,232.35,3388723
2026-03-10,237.95,268.5,237.2,259.3,75960096
2026-03-11,259.3,260.7,246.1,247.3,7866132
2026-03-12,246.0,249.85,236.1,245.55,6367214
2026-03-13,245.75,246.9,232.65,234.55,3342550
2026-03-16,240.75,242.0,227.1,233.0,4963476
2026-03-17,231.8,231.85,221.0,228.05,6343224
2026-03-18,229.8,233.55,226.3,231.25,3574521
2026-03-19,228.45,228.45,218.25,219.4,2327537
2026-03-20,222.9,223.55,214.6,217.35,3950377
2026-03-23,215.0,215.0,203.55,205.9,2760465
2026-03-24,213.7,214.5,205.3,210.1,2766390
2026-03-25,212.55,216.0,210.15,211.25,2937767
2026-03-27,210.5,210.5,198.5,200.7,7490370
2026-03-30,198.5,204.5,196.3,199.95,6456158
2026-04-01,204.5,205.86,200.05,202.45,7193893
2026-04-02,199.5,202.0,191.31,201.11,8196940
2026-04-06,201.11,209.2,195.62,207.27,5354700
2026-04-07,205.0,209.31,202.23,206.89,3909596
2026-04-08,218.0,220.25,214.02,218.21,4757653
2026-04-09,219.28,222.85,215.11,218.2,3047171
2026-04-10,220.49,228.5,218.3,221.18,5237742
2026-04-13,215.0,220.7,211.8,218.54,2781785
2026-04-15,225.0,228.0,221.8,224.77,5712092
2026-04-16,226.0,228.9,223.0,227.78,7259133
2026-04-17,229.73,242.5,229.07,234.67,11900676
2026-04-20,234.79,234.79,227.0,227.49,4259331
2026-04-21,229.77,230.3,227.0,227.26,2296360
2026-04-22,227.0,228.49,225.1,225.8,2962140
2026-04-23,225.0,225.8,220.0,220.68,2229328
2026-04-24,220.5,222.5,214.5,216.48,2132167
2026-04-27,219.0,224.11,217.56,219.02,2717372
2026-04-28,219.65,220.75,214.01,214.97,3420795
2026-04-29,216.71,217.5,211.51,214.29,6201499
2026-04-30,213.0,218.75,210.09,215.87,6934625
2026-05-04,217.0,222.85,215.13,221.76,3512221
2026-05-05,221.0,223.76,216.51,218.64,2203053
2026-05-06,221.0,224.7,218.32,223.23,2752422
2026-05-07,224.9,225.73,221.14,224.49,2518502
2026-05-08,224.49,226.45,221.39,223.02,1919442
2026-05-11,221.0,224.73,218.01,218.66,2558292
2026-05-12,218.66,218.92,210.03,210.69,2837740
2026-05-13,211.91,214.49,209.5,210.05,1690461
2026-05-14,212.5,218.8,208.1,217.14,8074930
2026-05-15,220.0,223.49,216.74,221.29,5071482
2026-05-18,220.82,220.94,214.1,218.77,3095265
2026-05-19,220.0,224.24,219.56,221.24,2672758
