Date,Open,High,Low,Close,Volume
2026-02-16,47.33,47.33,44.75,45.95,31594556
2026-02-17,46.19,46.79,45.45,45.67,16939185
2026-02-18,45.8,46.24,45.4,45.7,19856041
2026-02-19,45.8,46.44,45.32,45.5,12389304
2026-02-20,45.45,45.75,43.59,44.83,33417879
2026-02-23,45.15,45.55,43.1,43.33,23696875
2026-02-24,43.26,43.26,41.91,42.4,33024775
2026-02-25,42.66,43.58,42.37,42.75,19297162
2026-02-26,42.9,43.2,40.13,40.38,41486708
2026-02-27,40.4,40.56,38.68,39.55,54483849
2026-03-02,37.5,39.28,37.5,38.84,30532447
2026-03-04,38.0,42.82,37.51,41.32,195411000
2026-03-05,41.79,42.94,39.21,39.76,65848980
2026-03-06,39.48,40.29,39.1,39.21,24330040
2026-03-09,38.0,39.61,37.25,38.96,29269251
2026-03-10,39.65,40.1,38.79,39.02,21478201
2026-03-11,39.09,40.1,39.04,39.79,23136069
2026-03-12,39.5,40.3,38.81,39.49,15324922
2026-03-13,39.15,39.4,37.62,37.83,19758429
2026-03-16,38.16,38.62,37.11,37.68,19263208
2026-03-17,37.71,38.08,37.4,37.63,13684307
2026-03-18,37.79,39.64,37.79,39.46,26066061
2026-03-19,38.5,38.71,37.25,37.39,18708869
2026-03-20,37.7,39.76,37.51,39.06,111655168
2026-03-23,38.5,38.5,35.83,36.35,33007629
2026-03-24,37.08,37.69,36.25,37.32,26559326
2026-03-25,38.66,40.74,38.61,39.89,78259637
2026-03-27,39.82,42.7,39.09,41.75,47593251
2026-03-30,41.5,41.72,39.55,39.95,24229969
2026-04-01,41.65,42.22,41.17,41.71,21160425
2026-04-02,40.8,42.38,39.85,41.73,19413908
2026-04-06,41.74,42.75,41.15,42.42,14409691
2026-04-07,42.02,43.1,41.51,41.9,17193480
2026-04-08,43.78,43.78,42.63,42.84,24062566
2026-04-09,42.79,43.42,42.52,42.72,10604500
2026-04-10,42.99,43.25,42.0,42.11,14810797
2026-04-13,41.15,42.18,40.81,41.97,10666584
2026-04-15,42.68,43.4,42.6,42.82,17936420
2026-04-16,42.99,43.6,42.8,43.16,17685649
2026-04-17,43.0,43.39,42.86,42.93,12143293
2026-04-20,42.99,43.0,42.01,42.18,10035806
2026-04-21,42.0,43.0,41.99,42.23,16139299
2026-04-22,42.25,42.63,41.48,41.59,19288313
2026-04-23,41.4,43.49,41.35,42.17,34146106
2026-04-24,42.29,42.63,40.96,41.37,13507212
2026-04-27,41.79,42.34,41.6,42.1,7818655
2026-04-28,41.7,42.22,41.1,41.27,10519463
2026-04-29,41.5,41.9,41.27,41.49,10347716
2026-04-30,41.21,41.94,40.72,41.74,11451953
2026-05-04,42.15,42.25,41.42,41.6,7061757
2026-05-05,41.5,42.15,41.15,41.39,9853736
2026-05-06,41.89,42.05,41.41,41.85,10389089
2026-05-07,42.07,43.65,42.07,42.81,29000252
2026-05-08,42.81,45.14,42.61,44.19,41832444
2026-05-11,44.39,45.4,43.21,44.96,36344342
2026-05-12,44.96,45.18,42.82,43.09,24691859
2026-05-13,43.7,44.3,41.95,43.1,44703069
2026-05-14,43.5,44.0,42.75,42.92,22152644
2026-05-15,42.96,43.26,41.82,42.0,15187469
2026-05-18,41.5,41.75,40.06,41.38,16601393
2026-05-19,41.38,42.87,40.86,42.17,22819722
