Date,Open,High,Low,Close,Volume
2024-12-03,7620.0,7749.0,7591.55,7731.0,464526
2024-12-04,7780.0,7946.6,7722.6,7749.2,555884
2024-12-05,7800.0,7850.0,7725.0,7792.45,290094
2024-12-06,7800.0,7898.0,7752.1,7787.6,235738
2024-12-09,7787.6,7937.35,7737.0,7842.05,302682
2024-12-10,7860.0,7900.0,7786.2,7890.4,256135
2024-12-11,7890.4,7922.0,7840.0,7871.0,172453
2024-12-12,7877.95,7960.0,7830.0,7916.25,192747
2024-12-13,7915.0,7949.85,7791.95,7884.85,133010
2024-12-16,7905.25,8035.95,7884.6,7968.95,244346
2024-12-17,7950.5,7997.6,7775.0,7790.65,246593
2024-12-18,7824.95,7883.6,7630.0,7667.0,238006
2024-12-19,7550.0,7668.5,7490.05,7632.15,178762
2024-12-20,7705.0,7713.35,6821.8,6868.9,1664863
2024-12-23,6860.05,6909.8,6642.5,6820.75,890336
2024-12-24,6810.0,6819.75,6580.05,6654.9,803122
2024-12-26,6660.0,6740.0,6642.05,6705.55,287081
2024-12-27,6700.05,6765.0,6522.25,6546.0,268038
2024-12-30,6580.0,6696.0,6390.25,6433.6,1203625
2024-12-31,6467.85,6607.25,6429.05,6536.05,436081
2025-01-01,6550.0,6653.5,6502.85,6635.15,233030
2025-01-02,6699.0,6714.9,6565.0,6698.5,391741
2025-01-03,6720.0,6740.0,6596.35,6609.7,296315
2025-01-06,6628.8,6633.45,6425.5,6473.2,287222
2025-01-07,6492.6,6547.1,6425.05,6482.15,309990
2025-01-08,6474.05,6493.75,6234.6,6296.65,537373
2025-01-09,6297.3,6415.9,6207.55,6240.3,341480
2025-01-10,6229.9,6254.6,6067.0,6104.8,378323
2025-01-13,6079.05,6079.45,5780.0,5803.3,330178
2025-01-14,5816.0,5899.9,5768.85,5863.45,339149
2025-01-15,5895.0,5916.7,5797.0,5808.5,297367
2025-01-16,5873.45,6043.7,5866.05,6010.05,343454
2025-01-17,6010.0,6210.0,5943.05,6183.25,359311
2025-01-20,6190.0,6216.25,6113.0,6136.45,89443
2025-01-21,6141.0,6160.0,5912.65,5923.6,206995
2025-01-22,5959.9,5979.85,5780.0,5856.45,237139
2025-01-23,5879.95,6133.0,5878.85,6067.85,240349
2025-01-24,6050.0,6067.0,5834.2,5879.7,247172
2025-01-27,5860.0,5860.0,5680.0,5787.35,195980
2025-01-28,5932.95,5965.5,5600.0,5684.35,348907
2025-01-29,5690.0,5845.0,5658.0,5824.55,167518
2025-01-30,5841.0,5942.95,5792.75,5874.75,295210
2025-01-31,5920.0,6100.0,5873.5,6073.35,409813
2025-02-01,6128.0,6146.0,5650.0,5730.0,508529
2025-02-03,5752.0,5770.0,5182.35,5225.9,1731436
2025-02-04,5295.0,5435.0,5247.85,5420.55,1116985
2025-02-05,5461.45,5636.0,5437.35,5580.5,550628
2025-02-06,5640.0,5707.7,5582.0,5641.0,410310
2025-02-07,5688.0,5700.0,5448.0,5505.5,396057
2025-02-10,5505.05,5548.5,5333.05,5349.25,338237
2025-02-11,5360.05,5380.0,5145.75,5204.85,501463
2025-02-12,5200.0,5294.9,5007.0,5199.15,809497
2025-02-13,5100.0,5297.3,5019.05,5105.25,1080831
2025-02-14,5110.0,5157.7,4946.65,4990.85,329443
2025-02-17,4946.95,4981.75,4789.15,4859.3,797168
2025-02-18,4908.75,4938.35,4752.65,4843.65,514204
2025-02-19,4810.0,4988.0,4772.7,4954.9,663780
2025-02-20,4948.0,5037.85,4893.1,5025.9,439939
2025-02-21,5010.0,5059.45,4856.1,4921.35,457327
2025-02-24,4896.9,4897.0,4771.55,4872.9,561835
2025-02-25,4886.0,4932.6,4812.5,4837.75,288010
2025-02-27,4840.85,4867.75,4658.65,4686.65,376628
2025-02-28,4650.0,4710.0,4581.0,4623.5,539772
2025-03-03,4629.95,4861.0,4566.0,4836.7,475900
2025-03-04,4739.55,4969.2,4739.55,4931.9,582431
2025-03-05,4931.9,5131.95,4931.9,5085.75,732603
2025-03-06,5145.0,5268.25,5085.8,5160.3,848811
2025-03-07,5161.0,5173.75,5045.6,5106.1,587581
2025-03-10,5106.1,5142.3,4950.0,4974.55,332612
2025-03-11,4900.0,4984.45,4852.0,4942.05,522140
2025-03-12,4989.4,5009.1,4810.55,4905.75,244678
2025-03-13,4949.0,5087.3,4891.6,4927.9,408699
2025-03-17,4975.0,4994.5,4888.55,4936.45,255414
2025-03-18,4968.7,5116.2,4949.2,5107.6,259115
2025-03-19,5128.0,5252.25,5092.95,5224.5,502007
2025-03-20,5260.0,5268.8,5111.0,5194.1,321720
2025-03-21,5200.9,5310.0,5174.9,5200.65,737413
2025-03-24,5265.0,5344.65,5205.0,5223.2,352590
2025-03-25,5250.0,5284.7,5108.0,5119.1,234410
2025-03-26,5300.0,5520.0,5201.0,5418.25,2780253
2025-03-27,5420.0,5440.0,5300.0,5314.15,633130
2025-03-28,5342.0,5347.0,5182.2,5275.35,705476
2025-04-01,5240.0,5355.0,5200.0,5229.95,329971
2025-04-02,5230.0,5301.0,5142.0,5282.85,372359
2025-04-03,5201.0,5324.0,5201.0,5248.55,397529
2025-04-04,5287.45,5287.45,4851.05,4928.15,1097495
2025-04-07,2450.0,3087.0,2450.0,2812.45,2716014
2025-04-08,2938.35,3031.0,2750.0,2763.45,2603929
2025-04-09,2789.0,2791.95,2667.8,2715.85,866126
2025-04-11,2813.0,2813.0,2710.05,2727.8,784039
2025-04-15,2798.0,2850.0,2741.5,2839.5,872503
2025-04-16,2860.0,2904.5,2799.0,2811.5,865906
2025-04-17,2813.5,2850.0,2770.0,2810.0,537062
2025-04-21,2846.0,2847.0,2744.0,2827.0,653092
2025-04-22,2840.5,2879.5,2813.0,2856.5,576915
2025-04-23,2875.0,2915.0,2841.5,2872.0,607062
2025-04-24,2885.0,2923.5,2870.0,2903.5,453763
2025-04-25,2905.0,2918.5,2767.0,2833.5,776070
2025-04-28,2833.5,2926.5,2833.0,2916.5,460919
2025-04-29,2931.5,2988.0,2904.0,2930.0,674757
2025-04-30,2939.0,2945.5,2857.0,2901.5,512358
2025-05-02,2901.5,2950.0,2895.8,2919.7,434034
2025-05-05,2938.0,2965.0,2899.8,2951.7,237370
2025-05-06,2951.7,2972.4,2916.8,2941.1,269762
2025-05-07,2882.3,3009.6,2882.1,2967.2,415422
2025-05-08,2974.6,2975.0,2820.0,2838.6,898180
2025-05-09,2795.0,2875.0,2788.3,2857.2,539592
2025-05-12,2929.0,2953.6,2865.9,2895.9,506851
2025-05-13,2914.0,2947.3,2903.0,2916.7,784313
2025-05-14,2918.0,3039.9,2918.0,3006.8,1814823
2025-05-15,3010.0,3028.0,2972.0,3009.5,501027
2025-05-16,3028.0,3114.9,2996.0,3069.5,809043
2025-05-19,3080.0,3150.8,3025.8,3104.4,596943
2025-05-20,3140.0,3207.8,3054.4,3127.7,1314196
2025-05-21,3189.0,3305.0,3128.6,3290.8,1482098
2025-05-22,3306.6,3348.0,3227.4,3304.6,1026833
2025-05-23,3310.7,3335.0,3251.1,3277.3,650091
2025-05-26,3290.0,3308.9,3240.0,3248.7,585314
2025-05-27,3306.8,3306.8,3256.2,3299.1,663341
2025-05-28,3325.0,3347.7,3300.3,3337.6,570286
2025-05-29,3357.7,3376.0,3326.6,3349.2,515527
2025-05-30,3360.0,3370.0,3252.0,3265.6,756152
2025-06-02,3270.0,3313.9,3258.1,3292.0,349448
2025-06-03,3306.0,3364.8,3302.1,3314.0,390549
2025-06-04,3320.3,3336.5,3275.1,3309.3,259833
2025-06-05,3315.0,3336.3,3276.6,3280.5,185492
2025-06-06,3300.0,3348.0,3283.0,3297.5,333166
2025-06-09,3320.0,3405.0,3306.6,3383.3,618824
2025-06-10,3400.0,3409.0,3362.7,3371.7,348784
2025-06-11,3381.0,3398.0,3338.2,3349.9,412042
2025-06-12,3350.0,3357.9,3258.0,3267.5,348509
2025-06-13,3195.1,3271.3,3169.9,3260.0,347257
2025-06-16,3248.0,3313.0,3243.8,3271.5,362584
2025-06-17,3278.0,3373.3,3276.5,3321.6,834726
2025-06-18,3344.9,3370.0,3300.2,3355.8,382866
2025-06-19,3349.9,3385.0,3260.3,3284.8,547608
2025-06-20,3274.8,3297.4,3195.1,3214.2,1000560
2025-06-23,3200.0,3200.0,3082.0,3091.6,1299174
2025-06-24,3109.0,3230.0,3109.0,3159.8,1187970
2025-06-25,3187.0,3190.0,3101.1,3149.1,845690
2025-06-26,3158.0,3175.0,3121.5,3164.9,501325
2025-06-27,3184.0,3271.9,3165.0,3178.4,2052948
2025-06-30,3204.8,3298.7,3196.2,3251.5,880507
2025-07-01,3272.0,3378.8,3260.0,3323.1,1445646
2025-07-02,3339.0,3365.0,3267.0,3287.7,592322
2025-07-03,3290.0,3326.9,3285.0,3311.7,496857
2025-07-04,3320.0,3320.0,3237.0,3292.4,504152
2025-07-07,3290.0,3307.5,3250.0,3278.2,439627
2025-07-08,3295.0,3354.9,3275.3,3296.8,549860
2025-07-09,3292.4,3303.0,3213.0,3218.3,458107
2025-07-10,3227.0,3228.0,3167.0,3191.6,354856
2025-07-11,3178.0,3190.3,3105.1,3117.7,370986
2025-07-14,3139.0,3164.0,3065.0,3152.6,588779
2025-07-15,3148.1,3161.7,3113.5,3146.8,361397
2025-07-16,3123.0,3140.0,3080.0,3089.3,624769
2025-07-17,3081.1,3134.6,3038.5,3110.3,991736
2025-07-18,3110.3,3150.0,3105.0,3128.4,462228
2025-07-21,3125.0,3159.8,3098.0,3154.8,257721
2025-07-22,3160.0,3163.8,3120.9,3141.8,348800
2025-07-23,3145.0,3162.0,3111.8,3143.1,205688
2025-07-24,3143.0,3143.0,3101.1,3129.0,295195
2025-07-25,3129.0,3130.0,3030.2,3038.2,246680
2025-07-28,3040.0,3077.0,3016.5,3061.6,398906
2025-07-29,3053.5,3088.7,3034.6,3068.0,255592
2025-07-30,3068.0,3079.5,3020.0,3071.4,310945
2025-07-31,3010.0,3059.3,3005.0,3033.4,299015
2025-08-01,3050.0,3050.0,2998.0,3023.6,281885
2025-08-04,3000.0,3009.0,2928.5,2993.6,478003
2025-08-05,3029.9,3090.1,3006.2,3081.0,772626
2025-08-06,3100.0,3114.0,3057.0,3083.9,392854
2025-08-07,3079.0,3128.5,3051.0,3117.0,457545
2025-08-08,3147.0,3147.0,3023.0,3031.8,263161
2025-08-11,3020.0,3138.7,2925.0,3114.8,1102245
2025-08-12,3114.8,3200.0,3085.1,3135.1,697711
2025-08-13,3136.9,3192.0,3102.2,3150.7,305836
2025-08-14,3150.7,3188.9,3118.2,3169.0,330958
2025-08-18,3213.9,3213.9,3110.2,3118.0,276357
2025-08-19,3125.0,3153.4,3120.1,3133.2,189758
2025-08-20,3135.0,3164.8,3120.2,3155.1,259839
2025-08-21,3174.0,3235.0,3150.0,3197.2,708572
2025-08-22,3210.0,3234.3,3158.0,3173.2,290166
2025-08-25,3185.0,3210.0,3147.8,3164.6,335061
2025-08-26,3154.6,3159.4,3039.0,3048.0,829921
2025-08-28,3057.7,3078.0,3017.9,3043.2,527913
2025-08-29,3043.1,3094.0,3017.5,3063.7,430652
2025-09-01,3078.8,3151.3,3064.0,3138.9,231094
2025-09-02,3139.0,3198.0,3120.0,3190.3,326742
2025-09-03,3190.0,3224.9,3180.0,3211.9,240535
2025-09-04,3225.0,3230.7,3150.0,3154.4,191346
2025-09-05,3168.7,3182.8,3085.0,3089.1,316358
2025-09-08,3110.0,3140.9,3090.1,3121.6,221407
2025-09-09,3131.4,3200.0,3095.2,3190.1,307706
2025-09-10,3192.1,3219.1,3131.4,3142.7,655563
2025-09-11,3147.0,3210.0,3147.0,3185.3,448621
2025-09-12,3202.0,3212.0,3181.5,3202.0,172093
2025-09-15,3200.0,3325.0,3190.1,3293.7,1094939
2025-09-16,3303.1,3334.1,3285.0,3313.8,441922
2025-09-17,3316.0,3368.0,3306.6,3322.7,569372
2025-09-18,3322.6,3350.1,3288.1,3317.8,459746
2025-09-19,3337.9,3346.8,3308.5,3325.9,431619
2025-09-22,3335.0,3335.0,3235.8,3243.5,292028
2025-09-23,3243.5,3272.9,3225.5,3240.4,204819
2025-09-24,3240.0,3244.4,3193.9,3201.0,257405
2025-09-25,3199.9,3222.0,3145.4,3156.3,180638
2025-09-26,3156.0,3156.0,3075.0,3096.3,246575
2025-09-29,3115.0,3147.0,3092.4,3105.2,615998
2025-09-30,3105.2,3137.7,3098.0,3129.2,315843
2025-10-01,3135.0,3158.4,3094.1,3121.5,195465
2025-10-03,3121.5,3174.8,3107.3,3164.1,223614
2025-10-06,3182.0,3276.9,3156.8,3251.7,597115
2025-10-07,3250.0,3262.2,3208.0,3250.8,221931
2025-10-08,3250.0,3270.0,3202.9,3216.8,204414
2025-10-09,3205.2,3225.0,3170.0,3178.4,129907
