Date,Open,High,Low,Close,Volume
2024-12-03,639.0,645.5,627.2,631.45,2147054
2024-12-04,631.5,728.7,626.85,709.4,31479900
2024-12-05,716.55,737.2,701.2,705.4,12644807
2024-12-06,712.0,736.0,701.65,720.9,7414938
2024-12-09,725.95,727.9,708.05,710.35,2195529
2024-12-10,710.35,747.3,705.05,715.3,8285293
2024-12-11,719.0,796.7,719.0,780.4,31005827
2024-12-12,781.9,792.0,760.05,764.15,7800471
2024-12-13,756.0,804.4,742.1,787.15,13049871
2024-12-16,781.9,809.8,777.05,781.7,7588279
2024-12-17,779.0,802.5,773.2,777.6,5100628
2024-12-18,781.5,807.5,774.0,781.85,13747276
2024-12-19,759.0,782.95,757.45,760.9,4808529
2024-12-20,765.1,788.0,736.85,740.2,7201613
2024-12-23,749.0,757.0,727.25,730.5,3139803
2024-12-24,734.8,748.0,722.45,729.75,2206677
2024-12-26,734.75,735.7,709.1,715.8,3173602
2024-12-27,720.0,745.7,708.2,737.2,4681367
2024-12-30,738.0,746.7,709.65,714.6,2628679
2024-12-31,710.0,724.7,706.65,719.2,2034468
2025-01-01,722.0,738.4,718.25,719.8,1926380
2025-01-02,724.8,756.4,719.0,742.65,5307966
2025-01-03,745.25,771.4,741.8,754.9,4879742
2025-01-06,755.05,756.65,693.55,697.85,4117595
2025-01-07,701.35,733.3,701.35,726.3,3454109
2025-01-08,724.9,725.4,686.65,696.85,2989031
2025-01-09,698.0,702.7,670.8,673.55,1808124
2025-01-10,673.7,676.75,643.35,649.5,2430855
2025-01-13,636.0,646.3,596.1,601.5,2989250
2025-01-14,608.0,644.9,608.0,639.5,4045780
2025-01-15,644.8,662.6,636.35,648.0,3735978
2025-01-16,670.05,688.95,656.95,684.65,4370004
2025-01-17,692.0,702.0,667.0,684.95,4963286
2025-01-20,689.8,689.8,636.15,639.3,4211724
2025-01-21,640.45,646.15,625.0,629.5,2514460
2025-01-22,630.0,630.4,597.05,610.3,2665144
2025-01-23,603.0,617.35,593.85,599.15,1496619
2025-01-24,600.6,612.95,583.15,589.5,2630480
2025-01-27,566.35,570.0,533.2,536.35,3518593
2025-01-28,535.9,548.4,512.1,530.05,3721179
2025-01-29,542.65,579.0,533.55,555.7,5185016
2025-01-30,555.75,562.5,531.35,534.05,1558465
2025-01-31,537.0,556.5,528.65,551.35,1765948
2025-02-01,551.35,573.79,545.4,560.0,2325349
2025-02-03,548.15,551.0,532.05,543.65,1382911
2025-02-04,548.25,557.85,535.1,536.9,1139985
2025-02-05,540.0,556.75,539.9,546.55,1028401
2025-02-06,546.45,551.65,535.4,543.55,1195166
2025-02-07,545.0,547.2,533.9,541.3,1145534
2025-02-10,537.25,538.6,515.9,517.7,1287847
2025-02-11,519.5,521.75,476.6,482.0,3198630
2025-02-12,483.8,495.7,460.65,485.9,2671412
2025-02-13,488.5,494.55,476.1,482.55,1817563
2025-02-14,481.55,481.55,435.1,439.2,3545322
2025-02-17,445.0,463.0,429.35,441.65,6121873
2025-02-18,442.55,446.8,398.85,412.15,6328613
2025-02-19,408.5,458.35,402.8,434.55,7428065
2025-02-20,432.0,449.0,428.05,443.5,2362552
2025-02-21,443.55,480.65,424.85,430.25,9544957
2025-02-24,425.05,437.75,416.8,429.65,2401572
2025-02-25,425.3,440.7,425.3,430.55,2215111
2025-02-27,429.0,432.7,410.45,418.8,2188603
