Date,Open,High,Low,Close,Volume
2026-02-16,2700.0,2719.8,2671.0,2706.6,2918730
2026-02-17,2716.0,2760.0,2695.2,2717.4,4209118
2026-02-18,2730.0,2730.0,2657.3,2694.9,2950820
2026-02-19,2708.0,2748.7,2666.6,2677.9,3238849
2026-02-20,2667.0,2702.6,2647.5,2686.2,2293482
2026-02-23,2686.0,2704.0,2660.2,2676.3,4699596
2026-02-24,2641.0,2647.5,2561.3,2573.7,7798833
2026-02-25,2596.0,2654.2,2595.0,2629.3,3621285
2026-02-26,2650.0,2671.0,2635.0,2647.7,3464267
2026-02-27,2681.6,2688.6,2626.1,2637.4,5083717
2026-03-02,2592.0,2623.8,2580.3,2613.5,3374385
2026-03-04,2625.0,2635.0,2580.4,2587.8,3446434
2026-03-05,2600.0,2609.5,2546.4,2578.8,2960636
2026-03-06,2572.0,2619.2,2553.6,2557.6,3998643
2026-03-09,2530.0,2560.0,2505.0,2527.4,3653428
2026-03-10,2541.0,2545.2,2490.1,2513.1,4323710
2026-03-11,2508.1,2521.0,2460.1,2464.9,2720664
2026-03-12,2459.8,2472.9,2436.0,2442.4,2752075
2026-03-13,2437.0,2445.9,2397.0,2410.5,2466488
2026-03-16,2410.0,2425.0,2366.1,2409.2,3807907
2026-03-17,2420.0,2420.0,2360.0,2391.7,2993367
2026-03-18,2410.0,2482.9,2410.0,2440.8,3082388
2026-03-19,2417.0,2424.0,2350.2,2356.0,2757060
2026-03-20,2386.0,2407.8,2364.2,2390.6,4206320
2026-03-23,2365.0,2406.8,2348.0,2383.8,3860515
2026-03-24,2404.1,2435.4,2379.1,2398.8,3420182
2026-03-25,2400.9,2421.6,2369.8,2377.4,5843778
2026-03-27,2403.9,2422.1,2385.0,2389.8,4979411
2026-03-30,2375.1,2398.0,2346.2,2358.9,6804756
2026-04-01,2429.0,2472.0,2397.9,2408.2,4132661
2026-04-02,2386.0,2469.9,2375.7,2450.7,5378361
2026-04-06,2474.0,2482.0,2448.2,2473.9,2572417
2026-04-07,2461.0,2543.9,2448.0,2539.8,4516550
2026-04-08,2572.0,2580.3,2540.1,2559.2,4769337
2026-04-09,2554.0,2605.0,2531.1,2589.0,5628261
2026-04-10,2565.8,2565.8,2501.1,2524.3,10480239
2026-04-13,2489.9,2504.9,2470.0,2472.6,3739587
2026-04-15,2501.9,2559.0,2493.4,2554.9,5261384
2026-04-16,2572.0,2594.0,2558.0,2576.9,3905403
2026-04-17,2570.0,2589.0,2555.9,2581.5,2718206
2026-04-20,2587.1,2594.0,2561.2,2579.6,2288558
2026-04-21,2560.0,2614.0,2560.0,2610.5,2719959
2026-04-22,2580.0,2580.0,2503.6,2538.5,5232045
2026-04-23,2529.0,2559.5,2516.3,2521.8,2509050
2026-04-24,2488.0,2505.0,2388.8,2396.9,5107719
2026-04-27,2396.9,2459.0,2396.9,2447.6,5853425
2026-04-28,2444.0,2487.0,2427.4,2444.7,4508363
2026-04-29,2451.0,2487.9,2447.6,2474.7,2835961
2026-04-30,2479.0,2491.0,2438.0,2473.9,3970446
2026-05-04,2494.0,2498.3,2425.0,2431.3,2632358
2026-05-05,2430.0,2460.4,2412.2,2427.3,3385720
2026-05-06,2441.9,2471.0,2406.5,2435.4,3147628
2026-05-07,2438.2,2439.7,2398.0,2401.4,5829594
2026-05-08,2398.0,2407.0,2375.1,2394.4,3792199
2026-05-11,2371.0,2415.0,2371.0,2392.9,1975188
2026-05-12,2375.0,2375.0,2283.0,2300.3,6347884
2026-05-13,2306.0,2309.2,2269.0,2272.8,3171843
2026-05-14,2265.0,2265.0,2206.4,2246.0,5633313
2026-05-15,2252.0,2304.9,2252.0,2264.0,3410637
2026-05-18,2264.0,2292.9,2252.2,2283.2,3773336
2026-05-19,2300.0,2377.6,2297.1,2327.1,10394707
2026-05-20,2323.9,2342.0,2317.8,2327.4,2537422
2026-05-21,2331.0,2335.9,2314.0,2327.2,3299087
2026-05-22,2331.1,2340.0,2308.1,2317.3,2617262
2026-05-25,2325.0,2326.1,2293.0,2308.2,3298364
2026-05-26,2308.2,2327.9,2272.4,2276.2,3587597
