Date,Open,High,Low,Close,Volume
2026-02-16,761.0,761.0,746.2,752.85,515101
2026-02-17,752.85,769.85,750.45,762.9,359999
2026-02-18,766.75,771.95,760.0,761.55,262397
2026-02-19,761.55,765.5,745.3,750.3,255861
2026-02-20,748.0,751.0,742.0,743.5,323961
2026-02-23,748.25,752.65,740.95,745.1,298793
2026-02-24,741.5,741.7,730.1,733.9,301050
2026-02-25,735.0,738.5,714.0,718.9,365664
2026-02-26,719.0,725.5,708.25,712.7,328591
2026-02-27,714.75,714.75,699.05,700.95,486019
2026-03-02,665.2,689.15,660.0,671.35,652594
2026-03-04,661.0,663.0,637.7,641.95,1007968
2026-03-05,649.95,665.0,641.3,658.0,617013
2026-03-06,657.95,697.0,653.1,680.3,1752717
2026-03-09,669.05,669.05,642.2,654.7,802295
2026-03-10,662.0,671.15,652.1,663.4,483009
2026-03-11,666.95,676.4,654.0,655.95,337384
2026-03-12,649.95,664.5,638.0,655.85,572475
2026-03-13,651.0,654.9,638.0,639.4,561395
2026-03-16,635.0,636.0,610.0,627.95,1118626
2026-03-17,628.0,635.65,622.2,629.05,494782
2026-03-18,635.0,653.95,632.4,649.15,709654
2026-03-19,639.0,642.35,618.9,621.65,591264
2026-03-20,629.7,642.85,624.0,626.35,527597
2026-03-23,624.95,624.95,590.45,595.0,790682
2026-03-24,614.0,625.95,601.4,616.3,862889
2026-03-25,626.0,640.65,624.6,628.75,584321
2026-03-27,627.0,627.0,592.2,595.6,1218848
2026-03-30,590.0,591.85,568.7,574.85,1691976
2026-04-01,595.95,618.75,586.35,609.0,896156
2026-04-02,594.8,618.6,584.6,614.9,595969
2026-04-06,621.95,644.0,603.0,639.35,1212170
2026-04-07,642.5,724.0,641.1,695.25,25766668
2026-04-08,722.0,728.0,705.0,708.65,3273313
2026-04-09,715.7,724.4,705.0,708.6,1173124
2026-04-10,714.9,720.0,706.8,710.25,604947
2026-04-13,694.95,704.8,680.5,696.8,765484
2026-04-15,710.0,724.9,707.0,717.55,1029448
2026-04-16,722.9,749.0,708.5,737.45,2270569
2026-04-17,745.45,758.65,738.85,741.05,1421965
2026-04-20,744.0,746.35,727.0,730.2,699349
2026-04-21,730.6,741.0,730.0,736.95,320230
2026-04-22,737.0,748.25,733.5,743.05,667407
2026-04-23,741.75,750.5,734.0,741.8,680079
2026-04-24,743.55,761.95,722.0,756.65,1031823
2026-04-27,762.0,802.0,757.6,798.3,2050919
2026-04-28,800.0,803.1,782.25,786.05,660303
2026-04-29,791.9,805.0,781.1,786.25,558658
2026-04-30,778.05,781.85,757.05,768.4,638508
2026-05-04,772.95,783.25,763.0,769.45,820988
2026-05-05,773.0,869.7,759.75,840.2,19024656
2026-05-06,850.0,862.7,830.55,846.4,3168441
2026-05-07,848.0,850.65,832.0,844.3,1114027
2026-05-08,842.1,852.0,835.0,839.95,779477
2026-05-11,838.75,838.9,809.0,815.3,1092418
2026-05-12,815.0,818.0,770.3,774.2,897391
2026-05-13,774.2,794.0,770.0,773.85,647835
2026-05-14,780.0,792.8,760.5,771.9,696544
2026-05-15,774.0,778.75,762.0,763.3,404641
2026-05-18,753.0,756.5,728.0,753.15,834082
2026-05-19,753.15,753.15,735.05,739.6,413515
2026-05-20,735.0,756.1,721.2,746.95,707138
2026-05-21,755.05,767.4,751.0,752.9,463328
2026-05-22,752.0,767.45,751.95,757.3,363409
